sample3,,
Wavelength (nm),Abs,
500.0149536,-9.163536561E-006,
498.9909058,-3.323631245E-005,
498.0046692,3.784693399E-005,
497.0181274,-0.0002988283231,
495.9935303,-0.0002426907886,
495.0066528,-0.0001817849843,
493.9815369,-0.0001219058031,
492.9942627,-0.0002127305488,
492.0067139,-0.0004043576191,
490.9810181,-0.0006545250653,
489.9931335,-0.000660986756,
489.0050049,-0.000570462551,
488.0166931,-0.000620819279,
486.9901733,-0.0008530879277,
486.0014343,-0.0007420341717,
485.0125427,-0.0006550420076,
483.9853516,-0.001066692173,
482.9960022,-0.00117358414,
482.0065308,-0.000990096014,
481.0168152,-0.001078983536,
479.9888611,-0.001090758131,
478.9987488,-0.001075368491,
478.0083923,-0.001252212794,
477.0179443,-0.00125190313,
475.9891663,-0.001414020429,
474.99823,-0.001446013455,
474.0071411,-0.001236261101,
473.0158691,-0.001358181704,
471.9862061,-0.001524541411,
470.9945679,-0.001403802773,
470.0027161,-0.001534188632,
469.0106201,-0.001334027387,
468.0183716,-0.001408498734,
466.987793,-0.001576128765,
465.9951172,-0.001607852057,
465.0023499,-0.001775198965,
464.0093384,-0.00154497067,
463.0160828,-0.001641636016,
461.9845581,-0.001411595033,
460.9909363,-0.001588250976,
459.9971619,-0.001886762097,
459.0032349,-0.001972631784,
458.0090637,-0.001887380611,
457.014679,-0.001867998391,
455.9819336,-0.001907071332,
454.9872131,-0.001703007845,
453.9922791,-0.001721778652,
452.9972229,-0.001834438182,
452.0019226,-0.001755192876,
451.0065002,-0.001957118744,
450.0108337,-0.00209970423,
449.0150452,-0.001756327227,
448.019043,-0.001898463117,
446.9845581,-0.001883359859,
445.9881897,-0.001993813086,
444.9916077,-0.002084350213,
443.9948425,-0.001938254922,
442.9979858,-0.002061936771,
442.0008545,-0.002005923539,
441.0035706,-0.001974538667,
440.0061646,-0.00213870476,
439.0084839,-0.002007727278,
438.0106812,-0.002172550419,
437.0126953,-0.002105835127,
436.0145264,-0.002171211177,
435.0162048,-0.002098673722,
434.0176086,-0.002199645853,
433.0189514,-0.002261299407,
431.9816589,-0.002436168492,
430.9825745,-0.002163329395,
429.9833679,-0.002172189765,
428.9839783,-0.00220160326,
427.984314,-0.00214890507,
426.9845886,-0.002228748053,
425.9846497,-0.002200521529,
424.9845276,-0.002147462685,
423.9842529,-0.002205775352,
422.9837646,-0.00216296874,
421.9831543,-0.002293127123,
420.9823608,-0.002359813545,
419.9814148,-0.002344159875,
419.0187988,-0.002294980921,
418.0174866,-0.002527797362,
417.0159607,-0.002348588314,
416.0143433,-0.002270054771,
415.0125732,-0.002378710546,
414.0105896,-0.002354252385,
413.0083923,-0.002301469911,
412.006073,-0.002365734894,
411.0036316,-0.002360173967,
410.0009766,-0.002553223632,
408.9981384,-0.002318257932,
407.9951477,-0.00257139164,
406.9920349,-0.002369339345,
405.9886475,-0.002467468614,
404.985199,-0.00260175555,
403.9815369,-0.002593264217,
403.0163269,-0.002423246158,
402.0123596,-0.002326548798,
401.0082092,-0.002383447485,
400.0039368,-0.00233576633,
398.9994507,-0.002545812167,
397.994812,-0.002654038602,
396.9900513,-0.002393641975,
395.9851074,-0.002466953825,
395.0186462,-0.002751332009,
394.0133972,-0.002946933266,
393.0079651,-0.002525429707,
392.0023804,-0.002779471455,
390.9966431,-0.002890262753,
389.9907532,-0.002656868659,
388.9846802,-0.002398121404,
388.0171509,-0.002609526506,
387.0107727,-0.002734406153,
386.0042419,-0.002850609366,
384.9975586,-0.002714444418,
383.9907227,-0.002705749357,
382.9837036,-0.002637263387,
382.0152893,-0.00242803432,
381.0080261,-0.002630419331,
380.0005493,-0.002640916966,
378.9929504,-0.002438382246,
377.9851685,-0.002623986918,
377.0159912,-0.00281923404,
376.0079346,-0.002919421764,
374.9997253,-0.002681978513,
373.991333,-0.002750354586,
372.9828186,-0.002726431936,
372.0129395,-0.002692783717,
371.0041199,-0.0028332246,
369.9951172,-0.002548231045,
368.9859924,-0.002560995286,
368.0155334,-0.002630162053,
367.0061035,-0.002644210355,
365.9965515,-0.002512046834,
364.9868164,-0.002834356157,
364.0157776,-0.002364911139,
363.0057678,-0.001876297756,
361.9956055,-0.002216231776,
360.9852905,-0.001818507793,
360.0137329,-0.001445033122,
359.0031128,-0.0002178534342,
357.9924011,0.0007516019396,
356.9815063,0.002023709705,
356.0093384,0.003778996877,
354.9981689,0.005691428669,
353.9868774,0.007524708752,
353.0143127,0.008209071122,
352.0027161,0.008683113381,
350.9909973,0.00870820228,
350.0180054,0.008683588356,
349.0059814,0.009258200414,
347.9938049,0.01139614079,
346.9815063,0.01561059989,
346.0080261,0.0227358602,
344.9954529,0.03205675632,
343.9827271,0.04432400316,
343.0088196,0.05596055835,
341.9957886,0.06678970903,
340.982666,0.07271390408,
340.0083923,0.07129369676,
338.9949951,0.0669683516,
337.9814453,0.0611400269,
337.0067139,0.05656249821,
335.9928894,0.05368359759,
335.0179749,0.05203040689,
334.0039063,0.05049754307,
332.9896545,0.04899151251,
332.0143127,0.04721210897,
330.9998474,0.04696993902,
329.985199,0.04753636941,
329.009491,0.0491804257,
327.9945984,0.05098198727,
327.0186157,0.05194135755,
326.003479,0.0506907776,
324.9882202,0.04835005477,
324.0118713,0.04523348436,
322.9963684,0.04240189865,
321.9806519,0.04041271657,
321.0039368,0.03881071508,
319.9880066,0.03725766763,
319.0110474,0.03536213562,
317.994873,0.03392985091,
317.0176392,0.03252688423,
316.0012207,0.03170692176,
314.9846497,0.03059731796,
314.0070801,0.02932905406,
312.9902344,0.02792273462,
312.0124207,0.02645588666,
310.9953613,0.02485237643,
310.0173035,0.02377677895,
308.9999695,0.02311845496,
307.9825745,0.02274947241,
307.0041504,0.02224522829,
305.9864502,0.02192751504,
305.007782,0.02226163261,
303.9898987,0.02274488844,
303.0109863,0.02426410653,
301.9927979,0.02628031373,
301.0136414,0.03048300929,
299.9953003,0.03726911917,
299.0159302,0.04650550336,
297.9972839,0.05738994479,
297.0176697,0.06742248684,
295.9987793,0.0784913972,
295.0189819,0.08893641829,
293.9998779,0.1021910757,
292.9806213,0.125367552,
292.0004578,0.1596483439,
290.9810181,0.2144593894,
290.0006104,0.2880545259,
288.9809265,0.3994629383,
288.0003052,0.5088146329,
286.9803772,0.5978246331,
285.9995728,0.6398572326,
285.0186462,0.6652159095,
283.9983521,0.7129623294,
283.0172119,0.7632305026,
281.9967041,0.7827002406,
281.0153503,0.7740551233,
279.9946289,0.7649459243,
279.0130615,0.7793412805,
277.9920959,0.8134379387,
277.0102844,0.8415747285,
275.9891052,0.8407815099,
275.0071411,0.802464962,
273.9857178,0.7505533695,
273.003479,0.7197796106,
271.9819031,0.6911455393,
270.9994812,0.6583999991,
270.0169373,0.6049647927,
268.9950256,0.5594018698,
268.0122986,0.5216806531,
266.9901733,0.4880598187,
266.0072021,0.455429405,
264.9848328,0.4103603065,
264.001709,0.3673044741,
263.0184326,0.3333699405,
261.9957886,0.2986485064,
261.0123596,0.2659228742,
259.9894409,0.2383540869,
259.0057983,0.2084433436,
257.9826965,0.190274775,
256.9988708,0.1340121925,
256.0149231,0.1723334938,
254.9915466,-0.1003075466,
254.0074005,0.2411530465,
252.9838104,0.1276972294,
251.9994507,-0.01421737857,
251.0150604,0.03838955984,
249.9911652,0.1207650527,

sample3,
sample3
Collection Time: 21/05/2023 2:14:28 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  500.0
Stop (nm)  250.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  600.000
UV-Vis Data Interval (nm)  1.00
UV-Vis Ave. Time (sec)  0.1000
Beam Mode  Dual Beam
Baseline Correction  On
Baseline Type  Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 21/05/2023 12:42:22 PM
Method Modifications:
UVVIS SAT Changed: 21/05/2023 2:04:27 PM, Old:0.0125, New:0.1000
Common SAT Changed: 21/05/2023 2:04:27 PM, Old:0.0125, New:0.1000
