sample1,,
Wavelength (nm),Abs,
800.0118408,-0.002371759387,
799.0057983,-0.002452436602,
797.9992065,-0.002541231224,
796.9923096,-0.002676781733,
795.9850464,-0.00367712602,
795.012085,-0.003399004228,
794.0039673,-0.002475962508,
792.9954224,-0.002520385431,
791.9866333,-0.002529753372,
791.012085,-0.003016655566,
790.0024414,-0.002029267605,
788.9923096,-0.003174980637,
788.0167236,-0.002252028557,
787.0057983,-0.002818513894,
785.9945679,-0.002229366219,
784.9828491,-0.002574582584,
784.0057373,-0.001969745615,
782.9932861,-0.001771795913,
782.0153198,-0.00197928003,
781.0021362,-0.002146586776,
779.9885254,-0.002978248056,
779.0094604,-0.00303562684,
777.9950562,-0.003460128093,
777.0152588,-0.003127026604,
776.000061,-0.003577164374,
774.9845581,-0.002320163418,
774.0036011,-0.00295716594,
772.9872437,-0.002959531266,
772.0056152,-0.002863210393,
770.9885254,-0.002999431686,
770.0061035,-0.003155707149,
768.9882202,-0.002854775405,
768.0050659,-0.002375003183,
766.9864502,-0.002100167796,
766.0025635,-0.003291579662,
764.9831543,-0.002865422051,
763.9984741,-0.002736361232,
763.0134888,-0.003460641718,
761.992981,-0.002708733315,
761.0072632,-0.002713826951,
759.9859009,-0.002746701939,
758.9995117,-0.003065752797,
758.0126953,-0.002460982418,
756.9902954,-0.003278271761,
756.0027466,-0.002403939376,
755.0148926,-0.002894273959,
753.991333,-0.002824017545,
753.0027466,-0.002748759696,
752.0137939,-0.002250741003,
750.9891357,-0.002500619739,
749.9993896,-0.003062771168,
749.0093384,-0.002772115171,
747.9835205,-0.003172719153,
746.9927368,-0.002379946178,
746.001709,-0.002173735294,
745.0101929,-0.002352038166,
743.9829102,-0.002972129267,
742.9907227,-0.001979640685,
741.99823,-0.002053176984,
741.0053711,-0.002565678675,
740.012085,-0.002072087256,
738.9830322,-0.002457533265,
737.9890747,-0.002587963361,
736.994751,-0.002440338489,
736.0001221,-0.002934694523,
735.005127,-0.002521723742,
734.0098267,-0.002983441111,
733.0140991,-0.002829109784,
731.9824829,-0.002965393243,
730.986084,-0.002572112018,
729.9893799,-0.002703279722,
728.9923096,-0.00217337464,
727.994812,-0.00223786477,
726.9970703,-0.002359556034,
725.9990234,-0.002568921074,
725.0005493,-0.002078888705,
724.001709,-0.002523885574,
723.0025635,-0.002324592089,
722.0031128,-0.002406101907,
721.0032349,-0.002415781142,
720.0031128,-0.002508701058,
719.0026245,-0.002602218883,
718.00177,-0.002370678121,
717.0005493,-0.002383910818,
715.9990234,-0.001731937286,
714.9971924,-0.002449141815,
713.9949951,-0.002491045278,
712.9924927,-0.002195627894,
711.989624,-0.002628206741,
710.9863892,-0.002675032243,
709.9827881,-0.003023390658,
709.0148926,-0.002781837713,
708.0106201,-0.002655324992,
707.0061035,-0.002644930733,
706.0012207,-0.002296268474,
704.9960327,-0.002680332167,
703.9904785,-0.002522392897,
702.9846802,-0.002614003606,
702.0143433,-0.002751794877,
701.0078125,-0.002735280897,
700.0009766,-0.002799018752,
698.9937744,-0.002312232973,
697.9863281,-0.002541385591,
697.0144653,-0.002539790003,
696.0062866,-0.002576950006,
694.9978027,-0.00262949313,
693.9890137,-0.002642666455,
693.0159302,-0.002634484787,
692.0064697,-0.003068014747,
690.9967041,-0.002878742525,
689.9865112,-0.002513282234,
689.012207,-0.002582302317,
688.0014038,-0.003525968175,
686.9903564,-0.002404866042,
686.0151367,-0.003370956285,
685.003418,-0.002415472176,
683.991333,-0.002969558118,
683.0151367,-0.003136535408,
682.0025635,-0.002885119757,
680.989502,-0.002787393518,
680.0123901,-0.003027246566,
678.9987183,-0.002853181213,
677.9848633,-0.003388781799,
677.0067749,-0.003112068633,
675.9921875,-0.00326773827,
675.0136108,-0.003342238488,
673.9983521,-0.002705286257,
672.9828491,-0.002637314843,
672.0032959,-0.003035729518,
670.9871826,-0.002374179428,
670.007019,-0.003083590884,
668.9902954,-0.003351177555,
668.0095215,-0.00303135952,
666.9921265,-0.002855187049,
666.0108032,-0.003490841016,
664.9927368,-0.00314275478,
664.0108032,-0.003121372312,
662.9921875,-0.00339232618,
662.0096436,-0.003219177946,
660.9904175,-0.003102250863,
660.0073242,-0.002991153626,
658.9874878,-0.003382360563,
658.0037842,-0.002855084138,
656.9832764,-0.002625067718,
655.9989624,-0.00333412108,
655.0144043,-0.002950944006,
653.993042,-0.002647400601,
653.0078125,-0.00339664123,
651.9858398,-0.003222415457,
651.0001221,-0.00317641953,
650.0140381,-0.002974905772,
648.9911499,-0.00322657777,
648.0045776,-0.003226680681,
647.0176392,-0.00359395449,
645.9938965,-0.00318407733,
645.0064087,-0.002958708676,
643.9819946,-0.003826742992,
642.9939575,-0.003297848161,
642.0056152,-0.003151184181,
641.0169678,-0.003383850213,
639.991394,-0.002917776117,
639.0021973,-0.002925181296,
638.0126953,-0.003231408307,
636.9862671,-0.003538652323,
635.9962158,-0.003154730424,
635.0059204,-0.003118956462,
634.0152588,-0.0035686919,
632.9877319,-0.003112222999,
631.996521,-0.003510870039,
631.0050049,-0.003656642744,
630.0133057,-0.003325643949,
628.9845581,-0.003071047831,
627.9922485,-0.003319119103,
626.9996948,-0.003283204511,
626.0068359,-0.003647709731,
625.0136719,-0.003742419649,
623.9835205,-0.003596573137,
622.9898682,-0.003858815413,
621.9958496,-0.003611360211,
621.0016479,-0.00347414962,
620.0071411,-0.004093923606,
619.0123291,-0.003417239524,
618.0172729,-0.003586868988,
616.9851074,-0.003651149571,
615.989563,-0.003454786725,
614.9936523,-0.003282331163,
613.9975586,-0.003630356863,
613.0010376,-0.003527560038,
612.0043945,-0.00407607574,
611.0074463,-0.003460847307,
610.0102539,-0.003516056808,
609.0127563,-0.003697864944,
608.0150146,-0.003732154146,
607.0170288,-0.003672711086,
605.9816895,-0.003525865497,
604.9831543,-0.003922029398,
603.984375,-0.003964663018,
602.9852295,-0.003466599621,
601.9859009,-0.003657156136,
600.9862671,-0.003696478903,
599.9863892,-0.003426177194,
598.9862061,-0.003855685238,
597.9858398,-0.003628251841,
596.9852295,-0.003271540627,
595.9841919,-0.004037556704,
594.9830322,-0.00324625941,
593.9815674,-0.003440815955,
593.0169678,-0.003541425103,
592.0150146,-0.003511280753,
