sample15,,
Wavelength (nm),Abs,
800.0026855,-0.001567256171,
798.996582,-0.001765247551,
797.9901123,-0.00133573066,
796.9830933,-0.0004325461341,
796.0105591,-0.0008616651176,
795.0028687,-0.001823817962,
793.994751,-0.001383057097,
792.9862061,-0.001721881796,
792.0120239,-0.001251593349,
791.0027466,-0.0009066667408,
789.993042,-0.001126957708,
788.9829102,-0.001055640052,
788.0072021,-0.001184994704,
786.9962769,-0.001097368193,
785.9850464,-0.001156958169,
785.0081787,-0.00140318356,
783.9961548,-0.001056104898,
782.9836426,-0.0008296289598,
782.0057983,-0.001757977298,
780.9924316,-0.0005860768724,
780.0137329,-0.001486827037,
778.9997559,-0.0001921349176,
777.9853516,-0.0008560848073,
777.0054932,-0.001405608957,
775.9902954,-0.0009236122132,
775.0097046,-0.001071753446,
773.9937744,-0.001059978385,
773.0123901,-0.001014321111,
771.9956665,-0.001028576633,
771.0136719,-0.0008047734736,
769.9961548,-0.001036840375,
769.0133057,-0.001039061346,
767.9949951,-0.0007844642969,
767.0114746,-0.001807268476,
765.9924316,-0.0006879181019,
765.0082397,-0.0004971401067,
763.9884033,-0.0004046162358,
763.003418,-0.001288295723,
761.9827881,-0.0009752711048,
760.9971313,-0.0009974824497,
760.0109863,-0.001523973886,
758.9892578,-0.001421451219,
758.0025024,-0.0006628994015,
757.0152588,-0.002063224791,
755.9924316,-0.001321382006,
755.0045166,-0.0004624394933,
754.0162354,-0.0009338927921,
752.9923706,-0.001649630372,
752.0032959,-0.0007781077875,
751.013916,-0.0005999327987,
749.9889526,-0.001322723925,
748.9988403,-0.001546054031,
748.0084839,-0.001484402106,
747.0177002,-0.001087504672,
745.9911499,-0.0007114363834,
744.9996338,-0.0008386199479,
744.0077515,-0.001032501925,
743.0155029,-0.001714043552,
741.9875488,-0.001266202424,
740.9946289,-0.001346259494,
740.0014038,-0.001386876102,
739.0077515,-0.001411130652,
738.013855,-0.001430946053,
736.9840088,-0.001289431355,
735.9893188,-0.001410046942,
734.9943237,-0.001473309007,
733.9989014,-0.001043296419,
733.0031738,-0.001523767482,
732.0071411,-0.0009520253516,
731.0107422,-0.00151293329,
730.0140381,-0.0009164827643,
729.0169067,-0.001344246673,
727.9838257,-0.0008589266217,
726.986084,-0.001242249506,
725.987854,-0.000876235601,
724.9894409,-0.001238429337,
723.9905396,-0.00111601036,
722.991394,-0.0009054268012,
721.9919434,-0.001238635858,
720.9921265,-0.001110743149,
719.9918823,-0.00151639001,
718.991333,-0.000872928882,
717.9904785,-0.001482854248,
716.9892578,-0.001175494515,
715.987793,-0.0009920588927,
714.9858398,-0.001159281703,
713.9836426,-0.00116960844,
713.0168457,-0.0008425470442,
712.0140381,-0.001095767366,
711.0108032,-0.001042315154,
710.0072632,-0.001143791247,
709.0033569,-0.001319162548,
707.9991455,-0.001408911659,
706.9945679,-0.0008816606714,
705.9896851,-0.001009465894,
704.9844971,-0.00134063384,
704.0147705,-0.001284062979,
703.0089111,-0.001542546088,
702.0027466,-0.001090086764,
700.9961548,-0.001115442254,
699.9893188,-0.001178953797,
698.9821167,-0.001280191587,
698.0105591,-0.001288450556,
697.0026855,-0.00155456597,
695.9945679,-0.001274461742,
694.9860229,-0.001168833929,
694.0132446,-0.001362052397,
693.0040283,-0.001324272365,
691.9946289,-0.0005894891801,
