sample12,,
Wavelength (nm),Abs,
800.0026855,-0.0008586682961,
798.996582,-0.0005673603155,
797.9901123,-0.001441266271,
796.9830933,-0.001608780469,
796.0105591,-0.0004965713015,
795.0028687,-0.0003623041557,
793.994751,-0.0007889086264,
792.9862061,-0.000755058194,
792.0120239,-0.0003549586108,
791.0027466,-0.0006245415425,
789.993042,-0.001710949466,
788.9829102,-0.0004349252849,
788.0072021,-0.00107805396,
786.9962769,-0.001196559868,
785.9850464,-0.000635708042,
785.0081787,-0.0009980506729,
783.9961548,-0.001215559081,
782.9836426,-0.00125329697,
782.0057983,-0.0006045341142,
780.9924316,-0.001484453678,
780.0137329,-0.0005123951123,
778.9997559,-0.0008826423436,
777.9853516,-0.001439769869,
777.0054932,-0.001225522952,
775.9902954,-0.0008272519917,
775.0097046,-5.10958962E-005,
773.9937744,-0.0009174127481,
773.0123901,-0.0002468301973,
771.9956665,-0.0006516819121,
771.0136719,-0.001649269368,
769.9961548,-0.0007198613603,
769.0133057,-0.0009099215386,
767.9949951,-0.000464870187,
767.0114746,-0.001391262631,
765.9924316,-0.0002057964593,
765.0082397,-0.001628380618,
763.9884033,-0.0006998066092,
763.003418,-0.0009106965153,
761.9827881,-0.0009231988806,
760.9971313,-0.001200690167,
760.0109863,-0.001444207504,
758.9892578,-0.0008279237081,
758.0025024,-0.0007402252522,
757.0152588,-0.0005299247568,
755.9924316,-0.001156751649,
755.0045166,-0.0009579143953,
754.0162354,-0.0008883256814,
752.9923706,-0.0006161147612,
752.0032959,-0.0007050271379,
751.013916,-0.001297174022,
749.9889526,-0.0002048649912,
748.9988403,-0.00135147234,
748.0084839,-0.001335317735,
747.0177002,-0.001313433284,
745.9911499,-0.0007540762308,
744.9996338,-0.0009117814479,
744.0077515,-0.001172448159,
743.0155029,-0.0009312580805,
741.9875488,-0.000781828654,
740.9946289,-0.001230530674,
740.0014038,-0.001673612394,
739.0077515,-0.001243281993,
738.013855,-0.001241010497,
736.9840088,-0.001286592335,
735.9893188,-0.00131704635,
734.9943237,-0.001253142022,
733.9989014,-0.001117249718,
733.0031738,-0.0009448964265,
732.0071411,-0.001088434248,
731.0107422,-0.0008100444102,
730.0140381,-0.0007688053884,
729.0169067,-0.001433474594,
727.9838257,-0.001200431958,
726.986084,-0.001119728317,
725.987854,-0.00144389784,
724.9894409,-0.001072631334,
723.9905396,-0.00136483938,
722.991394,-0.001281017438,
721.9919434,-0.001198883168,
720.9921265,-0.0008326776442,
719.9918823,-0.0006798543618,
718.991333,-0.0009986188961,
717.9904785,-0.001025684178,
716.9892578,-0.0007939213538,
715.987793,-0.001140951295,
714.9858398,-0.001072321436,
713.9836426,-0.001039164606,
713.0168457,-0.001017575152,
712.0140381,-0.001158816973,
711.0108032,-0.00108502584,
710.0072632,-0.001010447275,
709.0033569,-0.0007440497866,
