sample2,,
Wavelength (nm),Abs,
450.0085144,-0.001679182169,
449.0126953,-0.001845882973,
448.0167236,-0.002071726602,
446.9822998,-0.002085432177,
445.9859009,-0.002161835553,
444.9893494,-0.001989174867,
443.9926453,-0.002178680617,
442.9957581,-0.002149883891,
441.9986877,-0.002073633019,
441.0014038,-0.002264595591,
440.0039978,-0.002107896144,
439.0063171,-0.002044880996,
438.0085754,-0.002147153486,
437.0106201,-0.002282569651,
436.0124817,-0.002169871703,
435.0140991,-0.002057917649,
434.0155945,-0.002155293012,
433.0169373,-0.002232817234,
432.0180969,-0.002196452115,
431.019043,-0.002222876297,
429.9814148,-0.002088575158,
428.9819946,-0.002279994544,
427.9824524,-0.002080485923,
426.982666,-0.002309194533,
425.9827881,-0.002165647689,
424.9826965,-0.002160805278,
423.9824829,-0.002322944114,
422.9819946,-0.002267016098,
421.9813843,-0.002155602211,
421.019104,-0.002152253641,
420.018158,-0.002319596941,
419.0170288,-0.002343387343,
418.0158081,-0.002411198802,
417.0143433,-0.002338340972,
416.0126953,-0.002369545167,
415.0108948,-0.002087596338,
414.0089111,-0.002437609946,
413.0068054,-0.002329689916,
412.0044861,-0.002049363917,
411.0019836,-0.002208711579,
409.9993896,-0.002127988962,
408.9966125,-0.00205018837,
407.9936218,-0.00190593733,
406.990509,-0.001705586328,
405.9872131,-0.001196043566,
404.9837036,-0.001072218176,
404.0187073,-0.001095199259,
403.0149231,-0.0009248520946,
402.0109558,-0.0008893589838,
401.0068359,-0.0008266835357,
400.0025635,-0.0006097558071,
398.9981384,-0.0002869288146,
397.9934998,-0.0002075558587,
396.988739,0.0005914568901,
395.9837952,0.0003299125237,
395.017395,0.0007266312605,
394.0121155,0.0006313774502,
393.0067444,0.001412640209,
392.0011597,0.001875547809,
390.9954224,0.002265224699,
389.9895325,0.003124126932,
388.9835205,0.003832817543,
388.0160217,0.005029402208,
387.0096741,0.006434983108,
386.0031433,0.007784799207,
384.9964905,0.008956477046,
383.9896545,0.01044775918,
382.9826965,0.01207793225,
382.0142822,0.01354919747,
381.006958,0.01476828661,
379.9995422,0.01621888205,
378.9919434,0.01741168089,
377.9841919,0.0191166196,
377.0150757,0.02071960457,
376.007019,0.02377043478,
374.9988098,0.02653680556,
373.990448,0.0292393323,
372.9819336,0.03244743496,
372.0120544,0.03638780117,
371.0032654,0.04134745523,
