sample7,,
Wavelength (nm),Abs,
800.0120239,-0.004717167933,
799.0059814,-0.005034979433,
797.9996948,-0.003601502394,
796.9929199,-0.003309768159,
795.9857178,-0.004148899112,
795.0128784,-0.003709158162,
794.0048218,-0.004192843568,
792.996521,-0.003997546155,
791.987793,-0.004349202383,
791.0134277,-0.004131309688,
790.0038452,-0.004077101592,
788.9938965,-0.003383644857,
787.9835815,-0.003990005236,
787.0076294,-0.004508221056,
785.99646,-0.004976943135,
784.9849854,-0.003856762778,
784.0078735,-0.003540603677,
782.9956665,-0.004280975554,
781.9828491,-0.004136540461,
781.0047607,-0.00390068558,
779.9912109,-0.003654281143,
779.0122681,-0.003805753542,
777.9980469,-0.003871130524,
776.9833374,-0.004682648927,
776.0032959,-0.004692175426,
774.987854,-0.004188997671,
774.0070801,-0.004154693801,
772.9909058,-0.004021245055,
772.0093384,-0.004623182118,
770.9923096,-0.004141976126,
770.0100708,-0.003560578916,
768.9923096,-0.004267646465,
768.0092773,-0.004798997659,
766.9907227,-0.004041967448,
766.007019,-0.003517751582,
764.9877319,-0.004072485492,
764.0031738,-0.004234886728,
762.9832153,-0.003725532675,
761.9979248,-0.003244717605,
761.0123901,-0.004379545338,
759.9912109,-0.004576975945,
759.0048828,-0.004149924498,
757.9829102,-0.004448730499,
756.9959106,-0.003519754391,
756.0084839,-0.004327110481,
754.9854736,-0.003187777707,
753.9973145,-0.004377238918,
753.0088501,-0.00469422387,
751.9847412,-0.004700728226,
750.9954224,-0.004232323263,
750.0058594,-0.003833824769,
749.0159912,-0.004200431984,
747.9902954,-0.004001701251,
746.9996338,-0.003554160241,
746.008667,-0.004477682523,
745.017334,-0.004218172282,
743.9902344,-0.003742471104,
742.9981689,-0.004163051955,
742.0057373,-0.003802417777,
741.0130005,-0.003570745932,
739.984375,-0.003621526062,
738.9909668,-0.003433214268,
737.9970703,-0.004203354474,
737.0028687,-0.003801955841,
736.0084229,-0.003844088176,
735.0135498,-0.004149258137,
733.9827881,-0.003966099583,
732.9871826,-0.003946194425,
731.991272,-0.003760589287,
730.9949951,-0.003618445713,
729.9983521,-0.003841419704,
729.0014648,-0.004120540339,
728.0041504,-0.003790716408,
727.0065308,-0.003382309107,
726.0085449,-0.003653357038,
725.0101929,-0.003555495292,
724.0114746,-0.003523965366,
723.0124512,-0.003906380851,
722.0131836,-0.003891655011,
721.0134277,-0.003945937846,
720.0134277,-0.003970767837,
719.0130005,-0.003704435658,
718.0123291,-0.003791075666,
717.0112305,-0.003779220162,
716.0098877,-0.003951324616,
715.0081177,-0.003491200507,
714.0060425,-0.003612233093,
713.0036621,-0.00365833682,
712.0008545,-0.003487297334,
710.9978027,-0.003987851087,
709.9943848,-0.003397617256,
708.9907227,-0.003627789905,
707.9865723,-0.003580861259,
706.9821777,-0.003620088566,
706.0132446,-0.003750118893,
705.0082397,-0.003946502227,
704.0028076,-0.003526019398,
702.9970703,-0.003598575713,
701.9909668,-0.003940037917,
700.9845581,-0.004058226943,
700.0137939,-0.003788868897,
699.0067749,-0.003775268327,
697.9993286,-0.003652586835,
696.9916992,-0.003926442005,
695.9835815,-0.003312337212,
695.0112915,-0.003197542392,
694.0025635,-0.003346862271,
692.9935913,-0.00353983324,
691.9841919,-0.003305966267,
691.0106201,-0.003598934971,
690.0006104,-0.003446928225,
688.9902954,-0.003097727196,
688.0158081,-0.003826948348,
687.0048218,-0.002848089207,
685.9935913,-0.003581066849,
685.0180664,-0.003795335302,
684.0062256,-0.00354948733,
682.9939575,-0.003597600153,
682.0175781,-0.003418883309,
681.0046997,-0.003189473646,
679.9915161,-0.003358935006,
679.0142212,-0.003505375003,
678.0004272,-0.003384826239,
676.9862671,-0.003096185159,
676.0079956,-0.003114690306,
674.9932861,-0.003489762545,
674.0144043,-0.003522630082,
672.9990845,-0.003084413474,
671.9833374,-0.003586971667,
671.0036621,-0.003792256117,
669.9872437,-0.003833208932,
669.006958,-0.00344456546,
667.9900513,-0.003693193663,
667.0090332,-0.003531925147,
665.9915161,-0.003216505516,
665.0100098,-0.003974307794,
663.9917603,-0.003142703325,
663.0096436,-0.003757869126,
661.9908447,-0.003705616109,
661.0081177,-0.003483342705,
659.9887085,-0.003358215792,
659.0053711,-0.003170457669,
657.9854126,-0.00328561943,
657.0014648,-0.00370474346,
656.0172729,-0.003354773857,
654.9963989,-0.003626608988,
654.0115967,-0.003486218862,
652.9899902,-0.003012593836,
652.0046997,-0.003772188909,
650.982605,-0.003640419571,
649.996582,-0.003492792603,
649.010437,-0.003029457293,
647.9873047,-0.00345509476,
647.0004883,-0.004037556704,
646.0134888,-0.003307250794,
644.989502,-0.003042772878,
644.0018311,-0.003295484697,
643.013916,-0.002954029245,
641.9890747,-0.003476717509,
641.0005493,-0.003159921616,
640.0117798,-0.003429259174,
638.9860229,-0.003724300768,
637.996582,-0.002990382491,
637.007019,-0.003074183594,
636.0170288,-0.003198004793,
634.9901733,-0.003217687597,
633.9996338,-0.003225241788,
633.0088501,-0.003370442428,
632.0178223,-0.003480620915,
630.9897461,-0.003237163881,
629.9981079,-0.002971049398,
629.0062256,-0.003389552236,
628.0140381,-0.003618702292,
626.9848022,-0.003421400208,
625.9921265,-0.003019226249,
624.9990845,-0.00311361067,
624.0058594,-0.003010691609,
623.0122681,-0.003271437949,
621.9815674,-0.003522424726,
620.9874878,-0.00384706445,
619.993103,-0.003507480491,
618.9984131,-0.003488324583,
618.003479,-0.003214038908,
617.0083008,-0.002976911142,
616.0128174,-0.003435319988,
615.0170288,-0.003361606505,
613.9841919,-0.00292296987,
612.987793,-0.003233206924,
611.991272,-0.003189370735,
610.9944458,-0.003293018322,
609.9973755,-0.002824686235,
609,-0.003383696079,
608.0023804,-0.003296152689,
607.0044556,-0.003199495142,
606.0062256,-0.003253453411,
605.0078125,-0.003026115708,
604.0090942,-0.002923484193,
603.0101929,-0.003148562741,
602.0109253,-0.00330159883,
601.0114136,-0.003253042232,
600.0116577,-0.002977733733,
599.0115967,-0.00327791227,
598.0113525,-0.003216711106,
597.0108032,-0.003041539108,
596.0100098,-0.002969712485,
595.0089111,-0.003357496578,
594.0075684,-0.00326172635,
593.0059814,-0.003111914499,
592.0041504,-0.003588306485,
591.0020142,-0.003341570729,
589.9996338,-0.003076188499,
588.9970093,-0.00316557521,
587.9940796,-0.002856832929,
586.9909668,-0.003169224365,
585.9875488,-0.003234080505,
584.9838867,-0.003463620786,
584.0171509,-0.003212137381,
583.0129395,-0.002801796654,
582.0085449,-0.003231716808,
581.0038452,-0.003109909827,
579.9989014,-0.003013416426,
578.9937134,-0.003471067874,
577.9882813,-0.003047399921,
576.982605,-0.002978299279,
576.013916,-0.0030811748,
575.0076904,-0.00291582197,
574.0012817,-0.002993775997,
572.9945068,-0.003054134548,
571.9876099,-0.00288378261,
571.0177002,-0.002967398614,
570.0102539,-0.002965033287,
569.0025635,-0.002976602642,
567.9946289,-0.003072332824,
566.9863892,-0.003036449431,
566.0153198,-0.002793360502,
565.0065918,-0.002837442327,
563.9977417,-0.003127643373,
562.9884644,-0.002823451767,
562.0164795,-0.002797578461,
561.0067749,-0.002954492113,
559.9969482,-0.003318862291,
558.9867554,-0.003105540527,
558.0137939,-0.002853438258,
557.0031128,-0.002930220682,
555.9923096,-0.003118545283,
555.0186157,-0.002962719416,
554.0072632,-0.003078398993,
552.9956055,-0.003153445665,
551.9837646,-0.002928678179,
551.0092163,-0.002867119154,
549.9968262,-0.00274567306,
548.984314,-0.002798041562,
548.0090332,-0.002879771171,
546.9959717,-0.003136638319,
545.982666,-0.002806426026,
545.0067139,-0.003061691532,
543.992981,-0.002970483853,
543.0165405,-0.003029149026,
542.0022583,-0.002967912704,
540.987854,-0.002818925306,
540.0107422,-0.00284171151,
538.9958496,-0.003123993985,
538.0183105,-0.002963079372,
537.0029297,-0.002874679631,
535.9873047,-0.002857347252,
535.0090332,-0.002958297264,
533.992981,-0.002908622148,
533.0143433,-0.002920450177,
531.9978027,-0.002752412343,
531.0186768,-0.002952538198,
530.0016479,-0.002850763733,
528.984436,-0.002721544355,
528.0046387,-0.002672562608,
526.9869385,-0.002819542773,
526.0067139,-0.002833276056,
524.9886475,-0.002633661265,
524.0079956,-0.002915462013,
522.9893799,-0.002546532545,
522.0083008,-0.002585338661,
520.9892578,-0.002937934361,
520.0076904,-0.002814193256,
518.9882202,-0.00292682671,
518.0062866,-0.002704462968,
516.9863281,-0.002696179552,
516.0039063,-0.002708373358,
514.9835815,-0.002797784284,
514.0007324,-0.002642563544,
513.0177612,-0.0027801916,
511.9967651,-0.002657640493,
511.0132751,-0.002814656124,
509.9918213,-0.002664947184,
509.0078735,-0.002382983919,
507.9859924,-0.002613900695,
507.001709,-0.002492795466,
506.0171814,-0.002559656976,
504.9946594,-0.002502215328,
504.0097351,-0.002679920522,
502.9867554,-0.002648944268,
502.0014343,-0.002617194084,
501.0158386,-0.002586522372,
499.992218,-0.002644467633,
499.0062866,-0.002424121602,
497.9821777,-0.002499126829,
496.9957886,-0.00252573844,
496.0092468,-0.002502678661,
494.9845581,-0.00231120293,
493.9975891,-0.002557598287,
493.0103455,-0.002458923031,
491.9849854,-0.002501185751,
490.997345,-0.002527642995,
490.0095825,-0.002709865337,
488.9836426,-0.002784461249,
487.9954224,-0.002401468111,
487.007019,-0.002480749972,
486.0184631,-0.002549672266,
484.9916687,-0.002698083175,
484.0026855,-0.002483581193,
483.0134888,-0.002445641207,
481.9860535,-0.002513590967,
480.9964905,-0.002512458712,
480.0066833,-0.002427673899,
479.0166321,-0.002513899934,
477.9884033,-0.00257247244,
476.9979553,-0.002506642137,
476.0074463,-0.002480080817,
475.0166626,-0.002593830228,
473.9875793,-0.002615753328,
472.99646,-0.002337465761,
472.0050964,-0.002322377637,
471.0135193,-0.002551473677,
469.9836731,-0.002624655841,
468.9917603,-0.002762443852,
467.9995728,-0.002559296787,
467.0072937,-0.002860793145,
466.014801,-0.002706469735,
464.9838562,-0.002655685181,
463.9909973,-0.002356981393,
462.9978943,-0.002794132102,
462.0046082,-0.002617966151,
461.0111694,-0.002411816735,
460.0175171,-0.002487390535,
458.9854431,-0.002381490776,
457.9914551,-0.002531863749,
456.9972229,-0.002560583409,
456.0027771,-0.002371347509,
455.0082397,-0.002697414253,
454.0134888,-0.002495420631,
453.0185242,-0.00235404633,
451.9851074,-0.002467056736,
450.9897766,-0.002332367701,
449.9942627,-0.002470660256,
448.9985657,-0.002365580527,
448.002655,-0.002301366767,
447.0065613,-0.002415008843,
446.010376,-0.002354509896,
445.0139465,-0.002410786925,
444.0173645,-0.002231375081,
442.9822083,-0.00223204447,
441.985199,-0.002413309878,
440.9880371,-0.002269488294,
439.9907227,-0.002163741505,
438.9931946,-0.002097282559,
437.9954834,-0.002097076504,
436.9976501,-0.0023795343,
435.9995728,-0.002273968887,
435.0013428,-0.00231094542,
434.0029297,-0.002096561249,
433.004364,-0.002068068366,
432.0055847,-0.002249093028,
431.0066528,-0.002200521529,
430.0075684,-0.002253985731,
429.0082703,-0.002281127498,
428.0087891,-0.002298482927,
427.0091858,-0.002015354112,
426.0093994,-0.00218800432,
425.0094299,-0.002183677163,
424.0092163,-0.002177341143,
423.0088806,-0.002270827303,
422.0084229,-0.002038233681,
421.0077209,-0.002018394414,
420.006897,-0.00214694743,
419.0058594,-0.002006232738,
418.0046692,-0.002094397321,
417.0033569,-0.002070180839,
416.0018005,-0.001988917124,
415.0000916,-0.002021795604,
413.998291,-0.002013395773,
412.9962463,-0.001666959375,
411.993988,-0.0015381095,
410.9916687,-0.001660461072,
409.9891357,-0.001245192019,
408.9864502,-0.0008492642664,
407.9835205,-0.0007494248566,
407.0191345,-0.0002698550234,
406.0158997,0.0002556733089,
405.0125732,0.001005798229,
404.0090332,0.001778326114,
403.0053711,0.002554339822,
402.0014954,0.003664901713,
400.9974976,0.005153417587,
399.9933167,0.006702229381,
398.9889832,0.008304207586,
397.9844666,0.01037309598,
397.0184631,0.01275397185,
396.0136108,0.01523833908,
395.008606,0.01833768561,
394.003479,0.02121465839,
392.9981995,0.02461087517,
391.9927368,0.02823003195,
390.9870911,0.03197887167,
389.9813232,0.03591612354,
389.0140686,0.03965879232,
388.0079956,0.04350205511,
387.0017395,0.04687727615,
385.9953308,0.05067541823,
384.9887695,0.05420164019,
383.9820251,0.05675181374,
383.013855,0.05915704742,
382.0068665,0.06130505726,
380.9996643,0.06347369403,
379.9923401,0.06477496773,
378.9848328,0.06595204026,
378.0159302,0.06696279347,
377.0081482,0.06797484308,
376.0002136,0.06906858087,
374.9920959,0.06993871182,
373.9838562,0.07123601437,
373.0142212,0.07252193987,
372.0056763,0.07354053855,
370.9969482,0.07475419343,
369.9880981,0.07636996359,
369.0179138,0.07816884667,
368.0087585,0.07958135009,
366.9994812,0.08073860407,
365.9900208,0.08176758885,
365.0192566,0.08220782131,
364.009491,0.08246243,
362.9996033,0.08230900019,
361.989563,0.08172474802,
361.0182495,0.08118288219,
360.0078735,0.07983820885,
358.9974365,0.0782019794,
357.9867859,0.07679203153,
357.0149231,0.07547010481,
356.0040283,0.07356470078,
354.992981,0.07242757827,
353.9817505,0.07060615718,
353.0093079,0.06971465796,
351.9978333,0.06786206365,
350.9862061,0.06694588065,
350.0133667,0.06598265469,
349.0014954,0.06475777924,
347.9894409,0.06322908401,
347.0161743,0.06238004193,
346.0038757,0.06085363403,
344.991394,0.05953206494,
344.0177612,0.05803629383,
343.0050354,0.05615800992,
341.992157,0.05476948619,
341.0180664,0.05301417783,
340.0049133,0.05169428885,
338.9916382,0.05033450574,
338.0172119,0.04892715812,
337.0036316,0.04801766574,
335.9899902,0.046044413,
335.0151367,0.0448496826,
334.0011597,0.04348657653,
332.9870605,0.04178337753,
332.0118713,0.04094101489,
330.997467,0.03921366483,
329.9830017,0.0380435437,
329.0073547,0.03666782752,
327.9925842,0.03578477725,
327.0167542,0.03530277684,
326.0017395,0.03453826532,
324.9865723,0.03309056163,
324.0103455,0.03294699639,
322.9949036,0.03231320158,
322.0184326,0.03209399059,
321.0027771,0.03196190298,
319.986969,0.03135494143,
319.0101013,0.03093336336,
317.9940491,0.03072815947,
317.0169678,0.03028734215,
316.0006409,0.02988706715,
314.9841919,0.02967539988,
314.0067139,0.03007067926,
312.9900208,0.03032620251,
312.0122986,0.03033963777,
310.9953613,0.03072766028,
310.0174255,0.03105190583,
309.0002441,0.03169132769,
307.9829102,0.03255492449,
307.0046082,0.03328520432,
305.9870605,0.03484626859,
305.0085144,0.03424512967,
303.9906921,0.03503216058,
303.0119324,0.03476731852,
301.9938965,0.03617294505,
301.0148926,0.03510815278,
299.996582,0.02030035295,
299.017334,0.02033054456,
297.9988403,0.01545424294,
297.0193787,-0.0003606488463,
296.0005798,-0.03807626292,
294.9816895,0.1113901362,
294.0018616,0.04411031306,
292.9827881,0.1657817513,
292.0027466,0.1579980701,
290.9833679,0.1683136672,
290.0031128,-0.06911758333,
288.983551,-0.1606382728,
288.0030518,0.09332754463,
286.9832458,-0.01963496953,
286.0025024,0.3053925037,
284.9825134,-0.1760430783,
284.0015564,0.2977126241,
282.9812927,-0.4506652057,
282.0001221,-0.1944120973,
281.0189209,0.3274365366,
279.9983215,-1.133828878,
279.0168457,-0.002624758752,
277.9960022,-0.09900276363,
277.0143433,-0.664996624,
275.9932556,-0.1002571657,
275.0113831,-0.4617676735,
273.9901123,-0.09514211118,
273.0080261,0.3911330104,
271.9865112,0.1099132895,
271.0042114,0.07852718979,
269.9825134,0.01134482864,
269,10,
268.017395,-0.07477410883,
266.9953308,-0.04989460111,
266.0125122,-0.4158514142,
264.9902954,0.01601009071,
264.0072937,0.2533107102,
262.9848022,0.3226529956,
262.0015564,-0.1444560885,
261.0182495,0.01244410966,
259.9955139,-0.6694793105,
259.0119629,-0.1610744298,
257.9890137,-0.00616999343,
257.0052795,10,
255.9820709,-0.4282527566,

sample7,
sample7
Collection Time: 1/08/2023 3:24:27 PM
Operator Name  :
Scan Version 5.0.0.999
Parameter List :
Instrument  Cary 60
Instrument Version  2.00
Start (nm)  800.0
Stop (nm)  200.0
X Mode  Nanometers
Y Mode  Abs
UV-Vis Scan Rate (nm/min)  600.000
UV-Vis Data Interval (nm)  1.00
UV-Vis Ave. Time (sec)  0.1000
Beam Mode  Dual Beam
Baseline Correction  On
Baseline Type  Baseline correction
Baseline File Name
Baseline Std Ref File Name
Cycle Mode  Off
Method Log     :
Method Name    :
Date/Time stamp: 1/08/2023 12:58:19 PM
Method Modifications:
UVVIS SAT Changed: 1/08/2023 2:00:16 PM, Old:0.0125, New:0.1000
Common SAT Changed: 1/08/2023 2:00:16 PM, Old:0.0125, New:0.1000
Common Interval nm Changed: 1/08/2023 2:00:23 PM, Old:     5.00, New:     1.00
Baseline Correction Changed: 1/08/2023 2:00:23 PM, Old:0, New:1
Storage Changed: 1/08/2023 2:00:23 PM, Old:1, New:0
End Method Modifications
<Current Wavelength> , 262.0

