Normalised Excitation Curve,,
Wavelength (nm),Intensity (a.u.),
220,38.83229828,
220.9299927,34.59804916,
222.0299988,31.2469101,
222.9600067,27.91643906,
224.0599976,25.15844917,
225,22.88505936,
225.9299927,20.90374947,
227.0299988,19.11372948,
227.9600067,17.59633064,
229.0599976,16.25984001,
230,15.06476974,
230.9299927,14.02206039,
232.0299988,13.10951042,
232.9600067,12.24619961,
234.0599976,11.5118103,
235,10.81591988,
235.9299927,10.18976021,
237.0299988,9.623452187,
237.9600067,9.120657921,
239.0599976,8.678384781,
240,8.267787933,
240.9299927,7.873733044,
242.0299988,7.495419025,
242.9600067,7.137103081,
244.0599976,6.814935207,
245,6.507660866,
245.9299927,6.21274519,
247.0299988,5.940259933,
247.9600067,5.692491055,
249.0599976,5.480148792,
250,5.283517838,
250.9299927,5.120538235,
252.0299988,4.979173183,
252.9600067,4.834424019,
254.0599976,4.705970764,
255,4.576659203,
255.9299927,4.45882988,
257.0299988,4.354612827,
257.9599915,4.26777792,
259.0599976,4.186301231,
260,4.104856968,
260.9299927,4.026099205,
262.0299988,3.948858976,
262.9599915,3.881186008,
264.0599976,3.81260705,
265,3.739362955,
265.9299927,3.662740946,
267.0299988,3.594084024,
267.9599915,3.529292107,
269.0599976,3.468693018,
270,3.410681009,
271.0700073,3.356024981,
272,3.296319008,
273.0700073,3.228579044,
274,3.166135073,
275.0700073,3.101799011,
276,3.041400909,
277.0700073,2.986457109,
278,2.935847044,
279.0700073,2.883763075,
280,2.838260889,
280.9299927,2.7964499,
282.0299988,2.758373976,
282.9599915,2.725548029,
284.0599976,2.688659906,
285,2.655045033,
285.9299927,2.626065016,
287.0299988,2.601967096,
287.9599915,2.582238913,
289.0599976,2.567982912,
290,2.555613041,
291.0700073,2.542186022,
292,2.529035091,
293.0700073,2.5173769,
294,2.50739193,
295.0700073,2.494179964,
296,2.481008053,
297.0700073,2.466795921,
298,2.451407909,
299.0700073,2.431289911,
300,2.412806034,
300.9299927,2.394738913,
302.0299988,2.375005007,
302.9599915,2.354820013,
304.0599976,2.331065893,
305,2.310165882,
305.9299927,2.292849064,
307.0299988,2.273627996,
307.9599915,2.256557941,
309.0599976,2.239511013,
310,2.217704058,
311.0700073,2.196613073,
312,2.173897028,
313.0700073,2.15064311,
