sample2,,sample3,,sample4,,sample5,,sample7,,sample8,,sample9,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
799.9951782,87.43139648,799.9951782,87.44843292,799.9951782,87.27205658,799.9951782,87.5102005,799.9951782,87.4936676,799.9951782,87.53769684,799.9951782,87.55747986,
798.9890137,87.61341858,798.9890137,87.57327271,798.9890137,87.56257629,798.9890137,87.80580902,798.9890137,87.73604584,798.9890137,87.55923462,798.9890137,87.7894516,
798.0172119,87.54299164,798.0172119,87.43096161,798.0172119,87.50717163,798.0172119,87.37523651,798.0172119,87.89778137,798.0172119,87.61572266,798.0172119,87.50126648,
797.0101929,87.57124329,797.0101929,87.44710541,797.0101929,87.42996979,797.0101929,87.69517517,797.0101929,87.56624603,797.0101929,87.57213593,797.0101929,87.72065735,
796.0029297,87.5644455,796.0029297,87.4066391,796.0029297,87.47117615,796.0029297,87.46284485,796.0029297,87.63987732,796.0029297,87.67022705,796.0029297,87.67321014,
794.9951782,87.375,794.9951782,87.54071045,794.9951782,87.32369232,794.9951782,87.50629425,794.9951782,87.71681976,794.9951782,87.50306702,794.9951782,87.38054657,
793.9869995,87.43437195,793.9869995,87.49699402,793.9869995,87.27524567,793.9869995,87.55115509,793.9869995,87.37773132,793.9869995,87.43171692,793.9869995,87.7962265,
793.0133057,87.55608368,793.0133057,87.40794373,793.0133057,87.31968689,793.0133057,87.34932709,793.0133057,87.22254944,793.0133057,87.57643127,793.0133057,87.43696594,
792.0042725,87.66383362,792.0042725,87.57843018,792.0042725,87.4404068,792.0042725,87.61012268,792.0042725,87.77882385,792.0042725,87.70503998,792.0042725,87.46617126,
790.9950562,87.51083374,790.9950562,87.48865509,790.9950562,87.39307404,790.9950562,87.57862854,790.9950562,87.77591705,790.9950562,87.52806091,790.9950562,87.80905151,
789.9852905,87.55480194,789.9852905,87.49940491,789.9852905,87.28884888,789.9852905,87.41033173,789.9852905,87.35829163,789.9852905,87.49031067,789.9852905,87.25406647,
789.0100098,87.49943542,789.0100098,87.41222382,789.0100098,87.36323547,789.0100098,87.58271027,789.0100098,87.53980255,789.0100098,87.40079498,789.0100098,87.60982513,
787.9994507,87.46109009,787.9994507,87.65725708,787.9994507,87.52409363,787.9994507,87.4430542,787.9994507,87.82410431,787.9994507,87.58265686,787.9994507,87.87257385,
786.9885864,87.34801483,786.9885864,87.42462158,786.9885864,87.28143311,786.9885864,87.5234375,786.9885864,87.28227234,786.9885864,87.49485016,786.9885864,87.33295441,
786.012146,87.32100677,786.012146,87.42077637,786.012146,87.39004517,786.012146,87.48853302,786.012146,87.44710541,786.012146,87.38651276,786.012146,87.63574219,
785.0004272,87.44668579,785.0004272,87.74232483,785.0004272,87.49943542,785.0004272,87.51886749,785.0004272,87.77841949,785.0004272,87.68428802,785.0004272,87.43600464,
783.9883423,87.59727478,783.9883423,87.5680542,783.9883423,87.32142639,783.9883423,87.70442963,783.9883423,87.54135895,783.9883423,87.56591034,783.9883423,87.53510284,
783.0107422,87.67910767,783.0107422,87.71458435,783.0107422,87.32975006,783.0107422,87.54644012,783.0107422,87.65364838,783.0107422,87.63563538,783.0107422,87.90172577,
781.9978638,87.430336,781.9978638,87.44464874,781.9978638,87.29847717,781.9978638,87.585495,781.9978638,87.78739929,781.9978638,87.41308594,781.9978638,87.43422699,
780.9846802,87.45982361,780.9846802,87.62911224,780.9846802,87.32972717,780.9846802,87.65641785,780.9846802,87.55439758,780.9846802,87.51312256,780.9846802,87.69265747,
780.0059814,87.48752594,780.0059814,87.66399384,780.0059814,87.47891998,780.0059814,87.40070343,780.0059814,87.48842621,780.0059814,87.63945007,780.0059814,87.69989014,
778.9918213,87.56640625,778.9918213,87.67920685,778.9918213,87.37575531,778.9918213,87.628479,778.9918213,87.8586731,778.9918213,87.56096649,778.9918213,87.58229065,
778.0124512,87.46154022,778.0124512,87.57424164,778.0124512,87.46495056,778.0124512,87.64237213,778.0124512,87.6469574,778.0124512,87.52018738,778.0124512,87.66853333,
776.9975586,87.53039551,776.9975586,87.61444855,776.9975586,87.35884094,776.9975586,87.38568878,776.9975586,87.36992645,776.9975586,87.33061981,776.9975586,87.36642456,
776.017395,87.31916046,776.017395,87.54716492,776.017395,87.30437469,776.017395,87.49360657,776.017395,87.59400177,776.017395,87.47472382,776.017395,87.51116943,
775.00177,87.40598297,775.00177,87.44212341,775.00177,87.27140808,775.00177,87.39183807,775.00177,87.72045135,775.00177,87.45357513,775.00177,87.55593109,
773.9858398,87.45545959,773.9858398,87.54148865,773.9858398,87.21477509,773.9858398,87.46664429,773.9858398,87.41039276,773.9858398,87.42964172,773.9858398,87.36109924,
773.0045166,87.43001556,773.0045166,87.69265747,773.0045166,87.367836,773.0045166,87.44753265,773.0045166,87.49467468,773.0045166,87.58557129,773.0045166,87.60995483,
771.9877319,87.63087463,771.9877319,87.57622528,771.9877319,87.30831909,771.9877319,87.56292725,771.9877319,87.74777985,771.9877319,87.69916534,771.9877319,87.50140381,
771.0056763,87.59527588,771.0056763,87.58564758,771.0056763,87.43936157,771.0056763,87.51719666,771.0056763,87.53483582,771.0056763,87.51096344,771.0056763,87.5463028,
769.9881592,87.57096863,769.9881592,87.53340912,769.9881592,87.42071533,769.9881592,87.41840363,769.9881592,87.44738007,769.9881592,87.43154144,769.9881592,87.56608582,
769.0053101,87.67081451,769.0053101,87.71473694,769.0053101,87.37574768,769.0053101,87.69641876,769.0053101,87.68723297,769.0053101,87.55693054,769.0053101,87.4026413,
767.9870605,87.59898376,767.9870605,87.6698761,767.9870605,87.39673615,767.9870605,87.56176758,767.9870605,87.59038544,767.9870605,87.56370544,767.9870605,87.7202301,
767.003479,87.46903992,767.003479,87.5427475,767.003479,87.345047,767.003479,87.59649658,767.003479,87.36247253,767.003479,87.54192352,767.003479,87.55184937,
765.984436,87.48614502,765.984436,87.62966919,765.984436,87.30464935,765.984436,87.51772308,765.984436,87.76644135,765.984436,87.55851746,765.984436,87.48886871,
765.0001221,87.37239075,765.0001221,87.58321381,765.0001221,87.42617798,765.0001221,87.33846283,765.0001221,87.46234894,765.0001221,87.48283386,765.0001221,87.63578796,
764.0155029,87.48228455,764.0155029,87.45078278,764.0155029,87.28495789,764.0155029,87.49317932,764.0155029,87.39453125,764.0155029,87.45883942,764.0155029,87.31581879,
762.9953003,87.39846039,762.9953003,87.53659058,762.9953003,87.32807922,762.9953003,87.37604523,762.9953003,87.66310883,762.9953003,87.48542023,762.9953003,87.60190582,
762.0098877,87.3526001,762.0098877,87.6142807,762.0098877,87.26835632,762.0098877,87.45050049,762.0098877,87.45940399,762.0098877,87.44080353,762.0098877,87.45102692,
760.9889526,87.4849472,760.9889526,87.59968567,760.9889526,87.22357178,760.9889526,87.59724426,760.9889526,87.43413544,760.9889526,87.56641388,760.9889526,87.40058899,
760.0028687,87.47148132,760.0028687,87.50001526,760.0028687,87.24407196,760.0028687,87.42515564,760.0028687,87.65403748,760.0028687,87.48747253,760.0028687,87.52597046,
759.0163574,87.30721283,759.0163574,87.66538239,759.0163574,87.30139923,759.0163574,87.44649506,759.0163574,87.68629456,759.0163574,87.49726105,759.0163574,87.39672089,
757.9943848,87.46969604,757.9943848,87.65437317,757.9943848,87.36936188,757.9943848,87.32572174,757.9943848,87.40943146,757.9943848,87.4994812,757.9943848,87.50411987,
757.0070801,87.5079422,757.0070801,87.63235474,757.0070801,87.27539063,757.0070801,87.58235931,757.0070801,87.7512207,757.0070801,87.44846344,757.0070801,87.47440338,
755.9842529,87.44215393,755.9842529,87.68829346,755.9842529,87.35429382,755.9842529,87.51298523,755.9842529,87.53565216,755.9842529,87.52437592,755.9842529,87.39458466,
754.9963989,87.41522217,754.9963989,87.72137451,754.9963989,87.43501282,754.9963989,87.62731934,754.9963989,87.48810577,754.9963989,87.64924622,754.9963989,87.71015167,
754.0080566,87.35102081,754.0080566,87.64258575,754.0080566,87.29167175,754.0080566,87.57968903,754.0080566,87.70401764,754.0080566,87.54775238,754.0080566,87.33169556,
752.9840698,87.4116745,752.9840698,87.62991333,752.9840698,87.29051971,752.9840698,87.37949371,752.9840698,87.56884003,752.9840698,87.5137558,752.9840698,87.69919586,
751.9951172,87.39176941,751.9951172,87.80705261,751.9951172,87.26009369,751.9951172,87.57165527,751.9951172,87.39531708,751.9951172,87.56396484,751.9951172,87.41381836,
751.0056763,87.46722412,751.0056763,87.62628174,751.0056763,87.34651947,751.0056763,87.50341797,751.0056763,87.53919983,751.0056763,87.49149323,751.0056763,87.485672,
750.0160522,87.50974274,750.0160522,87.7043457,750.0160522,87.34697723,750.0160522,87.59783173,750.0160522,87.71030426,750.0160522,87.58859253,750.0160522,87.74066925,
748.9906006,87.54701233,748.9906006,87.7513504,748.9906006,87.40090942,748.9906006,87.5374527,748.9906006,87.36780548,748.9906006,87.60140991,748.9906006,87.51108551,
748.0001221,87.52880096,748.0001221,87.77188873,748.0001221,87.3048172,748.0001221,87.46551514,748.0001221,87.56933594,748.0001221,87.50650787,748.0001221,87.87721252,
747.0093384,87.43080139,747.0093384,87.75382996,747.0093384,87.37071991,747.0093384,87.60364532,747.0093384,87.56432343,747.0093384,87.49268341,747.0093384,87.41088867,
745.9827881,87.37295532,745.9827881,87.61421204,745.9827881,87.32494354,745.9827881,87.3325882,745.9827881,87.39939117,745.9827881,87.46746826,745.9827881,87.53341675,
744.991272,87.47303772,744.991272,87.69919586,744.991272,87.33815002,744.991272,87.49026489,744.991272,87.61625671,744.991272,87.53889465,744.991272,87.56629944,
743.9994507,87.55451202,743.9994507,87.74125671,743.9994507,87.35076141,743.9994507,87.47306061,743.9994507,87.71218872,743.9994507,87.6360321,743.9994507,87.5330658,
743.0072632,87.3988266,743.0072632,87.60183716,743.0072632,87.27427673,743.0072632,87.55647278,743.0072632,87.40863037,743.0072632,87.49933624,743.0072632,87.56301117,
742.0146484,87.49100494,742.0146484,87.62404633,742.0146484,87.27893066,742.0146484,87.3889389,742.0146484,87.5763855,742.0146484,87.46089172,742.0146484,87.31629181,
740.9862671,87.60346985,740.9862671,87.72176361,740.9862671,87.43041229,740.9862671,87.5074234,740.9862671,87.58114624,740.9862671,87.62763977,740.9862671,87.71037292,
739.992981,87.46146393,739.992981,87.79728699,739.992981,87.36745453,739.992981,87.63284302,739.992981,87.48166656,739.992981,87.49754333,739.992981,87.50276947,
738.9993896,87.48758698,738.9993896,87.65317535,738.9993896,87.26105499,738.9993896,87.46239471,738.9993896,87.67908478,738.9993896,87.53128815,738.9993896,87.60006714,
738.0053711,87.45352936,738.0053711,87.81243896,738.0053711,87.22855377,738.0053711,87.58197784,738.0053711,87.56703186,738.0053711,87.54090881,738.0053711,87.64865112,
737.0111084,87.41390991,737.0111084,87.70110321,737.0111084,87.36391449,737.0111084,87.48848724,737.0111084,87.42698669,737.0111084,87.48579407,737.0111084,87.44308472,
