Wavelength,exCorr
220,1.652138483
220.9299927,1.65047901
222.0299988,1.613321573
222.9600067,1.612538032
224.0599976,1.580562532
225,1.600383915
225.9299927,1.590588568
227.0299988,1.601782741
227.9600067,1.604718664
229.0599976,1.604957032
230,1.60658195
230.9299927,1.604733032
232.0299988,1.607811916
232.9600067,1.606755249
234.0599976,1.598377224
235,1.595680813
235.9299927,1.600811091
237.0299988,1.606517008
237.9600067,1.609383747
239.0599976,1.608124084
240,1.597100346
240.9299927,1.59002206
242.0299988,1.581311742
242.9600067,1.566388138
244.0599976,1.558718455
245,1.55091906
245.9299927,1.544420112
247.0299988,1.543129908
247.9600067,1.543609223
249.0599976,1.548761701
250,1.55091771
250.9299927,1.550268967
252.0299988,1.542622536
252.9600067,1.537024248
254.0599976,1.528988077
255,1.525078826
255.9299927,1.521370924
257.0299988,1.516194254
257.9599915,1.508684562
259.0599976,1.50320995
260,1.496272903
260.9299927,1.492436428
262.0299988,1.488148259
262.9599915,1.482707359
264.0599976,1.486269622
265,1.48426542
265.9299927,1.48618115
267.0299988,1.490197789
267.9599915,1.495678776
269.0599976,1.501026921
270,1.504890167
270.9299927,1.503090841
272.0299988,1.501127372
272.9599915,1.503774516
274.0599976,1.505678726
275,1.511271578
275.9299927,1.512526899
277.0299988,1.513864186
277.9599915,1.516721013
279.0599976,1.518502167
280,1.517024494
281.0700073,1.514634628
282,1.511249974
283.0700073,1.505969751
284,1.503845357
285.0700073,1.500872266
286,1.496238877
287.0700073,1.489690929
288,1.481454113
289.0700073,1.470779418
290,1.459725352
290.9299927,1.450041361
292.0299988,1.440955042
292.9599915,1.431717981
294.0599976,1.422197805
295,1.415466895
295.9299927,1.409499041
297.0299988,1.404997457
297.9599915,1.402049366
299.0599976,1.402999079
300,1.40370365
301.0700073,1.404944692
302,1.408069436
303.0700073,1.412272871
304,1.419624965
305.0700073,1.425793117
306,1.430219298
307.0700073,1.436585356
308,1.442097951
309.0700073,1.448166315
310,1.458063469
310.9299927,1.467986002
312.0299988,1.479525176
312.9599915,1.491886137
314.0599976,1.505961413
315,1.519442915
315.9299927,1.532068271
317.0299988,1.545596029
317.9599915,1.559438152
319.0599976,1.573771664
320,1.587633005
321.0700073,1.601314884
322,1.615759999
323.0700073,1.631162785
324,1.647676104
325.0700073,1.66356483
326,1.679236589
327.0700073,1.695298924
328,1.711228164
329.0700073,1.727285484
330,1.744180027
330.9299927,1.759601257
332.0299988,1.776160281
332.9599915,1.790396798
334.0599976,1.804653879
335,1.816044403
335.9299927,1.825554984
337.0299988,1.834867988
337.9599915,1.842420036
339.0599976,1.850030977
340,1.856935641
341.0700073,1.861916883
342,1.86535591
343.0700073,1.868246951
344,1.869647445
345.0700073,1.868834684
346,1.867755318
347.0700073,1.86511358
348,1.863020966
349.0700073,1.858847042
350,1.855760222
351.0700073,1.850621039
352,1.845397574
353.0700073,1.837629479
354,1.830310242
355.0700073,1.822227528
356,1.814633725
357.0700073,1.809497759
358,1.804991855
359.0700073,1.801333264
360,1.797669369
