Sample 21,,
Wavelength (nm),Intensity (a.u.),
220,0.8040394783,
220.9299927,-0.1980814487,
222.0299988,0.2180338204,
222.9600067,0.1195719317,
224.0599976,0.2841626704,
225,0.2332633585,
225.9299927,0.228190273,
227.0299988,0.1129710749,
227.9600067,0.1443746537,
229.0599976,0.09792976081,
230,0.1398035139,
230.9299927,0.2831510305,
232.0299988,0.273273319,
232.9600067,0.1113370359,
234.0599976,0.2273327708,
235,0.2062796503,
235.9299927,0.1672561914,
237.0299988,0.2994257808,
237.9600067,0.1107752696,
239.0599976,0.1478427947,
240,0.2128354907,
240.9299927,0.1617177725,
242.0299988,0.1641362309,
242.9600067,0.1546147168,
244.0599976,0.08953743428,
245,0.1976089329,
245.9299927,0.1468422562,
247.0299988,0.1355464309,
247.9600067,0.1050114036,
249.0599976,0.1050702184,
250,0.136636436,
250.9299927,0.1301026344,
252.0299988,0.1752480865,
252.9600067,0.1253529936,
254.0599976,0.1791960597,
255,0.2013273984,
255.9299927,0.1189601049,
257.0299988,0.1198334545,
257.9599915,0.1884423345,
259.0599976,0.1465746462,
260,0.1058856323,
261.0700073,0.1548925787,
262,0.1513100713,
263.0700073,0.1155606955,
264,0.1040698439,
265.0700073,0.1126120687,
266,0.1448174268,
267.0700073,0.1381221414,
268,0.1050766185,
269.0700073,0.1533654183,
270,0.1599414647,
270.9299927,0.1679996401,
272.0299988,0.1453959495,
272.9599915,0.1359979808,
274.0599976,0.1580588222,
275,0.1900063753,
275.9299927,0.1659061164,
277.0299988,0.1862159222,
277.9599915,0.1095547602,
279.0599976,0.1293791234,
280,0.1267157793,
280.9299927,0.1296569258,
282.0299988,0.1757296622,
282.9599915,0.1365887523,
284.0599976,0.1626420319,
285,0.1176700592,
285.9299927,0.1161593273,
287.0299988,0.1640156507,
287.9599915,0.1381819844,
289.0599976,0.1434966773,
290,0.2273095101,
291.0700073,0.4208163917,
292,0.8861804605,
293.0700073,1.854378343,
294,2.837964058,
295.0700073,4.162538052,
296,4.97130394,
297.0700073,5.706068516,
298,5.838981628,
299.0700073,5.558845043,
300,4.800108433,
300.9299927,4.017019749,
302.0299988,3.051278114,
302.9599915,2.478677511,
304.0599976,1.825846434,
305,1.430694103,
305.9299927,1.162889123,
307.0299988,0.9998697639,
307.9599915,0.8530711532,
309.0599976,0.7514551282,
310,0.6984724998,
311.0700073,0.7144297361,
312,0.6175605059,
313.0700073,0.5650833845,
314,0.5567262173,
315.0700073,0.5358183384,
316,0.4111964703,
317.0700073,0.7135344148,
318,1.794646263,
319.0700073,5.52848196,
320,12.38623714,
321.0700073,20.47614288,
322,24.94459915,
323.0700073,25.64026451,
324,22.94684219,
325.0700073,15.94194412,
326,9.468644142,
327.0700073,3.716741085,
328,1.598952651,
329.0700073,0.4956679642,
330,0.2836790979,
330.9299927,0.1519567817,
332.0299988,0.1744978279,
332.9599915,0.1412576735,
334.0599976,0.0295195207,
335,0.08530676365,
335.9299927,0.09588551521,
337.0299988,0.08073658496,
337.9599915,0.08767108619,
339.0599976,0.06376609206,
340,0.04968401045,
341.0700073,0.09752228856,
342,0.06495133042,
343.0700073,0.04311101139,
344,0.02418781817,
345.0700073,0.06058421358,
346,0.08250572532,
347.0700073,0.1353887171,
348,0.0522419475,
349.0700073,0.1250465065,
350,0.06303391606,
351.0700073,0.05156396329,
352,0.02494774945,
353.0700073,0.03567888215,
354,0.06324633211,
355.0700073,0.02242539637,
356,0.07960531861,
357.0700073,0.07101536542,
358,0.06588096172,
359.0700073,0.07093990594,
360,0.02818708867,
361.0700073,0.04915156215,
362,0.01010696497,
363.0700073,0.008997045457,
364,0.03828520328,
365.0700073,0.1243642494,
366,-0.00455916347,
367.0700073,0.03578799218,
368,0.04646885768,
369.0700073,0.04850919172,
370,0.004605790135,
371.0599976,-0.006764603313,
371.9599915,0.04794908687,
373.0299988,0.01450218167,
373.9299927,0.05912495032,
375,0.01333366334,
376.0599976,0.02206652984,
376.9599915,0.02345097438,
378.0299988,0.04508582503,
378.9299927,0.02421140671,
380,-0.0244874116,
381.0700073,-0.001855996903,
382,0.01460589655,
383.0700073,0.00904424116,
384,0.041386161,
385.0700073,0.02533544041,
386,0.006676781923,
387.0700073,0.03883300349,
388,0.009276394732,
389.0700073,0.02091106586,
390,0.03526119143,
391.0700073,0.03142197058,
392,-0.002746649086,
393.0700073,-0.002685082844,
394,-0.001367362449,
395.0700073,0.03360158578,
396,0.01467547379,
397.0700073,0.01618844457,
398,0.01801920868,
399.0700073,0,
400,0.001484882436,
401.0599976,0.01263927761,
401.9599915,0.01091390289,
403.0299988,0.01482647657,
403.9299927,-0.008972771466,
405,0.01541891322,
406.0599976,0.02752791531,
406.9599915,0.007740088273,
408.0299988,0.02231791243,
408.9299927,0.02081931755,
410,-0.0244883541,
411.0700073,0.02335627005,
412,0.02986315079,
413.0700073,-0.01087299269,
414,0.004520581104,
415.0700073,0.02595876157,
416,0.01361838542,
417.0700073,-0.0008618750144,
418,-0.001537829754,
419.0700073,-0.01291015744,
420,-0.003356243018,
421.0599976,-0.008947819471,
421.9599915,-0.008749403991,
423.0299988,-0.001259490964,
423.9299927,0.001288320287,
425,-0.0176576823,
426.0599976,-0.01040735841,
426.9599915,0.008428970352,
428.0299988,0.002499766648,
428.9299927,0.001694793114,
430,-0.004526136443,
431.0599976,0.007962100208,
431.9599915,-0.007015236188,
433.0299988,-0.008599295281,
433.9299927,-0.01634777151,
435,-0.01420084294,
436.0599976,0.02088427357,
436.9599915,-0.01334523316,
438.0299988,0.008646928705,
438.9299927,-0.0256456472,
440,-0.01763059944,
441.0599976,-0.002976254793,
441.9599915,0.004441020079,
443.0299988,-0.03237231821,
443.9299927,0.0007256388781,
445,0.002163450001,
446.0599976,-0.006542190444,
446.9599915,-0.01239210647,
448.0299988,-0.01208986156,
448.9299927,-0.01107294392,
450,-0.0008362154476,
451.0599976,-0.01688492671,
451.9599915,-0.001811054535,
453.0299988,0,
453.9299927,-0.006773992442,
455,0.008721977472,
456.0599976,-0.01331570558,
456.9599915,0.0140958624,
458.0299988,0.002644600114,
458.9299927,0.002592805307,
460,-0.006228051614,
461.0599976,0.01204967778,
461.9599915,0.01879894361,
463.0299988,-0.001081103226,
463.9299927,0.009095229208,
465,0.0297251381,
466.0599976,0.001233596238,
466.9599915,0.03546355292,
468.0299988,0.01823246479,
468.9299927,0.006788036786,
470,-0.008383740671,
471.0400085,0.001415965264,
471.9400024,-0.02325209603,
472.980011,0.007464491297,
474.019989,0.02871765196,
475.0700073,-0.001500226557,
475.9700012,-0.01934797317,
477.0100098,0.03532398865,
478.0499878,0.01759319194,
478.9500122,0.002687958768,
480,0.002437995514,
481.0599976,0.002102220431,
481.9599915,0.002773881424,
483.0299988,-0.007552369498,
483.9299927,-0.02496101893,
485,-0.001574148657,
486.0599976,-0.009421600029,
486.9599915,-0.001634493005,
488.0299988,-0.01399751566,
488.9299927,-0.02244380862,
490,0.0038230028,
491.0400085,-0.01841014065,
491.9400024,0.01767981052,
492.980011,0.002477943199,
494.019989,0.01754651219,
495.0700073,0.01786687411,
495.9700012,-0.03819436207,
497.0100098,0,
498.0499878,0.0262561366,
498.9500122,0.0165414419,
500,-0.005618292838,
501.0599976,0.02942099422,
501.9599915,-0.0103840651,
503.0299988,0.03352512419,
503.9299927,-0.008564631455,
505,0.03937407583,
506.0599976,0.01847874746,
506.9599915,0.03933177516,
508.0299988,-0.03626919165,
508.9299927,-0.007836315781,
510,0.02499130182,
511.0400085,0.02481133863,
511.9400024,0.005827041809,
512.9799805,0.02351244539,
514.0200195,0.01578999311,
515.0700073,-0.01809147,
515.9699707,0.009610615671,
517.0100098,0.005610507447,
518.0499878,0.04742335901,
518.9500122,0.01637423597,
520,0.00919403322,
521.039978,0.03745795414,
521.9400024,-0.0341687575,
522.9799805,0.007423656993,
524.0200195,-0.01941651665,
525.0700073,0.02705033496,
525.9699707,-0.002870194148,
527.0100098,-0.002583141671,
528.0499878,-0.005925539881,
528.9500122,0,
530,0.002337237587,
531.0200195,0.01623372547,
532.0499878,-0.00919174403,
532.9400024,-0.001382359187,
533.9699707,0.007121096831,
535,-0.006030890159,
536.0200195,0.01610604115,
537.0499878,-0.01332016848,
537.9400024,0.03787067905,
538.9699707,0.08495344222,
540,0.03302276134,
541.039978,0.05391594395,
541.9400024,0.03802055866,
542.9799805,0.0467710644,
544.0200195,0.03273590654,
545.0700073,0.01230079308,
545.9699707,0.0117023848,
547.0100098,0.1104546413,
548.0499878,0.006958619226,
548.9500122,0.07077037543,
550,-0.01048894227,
551.0200195,0.06007174402,
552.0499878,-0.005871990696,
552.9400024,0.03895341232,
553.9699707,-0.04346152395,
555,0.05134342983,
556.0200195,0.01009723637,
557.0499878,0.08393868804,
557.9400024,-0.08591588587,
558.9699707,0.07306282967,
560,0.08469739556,
561.039978,0.007269977592,
561.9400024,0.09415957332,
562.9799805,0.003585373284,
564.0200195,-0.00350362109,
565.0700073,0.06094546989,
565.9699707,0.03727347776,
567.0100098,0.08311667293,
568.0499878,0.04326339066,
568.9500122,0.1201682389,
570,0.08607196063,
571.0200195,0.03510216251,
572.0499878,0.08230582625,
572.9400024,0.01250058599,
573.9699707,0,
575,0.02202677727,
576.0200195,0.003260100493,
577.0499878,-0.04506956413,
577.9400024,-0.007326866034,
578.9699707,0.04738082737,
580,-0.008329237811,
581.0200195,-0.105458349,
582.0499878,0.04985925928,
582.9400024,0.06917000562,
583.9699707,0,
585,-0.009382183664,
586.0200195,0.07135823369,
587.0499878,0.05085529387,
587.9400024,0.02717354521,
588.9699707,-0.0363760367,
590,0.0883333683,
591.0200195,0.02625188604,
592.0499878,-0.05752288923,
592.9400024,-0.01301772613,
593.9699707,-0.02965636738,
595,0.008128693327,
596.0200195,0.08133954555,
597.0499878,0.05298253894,
597.9400024,-0.02743602544,
598.9699707,-0.01228924002,
600,0.07443398982,
601.0100098,0.08123095334,
602.0200195,0.1096805781,
603.039978,0.008006532677,
604.0499878,0.08843263239,
605.0700073,0.07535368949,
605.9400024,-0.0366781354,
606.9500122,-0.007547654212,
607.9699707,0.007756417152,
608.9799805,0.07617001235,
610,0.0942452997,
611.0200195,0.111849606,
612.0499878,0.1756250411,
612.9400024,0.01905751042,
613.9699707,0.07260093093,
615,0.1077412069,
616.0200195,-0.06717646122,
617.0499878,0.05698882416,
617.9400024,0.01727135479,
618.9699707,-0.04098936543,
620,-0.006004455499,
621.0100098,0.0237167757,
622.0200195,0.1969173402,
623.039978,0.116980955,
624.0499878,0.00580423465,
625.0700073,0.07126723975,
625.9400024,0.06931263208,
626.9500122,0.1896104068,
627.9699707,-0.01593904942,
628.9799805,0.04284444451,
630,-0.01112588402,
631.0100098,0.04114403948,
632.0200195,-0.08372454345,
633.039978,0.07923254371,
634.0499878,0.04306764901,
635.0700073,0.09995314479,
635.9400024,0.05687527359,
636.9500122,-0.04558122531,
637.9699707,0.03411362693,
638.9799805,0.1043797731,
640,-0.01439532451,

Sample 21,
Sample 21
Collection Time: 8/08/2023 5:00:10 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         640.00
Em. Wavelength (nm)               650.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 8/08/2023 3:45:53 PM
Method Modifications:
Overlayed Graphs Changed: 8/08/2023 3:46:16 PM, Old:OFF, New:ON
Scan Control Changed: 8/08/2023 3:46:16 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 8/08/2023 3:46:16 PM, Old:0.10000, New:0.50000
Excitation Wavelength Changed: 8/08/2023 3:46:16 PM, Old: 350.00, New: 390.00
Stop Wavelength Changed: 8/08/2023 3:46:16 PM, Old: 600.00, New: 700.00
Scan mode: Changed: 8/08/2023 3:53:59 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 8/08/2023 3:53:59 PM, Old: 450.00, New: 550.00
User Delta Increment Changed: 8/08/2023 3:53:59 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 8/08/2023 3:53:59 PM, Old: 390.00, New: 220.00
Emission Wavelength Changed: 8/08/2023 3:53:59 PM, Old: 400.00, New: 550.00
Stop Wavelength Changed: 8/08/2023 3:53:59 PM, Old: 700.00, New: 540.00
Scan mode: Changed: 8/08/2023 4:01:40 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 8/08/2023 4:01:40 PM, Old: 220.00, New: 420.00
Emission Wavelength Changed: 8/08/2023 4:01:40 PM, Old: 550.00, New: 430.00
Stop Wavelength Changed: 8/08/2023 4:01:40 PM, Old: 540.00, New: 700.00
Scan mode: Changed: 8/08/2023 4:08:47 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 8/08/2023 4:08:47 PM, Old: 420.00, New: 220.00
Emission Wavelength Changed: 8/08/2023 4:08:47 PM, Old: 430.00, New: 540.00
Stop Wavelength Changed: 8/08/2023 4:08:47 PM, Old: 700.00, New: 530.00
Scan mode: Changed: 8/08/2023 4:17:05 PM, Old:Excitation, New:Emission
User Delta Stop Changed: 8/08/2023 4:17:05 PM, Old: 550.00, New: 585.00
Excitation Wavelength Changed: 8/08/2023 4:17:05 PM, Old: 220.00, New: 585.00
