Sample 17,,
Wavelength (nm),Intensity (a.u.),
220,-0.3027550578,
220.9299927,0.9259259105,
222.0299988,0.2208236754,
222.9600067,-0.7264142632,
224.0599976,0.8600917459,
225,0.3728163838,
225.9299927,0.0400817655,
227.0299988,-0.06042296067,
227.9600067,-0.09813542664,
229.0599976,0.04429973289,
230,0.177112624,
230.9299927,-0.06887842715,
232.0299988,0.07686197758,
232.9600067,0.4304546714,
234.0599976,0.02869687602,
235,0.08582217246,
235.9299927,0.1707990617,
237.0299988,0.1340841949,
237.9600067,0.0469869636,
239.0599976,-0.05967061967,
240,-0.06913717091,
240.9299927,0.06145998463,
242.0299988,-0.03992122039,
242.9600067,0.1370938569,
244.0599976,0.03486872092,
245,0.03222203255,
245.9299927,0.02008879185,
247.0299988,-0.07842368633,
247.9600067,-0.0914150998,
249.0599976,-0.02230201475,
250,0.03612629697,
250.9299927,-0.1348308623,
252.0299988,0.1036775932,
252.9600067,0.04764551669,
254.0599976,0.03236927092,
255,0.0315855965,
255.9299927,0.1294107437,
257.0299988,0.1383700073,
257.9599915,0.02872847766,
259.0599976,-0.02581400052,
260,-0.1017009467,
261.0700073,0.08159490675,
262,0.1401471496,
263.0700073,0.1544418633,
264,0.3953104913,
265.0700073,0.5805737972,
266,0.7513456941,
267.0700073,1.159448028,
268,1.612435699,
269.0700073,1.836578012,
270,1.879971147,
270.9299927,1.937684178,
272.0299988,1.914393902,
272.9599915,1.810329676,
274.0599976,1.698457241,
275,1.815465212,
275.9299927,1.889248013,
277.0299988,2.037061453,
277.9599915,2.14451313,
279.0599976,2.278615952,
280,2.463396311,
280.9299927,2.324994087,
282.0299988,1.953709602,
282.9599915,1.699546218,
284.0599976,1.509805918,
285,1.200900316,
285.9299927,1.113266945,
287.0299988,1.686020255,
287.9599915,3.815575361,
289.0599976,8.860901833,
290,16.14063835,
291.0700073,22.03484344,
292,24.59496307,
293.0700073,22.01556778,
294,16.94580841,
295.0700073,9.460783958,
296,4.827932835,
297.0700073,1.775835991,
298,0.577337265,
299.0700073,0.2090889364,
300,0.2150186151,
300.9299927,0.118008025,
302.0299988,0.152653113,
302.9599915,0.1809027046,
304.0599976,0.1140085384,
305,0.1715964973,
305.9299927,0.09406846017,
307.0299988,0.07168091834,
307.9599915,0.2198768705,
309.0599976,0.1490164846,
310,0.06033849716,
311.0700073,0.01012945455,
312,0.2271842062,
313.0700073,0.03322112188,
314,0.1678918749,
315.0700073,0.2653047442,
316,0.02734070644,
317.0700073,0.2004094124,
318,0.1030548364,
319.0700073,0.2089396268,
320,0.06078842655,
321.0700073,0.1643827409,
322,0.1252348125,
323.0700073,0,
324,0.1604578495,
325.0700073,0.0439148657,
326,0.08544573933,
327.0700073,0.2424573004,
328,0.2473640144,
329.0700073,0.1754973829,
330,0.1114738435,
330.9299927,0.124760218,
332.0299988,0.0466998741,
332.9599915,0.1812935174,
334.0599976,0.07746773213,
335,0.1684661955,
335.9299927,0.2310785204,
337.0299988,0.04645616561,
337.9599915,0.04657083377,
339.0599976,0.1586571336,
340,0.138884604,
341.0700073,0.05928121507,
342,0.1552795023,
343.0700073,0.08407364786,
344,0.05536715314,
345.0700073,0.1914870441,
346,0.08342023194,
347.0700073,0.1599674225,
348,0.1584283859,
349.0700073,-0.08587744832,
350,0.2898030877,
351.0700073,0.05224933475,
352,0.09927898645,
353.0700073,0.1030420288,
354,0.1477946937,
355.0700073,0.1560488492,
356,0.09873794764,
357.0700073,0.0919194445,
358,0.04811315984,
359.0700073,0.07465416193,
360,0.1227897853,
361.0700073,0.1088810712,
362,0.04579523206,
363.0700073,0.06607856601,
364,0.1345472485,
365.0700073,0.1372562498,
366,0.1157066524,
367.0700073,0.01095770299,
368,0.05629172549,
369.0700073,0.05612302199,
370,0.0648676753,
371.0599976,0.1460432708,
371.9599915,0.01020512264,
373.0299988,0.07904591411,
373.9299927,0.07350509614,
375,0.07848951966,
376.0599976,0.01655451022,
376.9599915,0.008224157616,
378.0299988,0.0833395794,
378.9299927,0.08742251992,
380,0.05151541159,
381.0700073,0.04310939461,
382,0.05040365085,
383.0700073,0.09003920853,
384,0.08814879507,
385.0700073,0.1089570522,
386,0.06086288393,
387.0700073,-0.02954711579,
388,0.03563969582,
389.0700073,0.0342172794,
390,0,
391.0700073,-0.006271518767,
392,0.0246596951,
393.0700073,0.01855104044,
394,0.04438329488,
395.0700073,0.05277810991,
396,0.04727685079,
397.0700073,0,
398,0.03450560197,
399.0700073,0.02750899084,
400,0.00676013669,
401.0599976,0.06508721411,
401.9599915,0.02535802312,
403.0299988,0.07335904986,
403.9299927,0.04167857394,
405,0.0530244559,
406.0599976,0.0660815388,
406.9599915,0.01214358583,
408.0299988,0.04294162616,
408.9299927,0.0184372589,
410,0.01835670881,
411.0700073,0.06005032361,
412,0.08144932985,
413.0700073,0.05630757287,
414,-0.042671673,
415.0700073,-0.03916979581,
416,-0.01335648447,
417.0700073,0.03631125763,
418,0.02170806378,
419.0700073,0.03339913115,
420,0.03122804314,
421.0599976,0.02386086807,
421.9599915,0.002973526716,
423.0299988,0.03836030513,
423.9299927,-0.01511245128,
425,0.009579125792,
426.0599976,0.03782473505,
426.9599915,0.02939782292,
428.0299988,-0.003912806977,
428.9299927,-0.004063653294,
430,0.0412129797,
431.0599976,-0.008356313221,
431.9599915,-0.008095395751,
433.0299988,-0.01229271386,
433.9299927,-0.01994176954,
435,0,
436.0599976,0.023821529,
436.9599915,0.007779164705,
438.0299988,0.03705693781,
438.9299927,0.02888451703,
440,0.04266742617,
441.0599976,0.02463487536,
441.9599915,-0.01057007909,
443.0299988,0.03513876349,
443.9299927,0,
445,0.02051099762,
446.0599976,0.01012244821,
446.9599915,0.01359337382,
448.0299988,-0.01768033952,
448.9299927,0,
450,-0.008040459827,
451.0599976,0.02124278806,
451.9599915,0.01784558967,
453.0299988,0.07882741839,
453.9299927,0.004697018769,
455,0.0419293046,
456.0599976,0.04118163884,
456.9599915,0.03954375163,
458.0299988,0.01703200303,
458.9299927,0.01700065844,
460,0.04246068001,
461.0599976,0.004424348008,
461.9599915,0.01877890155,
463.0299988,-0.01562142093,
463.9299927,0,
465,0.05245763808,
466.0599976,0.006043208763,
466.9599915,0.06709812582,
468.0299988,0.03723331541,
468.9299927,0.01301549468,
470,0.02750180475,
471.0400085,0.02799003571,
471.9400024,0.028193634,
472.980011,-0.01408173051,
474.019989,0.07318661362,
475.0700073,-0.007291392889,
475.9700012,0.03732039407,
477.0100098,0.04328348488,
478.0499878,0.05665842816,
478.9500122,0.006585619878,
480,0.08856663853,
481.0599976,0.02990072966,
481.9599915,-0.004405946005,
483.0299988,0.008009065874,
483.9299927,0,
485,0.02218089998,
486.0599976,-0.007566872053,
486.9599915,-0.01962677762,
488.0299988,0.01677106507,
488.9299927,0.008789702319,
490,0.04768603668,
491.0400085,0.08798898757,
491.9400024,0.04958868772,
492.980011,0.06278961152,
494.019989,0.05410267413,
495.0700073,0.02968526073,
495.9700012,0.03970333561,
497.0100098,0.1240592226,
498.0499878,0.1454221904,
498.9500122,0.0711826086,
500,0.1229500473,
501.0599976,0.09605317563,
501.9599915,0.07083442807,
503.0299988,0.1547412723,
503.9299927,0.09355606884,
505,0.04193970934,
506.0599976,-0.04171055183,
506.9599915,0.1013345718,
508.0299988,0.06859786063,
508.9299927,0.02874058671,
510,0.09654373676,
511.0400085,0.1041213125,
511.9400024,-0.05809731409,
512.9799805,0.02919509076,
514.0200195,0.1177509576,
515.0700073,0.05892115086,
515.9699707,0.08443251997,
517.0100098,0.03655338287,
518.0499878,-0.03562808037,
518.9500122,0.04492362961,
520,0.05346640572,
521.039978,0.02761718817,
521.9400024,0.06489954889,
522.9799805,0.1506421119,
524.0200195,0.04326681793,
525.0700073,-0.007761383895,
525.9699707,0.06924440712,
527.0100098,0.02430222183,
528.0499878,0.02293959446,
528.9500122,0.0331418477,
530,0.02796655335,
531.0200195,-0.005953266751,
532.0499878,-0.006188846193,
532.9400024,0.03918239102,
533.9699707,0.006884634495,
535,0.05125539377,
536.0200195,0.0764759928,
537.0499878,0.07936760038,
537.9400024,0.08027679473,
538.9699707,0.07103786618,
540,0.07462408394,
541.039978,0.01437979843,
541.9400024,0.06370554119,
542.9799805,0.04389815405,
544.0200195,0.046521727,
545.0700073,0.03406922892,
545.9699707,0.1108248085,
547.0100098,0.1115844995,
548.0499878,0.08091830462,
548.9500122,-0.08337800205,
550,0.09096460789,
551.0200195,0,
552.0499878,-0.01437463239,
552.9400024,0.04424322024,
553.9699707,0.09039411694,
555,-0.03177276254,
556.0200195,0.2294367254,
557.0499878,0.08485362679,
557.9400024,0.1223455295,
558.9699707,0.01799046621,
560,0.1249620691,
561.039978,0.1256619692,
561.9400024,0.1064830422,
562.9799805,-0.03548615798,
564.0200195,0.189084664,
565.0700073,0.1005463004,
565.9699707,0.03250183165,
567.0100098,0.2121340632,
568.0499878,0.03231017664,
568.9500122,0.04880746827,
570,-0.1421441734,
571.0200195,0.04649649188,
572.0499878,0.2707662582,
572.9400024,0.09203583747,
573.9699707,0.162989527,
575,0.1518118829,
576.0200195,-0.0479018949,
577.0499878,0.06794054806,
577.9400024,0.145496875,

Sample 17,
Sample 17
Collection Time: 6/05/2023 3:55:28 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         578.00
Em. Wavelength (nm)               588.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 6/05/2023 12:05:31 PM
Method Modifications:
Overlayed Graphs Changed: 6/05/2023 12:30:50 PM, Old:OFF, New:ON
PMT Volts Changed: 6/05/2023 12:30:50 PM, Old:600, New:400
Zero Order Excitation Changed: 6/05/2023 12:30:50 PM, Old:OFF, New:ON
Em. Slit Width (nm): Changed: 6/05/2023 12:30:50 PM, Old:5, New:1.5
Emission PMT (V): Changed: 6/05/2023 12:30:50 PM, Old: 600, New: 400
Emission Wavelength Changed: 6/05/2023 12:30:50 PM, Old: 400.00, New: 220.00
Stop Wavelength Changed: 6/05/2023 12:30:50 PM, Old: 600.00, New: 850.00
Excitation Wavelength Changed: 6/05/2023 12:30:50 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:30:53 PM, Old:   0.00, New: 350.00
Emission Filter: Changed: 6/05/2023 12:31:48 PM, Old:Open, New:3%T Attenuator
Zero Order Excitation Changed: 6/05/2023 12:31:48 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:31:48 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 6/05/2023 12:31:48 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:31:53 PM, Old:   0.00, New: 350.00
Zero Order Excitation Changed: 6/05/2023 12:32:02 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:32:02 PM, Old:OFF, New:ON
Emission Wavelength Changed: 6/05/2023 12:32:02 PM, Old: 220.00, New: 300.00
Stop Wavelength Changed: 6/05/2023 12:32:02 PM, Old: 850.00, New: 500.00
Excitation Wavelength Changed: 6/05/2023 12:32:02 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:32:02 PM, Old:   0.00, New: 350.00
Emission Filter: Changed: 6/05/2023 12:32:31 PM, Old:3%T Attenuator, New:Open
Zero Order Excitation Changed: 6/05/2023 12:32:31 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:32:31 PM, Old:OFF, New:ON
Em. Slit Width (nm): Changed: 6/05/2023 12:32:31 PM, Old:1.5, New:5
Excitation Wavelength Changed: 6/05/2023 12:32:31 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:32:35 PM, Old:   0.00, New: 350.00
Zero Order Excitation Changed: 6/05/2023 12:33:16 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:33:16 PM, Old:OFF, New:ON
Em. Slit Width (nm): Changed: 6/05/2023 12:33:16 PM, Old:5, New:1.5
Excitation Wavelength Changed: 6/05/2023 12:33:16 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:33:17 PM, Old:   0.00, New: 350.00
Emission Filter: Changed: 6/05/2023 12:34:36 PM, Old:Open, New:3%T Attenuator
PMT Volts Changed: 6/05/2023 12:34:36 PM, Old:400, New:600
Zero Order Excitation Changed: 6/05/2023 12:34:36 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:34:36 PM, Old:OFF, New:ON
Emission PMT (V): Changed: 6/05/2023 12:34:36 PM, Old: 400, New: 600
Excitation Wavelength Changed: 6/05/2023 12:34:36 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:34:41 PM, Old:   0.00, New: 350.00
Emission Filter: Changed: 6/05/2023 12:35:14 PM, Old:3%T Attenuator, New:Open
Zero Order Excitation Changed: 6/05/2023 12:35:14 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:35:14 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 6/05/2023 12:35:14 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:35:18 PM, Old:   0.00, New: 350.00
Zero Order Excitation Changed: 6/05/2023 3:07:20 PM, Old:ON, New:OFF
Em. Slit Width (nm): Changed: 6/05/2023 3:07:20 PM, Old:1.5, New:5
Excitation Wavelength Changed: 6/05/2023 3:07:20 PM, Old: 350.00, New: 220.00
Emission Wavelength Changed: 6/05/2023 3:07:20 PM, Old: 300.00, New: 230.00
Stop Wavelength Changed: 6/05/2023 3:07:20 PM, Old: 500.00, New: 850.00
Excitation Wavelength Changed: 6/05/2023 3:42:07 PM, Old: 220.00, New: 340.00
Emission Wavelength Changed: 6/05/2023 3:42:07 PM, Old: 230.00, New: 350.00
Stop Wavelength Changed: 6/05/2023 3:42:07 PM, Old: 850.00, New: 600.00
Scan mode: Changed: 6/05/2023 3:45:02 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 6/05/2023 3:45:02 PM, Old: 340.00, New: 220.00
Emission Wavelength Changed: 6/05/2023 3:45:02 PM, Old: 350.00, New: 411.00
Stop Wavelength Changed: 6/05/2023 3:45:02 PM, Old: 600.00, New: 400.00
Emission Wavelength Changed: 6/05/2023 3:45:14 PM, Old: 411.00, New: 420.00
Stop Wavelength Changed: 6/05/2023 3:45:14 PM, Old: 400.00, New: 410.00
Scan mode: Changed: 6/05/2023 3:49:23 PM, Old:Excitation, New:Emission
User Delta Stop Changed: 6/05/2023 3:49:23 PM, Old: 450.00, New: 478.00
User Delta Increment Changed: 6/05/2023 3:49:23 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 6/05/2023 3:49:23 PM, Old: 220.00, New: 478.00
Emission Wavelength Changed: 6/05/2023 3:49:23 PM, Old: 420.00, New: 488.00
Stop Wavelength Changed: 6/05/2023 3:49:23 PM, Old: 410.00, New: 650.00
Stop Wavelength Changed: 6/05/2023 3:51:34 PM, Old: 650.00, New: 800.00
Scan mode: Changed: 6/05/2023 3:54:15 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 6/05/2023 3:54:15 PM, Old: 478.00, New: 588.00
Excitation Wavelength Changed: 6/05/2023 3:54:15 PM, Old: 478.00, New: 220.00
Emission Wavelength Changed: 6/05/2023 3:54:15 PM, Old: 488.00, New: 588.00
Stop Wavelength Changed: 6/05/2023 3:54:15 PM, Old: 800.00, New: 578.00
End Method Modifications

