Sample 60,,
Wavelength (nm),Intensity (a.u.),
220,1.434926033,
220.9299927,-0.50709939,
222.0299988,0.4232804477,
222.9600067,0.4434983134,
224.0599976,-0.2057754248,
225,0.3552938998,
225.9299927,0.1147754192,
227.0299988,0.3761247396,
227.9600067,0,
229.0599976,0.06671410799,
230,-0.04405480251,
230.9299927,-0.09404020011,
232.0299988,0.2824061215,
232.9600067,0.3561741412,
234.0599976,-0.1435296834,
235,0.1436410099,
235.9299927,0.1705029905,
237.0299988,0.2112490088,
237.9600067,0.1395965666,
239.0599976,-0.1958633661,
240,0.1337837428,
240.9299927,0.0581632033,
242.0299988,0.03965840861,
242.9600067,0.07228219509,
244.0599976,0,
245,0.01030046493,
245.9299927,0.0690587312,
247.0299988,0,
247.9600067,-0.06111535057,
249.0599976,0.02170892805,
250,-0.02558035403,
250.9299927,0.02720496245,
252.0299988,0.1708684713,
252.9600067,0.1086484119,
254.0599976,0.09902460128,
255,0.1844990104,
255.9299927,0.1724069268,
257.0299988,0.09723422676,
257.9599915,0.05625509843,
259.0599976,0.1167522892,
260,0.2245901227,
261.0700073,0.1428941488,
262,0.2762641609,
263.0700073,0.4179466367,
264,0.3653635383,
265.0700073,0.4884614646,
266,0.5527026653,
267.0700073,0.7224807143,
268,0.7536396384,
269.0700073,0.7524197102,
270,0.8678067923,
270.9299927,1.026159406,
272.0299988,1.019577384,
272.9599915,1.184970021,
274.0599976,1.12172246,
275,1.104568481,
275.9299927,1.061935306,
277.0299988,0.9410815835,
277.9599915,0.9335163832,
279.0599976,1.005477667,
280,0.8798577189,
280.9299927,0.9391434789,
282.0299988,0.9773339629,
282.9599915,0.8681178093,
284.0599976,0.9785552025,
285,0.8207765222,
285.9299927,0.9040766954,
287.0299988,0.8624966741,
287.9599915,0.725910306,
289.0599976,0.589692235,
290,0.6293612719,
291.0700073,0.6473450661,
292,0.9991661906,
293.0700073,1.653721213,
294,2.770334959,
295.0700073,4.244934082,
296,4.987339973,
297.0700073,5.516345501,
298,5.091087818,
299.0700073,3.966828823,
300,2.629884481,
300.9299927,1.588432312,
302.0299988,0.6938043833,
302.9599915,0.3792467713,
304.0599976,0.2946761847,
305,0.1500117779,
305.9299927,0.2153950781,
307.0299988,0.3477798402,
307.9599915,0.1536255628,
309.0599976,0.2713295221,
310,0.2598266304,
311.0700073,0.2293912768,
312,0.2852566242,
313.0700073,0.2009123862,
314,0.3445371687,
315.0700073,0.2517623305,
316,0.1969805807,
317.0700073,0.2715341747,
318,0.2657869756,
319.0700073,0.170977369,
320,0.3106651306,
321.0700073,0.3395952582,
322,0.2857755125,
323.0700073,0.05493826419,
324,0.1554616392,
325.0700073,0.2491499484,
326,0.4180796146,
327.0700073,0.2854504287,
328,0.1938078403,
329.0700073,0.4379758835,
330,0.01718213037,
330.9299927,0.4410827756,
332.0299988,0.1394289583,
332.9599915,0.1886792481,
334.0599976,0.1542709917,
335,0.2055368572,
335.9299927,0.3984571695,
337.0299988,0.2086208612,
337.9599915,0.2726849914,
339.0599976,0.1804225147,
340,0.3817085326,
341.0700073,0.04466279596,
342,0.1895098984,
343.0700073,0.2142275572,
344,0.1379101127,
345.0700073,0.2156101763,
346,0.2396019846,
347.0700073,0.2748325765,
348,0.1472905874,
349.0700073,0.2360543609,
350,0.2914966345,
351.0700073,0.2806586027,
352,0.2689687014,
353.0700073,0.1528692394,
354,0.1740038246,
355.0700073,0.2769179046,
356,0.1838715523,
357.0700073,0.1039338931,
358,0.2166413963,
359.0700073,0.2019975334,
360,0.1609183103,
361.0700073,0.1424672306,
362,0.2075301409,
363.0700073,0.1431255043,
364,0.2449110299,
365.0700073,0.2996332049,
366,0.1188636646,
367.0700073,0.2131741643,
368,0.2191616446,
369.0700073,0.2119043171,
370,0.2417024672,
371.0599976,0.1772347242,
371.9599915,0.2470780462,
373.0299988,0.294031173,
373.9299927,0.266196698,
375,0.2566303611,
376.0599976,0.2126429081,
376.9599915,0.2234214544,
378.0299988,0.2210489661,
378.9299927,0.08828930557,
380,0.1340027452,
381.0700073,0.1878572702,
382,0.2354521155,
383.0700073,0.2574793398,
384,0.2175069004,
385.0700073,0.1979241669,
386,0.1677865088,
387.0700073,0.1796864569,
388,0.2173109949,
389.0700073,0.2038535327,
390,0.1552889496,
391.0700073,0.1351029575,
392,0.1788188964,
393.0700073,0.1885097027,
394,0.1750700325,
395.0700073,0.2419241071,
396,0.2406738997,
397.0700073,0.1682463139,
398,0.2002173811,
399.0700073,0.2238967866,
400,0.2303866446,
401.0599976,0.2516023219,
401.9599915,0.2640380263,
403.0299988,0.2295783758,
403.9299927,0.2050084174,
405,0.2299713045,
406.0599976,0.2316804677,
406.9599915,0.2376541644,
408.0299988,0.1258075237,
408.9299927,0.2570568323,
410,0.2263550758,
411.0700073,0.2832547128,
412,0.210734576,
413.0700073,0.2655277252,
414,0.2360816747,
415.0700073,0.2097415477,
416,0.1810114682,
417.0700073,0.1913972795,
418,0.1965584308,
419.0700073,0.1926660687,
420,0.2174649984,
421.0599976,0.1888925135,
421.9599915,0.206573233,
423.0299988,0.1870935261,
423.9299927,0.1711183488,
425,0.1715509146,
426.0599976,0.1801689416,
426.9599915,0.1658827215,
428.0299988,0.2146500647,
428.9299927,0.1801366657,
430,0.2122691572,
431.0599976,0.2319407165,
431.9599915,0.2072186768,
433.0299988,0.1772413999,
433.9299927,0.1676116884,
435,0.2330750078,
436.0599976,0.2093467265,
436.9599915,0.1806344241,
438.0299988,0.2118980736,
438.9299927,0.2181831598,
440,0.1726954281,
441.0599976,0.1881801188,
441.9599915,0.2347910553,
443.0299988,0.195413813,
443.9299927,0.2256079018,
445,0.187917605,
446.0599976,0.1626984477,
446.9599915,0.1509608775,
448.0299988,0.1889802665,
448.9299927,0.1947032511,
450,0.1618679464,
451.0599976,0.1838675588,
451.9599915,0.2329811752,
453.0299988,0.2114913315,
453.9299927,0.1945156157,
455,0.2062184215,
456.0599976,0.1858010739,
456.9599915,0.2201297432,
458.0299988,0.2061092556,
458.9299927,0.189328596,
460,0.1734627485,
461.0599976,0.2103501111,
461.9599915,0.2233237326,
463.0299988,0.21823816,
463.9299927,0.1811295897,
465,0.2082947642,
466.0599976,0.237352103,
466.9599915,0.1971900314,
468.0299988,0.2331983894,
468.9299927,0.2355188578,
470,0.2041038573,
471.0400085,0.1937287301,
471.9400024,0.2502144873,
472.980011,0.230272159,
474.019989,0.1997396052,
475.0700073,0.1961126179,
475.9700012,0.1370001286,
477.0100098,0.2158242315,
478.0499878,0.2143771052,
478.9500122,0.189480558,
480,0.2399163842,
481.0599976,0.2201759517,
481.9599915,0.1980828941,
483.0299988,0.1761379093,
483.9299927,0.1901934743,
485,0.2016129047,
486.0599976,0.1525620371,
486.9599915,0.1944101006,
488.0299988,0.1645584404,
488.9299927,0.1465006322,
490,0.1571832746,
491.0400085,0.1558407694,
491.9400024,0.1477970034,
492.980011,0.147846058,
494.019989,0.1774756163,
495.0700073,0.2036122382,
495.9700012,0.2533449531,
497.0100098,0.1638847142,
498.0499878,0.1772316396,
498.9500122,0.1818134636,
500,0.1494810283,
501.0599976,0.1937213838,
501.9599915,0.1476528347,
503.0299988,0.2156455964,
503.9299927,0.2569135427,
505,0.1896613538,
506.0599976,0.2470050603,
506.9599915,0.299916029,
508.0299988,0.3586904705,
508.9299927,0.1696217358,
510,0.2360021174,
511.0400085,0.280028373,
511.9400024,0.1427809894,
512.9799805,0.1487844288,
514.0200195,0.1468083858,
515.0700073,0.1446312815,
515.9699707,0.1361232102,
517.0100098,0.1795525551,
518.0499878,0.1833788902,
518.9500122,0.08740417659,
520,0.1404469609,
521.039978,0.1187431514,
521.9400024,0.121988982,
522.9799805,0.109195143,
524.0200195,0.05909417197,
525.0700073,0.007591919042,
525.9699707,0.1339333504,
527.0100098,0.1569214314,
528.0499878,0.130635798,
528.9500122,0.1397514641,
530,0.1484628469,
531.0200195,0.1194258034,
532.0499878,0.04483069852,
532.9400024,0.1322751343,
533.9699707,0.076544635,
535,0.137020722,
536.0200195,0.1113709733,
537.0499878,0.1142670587,
537.9400024,0.05659675598,
538.9699707,0.1025729999,
540,0.1547197253,
541.039978,0.1299245059,
541.9400024,0.09744689614,
542.9799805,0.1138960794,
544.0200195,0.1477941722,
545.0700073,0.02863114513,
545.9699707,0.05681334063,
547.0100098,0.0629696548,
548.0499878,0.03449782357,
548.9500122,0.1280376911,
550,0.09991721064,
551.0200195,0.1318102032,
552.0499878,0.09341283888,
552.9400024,0.04503016919,
553.9699707,0.154573828,
555,0.1516121477,
556.0200195,0.05081817135,
557.0499878,0.1930671334,
557.9400024,0.05500751734,
558.9699707,0.2517215908,
560,0.2155211121,
561.039978,-0.1110638008,
561.9400024,0.08941664547,
562.9799805,-0.01793432422,
564.0200195,0.0516262278,
565.0700073,0.1874957383,
565.9699707,0.1163950786,
567.0100098,0.2617458403,
568.0499878,0.1850169897,
568.9500122,0.1492364109,
570,0.1272892058,
571.0200195,0.06190225482,
572.0499878,0.08969280124,
572.9400024,0.06111815199,
573.9699707,0.3289370537,
575,0.1592204571,
576.0200195,0.1775969565,
577.0499878,-0.08705493063,
577.9400024,0.2567252815,
578.9699707,0.1773224324,
580,0.1469137669,
581.0200195,0.1766238362,
582.0499878,0.1371553987,
582.9400024,-0.2091272473,
583.9699707,-0.1628058404,
585,0.02378913201,
586.0200195,0.2602195442,
587.0499878,0.1148184761,
587.9400024,-0.02255503461,

Sample 60,
Sample 60
Collection Time: 21/05/2023 5:41:18 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         588.00
Em. Wavelength (nm)               598.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 21/05/2023 11:47:26 AM
Method Modifications:
Overlayed Graphs Changed: 21/05/2023 1:20:46 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 350.00, New: 341.00
Emission Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 400.00, New: 351.00
Stop Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 600.00, New: 650.00
PMT Volts Changed: 21/05/2023 1:21:47 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:21:47 PM, Old: 600, New: 800
Scan mode: Changed: 21/05/2023 1:22:38 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 341.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 351.00, New: 381.00
Stop Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 650.00, New: 371.00
Scan mode: Changed: 21/05/2023 1:24:38 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 220.00, New: 381.00
Emission Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 381.00, New: 220.00
Excitation Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 381.00, New: 339.00
Emission Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 220.00, New: 349.00
Stop Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 371.00, New: 650.00
User Delta Stop Changed: 21/05/2023 1:31:08 PM, Old: 450.00, New: 553.00
User Delta Increment Changed: 21/05/2023 1:31:08 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 339.00, New: 553.00
Emission Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 349.00, New: 563.00
Stop Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 650.00, New: 850.00
PMT Volts Changed: 21/05/2023 1:31:49 PM, Old:800, New:600
Emission PMT (V): Changed: 21/05/2023 1:31:49 PM, Old: 800, New: 600
Scan mode: Changed: 21/05/2023 1:33:46 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 630.00
Excitation Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 563.00, New: 630.00
Stop Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 850.00, New: 620.00
Scan mode: Changed: 21/05/2023 1:43:42 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 220.00, New: 352.00
Emission Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 630.00, New: 362.00
Stop Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 620.00, New: 650.00
Scan mode: Changed: 21/05/2023 1:45:14 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 352.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 362.00, New: 377.00
Stop Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 650.00, New: 367.00
Scan mode: Changed: 21/05/2023 1:48:20 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 220.00, New: 350.00
Emission Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 377.00, New: 360.00
Stop Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 367.00, New: 550.00
Excitation Wavelength Changed: 21/05/2023 1:48:48 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 21/05/2023 1:48:48 PM, Old: 360.00, New: 350.00
PMT Volts Changed: 21/05/2023 1:49:10 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:49:10 PM, Old: 600, New: 800
Excitation Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 340.00, New: 470.00
Emission Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 350.00, New: 480.00
Stop Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 550.00, New: 700.00
PMT Volts Changed: 21/05/2023 2:05:04 PM, Old:800, New:600
Emission PMT (V): Changed: 21/05/2023 2:05:04 PM, Old: 800, New: 600
Scan mode: Changed: 21/05/2023 2:07:15 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 470.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 480.00, New: 540.00
Stop Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 700.00, New: 530.00
Scan mode: Changed: 21/05/2023 2:14:20 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 2:14:20 PM, Old: 220.00, New: 366.00
Emission Wavelength Changed: 21/05/2023 2:14:20 PM, Old: 540.00, New: 376.00
Stop Wavelength Changed: 21/05/2023 2:14:20 PM, Old: 530.00, New: 550.00
Stop Wavelength Changed: 21/05/2023 2:15:00 PM, Old: 550.00, New: 650.00
Scan mode: Changed: 21/05/2023 2:17:05 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 2:17:05 PM, Old: 366.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 2:17:05 PM, Old: 376.00, New: 445.00
Stop Wavelength Changed: 21/05/2023 2:17:05 PM, Old: 650.00, New: 435.00
Scan mode: Changed: 21/05/2023 3:04:18 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 3:04:18 PM, Old: 220.00, New: 335.00
Emission Wavelength Changed: 21/05/2023 3:04:18 PM, Old: 445.00, New: 345.00
Stop Wavelength Changed: 21/05/2023 3:04:18 PM, Old: 435.00, New: 650.00
Stop Wavelength Changed: 21/05/2023 3:05:08 PM, Old: 650.00, New: 700.00
Scan mode: Changed: 21/05/2023 3:07:25 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 3:07:25 PM, Old: 335.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 3:07:25 PM, Old: 345.00, New: 508.00
Stop Wavelength Changed: 21/05/2023 3:07:25 PM, Old: 700.00, New: 498.00
Scan mode: Changed: 21/05/2023 3:13:25 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 3:13:25 PM, Old: 220.00, New: 427.00
Emission Wavelength Changed: 21/05/2023 3:13:25 PM, Old: 508.00, New: 437.00
Stop Wavelength Changed: 21/05/2023 3:13:25 PM, Old: 498.00, New: 650.00
Stop Wavelength Changed: 21/05/2023 3:13:58 PM, Old: 650.00, New: 750.00
Scan mode: Changed: 21/05/2023 3:16:50 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 3:16:50 PM, Old: 427.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 3:16:50 PM, Old: 437.00, New: 528.00
Stop Wavelength Changed: 21/05/2023 3:16:50 PM, Old: 750.00, New: 518.00
Scan mode: Changed: 21/05/2023 4:47:47 PM, Old:Excitation, New:Emission
User Delta Stop Changed: 21/05/2023 4:47:47 PM, Old: 630.00, New: 696.00
Excitation Wavelength Changed: 21/05/2023 4:47:47 PM, Old: 220.00, New: 696.00
Emission Wavelength Changed: 21/05/2023 4:47:47 PM, Old: 528.00, New: 706.00
Stop Wavelength Changed: 21/05/2023 4:47:47 PM, Old: 518.00, New: 850.00
Excitation Wavelength Changed: 21/05/2023 4:48:12 PM, Old: 696.00, New: 587.00
Emission Wavelength Changed: 21/05/2023 4:48:12 PM, Old: 706.00, New: 597.00
Scan mode: Changed: 21/05/2023 4:49:20 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 21/05/2023 4:49:20 PM, Old: 696.00, New: 750.00
Excitation Wavelength Changed: 21/05/2023 4:49:20 PM, Old: 587.00, New: 400.00
Emission Wavelength Changed: 21/05/2023 4:49:20 PM, Old: 597.00, New: 750.00
Stop Wavelength Changed: 21/05/2023 4:49:20 PM, Old: 850.00, New: 740.00
User Delta Stop Changed: 21/05/2023 4:50:16 PM, Old: 750.00, New: 760.00
Emission Wavelength Changed: 21/05/2023 4:50:16 PM, Old: 750.00, New: 760.00
Stop Wavelength Changed: 21/05/2023 4:50:16 PM, Old: 740.00, New: 750.00
Scan mode: Changed: 21/05/2023 4:54:28 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 4:54:28 PM, Old: 400.00, New: 638.00
Emission Wavelength Changed: 21/05/2023 4:54:28 PM, Old: 760.00, New: 648.00
Stop Wavelength Changed: 21/05/2023 4:54:28 PM, Old: 750.00, New: 850.00
Excitation Wavelength Changed: 21/05/2023 5:08:46 PM, Old: 638.00, New: 569.00
Emission Wavelength Changed: 21/05/2023 5:08:46 PM, Old: 648.00, New: 576.00
Stop Wavelength Changed: 21/05/2023 5:08:46 PM, Old: 850.00, New: 750.00
Excitation Wavelength Changed: 21/05/2023 5:09:36 PM, Old: 569.00, New: 512.00
Emission Wavelength Changed: 21/05/2023 5:09:36 PM, Old: 576.00, New: 522.00
Scan mode: Changed: 21/05/2023 5:11:28 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 5:11:28 PM, Old: 512.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 5:11:28 PM, Old: 522.00, New: 604.00
Stop Wavelength Changed: 21/05/2023 5:11:28 PM, Old: 750.00, New: 594.00
Emission Wavelength Changed: 21/05/2023 5:13:07 PM, Old: 604.00, New: 622.00
Stop Wavelength Changed: 21/05/2023 5:13:07 PM, Old: 594.00, New: 612.00
Scan mode: Changed: 21/05/2023 5:35:55 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 5:35:55 PM, Old: 220.00, New: 484.00
Emission Wavelength Changed: 21/05/2023 5:35:55 PM, Old: 622.00, New: 494.00
Stop Wavelength Changed: 21/05/2023 5:35:55 PM, Old: 612.00, New: 700.00
Stop Wavelength Changed: 21/05/2023 5:37:00 PM, Old: 700.00, New: 800.00
Scan mode: Changed: 21/05/2023 5:39:32 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 5:39:32 PM, Old: 484.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 5:39:32 PM, Old: 494.00, New: 598.00
Stop Wavelength Changed: 21/05/2023 5:39:32 PM, Old: 800.00, New: 588.00
End Method Modifications

