Sample 11,,
Wavelength (nm),Intensity (a.u.),
220,31.74603271,
220.9299927,37.33911133,
222.0299988,37.97468185,
222.9600067,37.64963913,
224.0599976,41.55458069,
225,43.30425644,
225.9299927,45.96989441,
227.0299988,46.17567062,
227.9600067,44.08201981,
229.0599976,43.79674911,
230,41.90761185,
230.9299927,40.72649765,
232.0299988,43.21173477,
232.9600067,45.94512939,
234.0599976,46.13576126,
235,47.24815369,
235.9299927,48.99404907,
237.0299988,50.49969482,
237.9600067,52.42945099,
239.0599976,55.69704437,
240,54.81668854,
240.9299927,53.97117996,
242.0299988,54.40449524,
242.9600067,53.75232315,
244.0599976,54.04493332,
245,54.58692169,
245.9299927,52.94687271,
247.0299988,50.49425507,
247.9600067,48.4368782,
249.0599976,45.94999313,
250,42.62393951,
250.9299927,41.53520584,
252.0299988,38.17460632,
252.9600067,36.36914444,
254.0599976,34.8034935,
255,33.80252075,
255.9299927,32.79218292,
257.0299988,32.28069305,
257.9599915,29.52690315,
259.0599976,29.25484848,
260,27.68239212,
261.0700073,26.61368942,
262,26.2366848,
263.0700073,25.84508514,
264,28.07200241,
265.0700073,27.60943604,
266,28.22080803,
267.0700073,28.50828934,
268,30.27256012,
269.0700073,30.04680824,
270,30.82701492,
270.9299927,29.60705948,
272.0299988,29.22287178,
272.9599915,27.70323753,
274.0599976,25.95243073,
275,26.36833382,
275.9299927,25.95709419,
277.0299988,25.91779518,
277.9599915,24.30586052,
279.0599976,24.21512413,
280,24.4223671,
280.9299927,23.74271202,
282.0299988,21.95531273,
282.9599915,19.88945007,
284.0599976,19.03211403,
285,17.94392776,
285.9299927,17.11898041,
287.0299988,16.02412415,
287.9599915,15.67262936,
289.0599976,16.53781509,
290,22.09594345,
291.0700073,34.14799118,
292,49.09235764,
293.0700073,61.6896553,
294,65.2687912,
295.0700073,60.18251419,
296,49.50613403,
297.0700073,34.96107101,
298,26.67430496,
299.0700073,18.52402687,
300,14.99239731,
300.9299927,14.76436615,
302.0299988,14.27416134,
302.9599915,14.00383949,
304.0599976,14.66984653,
305,14.97083378,
305.9299927,14.67019081,
307.0299988,15.86178112,
307.9599915,15.57261181,
309.0599976,15.47151756,
310,14.25168324,
