Sample 12,,
Wavelength (nm),Intensity (a.u.),
220,9.511266708,
220.9299927,9.798865318,
222.0299988,7.995618343,
222.9600067,8.468532562,
224.0599976,8.445106506,
225,7.762950897,
225.9299927,7.23172617,
227.0299988,6.67944622,
227.9600067,6.520973206,
229.0599976,5.312357426,
230,5.575568199,
230.9299927,5.10167408,
232.0299988,5.189641476,
232.9600067,4.97844553,
234.0599976,4.610213757,
235,4.539692879,
235.9299927,4.136959553,
237.0299988,4.218946457,
237.9600067,4.125573635,
239.0599976,4.348526478,
240,4.663221359,
240.9299927,4.262104034,
242.0299988,4.003026485,
242.9600067,4.335351467,
244.0599976,4.060392857,
245,4.519650936,
245.9299927,3.989403486,
247.0299988,4.170183659,
247.9600067,4.165147781,
249.0599976,4.0643363,
250,3.767925501,
250.9299927,4.166091919,
252.0299988,4.403686523,
252.9600067,4.056162357,
254.0599976,4.117139339,
255,4.166083813,
255.9299927,4.072031021,
257.0299988,3.730023861,
257.9599915,3.831380844,
259.0599976,3.655759335,
260,3.482659101,
261.0700073,3.132015467,
262,2.955733299,
263.0700073,3.01748848,
264,3.258007765,
265.0700073,3.13812089,
266,3.628899574,
267.0700073,4.79044199,
268,5.644221306,
269.0700073,6.69220829,
270,6.495923996,
270.9299927,6.385528088,
272.0299988,5.461380959,
272.9599915,4.76546669,
274.0599976,3.652600527,
275,2.759208679,
275.9299927,2.481140852,
277.0299988,2.247136116,
277.9599915,2.021456242,
279.0599976,1.872310042,
280,1.815582037,
280.9299927,1.634384632,
282.0299988,1.651569843,
282.9599915,1.562088966,
284.0599976,1.449953198,
285,1.22613287,
285.9299927,1.038290858,
287.0299988,1.204437375,
287.9599915,1.140187621,
289.0599976,2.782449961,
290,9.599318504,
291.0700073,23.05236244,
292,37.52319717,
293.0700073,47.54212189,
294,51.96338272,
295.0700073,46.24240875,
296,35.89638519,
297.0700073,20.55968475,
298,12.35644817,
299.0700073,5.302321434,
300,1.626850963,
300.9299927,0.5707976222,
302.0299988,0.1769981235,
302.9599915,0.3543406725,
304.0599976,0.3136697412,
305,0.1643637568,
305.9299927,0.2256632894,
307.0299988,0.1557325125,
307.9599915,0.1699218452,
309.0599976,0.1970341057,
310,0.1399174482,
311.0700073,0.1455286294,
312,0.2186174691,
313.0700073,0.151305303,
314,0.1204311401,
315.0700073,0.133304894,
316,0.317727834,
317.0700073,0.2295255959,
318,0.2394277751,
319.0700073,0.2596410811,
320,0.3029476702,
321.0700073,0.223900646,
322,0.07153587788,
323.0700073,0.09558010101,
324,0.3009458184,
325.0700073,0.3181233406,
326,0.1455095708,
327.0700073,0.364713937,
328,0.3270057738,
329.0700073,0.09600614756,
330,0.06375619769,
330.9299927,0.1486620456,
332.0299988,0.2597323358,
332.9599915,0.1984429806,
334.0599976,0.301982522,
335,0.1986734718,
335.9299927,0,
337.0299988,0.3647435904,
337.9599915,0.2240681201,
339.0599976,0.1773249656,
340,0.2827210426,
341.0700073,0.03003003076,
342,0.2784127295,
343.0700073,0.1997688413,
344,0.07206064463,
345.0700073,0.1137478501,
346,0.05583550781,
347.0700073,0.1460984349,
348,0.2220380157,
349.0700073,0.2040697336,
350,0.0291125048,
351.0700073,0.2866972387,
352,0.1278903186,
353.0700073,0.02310696244,
354,0.119413361,
355.0700073,0.03975550458,
356,0.1119799912,
357.0700073,0.06173764914,
358,0.1526006311,
359.0700073,0.07569907606,
360,0.105068028,
361.0700073,0.06604292989,
362,0.1093297303,
363.0700073,0.08622770756,
