Sample 19,,
Wavelength (nm),Intensity (a.u.),
220,0.3902565837,
220.9299927,0.4032606483,
222.0299988,0.2595564127,
222.9600067,0.4116839767,
224.0599976,0.1357978135,
225,0.2129925489,
225.9299927,0.1520028561,
227.0299988,0.1499690264,
227.9600067,0.0838926211,
229.0599976,0.1346700639,
230,0.08309991658,
230.9299927,0.1393943429,
232.0299988,0.1531066895,
232.9600067,0.1925819814,
234.0599976,0.09894867241,
235,0.125350982,
235.9299927,0.141468823,
237.0299988,0.1443784833,
237.9600067,0.1954451054,
239.0599976,0.07887299359,
240,0.122333847,
240.9299927,0.02880829759,
242.0299988,0.07360976189,
242.9600067,0.1488993466,
244.0599976,0.136519447,
245,0.06701835245,
245.9299927,0.142205134,
247.0299988,0.1414159387,
247.9600067,0.1197639927,
249.0599976,0.1235198453,
250,0.1047241613,
250.9299927,0.1135553867,
252.0299988,0.1353219301,
252.9600067,0.1467546225,
254.0599976,0.09164545685,
255,0.09828309715,
255.9299927,0.07917030156,
257.0299988,0.1431657076,
257.9599915,0.1312781721,
259.0599976,0.09161806852,
260,0.07810314745,
261.0700073,0.1089920327,
262,0.109820433,
263.0700073,0.09573020041,
264,0.1606930494,
265.0700073,0.08708027005,
266,0.0944096297,
267.0700073,0.06570383161,
268,0.1334854066,
269.0700073,0.1292809099,
270,0.07417245209,
270.9299927,0.1111463159,
272.0299988,0.1221523285,
272.9599915,0.115615584,
274.0599976,0.1212906092,
275,0.128598094,
275.9299927,0.09624124318,
277.0299988,0.1188557446,
277.9599915,0.09791285545,
279.0599976,0.1486382782,
280,0.09668336064,
280.9299927,0.1097487658,
282.0299988,0.1103219762,
282.9599915,0.126993984,
284.0599976,0.1161170453,
285,0.09279578179,
285.9299927,0.08949512988,
287.0299988,0.1122509316,
287.9599915,0.1373596936,
289.0599976,0.1024978906,
290,0.1023291126,
291.0700073,0.1203151271,
292,0.159925431,
293.0700073,0.1488348693,
294,0.2234086543,
295.0700073,0.3811215758,
296,0.5145136118,
297.0700073,0.82158041,
298,1.11842978,
299.0700073,1.455268621,
300,1.916689277,
300.9299927,2.364429712,
302.0299988,2.729099274,
302.9599915,3.013041258,
304.0599976,3.31515336,
305,3.505547285,
305.9299927,3.711127758,
307.0299988,3.816905975,
307.9599915,3.906365871,
309.0599976,3.99313736,
310,3.726845503,
311.0700073,3.714799643,
312,3.54883647,
313.0700073,3.351271152,
314,3.328659296,
315.0700073,3.168392658,
316,2.990104437,
317.0700073,2.832810402,
318,2.735290527,
319.0700073,2.665014029,
320,2.396787167,
321.0700073,2.324246883,
322,2.216519594,
323.0700073,2.127704144,
324,1.974665761,
325.0700073,1.8576262,
326,1.810167432,
327.0700073,1.829503059,
328,1.966050625,
329.0700073,1.969645977,
330,1.96491909,
330.9299927,1.956060767,
332.0299988,1.963935614,
332.9599915,1.921364784,
334.0599976,1.775795102,
335,1.599490285,
335.9299927,1.406097531,
337.0299988,1.267328382,
337.9599915,1.179905891,
339.0599976,1.088438034,
340,1.227088928,
341.0700073,1.418194413,
342,1.789569974,
343.0700073,2.168262005,
344,2.574587822,
345.0700073,2.929994822,
346,3.2461555,
347.0700073,3.373902798,
348,3.442072392,
349.0700073,3.412056208,
350,3.449706078,
351.0700073,3.314889669,
352,3.357532978,
353.0700073,3.321383238,
354,3.22957921,
355.0700073,3.024046659,
356,2.706544638,
357.0700073,2.365288973,
358,2.019359112,
359.0700073,1.789697051,
360,1.585589647,
361.0700073,1.333076715,
362,1.151734591,
363.0700073,1.055494547,
364,1.019686818,
365.0700073,0.8871122599,
366,0.8509450555,
367.0700073,0.730692327,
368,0.6748948097,
369.0700073,0.6707820296,
370,0.7073787451,
371.0599976,0.7170241475,
371.9599915,0.6937557459,
373.0299988,0.6993352771,
373.9299927,0.6769358516,
375,0.7118839025,
376.0599976,0.6983985305,
376.9599915,0.7101582885,
378.0299988,0.6777799129,
378.9299927,0.7062410116,
380,0.7273306251,
381.0700073,0.7301095128,
382,0.726883173,
383.0700073,0.6631133556,
384,0.6146618724,
385.0700073,0.5604971647,
386,0.4863008857,
387.0700073,0.4670576453,
388,0.5059204698,
389.0700073,0.6234376431,
390,1.376814246,

Sample 19,
Sample 19
Collection Time: 17/08/2023 1:41:02 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         390.00
Em. Wavelength (nm)               400.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 17/08/2023 12:57:35 PM
Method Modifications:
Overlayed Graphs Changed: 17/08/2023 1:10:34 PM, Old:OFF, New:ON
User Delta Stop Changed: 17/08/2023 1:10:34 PM, Old: 450.00, New: 490.00
User Delta Increment Changed: 17/08/2023 1:10:34 PM, Old:  10.00, New:   0.15
Scan Control Changed: 17/08/2023 1:10:34 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 17/08/2023 1:10:34 PM, Old:0.10000, New:0.50000
Excitation Wavelength Changed: 17/08/2023 1:10:34 PM, Old: 350.00, New: 490.00
Emission Wavelength Changed: 17/08/2023 1:10:34 PM, Old: 400.00, New: 500.00
Stop Wavelength Changed: 17/08/2023 1:10:34 PM, Old: 600.00, New: 750.00
Scan mode: Changed: 17/08/2023 1:17:06 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 17/08/2023 1:17:06 PM, Old: 490.00, New: 620.00
Excitation Wavelength Changed: 17/08/2023 1:17:06 PM, Old: 490.00, New: 220.00
Emission Wavelength Changed: 17/08/2023 1:17:06 PM, Old: 500.00, New: 620.00
Stop Wavelength Changed: 17/08/2023 1:17:06 PM, Old: 750.00, New: 610.00
User Delta Stop Changed: 17/08/2023 1:21:25 PM, Old: 620.00, New: 650.00
Excitation Wavelength Changed: 17/08/2023 1:21:25 PM, Old: 220.00, New: 280.00
Emission Wavelength Changed: 17/08/2023 1:21:25 PM, Old: 620.00, New: 650.00
Stop Wavelength Changed: 17/08/2023 1:21:25 PM, Old: 610.00, New: 640.00
Scan mode: Changed: 17/08/2023 1:29:03 PM, Old:Excitation, New:Emission
Scan Control Changed: 17/08/2023 1:29:03 PM, Old:Slow, New:Medium
Ave. time (s): Changed: 17/08/2023 1:29:03 PM, Old:0.50000, New:0.10000
Excitation Wavelength Changed: 17/08/2023 1:29:03 PM, Old: 280.00, New: 330.00
Emission Wavelength Changed: 17/08/2023 1:29:03 PM, Old: 650.00, New: 340.00
Stop Wavelength Changed: 17/08/2023 1:29:03 PM, Old: 640.00, New: 500.00
Scan Control Changed: 17/08/2023 1:29:24 PM, Old:Medium, New:Fast
Data interval: Changed: 17/08/2023 1:29:24 PM, Old:   1.00, New:   2.00
Scan Control Changed: 17/08/2023 1:29:54 PM, Old:Fast, New:Medium
Data interval: Changed: 17/08/2023 1:29:54 PM, Old:   2.00, New:   1.00
Excitation Wavelength Changed: 17/08/2023 1:30:51 PM, Old: 330.00, New: 350.00
Emission Wavelength Changed: 17/08/2023 1:30:51 PM, Old: 340.00, New: 360.00
Excitation Wavelength Changed: 17/08/2023 1:31:55 PM, Old: 350.00, New: 320.00
Emission Wavelength Changed: 17/08/2023 1:31:55 PM, Old: 360.00, New: 330.00
Excitation Wavelength Changed: 17/08/2023 1:33:05 PM, Old: 320.00, New: 300.00
Emission Wavelength Changed: 17/08/2023 1:33:05 PM, Old: 330.00, New: 310.00
Scan Control Changed: 17/08/2023 1:33:59 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 17/08/2023 1:33:59 PM, Old:0.10000, New:0.50000
Excitation Wavelength Changed: 17/08/2023 1:33:59 PM, Old: 300.00, New: 320.00
Emission Wavelength Changed: 17/08/2023 1:33:59 PM, Old: 310.00, New: 330.00
Stop Wavelength Changed: 17/08/2023 1:33:59 PM, Old: 500.00, New: 550.00
Scan mode: Changed: 17/08/2023 1:40:12 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 17/08/2023 1:40:12 PM, Old: 320.00, New: 220.00
Emission Wavelength Changed: 17/08/2023 1:40:12 PM, Old: 330.00, New: 400.00
Stop Wavelength Changed: 17/08/2023 1:40:12 PM, Old: 550.00, New: 390.00
End Method Modifications

