Sample 20,,
Wavelength (nm),Intensity (a.u.),
220,0.9569968581,
220.9299927,0.5161438584,
222.0299988,0.5680608153,
222.9600067,0.6412183046,
224.0599976,0.01542257797,
225,0.3488331437,
225.9299927,0.2883128524,
227.0299988,0.2119444013,
227.9600067,0.2730778158,
229.0599976,0.2996659577,
230,0.1200814694,
230.9299927,0.2271403074,
232.0299988,0.1646144688,
232.9600067,0.1669093668,
234.0599976,0.3095092177,
235,0.2853562534,
235.9299927,0.2564916909,
237.0299988,0.2961351275,
237.9600067,0.1738180369,
239.0599976,0.2513116598,
240,0.1334123909,
240.9299927,0.2441541255,
242.0299988,0.2518490553,
242.9600067,0.2275325358,
244.0599976,0.1214904115,
245,0.1845462322,
245.9299927,0.2292581499,
247.0299988,0.1473736912,
247.9600067,0.2061654478,
249.0599976,0.1817420572,
250,0.175390631,
250.9299927,0.2272824049,
252.0299988,0.1568685472,
252.9600067,0.145506978,
254.0599976,0.2351419628,
255,0.2521423697,
255.9299927,0.2018600404,
257.0299988,0.2322093844,
257.9599915,0.1752359122,
259.0599976,0.1906457692,
260,0.1675239801,
261.0700073,0.1634287983,
262,0.1772051603,
263.0700073,0.1879013628,
264,0.1996322125,
265.0700073,0.1447661221,
266,0.1845755577,
267.0700073,0.1853889078,
268,0.2144542038,
269.0700073,0.2092168182,
270,0.2244482487,
270.9299927,0.2157394588,
272.0299988,0.1805779934,
272.9599915,0.1911104918,
274.0599976,0.2250731438,
275,0.1960847825,
275.9299927,0.1908729821,
277.0299988,0.2034494877,
277.9599915,0.1872601211,
279.0599976,0.2210064083,
280,0.1748813987,
280.9299927,0.2085140049,
282.0299988,0.2059424669,
282.9599915,0.2031806111,
284.0599976,0.1915208101,
285,0.1605986655,
285.9299927,0.1740307808,
287.0299988,0.2211990803,
287.9599915,0.1728913337,
289.0599976,0.1797086895,
290,0.2335774601,
291.0700073,0.4243259132,
292,0.7918181419,
293.0700073,1.654249668,
294,2.540463209,
295.0700073,3.814955711,
296,4.894302368,
297.0700073,6.164676189,
298,7.153692245,
299.0700073,7.900217533,
300,8.610334396,
300.9299927,9.160651207,
302.0299988,9.617045403,
302.9599915,9.605306625,
