Sample 19,,
Wavelength (nm),Intensity (a.u.),
220,0.49278,
220.9299927,-0.07986582071,
222.0299988,0.4465001523,
222.9600067,0.2911406159,
224.0599976,0.09743885696,
225,0.1611118913,
225.9299927,0.1440216601,
227.0299988,0.05571392924,
227.9600067,0.0787962079,
229.0599976,0.06517417729,
230,0.07518454641,
230.9299927,0.02916663699,
232.0299988,0.0893323943,
232.9600067,0.1152857691,
234.0599976,0.09881570935,
235,0.1603330076,
235.9299927,0.1481801569,
237.0299988,0.09998942912,
237.9600067,0.1301897168,
239.0599976,0.03208130598,
240,0.05442986265,
240.9299927,0.02229249664,
242.0299988,0.008612374775,
242.9600067,0.03844440728,
244.0599976,0.01914700121,
245,0.04190176725,
245.9299927,0.04019007459,
247.0299988,0.02192920633,
247.9600067,0.03016523086,
249.0599976,0.04671007395,
250,0.0387160778,
250.9299927,0.05145906657,
252.0299988,0.09182918817,
252.9600067,0.07608239353,
254.0599976,0.1229232177,
255,0.1529069692,
255.9299927,0.2073245794,
257.0299988,0.2875757515,
257.9599915,0.2925202549,
259.0599976,0.3140932024,
260,0.3007752299,
261.0700073,0.327462554,
262,0.361485064,
263.0700073,0.3346261382,
264,0.4055652022,
265.0700073,0.3733781278,
266,0.3304989636,
267.0700073,0.2904052436,
268,0.318007797,
269.0700073,0.2959736884,
270,0.2686548829,
270.9299927,0.2413663119,
272.0299988,0.2028362304,
272.9599915,0.2320417464,
274.0599976,0.2164365947,
275,0.2031417489,
275.9299927,0.1920097768,
277.0299988,0.2115397006,
277.9599915,0.2214164734,
279.0599976,0.2025745511,
280,0.2219104022,
280.9299927,0.2270265222,
282.0299988,0.268001616,
282.9599915,0.3088697493,
284.0599976,0.3368333578,
285,0.4443552494,
285.9299927,0.5978382826,
287.0299988,0.9000861645,
287.9599915,1.210336804,
289.0599976,1.609480977,
290,2.076022625,
291.0700073,2.557746172,
292,2.938807011,
293.0700073,3.37627244,
294,3.641426802,
295.0700073,3.868365765,
296,3.941546679,
297.0700073,4.057266235,
298,4.143980026,
299.0700073,4.21906662,
300,4.336910725,
300.9299927,4.495907307,
302.0299988,4.604846001,
302.9599915,4.635940075,
304.0599976,4.613382816,
305,4.801018238,
305.9299927,4.889590263,
307.0299988,4.918281078,
307.9599915,4.938105106,
309.0599976,4.953620911,
310,4.831209183,
311.0700073,4.866809368,
312,4.900708199,
313.0700073,4.912568092,
314,4.882535458,
315.0700073,4.947314262,
316,4.987652302,
317.0700073,5.183279991,
318,5.268509865,
319.0700073,5.363677502,
320,5.253587246,
321.0700073,5.344537735,
322,5.373504162,
323.0700073,5.388061523,
324,5.274186134,
325.0700073,5.254545689,
326,5.263149738,
327.0700073,5.167563915,
328,5.173079491,
329.0700073,5.216900349,
330,5.301697731,
330.9299927,5.300730228,
332.0299988,5.369632721,
332.9599915,5.588358879,
334.0599976,5.610314369,
335,5.706056118,
335.9299927,5.911779404,
337.0299988,5.925424576,
337.9599915,6.007632256,
339.0599976,5.928365707,
340,5.592074871,
341.0700073,5.398953438,
342,4.91754055,
343.0700073,4.474443436,
344,4.073335171,
345.0700073,3.642564535,
346,3.202848196,
347.0700073,2.845952034,
348,2.630769014,
349.0700073,2.47625351,
350,2.338003397,
351.0700073,2.254465818,
352,2.142395735,
353.0700073,1.977969646,
354,1.853410602,
355.0700073,1.644432664,
356,1.459229469,
357.0700073,1.308006167,
358,1.144010425,
359.0700073,1.035091519,
360,0.9642845392,
361.0700073,0.8866553307,
362,0.8467032909,
363.0700073,0.8476800323,
364,0.8476718664,
365.0700073,0.8948344588,
366,0.8757973313,
367.0700073,0.9242461324,
368,0.9202097058,
369.0700073,1.089801073,

Sample 19,
Sample 19
Collection Time: 31/05/2023 4:14:42 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         369.00
Em. Wavelength (nm)               379.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                60.00
Data interval (nm)                1.0000
Averaging Time (s)                1.0000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 31/05/2023 3:03:02 PM
Method Modifications:
Overlayed Graphs Changed: 31/05/2023 3:07:04 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 31/05/2023 3:07:04 PM, Old: 350.00, New: 358.00
Emission Wavelength Changed: 31/05/2023 3:07:04 PM, Old: 400.00, New: 368.00
Stop Wavelength Changed: 31/05/2023 3:07:33 PM, Old: 600.00, New: 700.00
Scan mode: Changed: 31/05/2023 3:10:49 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 31/05/2023 3:10:49 PM, Old: 450.00, New: 462.00
User Delta Increment Changed: 31/05/2023 3:10:49 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 31/05/2023 3:10:49 PM, Old: 358.00, New: 220.00
Emission Wavelength Changed: 31/05/2023 3:10:49 PM, Old: 368.00, New: 462.00
Stop Wavelength Changed: 31/05/2023 3:10:49 PM, Old: 700.00, New: 452.00
Scan mode: Changed: 31/05/2023 3:20:22 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 31/05/2023 3:20:22 PM, Old: 220.00, New: 360.00
Emission Wavelength Changed: 31/05/2023 3:20:22 PM, Old: 462.00, New: 370.00
Stop Wavelength Changed: 31/05/2023 3:20:22 PM, Old: 452.00, New: 700.00
Scan mode: Changed: 31/05/2023 3:22:33 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 31/05/2023 3:22:33 PM, Old: 462.00, New: 465.00
Excitation Wavelength Changed: 31/05/2023 3:22:33 PM, Old: 360.00, New: 220.00
Emission Wavelength Changed: 31/05/2023 3:22:33 PM, Old: 370.00, New: 465.00
Stop Wavelength Changed: 31/05/2023 3:22:33 PM, Old: 700.00, New: 455.00
Scan mode: Changed: 31/05/2023 3:49:49 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 31/05/2023 3:49:49 PM, Old: 220.00, New: 340.00
Emission Wavelength Changed: 31/05/2023 3:49:49 PM, Old: 465.00, New: 350.00
Stop Wavelength Changed: 31/05/2023 3:49:49 PM, Old: 455.00, New: 600.00
Excitation Wavelength Changed: 31/05/2023 3:50:20 PM, Old: 340.00, New: 276.00
Excitation Wavelength Changed: 31/05/2023 3:50:54 PM, Old: 276.00, New: 340.00
Scan Control Changed: 31/05/2023 3:54:59 PM, Old:Medium, New:Slowest
Ave. time (s): Changed: 31/05/2023 3:54:59 PM, Old:0.10000, New:1.00000
Data interval: Changed: 31/05/2023 3:54:59 PM, Old:   1.00, New:   0.50
Scan Control Changed: 31/05/2023 3:55:33 PM, Old:Slowest, New:Manual
Ave. time (s): Changed: 31/05/2023 3:55:33 PM, Old:1.00000, New:0.50000
Data interval: Changed: 31/05/2023 3:55:33 PM, Old:   0.50, New:   1.00
Ave. time (s): Changed: 31/05/2023 3:57:00 PM, Old:0.50000, New:1.00000
Stop Wavelength Changed: 31/05/2023 3:57:00 PM, Old: 600.00, New: 650.00
Scan mode: Changed: 31/05/2023 4:14:38 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 31/05/2023 4:14:38 PM, Old: 340.00, New: 220.00
Emission Wavelength Changed: 31/05/2023 4:14:38 PM, Old: 350.00, New: 379.00
Stop Wavelength Changed: 31/05/2023 4:14:38 PM, Old: 650.00, New: 369.00
End Method Modifications

