Sample 20,,
Wavelength (nm),Intensity (a.u.),
220,0.3877645433,
220.9299927,0.8368748426,
222.0299988,0.6987805367,
222.9600067,0.2065960467,
224.0599976,0.2194394022,
225,-0.02764813788,
225.9299927,0.2110167742,
227.0299988,0.1700778455,
227.9600067,0.1450399011,
229.0599976,0.1158122346,
230,0.03515572846,
230.9299927,0.04572396725,
232.0299988,0.08022098243,
232.9600067,0.07090991735,
234.0599976,0.1126977801,
235,0.09572154284,
235.9299927,0.1653605103,
237.0299988,0.0882203728,
237.9600067,0.1335536093,
239.0599976,0.1089767516,
240,0.0636768043,
240.9299927,0.07047437131,
242.0299988,0.07500325888,
242.9600067,0.04040793702,
244.0599976,0.04208526388,
245,0.02424138226,
245.9299927,0.03788616136,
247.0299988,0.04617999122,
247.9600067,0.07720129192,
249.0599976,0.034302257,
250,0.0840311572,
250.9299927,0.05936127156,
252.0299988,0.1127153561,
252.9600067,0.155687198,
254.0599976,0.2467565984,
255,0.3496939242,
255.9299927,0.4016287327,
257.0299988,0.550819993,
257.9599915,0.6363514662,
259.0599976,0.7368151546,
260,0.865868628,
261.0700073,1.001127005,
262,1.276103973,
263.0700073,1.645055294,
264,2.024350405,
265.0700073,2.366919041,
266,2.656150341,
267.0700073,2.953401804,
268,3.1537714,
269.0700073,3.347829342,
270,3.550627232,
270.9299927,3.66123414,
272.0299988,3.7390275,
272.9599915,3.819828987,
274.0599976,3.878622293,
275,4.00281477,
275.9299927,4.002440929,
277.0299988,4.012785912,
277.9599915,4.036631584,
279.0599976,3.991805077,
280,3.975238562,
280.9299927,3.99260354,
282.0299988,4.12945509,
282.9599915,4.147941113,
284.0599976,4.153244972,
285,4.170995235,
285.9299927,4.229709625,
287.0299988,4.294641018,
287.9599915,4.391593456,
289.0599976,4.451539516,
290,4.448346138,
291.0700073,4.487944126,
292,4.563934803,
293.0700073,4.68936491,
294,4.703818798,
295.0700073,4.678430557,
296,4.632798195,
297.0700073,4.660997391,
298,4.64663887,
299.0700073,4.691717148,
300,4.69159174,
300.9299927,4.755198956,
302.0299988,4.816794395,
302.9599915,4.919079304,
304.0599976,4.958032131,
305,5.014288902,
305.9299927,5.047328949,
307.0299988,5.102441788,
307.9599915,5.062346935,
309.0599976,5.046604633,
310,4.997285366,
311.0700073,4.974629402,
312,4.907772064,
313.0700073,4.811344624,
314,4.785179138,
315.0700073,4.835543156,
316,4.888473988,
317.0700073,4.912150383,
318,4.912253857,
319.0700073,5.048825264,
320,5.00474596,
321.0700073,5.055397987,
322,4.827639103,
323.0700073,4.799037933,
324,4.614397526,
325.0700073,4.39234066,
326,4.234899998,
327.0700073,3.952655554,
328,3.872061729,
329.0700073,3.867196083,
330,3.744506359,
330.9299927,3.868315697,
332.0299988,3.87196207,
332.9599915,4.07513237,
334.0599976,4.153529644,
335,4.458948612,
335.9299927,4.746291637,
337.0299988,4.864706516,
337.9599915,4.657206535,
339.0599976,4.337378502,
340,3.740169525,
341.0700073,3.209367275,
342,2.652934551,
343.0700073,2.184610128,
344,1.996253371,
345.0700073,1.728625178,
346,1.600548267,
347.0700073,1.393894792,
348,1.34504652,
349.0700073,1.266163349,
350,1.109829307,
351.0700073,1.10065186,
352,1.02477479,
353.0700073,1.002086043,
354,0.9898017049,
355.0700073,0.9898188114,
356,0.9438695312,
357.0700073,0.9463005662,
358,0.9368425012,
359.0700073,0.8469411731,
360,0.8425319195,
361.0700073,0.8358716965,
362,0.8073273897,
363.0700073,0.8202469945,
364,0.8835966587,
365.0700073,0.8899027109,
366,0.9239327312,
367.0700073,0.9175383449,
368,0.9129176736,
369.0700073,1.06981039,

Sample 20,
Sample 20
Collection Time: 31/05/2023 4:28:10 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         369.00
Em. Wavelength (nm)               379.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                60.00
Data interval (nm)                1.0000
