Sample 2,,
Wavelength (nm),Intensity (a.u.),
220,152.4863434,
220.9299927,159.3198853,
222.0299988,170.4268646,
222.9600067,176.6002502,
224.0599976,195.5778809,
225,208.4802094,
225.9299927,215.4620209,
227.0299988,218.2597961,
227.9600067,214.460968,
229.0599976,215.0732269,
230,211.559845,
230.9299927,213.8230438,
232.0299988,217.0602875,
232.9600067,223.0104675,
234.0599976,229.2671051,
235,233.8807678,
235.9299927,236.7390594,
237.0299988,241.4995575,
237.9600067,246.6745758,
239.0599976,247.0815125,
240,244.640564,
240.9299927,236.9499054,
242.0299988,230.7337189,
242.9600067,227.0243835,
244.0599976,224.486557,
245,222.5119629,
245.9299927,219.3780365,
247.0299988,215.006897,
247.9600067,214.5288391,
249.0599976,213.2203827,
250,216.0325012,
250.9299927,223.4043884,
252.0299988,232.0725861,
252.9600067,242.6197968,
254.0599976,255.4329071,
255,269.036377,
255.9299927,283.4806519,
257.0299988,291.3889771,
257.9599915,285.370697,
259.0599976,281.2092285,
260,269.7914734,
261.0700073,256.4210815,
262,250.0293579,
263.0700073,245.7036743,
264,245.6024933,
265.0700073,236.3246765,
266,230.1358032,
267.0700073,222.5120239,
268,217.8576202,
269.0700073,213.4720459,
270,207.1867828,
270.9299927,205.87677,
272.0299988,204.79216,
272.9599915,204.7884064,
274.0599976,207.579422,
275,213.1274414,
275.9299927,218.4561005,
277.0299988,224.8551788,
277.9599915,234.3131714,
279.0599976,243.6404114,
280,259.430481,
280.9299927,266.4472046,
282.0299988,272.1813049,
282.9599915,267.6503296,
284.0599976,255.5726776,
285,234.0709991,
285.9299927,208.4728088,
287.0299988,178.4903412,
287.9599915,155.0744171,
289.0599976,133.3297577,
290,118.6925583,
291.0700073,109.0949173,
292,105.2265472,
293.0700073,98.89782715,
294,92.62302399,
295.0700073,82.41758728,
296,72.86923218,
297.0700073,60.39187622,
298,53.73452759,
299.0700073,47.6210022,
300,42.42553329,
300.9299927,40.64486694,
302.0299988,39.91490936,
302.9599915,40.9330101,
304.0599976,42.55743027,
305,44.13368225,
305.9299927,46.83604431,
307.0299988,49.7890892,
307.9599915,51.60662079,
309.0599976,53.09502792,
310,56.90146255,
311.0700073,58.13576889,
312,60.64168549,
313.0700073,63.27957535,
314,65.58438873,
315.0700073,69.24484253,
316,71.84590912,
317.0700073,76.3404007,
318,80.06015015,
319.0700073,86.41140747,
320,90.94010162,
321.0700073,96.12973022,
322,100.0247879,
323.0700073,102.4029694,
324,101.9746246,
325.0700073,101.1719742,
326,98.40701294,
327.0700073,98.07611847,
328,98.73681641,
329.0700073,99.46930695,
330,101.9492188,
330.9299927,107.2353668,
332.0299988,111.5267715,
332.9599915,115.6227875,
334.0599976,122.7790298,
335,127.6405182,
335.9299927,131.1155243,
337.0299988,134.4322357,
337.9599915,129.1257324,
339.0599976,118.5808411,
340,105.0953369,
341.0700073,83.57971954,
342,65.00042725,
343.0700073,50.15896988,
344,40.07074738,
345.0700073,32.03827286,
346,28.02562523,
347.0700073,27.24738503,
348,27.74699783,
349.0700073,27.50524902,
350,26.25354004,
351.0700073,24.10672188,
352,20.30502319,
353.0700073,15.65410614,
354,12.01154613,
355.0700073,8.615909576,
356,6.394524574,
357.0700073,4.382011414,
358,3.282574892,
359.0700073,2.507632732,
360,2.18679738,
361.0700073,1.760404468,
362,1.580252528,
363.0700073,1.440406561,
364,1.813925743,

Sample 2,
Sample 2
Collection Time: 4/05/2023 11:17:33 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         364.00
Em. Wavelength (nm)               374.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/05/2023 11:12:11 AM
Method Modifications:
Overlayed Graphs Changed: 4/05/2023 11:16:19 AM, Old:OFF, New:ON
Excitation Wavelength Changed: 4/05/2023 11:16:19 AM, Old: 350.00, New: 339.00
Emission Wavelength Changed: 4/05/2023 11:16:19 AM, Old: 400.00, New: 349.00
Scan mode: Changed: 4/05/2023 11:17:29 AM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 339.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 349.00, New: 374.00
Stop Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 600.00, New: 364.00
End Method Modifications

