Sample 4,,
Wavelength (nm),Intensity (a.u.),
220,225.9156647,
220.9299927,225.615509,
222.0299988,233.1342773,
222.9600067,249.1197968,
224.0599976,260.0451355,
225,281.7810669,
225.9299927,288.7154236,
227.0299988,290.0493164,
227.9600067,281.5536499,
229.0599976,272.0893555,
230,268.8652649,
230.9299927,264.4663391,
232.0299988,264.283844,
232.9600067,269.6932068,
234.0599976,272.9823914,
235,274.6094055,
235.9299927,276.0932617,
237.0299988,282.914978,
237.9600067,288.03479,
239.0599976,295.5606689,
240,295.4320374,
240.9299927,292.1981201,
242.0299988,284.1282349,
242.9600067,282.0529175,
244.0599976,284.7235413,
245,283.8594666,
245.9299927,282.8536377,
247.0299988,277.1156006,
247.9600067,272.2915344,
249.0599976,269.5291138,
250,267.9494324,
250.9299927,270.2622375,
252.0299988,275.9128113,
252.9600067,281.587616,
254.0599976,283.8170471,
255,289.7811279,
255.9299927,295.0205994,
257.0299988,292.7520447,
257.9599915,284.6858521,
259.0599976,266.9700623,
260,252.6938629,
261.0700073,235.9493866,
262,219.411972,
263.0700073,205.4794617,
264,197.7494965,
265.0700073,182.7503815,
266,171.9391937,
267.0700073,161.3797607,
268,153.8516998,
269.0700073,147.5236053,
270,143.5662994,
270.9299927,142.2047882,
272.0299988,142.2850494,
272.9599915,141.5303802,
274.0599976,143.8912811,
275,150.2232056,
275.9299927,154.3242798,
277.0299988,162.3561249,
277.9599915,173.995163,
279.0599976,191.2934723,
280,215.1765289,
280.9299927,241.064682,
282.0299988,265.2779236,
282.9599915,278.4293823,
284.0599976,280.5018005,
285,272.5123291,
285.9299927,258.5933533,
287.0299988,232.262207,
287.9599915,207.6833344,
289.0599976,185.7397919,
290,165.759613,
291.0700073,154.9492493,
292,150.6821289,
293.0700073,148.8694611,
294,143.6739197,
295.0700073,133.2337494,
296,118.2039719,
297.0700073,98.93186951,
298,87.36538696,
299.0700073,73.67682648,
300,64.22802734,
300.9299927,60.52420044,
302.0299988,58.36769485,
302.9599915,58.78833008,
304.0599976,60.63720703,
305,63.26033783,
305.9299927,67.00197601,
307.0299988,70.3653183,
307.9599915,72.4974823,
309.0599976,75.57375336,
310,79.09661102,
311.0700073,82.49488831,
312,85.55340576,
313.0700073,88.50268555,
314,91.88872528,
315.0700073,96.1927948,
316,100.097908,
317.0700073,108.4100418,
318,112.0097656,
319.0700073,119.012558,
320,125.8570251,
321.0700073,134.1393127,
322,139.3474121,
323.0700073,142.6712799,
324,144.4195862,
325.0700073,144.8617096,
326,143.6128387,
327.0700073,140.9456482,
328,139.526886,
329.0700073,138.7348022,
330,140.2667847,
330.9299927,143.8378143,
332.0299988,151.4017792,
332.9599915,158.6320496,
334.0599976,168.4057617,
335,175.997406,
335.9299927,185.381546,
337.0299988,189.5443878,
337.9599915,188.421936,
339.0599976,181.1557465,
340,165.9445343,
341.0700073,140.3637543,
342,112.8269882,
343.0700073,86.46100616,
344,68.13438416,
345.0700073,50.41931534,
346,40.82076645,
347.0700073,36.46580505,
348,39.26403809,
349.0700073,44.58289719,
350,49.13100433,
351.0700073,48.21271896,
352,42.80288696,
353.0700073,33.89986038,
354,26.23445511,
355.0700073,17.69108391,
356,12.38262939,
357.0700073,7.88781786,
358,5.643180847,
359.0700073,4.094285488,
360,3.465019941,
361.0700073,2.621931553,
362,2.449812889,
363.0700073,2.219806433,
364,2.325357914,

Sample 4,
Sample 4
Collection Time: 13/04/2023 2:26:20 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         364.00
Em. Wavelength (nm)               374.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 13/04/2023 2:20:41 PM
Method Modifications:
Overlayed Graphs Changed: 13/04/2023 2:23:02 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 13/04/2023 2:23:02 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 13/04/2023 2:23:02 PM, Old: 400.00, New: 350.00
Stop Wavelength Changed: 13/04/2023 2:23:02 PM, Old: 600.00, New: 700.00
Scan mode: Changed: 13/04/2023 2:24:00 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 13/04/2023 2:24:00 PM, Old: 340.00, New: 220.00
Emission Wavelength Changed: 13/04/2023 2:24:00 PM, Old: 350.00, New: 375.00
Stop Wavelength Changed: 13/04/2023 2:24:00 PM, Old: 700.00, New: 365.00
Scan mode: Changed: 13/04/2023 2:24:45 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 13/04/2023 2:24:45 PM, Old: 220.00, New: 337.00
Emission Wavelength Changed: 13/04/2023 2:24:45 PM, Old: 375.00, New: 347.00
Stop Wavelength Changed: 13/04/2023 2:24:45 PM, Old: 365.00, New: 700.00
Scan mode: Changed: 13/04/2023 2:26:16 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 13/04/2023 2:26:16 PM, Old: 337.00, New: 220.00
Emission Wavelength Changed: 13/04/2023 2:26:16 PM, Old: 347.00, New: 374.00
Stop Wavelength Changed: 13/04/2023 2:26:16 PM, Old: 700.00, New: 364.00
End Method Modifications

