Sample 18,,
Wavelength (nm),Intensity (a.u.),
220,10.85147285,
220.9299927,11.40157318,
222.0299988,11.81193733,
222.9600067,11.6761198,
224.0599976,14.07448387,
225,15.34520817,
225.9299927,16.47669029,
227.0299988,17.78983879,
227.9600067,18.18181801,
229.0599976,18.61916351,
230,19.41479111,
230.9299927,21.11851692,
232.0299988,23.55070496,
232.9600067,26.1574192,
234.0599976,28.82033157,
235,30.68549347,
235.9299927,32.59928513,
237.0299988,35.59380722,
237.9600067,38.42429733,
239.0599976,40.57845688,
240,41.21662521,
240.9299927,40.92217255,
242.0299988,40.1301918,
242.9600067,40.62469864,
244.0599976,41.41070557,
245,41.52470398,
245.9299927,41.22699356,
247.0299988,40.79338074,
247.9600067,40.76808167,
249.0599976,40.6802597,
250,41.56985855,
250.9299927,43.29246521,
252.0299988,46.0278244,
252.9600067,48.62512589,
254.0599976,51.75674438,
255,57.02751923,
255.9299927,61.78315735,
257.0299988,65.96931458,
257.9599915,66.75847626,
259.0599976,65.58991241,
260,64.60726166,
261.0700073,62.63349152,
262,61.81626129,
263.0700073,62.72035217,
264,63.42919922,
265.0700073,64.11263275,
266,62.83266068,
267.0700073,61.35002518,
268,59.82174301,
269.0700073,58.1902504,
270,56.91103745,
270.9299927,55.93901443,
272.0299988,55.1522522,
272.9599915,54.15083313,
274.0599976,54.9990921,
275,56.03736877,
275.9299927,57.62418747,
277.0299988,59.45191193,
277.9599915,61.04098129,
279.0599976,63.23005295,
280,66.29505157,
280.9299927,70.07639313,
282.0299988,73.10142517,
282.9599915,75.98871613,
284.0599976,76.77789307,
285,75.74002075,
285.9299927,71.97380066,
287.0299988,64.98338318,
287.9599915,57.91866302,
289.0599976,50.88776016,
290,44.59976959,
291.0700073,39.36981964,
292,36.31572342,
293.0700073,33.84418106,
294,32.17862701,
295.0700073,29.07471085,
296,26.26128006,
297.0700073,22.27359009,
298,19.92270851,
299.0700073,17.23216057,
300,15.03357983,
300.9299927,13.96355534,
302.0299988,13.33227825,
302.9599915,13.27335358,
304.0599976,13.34561634,
305,14.07381916,
305.9299927,14.80654716,
307.0299988,15.39156532,
307.9599915,16.17818642,
309.0599976,16.436409,
310,17.16558075,
311.0700073,17.85595322,
312,18.84270096,
313.0700073,19.30459785,
314,19.94121742,
315.0700073,21.04068375,
316,21.71816063,
317.0700073,23.08543968,
318,23.9883461,
319.0700073,25.74965096,
320,27.19983864,
321.0700073,29.06665421,
322,30.43984604,
323.0700073,31.45260429,
324,31.18611717,
325.0700073,31.52459908,
326,31.48241806,
327.0700073,30.89663887,
328,30.96346092,
329.0700073,30.74180794,
330,31.73048019,
330.9299927,32.48707962,
332.0299988,33.6931076,
332.9599915,34.73139572,
334.0599976,36.17882538,
335,37.77892685,
335.9299927,39.55473328,
337.0299988,41.49145508,
337.9599915,41.42092514,
339.0599976,40.26852417,
340,37.29621506,
341.0700073,32.10565567,
342,26.68928146,
343.0700073,20.98270035,
344,17.14632607,
345.0700073,13.08669567,
346,10.59270382,
347.0700073,9.239377975,
348,8.802446365,
349.0700073,8.757433891,
350,8.853033066,
351.0700073,8.676060677,
352,7.957148552,
353.0700073,7.250258923,
354,6.08286953,
355.0700073,5.028347969,
356,4.013567448,
357.0700073,3.041073084,
358,2.269459963,
359.0700073,1.601563573,
360,1.199001193,
361.0700073,0.9044079781,
362,0.7245336175,
363.0700073,0.5858436227,
364,0.4882687032,
365.0700073,0.5073981285,
366,0.4682928622,
367.0700073,0.4053631127,
