Sample 19,,
Wavelength (nm),Intensity (a.u.),
220,-0.09514144063,
220.9299927,0.6977003813,
222.0299988,0.3736222684,
222.9600067,0,
224.0599976,0.1946314126,
225,0.3801755607,
225.9299927,0.008927694522,
227.0299988,0.2748601139,
227.9600067,0.3064362705,
229.0599976,0.3133169413,
230,0.1779727489,
230.9299927,0.3182919919,
232.0299988,0.2778312266,
232.9600067,0.3733171523,
234.0599976,0.4323091805,
235,0.4265944064,
235.9299927,0.522536695,
237.0299988,0.3294799328,
237.9600067,0.276489526,
239.0599976,0.4501217008,
240,0.3864403963,
240.9299927,0.418851018,
242.0299988,0.4342906773,
242.9600067,0.4118335247,
244.0599976,0.4192453027,
245,0.3919501305,
245.9299927,0.4221309125,
247.0299988,0.4352906346,
247.9600067,0.3751003742,
249.0599976,0.4221110344,
250,0.406170696,
250.9299927,0.3993529379,
252.0299988,0.4168924987,
252.9600067,0.4994597435,
254.0599976,0.4167419076,
255,0.4348201454,
255.9299927,0.4554704726,
257.0299988,0.4773503542,
257.9599915,0.4928287268,
259.0599976,0.4836136401,
260,0.496630609,
261.0700073,0.50608778,
262,0.4987823069,
263.0700073,0.4925636351,
264,0.564869523,
265.0700073,0.6095996499,
266,0.6420813203,
267.0700073,0.668449223,
268,0.7279951572,
269.0700073,0.771128118,
270,0.7701271176,
270.9299927,0.7776125669,
272.0299988,0.8100584149,
272.9599915,0.857288003,
274.0599976,0.8536857367,
275,0.9180150032,
275.9299927,0.9632828832,
277.0299988,1.016602159,
277.9599915,1.060955763,
279.0599976,1.136586189,
280,1.165204763,
280.9299927,1.190547824,
282.0299988,1.231888413,
282.9599915,1.23651433,
284.0599976,1.233020544,
285,1.274850011,
285.9299927,1.316510081,
287.0299988,1.27935636,
287.9599915,1.3197124,
289.0599976,1.33509469,
290,1.319420815,
291.0700073,1.32713306,
292,1.309150934,
293.0700073,1.332403302,
294,1.24225378,
295.0700073,1.251522064,
296,1.236876965,
297.0700073,1.183395743,
298,1.187750936,
299.0700073,1.102013469,
300,1.046855688,
300.9299927,1.079425812,
302.0299988,1.122765779,
302.9599915,1.020521641,
304.0599976,0.9429707527,
305,0.9573625922,
305.9299927,0.9703192711,
307.0299988,0.9442175031,
307.9599915,0.8956460357,
309.0599976,0.8068147898,
310,0.7965089679,
311.0700073,0.7354977131,
312,0.6910104156,
313.0700073,0.7117298841,
314,0.6808524132,
315.0700073,0.5908280015,
316,0.6132788062,
317.0700073,0.6325716972,
318,0.5817430019,
319.0700073,0.5508195758,
320,0.5099489689,
321.0700073,0.4817140102,
322,0.4371618629,
323.0700073,0.4705139399,
324,0.3870620728,
325.0700073,0.3426339924,
326,0.3937601149,
327.0700073,0.3547520339,
328,0.2821774781,
329.0700073,0.4038357437,
330,0.2159745842,
330.9299927,0.2761849463,
332.0299988,0.2236620933,
332.9599915,0.3268584311,
334.0599976,0.311796397,
335,0.2847069502,
335.9299927,0.2480574548,
337.0299988,0.2474542707,
337.9599915,0.2607534528,
339.0599976,0.2801606357,
340,0.236725837,
341.0700073,0.1659259647,
342,0.2278163731,
343.0700073,0.1227403283,
344,0.1507059038,
345.0700073,0.1756654829,
346,0.1256608665,
347.0700073,0.2110058069,
348,0.2438681275,
349.0700073,0.2280537933,
350,0.271977663,
351.0700073,0.4814175665,
352,0.6627895832,
353.0700073,0.9318323135,
354,1.152632475,
355.0700073,1.291641951,
356,1.294146299,
357.0700073,1.086428046,
358,0.9197789431,
359.0700073,0.5642883778,
360,0.3971889019,
