Sample 3,,
Wavelength (nm),Intensity (a.u.),
220,30.93806076,
220.9299927,32.07398605,
222.0299988,34.00491714,
222.9600067,36.87150955,
224.0599976,40.71302032,
225,44.84490967,
225.9299927,49.31291199,
227.0299988,51.64102936,
227.9600067,52.05127716,
229.0599976,52.69628143,
230,53.16287231,
230.9299927,53.88504791,
232.0299988,55.85417175,
232.9600067,59.36107254,
234.0599976,62.29498291,
235,62.54257202,
235.9299927,63.59320831,
237.0299988,63.05220032,
237.9600067,60.11297226,
239.0599976,55.36013412,
240,49.62761688,
240.9299927,43.48416138,
242.0299988,34.52294922,
242.9600067,26.23784828,
244.0599976,18.56003189,
245,13.4841814,
245.9299927,10.2118082,
247.0299988,7.961072922,
247.9600067,6.761086464,
249.0599976,6.063599586,
250,5.441224575,
250.9299927,4.854057312,
252.0299988,4.117264748,
252.9600067,3.54803586,
254.0599976,3.177141666,
255,3.129763365,
255.9299927,3.304457903,
257.0299988,3.212794781,
257.9599915,3.28897953,
259.0599976,3.296738625,
260,3.286959648,
261.0700073,3.376258135,
262,3.389176607,
263.0700073,4.375995159,
264,7.106691837,
265.0700073,12.90263176,
266,18.5127697,
267.0700073,23.47517967,
268,25.14247322,
269.0700073,23.29284668,
270,19.04509735,
270.9299927,14.95470238,
272.0299988,10.4577198,
272.9599915,8.213155746,
274.0599976,7.092583656,
275,7.138606548,
275.9299927,7.540101051,
277.0299988,8.042827606,
277.9599915,8.728909492,
279.0599976,9.387008667,
280,10.00943375,
280.9299927,10.55319977,
282.0299988,11.61194801,
282.9599915,12.22410011,
284.0599976,13.17424488,
285,14.06339264,
285.9299927,14.87825584,
287.0299988,16.0432663,
287.9599915,16.71593285,
289.0599976,17.36976051,
290,18.32863235,
291.0700073,19.16223145,
292,19.89019394,
293.0700073,20.88075638,
294,21.9193058,
295.0700073,22.30848312,
296,23.04180527,
297.0700073,23.93582726,
298,24.84765434,
299.0700073,25.72148514,
300,26.81209755,
300.9299927,27.67840195,
302.0299988,27.95670128,
302.9599915,27.59826279,
304.0599976,27.20861244,
305,26.07533073,
305.9299927,24.88101006,
307.0299988,22.81489944,
307.9599915,21.53508186,
309.0599976,20.2017765,
310,18.95924568,
311.0700073,17.92154312,
312,17.32011986,
313.0700073,16.82407951,
314,16.83645058,
315.0700073,16.97453308,
316,17.0093174,
317.0700073,17.33717918,
318,17.23519897,
319.0700073,17.71102905,
320,18.77128029,
321.0700073,19.16280746,
322,19.4022541,
323.0700073,19.72533226,
324,19.59434509,
325.0700073,19.75224113,
326,20.22055244,
327.0700073,20.67565155,
328,21.25389481,
329.0700073,21.42029762,
330,22.35187531,
330.9299927,22.74220085,
332.0299988,23.39683723,
332.9599915,23.75972366,
334.0599976,23.84189034,
335,24.29562187,
335.9299927,24.41983414,
337.0299988,24.89825058,
337.9599915,25.44929504,
339.0599976,25.74057198,
340,25.866539,
341.0700073,26.51687431,
342,26.91781616,
343.0700073,27.09424019,
344,26.92361259,
345.0700073,26.69107628,
346,27.11837196,
347.0700073,27.23698616,
348,27.30016708,
349.0700073,27.55376244,
350,27.89055252,
351.0700073,28.001894,
352,28.2481842,
353.0700073,28.3891964,
354,28.43811417,
355.0700073,28.2081337,
356,28.06192398,
357.0700073,28.02280617,
358,27.88894844,
359.0700073,27.48660469,
360,26.93093491,
361.0700073,26.35488701,
362,25.5174942,
363.0700073,24.65800476,
364,24.03067017,
365.0700073,23.69247055,
366,23.57478905,
367.0700073,23.35727692,
368,23.09394646,
369.0700073,22.43718147,
370,22.48709488,
371.0599976,21.98911667,
371.9599915,21.88880539,
373.0299988,21.53778267,
373.9299927,21.32662201,
375,20.9516983,
376.0599976,20.27379417,
376.9599915,19.84996414,
378.0299988,19.29482079,
378.9299927,18.87865829,
380,18.40942001,
381.0700073,17.93761826,
382,17.2967968,
383.0700073,16.8276329,
384,15.99884033,
385.0700073,14.96738243,
386,14.08078003,
387.0700073,13.23539829,
388,12.4625349,
389.0700073,11.56310749,
390,10.69250202,
391.0700073,9.69252491,
392,9.078899384,
393.0700073,8.279531479,
394,7.464132786,
395.0700073,6.76808691,
396,6.202144146,
397.0700073,5.661120892,
398,5.337265491,
399.0700073,4.924431324,
400,4.580935955,
401.0599976,4.339882851,
401.9599915,4.036538601,
403.0299988,3.905465126,
403.9299927,3.808175087,
405,3.731867313,
406.0599976,3.700191021,
406.9599915,3.805753469,
408.0299988,3.81196785,
408.9299927,3.760021448,
410,3.96024847,
411.0700073,4.150530815,
412,4.154573441,
413.0700073,4.396914482,
414,4.519971848,
415.0700073,4.733338833,
416,4.972288132,
417.0700073,5.259517193,
418,5.593100071,
419.0700073,5.772071838,
420,6.019124985,
421.0599976,6.353752613,
421.9599915,6.723349094,
423.0299988,7.085747719,
423.9299927,7.403763294,
425,7.857732296,
426.0599976,8.439361572,
426.9599915,9.001037598,
428.0299988,9.843830109,
428.9299927,10.87041855,
430,11.93879032,
431.0599976,12.86579609,
431.9599915,13.60122681,
433.0299988,14.61834145,
433.9299927,15.60037136,
435,16.7544899,
436.0599976,17.86474609,
436.9599915,18.78476906,
438.0299988,19.99831963,
438.9299927,20.95558929,
440,21.93663597,
441.0599976,22.84015274,
441.9599915,23.78191757,
443.0299988,25.29995155,
443.9299927,26.6215992,
445,28.38085365,
446.0599976,29.51673889,
446.9599915,30.6548748,
448.0299988,32.13207626,
448.9299927,34.06132126,
450,36.52135468,
451.0599976,39.77703476,
451.9599915,42.91722488,
453.0299988,46.66188431,
453.9299927,50.07831955,
455,55.12726212,
456.0599976,60.92057419,
456.9599915,66.21083832,
458.0299988,70.90983582,
458.9299927,74.2385025,
460,77.80444336,
461.0599976,81.92553711,
461.9599915,87.33242035,
463.0299988,94.98405457,
463.9299927,102.5437012,
465,109.2412567,
466.0599976,115.9390259,
466.9599915,120.2134323,
468.0299988,124.7002869,
468.9299927,128.9086761,
470,131.9543152,
471.0400085,134.6002197,
471.9400024,137.5032196,
