Sample 19,,
Wavelength (nm),Intensity (a.u.),
220,3.093694687,
220.9299927,2.069054604,
222.0299988,1.78796792,
222.9600067,1.899696112,
224.0599976,0.8623787165,
225,1.110270023,
225.9299927,0.6310143471,
227.0299988,0.325974226,
227.9600067,0.4688232541,
229.0599976,0.3838338256,
230,0.3837385178,
230.9299927,0.4457164407,
232.0299988,0.4141858518,
232.9600067,0.6831962466,
234.0599976,0.232964471,
235,0.5002354383,
235.9299927,0.3487459719,
237.0299988,0.3765667677,
237.9600067,0.4558213055,
239.0599976,0.388325721,
240,0.2730049193,
240.9299927,0.2721335292,
242.0299988,0.2921181023,
242.9600067,0.09977550805,
244.0599976,0.1367848814,
245,0.22417216,
245.9299927,0.252464056,
247.0299988,0.2075488418,
247.9600067,0.1942243874,
249.0599976,0.3443258405,
250,0.2686589956,
250.9299927,0.2831791639,
252.0299988,0.2426669151,
252.9600067,0.4993958771,
254.0599976,0.337467283,
255,0.3075456321,
255.9299927,0.2044098079,
257.0299988,0.0804958567,
257.9599915,0.2164736539,
259.0599976,0.2399849147,
260,0.1515406668,
261.0700073,0.2929060161,
262,0.3670598269,
263.0700073,0.7703500986,
264,1.031182051,
265.0700073,1.393335462,
266,1.905624151,
267.0700073,2.541507959,
268,2.735268354,
269.0700073,3.283229828,
270,3.377210379,
270.9299927,3.6820364,
272.0299988,4.091313839,
272.9599915,4.284279823,
274.0599976,4.938467979,
275,5.222841263,
275.9299927,5.46217823,
277.0299988,6.056880474,
277.9599915,6.248338223,
279.0599976,6.296831131,
280,6.385812759,
280.9299927,6.413668633,
282.0299988,6.518394947,
282.9599915,7.609614849,
284.0599976,10.19732475,
285,15.87999058,
285.9299927,22.93398285,
287.0299988,30.27633858,
287.9599915,32.90119553,
289.0599976,32.64727783,
290,27.36870766,
291.0700073,19.42881012,
292,14.08281898,
293.0700073,10.44981194,
294,9.730753899,
295.0700073,9.38301754,
296,9.578477859,
297.0700073,9.807188988,
298,10.14012432,
299.0700073,10.61199188,
300,10.6659565,
300.9299927,10.8140173,
302.0299988,11.08130932,
302.9599915,11.08013821,
304.0599976,11.20010281,
305,10.63562298,
305.9299927,10.44615364,
307.0299988,9.867036819,
307.9599915,9.395852089,
309.0599976,8.85150528,
310,8.509487152,
311.0700073,8.313961983,
312,8.140193939,
313.0700073,7.680770874,
314,7.739385128,
