Sample 25,,
Wavelength (nm),Intensity (a.u.),
220,4.683840752,
220.9299927,4.68473053,
222.0299988,3.903285265,
222.9600067,2.955665112,
224.0599976,1.34723115,
225,2.041441202,
225.9299927,0.9935039282,
227.0299988,1.043992758,
227.9600067,0.9866204262,
229.0599976,0.8632901907,
230,0.8161229491,
230.9299927,0.8844408393,
232.0299988,0.8664600849,
232.9600067,1.211887479,
234.0599976,1.450705051,
235,1.1935606,
235.9299927,1.033443332,
237.0299988,1.170212746,
237.9600067,0.8457374573,
239.0599976,0.9502757788,
240,0.5102388263,
240.9299927,0.6805190444,
242.0299988,0.5559623837,
242.9600067,0.5336046815,
244.0599976,0.447802335,
245,0.4746852517,
245.9299927,0.4625765383,
247.0299988,0.4353246093,
247.9600067,0.5573966503,
249.0599976,0.4953110516,
250,0.7434128523,
250.9299927,0.708812058,
252.0299988,0.7145621777,
252.9600067,0.8268405199,
254.0599976,0.8868679404,
255,0.8728141785,
255.9299927,1.085267186,
257.0299988,1.139953732,
257.9599915,1.233587146,
259.0599976,1.337837458,
260,1.484503984,
261.0700073,1.867690682,
262,2.143855333,
263.0700073,3.071794033,
264,4.56843996,
265.0700073,6.890943527,
266,9.432925224,
267.0700073,11.28799057,
268,11.76797295,
269.0700073,11.83030319,
270,10.52880383,
270.9299927,9.206820488,
272.0299988,7.755600929,
272.9599915,7.340219498,
274.0599976,7.388178825,
275,7.763202667,
275.9299927,8.288705826,
277.0299988,9.249628067,
277.9599915,9.655737877,
279.0599976,10.3829813,
280,11.12645054,
280.9299927,11.90803146,
282.0299988,12.7038002,
282.9599915,13.52281094,
284.0599976,14.26537895,
285,14.75713062,
285.9299927,15.92112923,
287.0299988,16.82067871,
287.9599915,17.94380951,
289.0599976,18.49609184,
290,19.66054535,
291.0700073,20.64489937,
292,21.65413475,
293.0700073,22.23460197,
294,23.29836845,
295.0700073,24.34199524,
296,24.70792961,
297.0700073,25.81643677,
298,26.2688694,
299.0700073,27.10760498,
300,27.89558029,
300.9299927,29.25476456,
302.0299988,29.45765495,
302.9599915,29.4398632,
304.0599976,29.44079208,
305,29.25250626,
305.9299927,28.46301842,
307.0299988,26.95035362,
307.9599915,25.77372169,
309.0599976,24.72977829,
310,23.60704422,
311.0700073,22.75127411,
312,21.92441368,
313.0700073,21.43042183,
314,20.94343948,
315.0700073,21.23100281,
316,20.73321152,
317.0700073,20.94493866,
318,21.22920227,
319.0700073,21.78232956,
320,22.30867767,
321.0700073,22.95178604,
322,23.36510658,
323.0700073,23.9900074,
324,24.41765785,
325.0700073,23.98534584,
326,24.14511108,
327.0700073,24.40446281,
328,25.17352676,
329.0700073,26.05799103,
330,27.51512337,
330.9299927,28.07436371,
332.0299988,28.41277122,
332.9599915,28.77799225,
334.0599976,29.48738289,
335,29.70829773,
335.9299927,30.01137924,
337.0299988,30.6708107,
337.9599915,31.1669693,
339.0599976,31.46034431,
340,32.62715912,
341.0700073,32.64931107,
342,33.34259415,
343.0700073,33.03023529,
344,33.26829147,
345.0700073,33.57152939,
346,32.89047623,
347.0700073,33.74954224,
348,33.47913361,
349.0700073,34.21090698,
350,34.63640976,
351.0700073,34.74628448,
352,35.13727951,
353.0700073,34.88684082,
354,34.80113602,
355.0700073,34.40102005,
356,34.37696457,
357.0700073,34.05003738,
358,33.6147995,
359.0700073,33.38620377,
360,33.00642776,
361.0700073,32.46618652,
362,31.23692703,
363.0700073,30.012537,
364,29.40201759,
365.0700073,29.49042511,
366,29.37511635,
367.0700073,28.8203373,
368,28.99093437,
369.0700073,28.28906441,
370,28.79679871,
371.0599976,28.04283524,
371.9599915,27.79849052,
373.0299988,26.97185135,
373.9299927,27.0543251,
375,26.81140137,
376.0599976,25.51977539,
376.9599915,24.71442223,
378.0299988,24.3129158,
378.9299927,23.70890236,
380,22.95609093,
381.0700073,22.04657745,
382,21.76219368,
383.0700073,20.55886269,
384,19.78136444,
385.0700073,18.73851204,
386,17.65045547,
387.0700073,16.50592232,
388,15.51472664,
389.0700073,14.66976833,
390,13.78790092,
391.0700073,12.61098003,
392,11.53846169,
393.0700073,10.57540607,
394,9.942903519,
395.0700073,9.059401512,
396,8.447075844,
397.0700073,7.727468491,
398,7.2546525,
399.0700073,6.914254665,
400,6.317356586,
401.0599976,6.176622868,
401.9599915,5.793237686,
403.0299988,5.72893095,
403.9299927,5.645219326,
405,5.454391479,
406.0599976,5.590666294,
406.9599915,5.476199627,
408.0299988,5.820742607,
408.9299927,5.672298431,
410,5.977163792,
411.0700073,6.052858353,
412,6.301087856,
413.0700073,6.411860943,
414,6.94141531,
415.0700073,7.213922977,
416,7.484109879,
417.0700073,8.087285995,
418,8.360031128,
419.0700073,8.817875862,
420,9.290558815,
421.0599976,9.733019829,
421.9599915,10.23330116,
423.0299988,10.81413078,
423.9299927,11.35730743,
425,12.11540699,
426.0599976,12.96263599,
426.9599915,13.69488239,
428.0299988,15.13668442,
428.9299927,16.50129509,
430,18.14871216,
431.0599976,19.51579666,
431.9599915,20.49630737,
433.0299988,21.77845383,
433.9299927,22.8607254,
435,24.67001343,
436.0599976,25.82702065,
436.9599915,27.37458229,
438.0299988,29.03427505,
438.9299927,30.40038872,
440,31.58801079,
441.0599976,32.90521622,
441.9599915,34.53435135,
443.0299988,37.05969238,
443.9299927,38.95488739,
445,42.14747238,
446.0599976,43.82479477,
446.9599915,46.301651,
448.0299988,48.70790482,
448.9299927,52.01018906,
450,56.36582184,
451.0599976,60.68157959,
451.9599915,65.84364319,
453.0299988,70.85647583,
453.9299927,77.17945862,
455,84.31916046,
456.0599976,92.33895111,
456.9599915,100.0365677,
458.0299988,107.792099,
458.9299927,112.3233414,
460,116.3869095,
461.0599976,120.6270676,
461.9599915,126.8199387,
