Sample 18,,
Wavelength (nm),Intensity (a.u.),
220,24.97473717,
220.9299927,27.33245659,
222.0299988,30.34257698,
222.9600067,32.50673294,
224.0599976,34.39854813,
225,40.79320145,
225.9299927,44.22738647,
227.0299988,46.694664,
227.9600067,46.50187683,
229.0599976,46.27999496,
230,47.54714966,
230.9299927,47.22496033,
232.0299988,49.2103157,
232.9600067,51.36313248,
234.0599976,54.08876419,
235,53.96563339,
235.9299927,52.79388428,
237.0299988,49.29798126,
237.9600067,46.55360031,
239.0599976,40.19632721,
240,34.18803406,
240.9299927,29.37949562,
242.0299988,22.37016869,
242.9600067,17.60731506,
244.0599976,12.19984722,
245,8.590835571,
245.9299927,6.375218391,
247.0299988,4.568640232,
247.9600067,4.034878254,
249.0599976,3.365644932,
250,2.543553591,
250.9299927,2.33175087,
252.0299988,2.456257343,
252.9600067,2.438180685,
254.0599976,2.765074968,
255,3.100186586,
255.9299927,3.403987408,
257.0299988,3.358217478,
257.9599915,3.281941652,
259.0599976,2.874671221,
260,2.687451839,
261.0700073,2.481806278,
262,2.392488241,
263.0700073,2.831126928,
264,3.032809496,
265.0700073,3.046880484,
266,3.275707245,
267.0700073,3.554786921,
268,3.96888566,
269.0700073,4.365416527,
270,4.54190588,
270.9299927,4.834248543,
272.0299988,5.070536613,
272.9599915,5.840939522,
274.0599976,8.178812027,
275,12.24030781,
275.9299927,17.42925072,
277.0299988,23.83538437,
277.9599915,26.3296814,
279.0599976,26.41437531,
280,24.59008789,
280.9299927,20.51228142,
282.0299988,15.33324528,
282.9599915,13.03066826,
284.0599976,12.16168022,
285,12.01287556,
285.9299927,12.95731068,
287.0299988,13.65006828,
287.9599915,14.30797672,
289.0599976,15.07924557,
290,15.62424755,
291.0700073,16.33611298,
292,17.47833252,
293.0700073,17.79782867,
294,18.51989365,
295.0700073,19.18398285,
296,20.01461029,
297.0700073,20.82181358,
298,21.26306343,
299.0700073,22.12106323,
300,22.2339859,
300.9299927,23.23080635,
302.0299988,22.86086273,
302.9599915,22.68444633,
304.0599976,21.54424477,
305,20.1892128,
305.9299927,19.10988426,
307.0299988,17.69138336,
307.9599915,16.78375435,
309.0599976,15.93848896,
310,15.0307827,
311.0700073,14.55337429,
312,14.20354843,
313.0700073,13.97925568,
314,13.84119511,
315.0700073,13.76270199,
316,13.98384953,
317.0700073,14.56799507,
318,14.56487846,
319.0700073,15.36529541,
320,15.38846684,
321.0700073,16.15163231,
322,16.28129196,
323.0700073,16.84487534,
324,16.30353165,
325.0700073,16.7620945,
326,16.81726646,
327.0700073,17.82416916,
328,17.69610214,
329.0700073,18.90623856,
330,19.02011871,
330.9299927,19.20445251,
332.0299988,19.6517334,
332.9599915,19.7071209,
334.0599976,20.58029175,
335,20.79416466,
335.9299927,20.578125,
337.0299988,21.34527779,
337.9599915,21.45452309,
339.0599976,21.78190422,
340,22.07616425,
341.0700073,22.38907814,
342,22.93296051,
343.0700073,23.05784607,
344,22.91547203,
345.0700073,22.81904602,
346,22.9745903,
347.0700073,22.63157845,
348,22.67294312,
349.0700073,23.57020569,
350,23.35760307,
351.0700073,23.65903664,
352,23.8445549,
353.0700073,23.82116508,
354,24.04384232,
355.0700073,23.49318886,
356,23.53818703,
357.0700073,23.13960838,
358,22.87681198,
359.0700073,22.73309135,
360,22.38888931,
361.0700073,21.30525398,
362,20.79692268,
363.0700073,20.38235855,
364,19.81224632,
365.0700073,19.58203697,
366,19.78557587,
367.0700073,19.53179169,
368,18.87929726,
369.0700073,18.98155594,
370,18.56752205,
371.0599976,18.41661835,
371.9599915,18.53732872,
373.0299988,18.00780869,
373.9299927,17.42899704,
375,17.41737938,
376.0599976,16.96810341,
376.9599915,16.57806396,
378.0299988,15.74973011,
378.9299927,15.4418335,
380,14.74288464,
381.0700073,14.45066452,
382,13.92762661,
383.0700073,13.15544891,
384,12.53623104,
385.0700073,11.71980762,
386,10.93877029,
387.0700073,10.0583744,
388,9.569793701,
389.0700073,8.888043404,
390,8.023432732,
391.0700073,7.286118507,
392,6.662664413,
393.0700073,6.097795963,
394,5.409808159,
395.0700073,5.04979372,
396,4.715326309,
397.0700073,4.421842098,
398,4.165392876,
399.0700073,3.846648932,
400,3.631861448,
401.0599976,3.729048491,
401.9599915,3.478889227,
403.0299988,3.303165197,
403.9299927,3.429351091,
405,3.266312122,
406.0599976,3.317055225,
406.9599915,3.450979471,
408.0299988,3.551588535,
408.9299927,3.570321798,
410,3.838183165,
411.0700073,3.778004646,
412,3.975416183,
413.0700073,4.377297401,
414,4.553783417,
415.0700073,4.682089329,
416,5.22014904,
417.0700073,5.39607954,
418,5.56238699,
419.0700073,5.954255581,
420,6.349886417,
421.0599976,6.547958851,
421.9599915,6.863245964,
423.0299988,7.361445904,
423.9299927,7.814094543,
425,8.361539841,
426.0599976,9.00538826,
426.9599915,9.481639862,
428.0299988,10.55626965,
428.9299927,11.3333931,
430,12.59110832,
431.0599976,13.54170704,
431.9599915,13.90657043,
433.0299988,15.33146191,
433.9299927,15.82355213,
435,16.95320892,
436.0599976,18.20995331,
436.9599915,18.73508453,
438.0299988,19.74646187,
438.9299927,20.65555573,
440,21.72659302,
441.0599976,22.85555077,
441.9599915,23.83858871,
443.0299988,25.32253075,
443.9299927,27.12516594,
445,28.8529377,
446.0599976,30.12862968,
446.9599915,31.79475212,
448.0299988,33.80413055,
448.9299927,36.21913147,
450,39.37014389,
451.0599976,42.5310173,
451.9599915,46.04314041,
453.0299988,50.26861572,
453.9299927,53.86790085,
455,58.54888153,
456.0599976,64.98737335,
456.9599915,69.59249878,
458.0299988,75.47118378,
458.9299927,78.34407043,
460,81.04734039,
461.0599976,85.26472473,
461.9599915,89.29106903,
463.0299988,94.92183685,
463.9299927,100.5001755,
465,103.6522293,
466.0599976,108.0007629,
466.9599915,109.1787033,
468.0299988,112.0020142,
468.9299927,114.4166183,
470,117.0505676,
471.0400085,120.074707,
471.9400024,123.913765,
472.980011,129.0920563,
474.019989,136.3365784,
475.0700073,146.0167542,
475.9700012,155.3237915,
477.0100098,166.582962,
478.0499878,183.460495,
478.9500122,199.5022888,
480,222.1968689,
481.0599976,241.597229,
481.9599915,251.5977631,
483.0299988,259.4605713,
483.9299927,263.8899536,
485,272.6379395,
486.0599976,279.9710999,
