Sample 19,,
Wavelength (nm),Intensity (a.u.),
220,1.325673938,
220.9299927,2.433713198,
222.0299988,0.8795074821,
222.9600067,1.098800421,
224.0599976,1.410735607,
225,0.4138430655,
225.9299927,0.8674395084,
227.0299988,0.6162695289,
227.9600067,0.634409368,
229.0599976,0.3747217059,
230,0.4198245704,
230.9299927,0.09232971072,
232.0299988,0.2368358672,
232.9600067,0.08244249225,
234.0599976,0.5220114589,
235,0.3217315078,
235.9299927,0.2327746749,
237.0299988,0.3222860694,
237.9600067,0.336158663,
239.0599976,0.04007774964,
240,0.1674452871,
240.9299927,0.2403593361,
242.0299988,0.1459021419,
242.9600067,0.2242040783,
244.0599976,0.307107836,
245,0.2561092973,
245.9299927,0.2416529059,
247.0299988,0.2762676179,
247.9600067,0.2382827103,
249.0599976,0.3307571113,
250,0.2749346793,
250.9299927,0.2433649153,
252.0299988,0.4601454735,
252.9600067,0.83423841,
254.0599976,1.00783515,
255,1.523475409,
255.9299927,1.648653626,
257.0299988,1.506915092,
257.9599915,1.432525992,
259.0599976,1.100450516,
260,0.8484400511,
261.0700073,0.723235786,
262,0.5083884001,
263.0700073,0.5310381055,
264,0.5589395761,
265.0700073,0.5036380291,
266,0.502229929,
267.0700073,0.7332412004,
268,0.690644443,
269.0700073,0.6137666106,
270,0.5403987765,
270.9299927,0.5707584023,
272.0299988,0.6209580898,
272.9599915,1.24880445,
274.0599976,3.553394556,
275,7.452871799,
275.9299927,12.52906322,
277.0299988,17.21881294,
277.9599915,19.54481125,
279.0599976,18.3971405,
280,14.85704803,
280.9299927,9.608791351,
282.0299988,4.44878912,
282.9599915,2.065518141,
284.0599976,0.7127922773,
285,0.1833034456,
285.9299927,0.1584673077,
287.0299988,0.1120125428,
287.9599915,0.14191778,
289.0599976,0.09669231623,
290,0.1404406577,
291.0700073,0.06090319529,
292,0.06050064415,
293.0700073,0.09851768613,
294,0.1474068016,
295.0700073,0.04172664881,
296,0.08984912187,
297.0700073,0.03546828777,
298,0.07441306859,
299.0700073,0.04920775443,
300,0.07944073528,
300.9299927,0.1213898212,
302.0299988,0.0899586156,
302.9599915,0.09475579113,
304.0599976,0.08591341972,
305,0,
305.9299927,0.09695141762,
307.0299988,0.1240605041,
307.9599915,0.1310853809,
309.0599976,0.1349835992,
310,0.04144304618,
311.0700073,0.176363185,
312,0.08752256632,
313.0700073,0.05703920871,
314,0.1085959747,
315.0700073,0.07870297879,
316,0.08455110341,
317.0700073,0.1311666518,
318,0.04599392787,
319.0700073,0.04653904587,
320,0.07600401342,
321.0700073,-0.06014223769,
322,0.07242283225,
323.0700073,0.1290933341,
324,0.06886009127,
325.0700073,0.2231706977,
326,-0.02949156612,
327.0700073,0.07855459303,
328,0.1593041569,
329.0700073,0.06524646282,
330,0.04857276753,
330.9299927,0.04900199175,
332.0299988,0.09662924707,
332.9599915,0.09523355961,
334.0599976,0.1403968483,
335,0.03227993101,
335.9299927,0.07815797627,
337.0299988,0,
337.9599915,0.07905638963,
339.0599976,0.2220389545,
340,-0.04671660438,
341.0700073,0.1081164628,
342,0.0753261596,
343.0700073,-0.05634437501,
344,0.1122145578,
345.0700073,-0.01440403331,
346,0.0146709308,
347.0700073,0,
348,0.01466103643,
349.0700073,0.1290230155,
350,0.1452876031,
351.0700073,0.1991714537,
352,-0.03994407877,
353.0700073,0.1158439815,
354,-0.06990888715,
355.0700073,0.09923588485,
356,0.02753506042,
357.0700073,0,
358,-0.008837670088,
359.0700073,0.0479577966,
360,-0.04520693794,
361.0700073,0.007618176751,
362,0.07165832818,
363.0700073,-0.01693551801,
364,0.06445968896,
365.0700073,0.01076727547,
366,0.02272572182,
367.0700073,0.06654836237,
368,-0.01140927337,
369.0700073,0.03634601459,
370,0.09064025432,
371.0599976,-0.03140933812,
371.9599915,0.06261021644,
373.0299988,0.1094037518,
373.9299927,0.06587615609,
375,0.07839584351,
376.0599976,0.06564749032,
376.9599915,0.008303785697,
378.0299988,-0.008660483174,
378.9299927,0,
380,-0.01802629977,
381.0700073,-0.04394445568,
382,0.03415446356,
383.0700073,0.0743150562,
384,0.02397353202,
385.0700073,0.0400869064,
386,0.04783621058,
387.0700073,0.02296193689,
388,0.06534428895,
389.0700073,0.0483889915,
390,-0.053332977,
391.0700073,0.01285859477,
392,0.02519938909,
393.0700073,0.03201721236,
394,0.01299950574,
395.0700073,0.006815935485,
396,0.02725148201,
397.0700073,0.03451941907,
398,0.007128244266,
399.0700073,0.007089081686,
400,-0.006998586468,
401.0599976,0.04035756737,
401.9599915,0.04584031925,
403.0299988,0.01220785081,
403.9299927,0.08745846152,
405,0.01856412739,
406.0599976,0.01195793133,
406.9599915,0.02489389107,
408.0299988,-0.006167775951,
408.9299927,0.04363191873,
410,0.03067164682,
411.0700073,0.04884601384,
412,-0.006063398905,
413.0700073,0.07242944837,
414,0,
415.0700073,0.02461211197,
416,-0.008840872906,
417.0700073,0.007899799384,
418,0.01806325838,
419.0700073,0.003324589692,
420,-0.03474700823,
421.0599976,-0.00917939283,
421.9599915,0.03271258995,
423.0299988,-0.006035294384,
423.9299927,-0.009497728199,
