Sample 8,,
Wavelength (nm),Intensity (a.u.),
220,3.274147034,
220.9299927,3.000308514,
222.0299988,2.321685076,
222.9600067,2.222707272,
224.0599976,1.875439525,
225,0.945790112,
225.9299927,1.107574224,
227.0299988,0.955411911,
227.9600067,0.7086122632,
229.0599976,0.5622394085,
230,0.6513528824,
230.9299927,0.6888154745,
232.0299988,0.7058315277,
232.9600067,0.6813822389,
234.0599976,0.7054501772,
235,0.7218123078,
235.9299927,0.7657155395,
237.0299988,0.6977916956,
237.9600067,0.6057726145,
239.0599976,0.5555234551,
240,0.4199239016,
240.9299927,0.419439733,
242.0299988,0.4478497505,
242.9600067,0.3863619566,
244.0599976,0.4121960998,
245,0.397041589,
245.9299927,0.3878332376,
247.0299988,0.4031415582,
247.9600067,0.4240985215,
249.0599976,0.4544130564,
250,0.4742787778,
250.9299927,0.5754989982,
252.0299988,0.591868937,
252.9600067,0.58180511,
254.0599976,0.6482723951,
255,0.6072955132,
255.9299927,0.4401158094,
257.0299988,0.3995969296,
257.9599915,0.2980763614,
259.0599976,0.2995794713,
260,0.2938304543,
261.0700073,0.280143857,
262,0.3145234585,
263.0700073,0.3257651031,
264,0.337125212,
265.0700073,0.4011473358,
266,0.3811731637,
267.0700073,0.310916543,
268,0.3313427269,
269.0700073,0.3102120757,
270,0.250465095,
270.9299927,0.2798327804,
272.0299988,0.2843950391,
272.9599915,0.2749432027,
274.0599976,0.2836241722,
275,0.3359150589,
275.9299927,0.3245920241,
277.0299988,0.4099609554,
277.9599915,0.5002596974,
279.0599976,0.7367444038,
280,1.0385741,
280.9299927,1.607645631,
282.0299988,2.54959321,
282.9599915,3.557706833,
284.0599976,4.53657198,
285,5.564773083,
285.9299927,6.485398293,
287.0299988,7.518307686,
287.9599915,8.482126236,
289.0599976,9.362002373,
290,10.19012833,
291.0700073,11.10204983,
292,11.79574299,
293.0700073,12.5902977,
294,13.32653427,
295.0700073,14.06731606,
296,14.47465897,
297.0700073,15.07051849,
298,15.58883572,
299.0700073,16.4425354,
300,17.47321892,
300.9299927,18.49141693,
302.0299988,19.42524338,
302.9599915,20.05942917,
304.0599976,20.50584602,
305,20.64355469,
305.9299927,20.63835907,
307.0299988,20.19590569,
307.9599915,19.55254936,
309.0599976,18.80353928,
310,17.74503708,
311.0700073,16.71551514,
312,16.23561478,
313.0700073,15.7209692,
314,15.11227512,
315.0700073,14.55982208,
316,14.43896389,
317.0700073,14.4258461,
318,14.42444038,
319.0700073,14.62959671,
320,14.75922012,
321.0700073,14.79472637,
322,15.00152969,
323.0700073,14.91437435,
324,15.13364506,
325.0700073,15.01661777,
326,15.08999825,
327.0700073,15.57169724,
328,15.92629814,
329.0700073,16.05080795,
330,16.58353806,
330.9299927,17.15862656,
332.0299988,17.59331894,
332.9599915,17.53800201,
334.0599976,18.03046799,
335,18.04097366,
335.9299927,18.24446487,
337.0299988,18.54153442,
337.9599915,18.76820755,
339.0599976,18.98176575,
340,19.43455315,
341.0700073,19.61501312,
342,19.75357819,
343.0700073,20.23354149,
344,20.05769348,
345.0700073,20.11171913,
346,20.06931496,
347.0700073,20.08428574,
348,20.49715424,
349.0700073,20.5407238,
350,20.80088425,
351.0700073,20.88668823,
352,20.99837303,
353.0700073,21.0748558,
354,21.12857056,
355.0700073,21.11710548,
356,20.91120529,
357.0700073,20.79899406,
358,20.6893158,
359.0700073,20.49889183,
360,20.18206978,
361.0700073,19.69997597,
362,19.16130829,
363.0700073,18.51340866,
364,18.02440834,
365.0700073,17.89211273,
366,17.70393372,
367.0700073,17.65177345,
368,17.37633133,
369.0700073,17.00874329,
370,17.22253036,
371.0599976,16.85095406,
371.9599915,16.56916046,
373.0299988,16.44266319,
373.9299927,16.25860596,
375,15.81061649,
376.0599976,15.43741798,
376.9599915,15.18758202,
378.0299988,14.68696308,
378.9299927,14.32063293,
380,14.02421761,
381.0700073,13.84803867,
382,13.23959923,
383.0700073,12.88230324,
384,12.37531185,
385.0700073,11.8217783,
386,10.96891785,
387.0700073,10.53783035,
388,10.01913452,
389.0700073,9.219766617,
390,8.585927963,
391.0700073,7.885639668,
392,7.36751318,
393.0700073,6.717488289,
394,6.20289135,
395.0700073,5.562024593,
396,5.067219734,
397.0700073,4.69566679,
398,4.267700195,
399.0700073,3.980465174,
400,3.731311083,
401.0599976,3.417504549,
401.9599915,3.280148029,
403.0299988,3.106373549,
403.9299927,2.973294497,
405,2.861076355,
406.0599976,2.729385853,
406.9599915,2.760848522,
408.0299988,2.78051877,
408.9299927,2.84193182,
410,2.883244991,
411.0700073,2.966955662,
412,3.029628754,
413.0700073,3.125215292,
414,3.259776115,
415.0700073,3.443374634,
416,3.580331087,
417.0700073,3.752368927,
418,3.95066905,
419.0700073,4.210336208,
420,4.288544178,
421.0599976,4.542413235,
421.9599915,4.762701988,
423.0299988,5.047969341,
423.9299927,5.271217823,
425,5.672306538,
426.0599976,6.076870441,
426.9599915,6.436044216,
428.0299988,7.003733158,
428.9299927,7.709414005,
430,8.595335007,
431.0599976,9.308978081,
431.9599915,9.940040588,
433.0299988,10.70350647,
433.9299927,11.43405914,
435,12.32680607,
436.0599976,13.2622261,
436.9599915,14.03010178,
438.0299988,14.9752779,
438.9299927,15.78789425,
440,16.5698452,
441.0599976,17.30568695,
441.9599915,18.02605438,
443.0299988,19.22381592,
443.9299927,20.25192642,
445,21.32893562,
446.0599976,22.25958824,
446.9599915,23.14332581,
448.0299988,24.21430206,
448.9299927,25.339468,
450,27.23152351,
451.0599976,29.39756203,
451.9599915,31.69037437,
453.0299988,34.44419098,
453.9299927,36.84766769,
455,40.93696594,
456.0599976,44.81760025,
456.9599915,49.17178345,
458.0299988,52.5065155,
458.9299927,55.16977692,
460,57.57655716,
461.0599976,60.57211685,
461.9599915,64.70145416,
463.0299988,70.75482178,
463.9299927,77.35932159,
465,82.96060944,
466.0599976,88.42786407,
466.9599915,92.89048767,
468.0299988,98.21138763,
468.9299927,102.2186203,
470,105.8292923,
471.0400085,108.6821213,
471.9400024,111.4826736,
472.980011,113.9152069,
474.019989,117.1033401,
475.0700073,120.2882843,
475.9700012,123.2156525,
477.0100098,128.2775726,
478.0499878,135.8101807,
478.9500122,146.1520996,
480,162.0516663,
481.0599976,178.8712311,
481.9599915,188.7627563,
483.0299988,197.5140839,
483.9299927,206.1287079,
485,215.6612854,
486.0599976,226.6127777,
486.9599915,238.0793762,
488.0299988,256.66922,
488.9299927,268.4483337,
490,279.5455933,
491.0400085,292.283905,
491.9400024,307.034729,
492.980011,328.4849243,
494.019989,351.2505188,
495.0700073,381.2535706,
495.9700012,413.7964172,
497.0100098,445.0184021,
498.0499878,461.5576477,
498.9500122,466.3169556,
500,463.1049805,
501.0599976,451.9279175,
501.9599915,433.2732239,
503.0299988,403.0375671,
503.9299927,372.3824768,
505,331.9295349,
506.0599976,290.5595703,
506.9599915,256.6982117,
508.0299988,218.6447754,
508.9299927,191.6912842,
510,160.7743378,
511.0400085,134.5178375,
511.9400024,115.9920807,
512.9799805,97.40961456,
514.0200195,82.72760773,
515.0700073,67.79745483,
515.9699707,56.76240158,
517.0100098,46.08837128,
518.0499878,39.54421997,
518.9500122,34.52402115,
520,28.70521927,
521.039978,23.64947319,
521.9400024,19.51999092,
522.9799805,16.10494614,
524.0200195,13.24100113,
525.0700073,10.84372425,
525.9699707,9.294465065,
527.0100098,7.669807434,
528.0499878,6.459128857,
528.9500122,5.681616306,
530,4.823272705,

Sample 8,
Sample 8
Collection Time: 3/08/2023 1:44:51 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         530.00
Em. Wavelength (nm)               540.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                120.00
Data interval (nm)                1.0000
Averaging Time (s)                0.5000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 3/08/2023 1:01:22 PM
Method Modifications:
Overlayed Graphs Changed: 3/08/2023 1:01:46 PM, Old:OFF, New:ON
User Delta Increment Changed: 3/08/2023 1:01:46 PM, Old:  10.00, New:   0.15
Scan Control Changed: 3/08/2023 1:01:46 PM, Old:Medium, New:Slow
Ave. time (s): Changed: 3/08/2023 1:01:46 PM, Old:0.10000, New:0.50000
Excitation Wavelength Changed: 3/08/2023 1:01:46 PM, Old: 350.00, New: 450.00
Emission Wavelength Changed: 3/08/2023 1:01:46 PM, Old: 400.00, New: 460.00
Stop Wavelength Changed: 3/08/2023 1:01:46 PM, Old: 600.00, New: 700.00
Scan mode: Changed: 3/08/2023 1:18:11 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 3/08/2023 1:18:11 PM, Old: 450.00, New: 540.00
Excitation Wavelength Changed: 3/08/2023 1:18:11 PM, Old: 450.00, New: 220.00
Emission Wavelength Changed: 3/08/2023 1:18:11 PM, Old: 460.00, New: 540.00
Stop Wavelength Changed: 3/08/2023 1:18:11 PM, Old: 700.00, New: 530.00
Scan mode: Changed: 3/08/2023 1:30:41 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 3/08/2023 1:30:41 PM, Old: 220.00, New: 450.00
Emission Wavelength Changed: 3/08/2023 1:30:41 PM, Old: 540.00, New: 460.00
Stop Wavelength Changed: 3/08/2023 1:30:41 PM, Old: 530.00, New: 700.00
Scan mode: Changed: 3/08/2023 1:40:56 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 3/08/2023 1:40:56 PM, Old: 450.00, New: 220.00
Emission Wavelength Changed: 3/08/2023 1:40:56 PM, Old: 460.00, New: 540.00
Stop Wavelength Changed: 3/08/2023 1:40:56 PM, Old: 700.00, New: 530.00
End Method Modifications

