Sample 8,,
Wavelength (nm),Intensity (a.u.),
220,-0.2267426699,
220.9299927,-0.2235511094,
222.0299988,-0.2640739679,
222.9600067,0.2809890807,
224.0599976,-0.2952465415,
225,0.1730902493,
225.9299927,-0.01775930822,
227.0299988,0.1772211641,
227.9600067,0.03157429397,
229.0599976,0.09510675818,
230,0.01422859635,
230.9299927,0.02411893569,
232.0299988,0.02661669813,
232.9600067,0.05426033959,
234.0599976,0.03720469028,
235,0.200042516,
235.9299927,0.07502625883,
237.0299988,0.1629261523,
237.9600067,0.02163062617,
239.0599976,0.05331982672,
240,0.101012744,
240.9299927,-0.04711456969,
242.0299988,0.02585597523,
242.9600067,-0.07549488544,
244.0599976,0.02719151229,
245,0.06477807462,
245.9299927,0.03286749125,
247.0299988,0.03900091723,
247.9600067,0.03397655115,
249.0599976,-0.01653978415,
250,0.0182827767,
250.9299927,0.01124685444,
252.0299988,-0.05874114484,
252.9600067,0.003389267484,
254.0599976,0.1240949929,
255,0.02709513158,
255.9299927,0.0557737574,
257.0299988,-0.0278281644,
257.9599915,0.05236073956,
259.0599976,0.02201624773,
260,-0.01422733068,
261.0700073,0.0322791338,
262,0.03334514424,
263.0700073,-0.02449343167,
264,0,
265.0700073,0.009450701065,
266,-0.01957185566,
267.0700073,0,
268,0.03429445252,
269.0700073,0.0340898931,
270,0,
270.9299927,0.01833238639,
272.0299988,0.02990420721,
272.9599915,0.05766474828,
274.0599976,0.0348771736,
275,0.02947103232,
275.9299927,0.0483587794,
277.0299988,0.01078810729,
277.9599915,0.04894369096,
279.0599976,0.04392975569,
280,-0.0101651838,
280.9299927,0.02510195225,
282.0299988,0.01338921115,
282.9599915,0.02785292268,
284.0599976,0.008825252764,
285,-0.008625180461,
285.9299927,-0.01661554538,
287.0299988,-0.02479293756,
287.9599915,0.01379498281,
289.0599976,0.003485547379,
290,-0.003522553248,
291.0700073,0.01509980951,
292,0.06579949707,
293.0700073,0.02065839991,
294,0.04776174575,
295.0700073,0.06540650129,
296,0.04722037166,
297.0700073,0.1012505218,
298,0.103640534,
299.0700073,0.08729690313,
300,0.09516842663,
300.9299927,0.1037520319,
302.0299988,0.1159273684,
302.9599915,0.1604488939,
304.0599976,0.1023165807,
305,0.1326555163,
305.9299927,0.10755077,
307.0299988,0.1222637966,
307.9599915,0.1202419698,
309.0599976,0.1490554065,
310,0.06009665132,
311.0700073,0.08842915297,
312,0.1084608734,
313.0700073,0.05954096094,
314,0.08598908782,
315.0700073,0.1135365292,
316,0.1057400182,
317.0700073,0.1394654661,
318,0.1561323255,
319.0700073,0.1188499108,
320,0.08317945153,
321.0700073,0.1805155277,
322,0.1371435374,
323.0700073,0.09744487703,
324,0.1213653311,
325.0700073,0.080082573,
326,0.07066681981,
327.0700073,0.1463124305,
328,0.09240101278,
329.0700073,0.1003596187,
330,0.1527106017,
330.9299927,0.1140951067,
332.0299988,0.04629614204,
332.9599915,0.191125825,
334.0599976,0.07338984311,
335,0.1576743126,
335.9299927,0.1265009493,
337.0299988,0.09601473063,
337.9599915,0.09836743772,
339.0599976,0.0683786422,
340,0.1678274721,
341.0700073,0.103778176,
