Sample 11,,
Wavelength (nm),Intensity (a.u.),
220,13.42788124,
220.9299927,14.0393095,
222.0299988,11.03432941,
222.9600067,9.164776802,
224.0599976,6.797748566,
225,5.404236794,
225.9299927,4.029410362,
227.0299988,3.052596331,
227.9600067,2.274910212,
229.0599976,2.322487116,
230,2.800858974,
230.9299927,2.423180103,
232.0299988,2.94248271,
232.9600067,2.757828236,
234.0599976,3.250237465,
235,3.648824453,
235.9299927,3.596367836,
237.0299988,3.326540232,
237.9600067,2.887152195,
239.0599976,2.410445452,
240,2.178281069,
240.9299927,2.021930218,
242.0299988,1.844387293,
242.9600067,1.834650517,
244.0599976,1.599642396,
245,1.531799197,
245.9299927,1.500978589,
247.0299988,1.505364895,
247.9600067,1.568706036,
249.0599976,1.898668647,
250,2.056087017,
250.9299927,2.388901949,
252.0299988,2.602744102,
252.9600067,2.863640308,
254.0599976,3.167105198,
255,2.703485489,
255.9299927,2.545667887,
257.0299988,2.350246906,
257.9599915,2.225304604,
259.0599976,2.613536835,
260,3.706650257,
261.0700073,7.140599251,
262,14.49275398,
263.0700073,31.72317886,
264,51.82066345,
265.0700073,84.41819,
266,118.8944397,
267.0700073,170.2864685,
268,205.5954132,
269.0700073,244.6581421,
270,278.295929,
270.9299927,292.4247437,
272.0299988,308.4387512,
272.9599915,313.5113525,
274.0599976,308.8370361,
275,298.4824219,
275.9299927,275.6035156,
277.0299988,247.5761871,
277.9599915,226.1205444,
279.0599976,201.7828827,
280,179.7510986,
280.9299927,164.7032928,
282.0299988,151.3470306,
282.9599915,143.0388184,
284.0599976,134.3771973,
285,131.0332794,
285.9299927,129.888855,
287.0299988,128.8044434,
287.9599915,128.9918823,
289.0599976,131.2913513,
290,136.4916534,
291.0700073,139.1161499,
292,142.276474,
293.0700073,147.4983368,
294,149.9351959,
295.0700073,151.2508087,
296,150.821579,
297.0700073,149.4981384,
298,148.565918,
299.0700073,146.4707184,
300,147.5011139,
300.9299927,148.3714905,
302.0299988,152.3084564,
