Sample 3,,
Wavelength (nm),Intensity (a.u.),
220,6.236492634,
220.9299927,5.023834705,
222.0299988,4.203268528,
222.9600067,3.637221575,
224.0599976,2.654677153,
225,1.957810998,
225.9299927,1.853060246,
227.0299988,1.212035298,
227.9600067,1.13396883,
229.0599976,0.9563261271,
230,0.9423017502,
230.9299927,0.9200655222,
232.0299988,1.015506029,
232.9600067,1.244921565,
234.0599976,1.192285299,
235,1.16110301,
235.9299927,1.249481916,
237.0299988,1.305845141,
237.9600067,1.185947299,
239.0599976,0.8924927711,
240,0.7654612064,
240.9299927,0.6640729904,
242.0299988,0.6400572658,
242.9600067,0.5468012094,
244.0599976,0.5335187912,
245,0.5017365217,
245.9299927,0.4663559198,
247.0299988,0.4770908058,
247.9600067,0.5761159658,
249.0599976,0.5821232796,
250,0.67983675,
250.9299927,0.7688754797,
252.0299988,0.9516718984,
252.9600067,1.028893352,
254.0599976,1.246984005,
255,1.652447701,
255.9299927,1.986906886,
257.0299988,2.460030794,
257.9599915,2.93191433,
259.0599976,3.296859264,
260,3.860947132,
261.0700073,5.044959545,
262,6.672292709,
263.0700073,9.706338882,
264,12.95142078,
265.0700073,16.48663521,
266,19.45252609,
267.0700073,23.61955261,
268,27.67217827,
269.0700073,32.13413239,
270,35.8225441,
270.9299927,38.58446503,
272.0299988,41.8470726,
272.9599915,43.45918274,
274.0599976,44.7407608,
275,44.87861252,
275.9299927,43.86798859,
277.0299988,41.3333931,
277.9599915,38.28260422,
279.0599976,34.65145493,
280,31.29286385,
280.9299927,28.66567612,
282.0299988,25.95086288,
282.9599915,24.18288422,
284.0599976,22.88572311,
285,21.86578178,
285.9299927,21.45142174,
287.0299988,21.4370327,
287.9599915,21.51796722,
289.0599976,21.83886147,
290,22.36521912,
291.0700073,23.49626541,
292,24.37530899,
293.0700073,25.71971512,
294,26.78488922,
295.0700073,27.48259735,
296,28.1126709,
297.0700073,28.66082382,
298,29.44641685,
299.0700073,29.63989258,
300,30.42825508,
300.9299927,31.46258354,
302.0299988,32.50767136,
302.9599915,33.85267639,
304.0599976,35.76399612,
305,38.92057037,
305.9299927,42.8217659,
307.0299988,47.86078262,
307.9599915,51.56097794,
309.0599976,56.71531677,
310,60.57793808,
311.0700073,63.56824112,
312,65.27565765,
313.0700073,63.56008911,
314,60.5872879,
315.0700073,53.47193909,
316,46.02832794,
317.0700073,36.85427475,
318,31.46191025,
319.0700073,26.01063538,
320,21.4325943,
321.0700073,17.76232719,
322,15.56394482,
323.0700073,13.84738159,
324,12.76771641,
325.0700073,11.63632679,
326,10.79377651,
327.0700073,10.03546047,
328,9.77203083,
329.0700073,9.284368515,
330,9.026002884,
330.9299927,8.729708672,
332.0299988,8.346852303,
332.9599915,8.270486832,
334.0599976,8.10743618,
335,7.905744076,
335.9299927,7.948733807,
337.0299988,7.696878433,
