Sample 4,,
Wavelength (nm),Intensity (a.u.),
220,0.06202319637,
220.9299927,-0.5279977918,
222.0299988,0.3958828151,
222.9600067,0.2358258814,
224.0599976,0.2730996907,
225,-0.02315779775,
225.9299927,0.2512810826,
227.0299988,-0.013332,
227.9600067,0.01059434284,
229.0599976,0.009573042393,
230,-0.009662302211,
230.9299927,0.004987183027,
232.0299988,0.07353065908,
232.9600067,0.1509433985,
234.0599976,0.01269252971,
235,0.03139875084,
235.9299927,0.124168843,
237.0299988,0.139914766,
237.9600067,0.1411724389,
239.0599976,0.05514058471,
240,-0.01124117523,
240.9299927,0.04619623348,
242.0299988,0.04991045222,
242.9600067,0.02611259185,
244.0599976,0.01196229458,
245,0.05814356729,
245.9299927,0.06875097007,
247.0299988,0.02465908788,
247.9600067,0.02780249156,
249.0599976,0.002331833821,
250,0.02023958601,
250.9299927,0.01689812355,
252.0299988,0.03103903122,
252.9600067,0.03069221228,
254.0599976,0.06865562499,
255,0.02885595709,
255.9299927,0.1065772623,
257.0299988,0.1064117998,
257.9599915,0.08388094604,
259.0599976,0.1167940795,
260,0.1345554292,
261.0700073,0.1732759625,
262,0.2366366535,
263.0700073,0.2436287701,
264,0.3418290317,
265.0700073,0.3488579094,
266,0.4154897928,
267.0700073,0.4114397168,
268,0.4165915847,
269.0700073,0.4310461879,
270,0.4446113706,
270.9299927,0.462236315,
272.0299988,0.4921908975,
272.9599915,0.4674809575,
274.0599976,0.4551839828,
275,0.5344002843,
275.9299927,0.5418106318,
277.0299988,0.5217736959,
277.9599915,0.6124644279,
279.0599976,0.6139248013,
280,0.5892646313,
280.9299927,0.6042819023,
282.0299988,0.6031746268,
282.9599915,0.6289352775,
284.0599976,0.6385890245,
285,0.6184966564,
285.9299927,0.6364050508,
287.0299988,0.6350765228,
287.9599915,0.6498582959,
289.0599976,0.6613057852,
290,0.664072454,
291.0700073,0.7067658901,
292,0.6925834417,
293.0700073,0.7427589297,
294,0.6941325068,
295.0700073,0.7255359292,
296,0.7567721605,
297.0700073,0.7808356881,
298,0.7132572532,
299.0700073,0.7583081126,
300,0.7930809855,
300.9299927,0.7462092042,
302.0299988,0.8412327766,
302.9599915,0.9184533358,
304.0599976,0.8570552468,
305,1.004059672,
305.9299927,1.006909251,
307.0299988,0.9706404209,
307.9599915,0.9996318221,
309.0599976,1.081391454,
310,1.061648011,
311.0700073,1.018496156,
312,1.070324898,
313.0700073,1.070572376,
314,1.121040106,
315.0700073,1.195747018,
316,1.157752156,
317.0700073,1.148219466,
318,1.331659317,
319.0700073,1.326727748,
320,1.364300013,
321.0700073,1.417279601,
322,1.314272404,
323.0700073,1.341850042,
324,1.427698493,
325.0700073,1.468462944,
326,1.441952467,
327.0700073,1.508107662,
328,1.55888772,
329.0700073,1.555628181,
330,1.613744974,
330.9299927,1.647849798,
332.0299988,1.751913548,
332.9599915,1.693471909,
334.0599976,1.818082213,
335,1.778746843,
335.9299927,1.800811529,
337.0299988,1.882682323,
337.9599915,1.844981313,
339.0599976,1.75879395,
340,1.938434005,
341.0700073,2.020949602,
342,1.956043959,
343.0700073,2.024486065,
344,2.066979408,
345.0700073,2.002749681,
346,1.958767176,
347.0700073,1.944543839,
348,2.013031244,
349.0700073,2.064224243,
350,2.07662034,
351.0700073,2.063858747,
352,2.138250351,
353.0700073,2.126676559,
354,2.193176985,
355.0700073,2.104165077,
356,2.119853258,
357.0700073,2.186135292,
358,2.16899848,
359.0700073,2.220929384,
360,2.183644056,
361.0700073,2.145716667,
362,2.14585495,
363.0700073,2.163821697,
364,2.051328659,
365.0700073,2.124960423,
366,2.188717604,
367.0700073,2.178300858,
368,2.254780293,
369.0700073,2.190817833,
370,2.33413434,
371.0599976,2.238960266,
371.9599915,2.371512175,
373.0299988,2.298075676,
373.9299927,2.373503447,
375,2.330061197,
376.0599976,2.37634325,
376.9599915,2.360510349,
378.0299988,2.312284708,
378.9299927,2.349370003,
380,2.28147006,
381.0700073,2.412609577,
382,2.480600834,
