Sample 5,,
Wavelength (nm),Intensity (a.u.),
220,0.1451378763,
220.9299927,1.516875267,
222.0299988,-0.2088990957,
222.9600067,0.08849557489,
224.0599976,0.2879976928,
225,0.1526484489,
225.9299927,0.3440366983,
227.0299988,-0.02951768227,
227.9600067,0.02435401082,
229.0599976,0.08896995336,
230,0.04466180131,
230.9299927,0.09293896705,
232.0299988,0.1790418774,
232.9600067,0.3896465302,
234.0599976,0.0877192989,
235,0.2324635237,
235.9299927,0.1979805976,
237.0299988,0.2945192754,
237.9600067,0.2158894688,
239.0599976,0.4177524745,
240,0.782095015,
240.9299927,1.063055277,
242.0299988,1.437546611,
242.9600067,1.700284958,
244.0599976,1.763668418,
245,1.825398564,
245.9299927,1.412817359,
247.0299988,1.030684948,
247.9600067,0.8559257984,
249.0599976,0.399645716,
250,0.2900092006,
250.9299927,0.2788474262,
252.0299988,0.3413340151,
252.9600067,0.2861867249,
254.0599976,0.4797927439,
255,0.4242038727,
255.9299927,0.4728707373,
257.0299988,0.3803344667,
257.9599915,0.6932507753,
259.0599976,1.838718176,
260,4.214358807,
261.0700073,8.468173981,
262,12.24716854,
263.0700073,15.94148159,
264,15.88228321,
265.0700073,11.92967129,
266,7.391686916,
267.0700073,3.25232625,
268,1.406943202,
269.0700073,0.4114097655,
270,0.1560525,
270.9299927,0.05246353522,
272.0299988,0.1140614972,
272.9599915,0.09877443314,
274.0599976,0.05505611748,
275,0.1125338599,
275.9299927,0.06455361098,
277.0299988,0.1467088312,
277.9599915,0.127366215,
279.0599976,0.04772624373,
280,0.05580097809,
280.9299927,0.1444799602,
282.0299988,0.03333472461,
282.9599915,0.09469995648,
284.0599976,-0.007743474096,
285,0.03103132546,
285.9299927,0.01555875316,
287.0299988,0.08632935584,
287.9599915,0.05580579489,
289.0599976,0,
290,0.02372985892,
291.0700073,-0.04162434861,
292,0.0158871375,
293.0700073,0.06562684476,
294,0.06378545612,
295.0700073,0.0139664812,
296,0.06208866462,
297.0700073,0.02244820073,
298,-0.0230815392,
299.0700073,0.02406217717,
300,0.1210601404,
300.9299927,0.07437847555,
302.0299988,0.1091226488,
302.9599915,0.06274510175,
304.0599976,0.1038173661,
305,0.04348393157,
305.9299927,0.02124269865,
307.0299988,0.01036194246,
307.9599915,0.06145652011,
309.0599976,0.1486635208,
310,0.1010713503,
311.0700073,0.03124056011,
312,0.0864584446,
313.0700073,-0.02454650402,
314,0.1080276594,
315.0700073,0.09688179195,
316,0,
317.0700073,0.1313561797,
318,-0.04522840306,
319.0700073,0.06158488244,
320,0.04529600963,
321.0700073,0.2351938188,
322,0.02861066535,
323.0700073,-0.01379405521,
324,0.05654828995,
325.0700073,0.1115511209,
326,0.1454101354,
327.0700073,0.06166938692,
328,0.0657613501,
329.0700073,-0.04825789109,
330,-0.03226274997,
330.9299927,0.03223466873,
332.0299988,-0.04712017253,
332.9599915,0.07950010151,
334.0599976,-0.06338641793,
335,0.08046606183,
335.9299927,0.0488313064,
337.0299988,0.1293912232,
337.9599915,0.03288878873,
339.0599976,0,
340,0.09595547616,
341.0700073,0.0460052155,
342,0.07500412315,
343.0700073,-0.1327100843,
344,0.1870719045,
345.0700073,0.04267121851,
346,0.01487165689,
347.0700073,0.1058953404,
348,0.06052535772,
349.0700073,0.1653861851,
350,0.1883348376,
351.0700073,0.09627948701,
352,0.09408096224,
353.0700073,0.09340775013,
354,-0.1119332016,
355.0700073,0.01046627201,
356,-0.04134025052,
357.0700073,0.09311506897,
358,-0.03449524939,
359.0700073,0.07171829045,
360,-0.03132684901,
361.0700073,-0.008149494417,
362,0.0423316285,
363.0700073,0.1076252535,
364,0.009923588485,
365.0700073,0.1501711011,
366,-0.03623232245,
367.0700073,0.02386122197,
368,0.02407057583,
369.0700073,0.09852944314,
370,0.04460004717,
371.0599976,0.06516639143,
371.9599915,0.06141814962,
373.0299988,0.01997782476,
373.9299927,0.03719684482,
375,0,
376.0599976,-0.008610743098,
376.9599915,0.008652615361,
378.0299988,0.008773083799,
378.9299927,0.009306048043,
380,-0.08277536929,
381.0700073,-0.03749882802,
382,0.04428031296,
383.0700073,0.06085792184,
384,-0.00826869905,
385.0700073,0.1063368618,
386,0.00803729333,
387.0700073,0.04616130143,
388,-0.0223640278,
389.0700073,0.007340365089,
390,0.02755048685,
391.0700073,0.07955238968,
392,0.02020188421,
393.0700073,0.05856477097,
394,0.07347588241,
395.0700073,0.0710227266,
396,0.09922040999,
397.0700073,0.05238736793,
398,0,
399.0700073,0.04275057465,
400,-0.02913604304,
401.0599976,0.09719657153,
401.9599915,0.04547580704,
403.0299988,0.01265566424,
403.9299927,0.03156625479,
405,0.01892326772,
406.0599976,0.02562377788,
406.9599915,0.02554637194,
408.0299988,-0.01290555671,
408.9299927,0.07646380365,
410,-0.01879687421,
411.0700073,0.006010338198,
412,0.06606131047,
413.0700073,0.005686891265,
414,0.01067389641,
415.0700073,-0.02976456285,
416,0.01351801958,
417.0700073,-0.02015706338,
418,0.0183996018,
419.0700073,-0.02404440567,
420,0.003124375129,
421.0599976,-0.01512452029,
421.9599915,0.006121918093,
423.0299988,0.003080971073,
423.9299927,0.003171411576,
425,-0.01669215038,
426.0599976,0.01120808162,
426.9599915,0.007471329067,
428.0299988,0.004093143623,
428.9299927,0.05920938402,
430,-0.004270383622,
431.0599976,0,
431.9599915,0.06758811325,
433.0299988,0.0138832964,
433.9299927,0.02072796598,
435,0.03710682318,
436.0599976,-0.02100328542,
436.9599915,-0.01592039689,
438.0299988,-0.003881008131,
438.9299927,0.03815672547,
440,-0.02255842648,
441.0599976,0.01450568251,
441.9599915,0.03022426367,
443.0299988,-0.02552573755,
443.9299927,-0.007476076484,
445,0.06333768368,
446.0599976,0.003583702724,
446.9599915,0.04706325009,
448.0299988,0.03151169419,
448.9299927,0.0405202806,
450,0.01712453365,
451.0599976,0.02149871923,
451.9599915,0.05398936197,
453.0299988,0.09282852709,
453.9299927,0.1125117764,
455,0.2009944469,
456.0599976,0.1916873157,
456.9599915,0.1781427711,
458.0299988,0.1534840912,
458.9299927,0.1733329445,
460,0.1362351477,
461.0599976,0.1291797161,
461.9599915,0.07668829709,
463.0299988,0.03728819266,
463.9299927,0.01172181778,
465,0,
466.0599976,-0.02523022518,
466.9599915,0.01945891231,
468.0299988,0,
468.9299927,0.02005495131,
470,0.04997286946,
471.0400085,-0.01533683483,
471.9400024,0.007303854916,
472.980011,0.04629058018,
474.019989,0.03005846404,
475.0700073,0.01524262503,
475.9700012,0.02381160296,
