Sample 8,,
Wavelength (nm),Intensity (a.u.),
220,214.7076111,
220.9299927,213.9504547,
222.0299988,216.3991699,
222.9600067,221.33284,
224.0599976,224.0211029,
225,232.4406738,
225.9299927,234.3239441,
227.0299988,231.1846924,
227.9600067,225.6694489,
229.0599976,217.177063,
230,207.3706055,
230.9299927,202.1040955,
232.0299988,194.6977081,
232.9600067,195.2136841,
234.0599976,193.6320343,
235,189.6541748,
235.9299927,185.0448761,
237.0299988,181.5621033,
237.9600067,175.9279175,
239.0599976,174.8050385,
240,169.7485199,
240.9299927,165.3557587,
242.0299988,162.1503754,
242.9600067,160.1024628,
244.0599976,163.7970428,
245,165.52771,
245.9299927,165.937973,
247.0299988,163.7765503,
247.9600067,162.7489929,
249.0599976,162.5231323,
250,167.5264435,
250.9299927,174.3022156,
252.0299988,190.1650238,
252.9600067,206.8921051,
254.0599976,228.9299164,
255,262.5829773,
255.9299927,296.4724121,
257.0299988,321.0786743,
257.9599915,327.8818359,
259.0599976,325.1800842,
260,325.1172485,
261.0700073,328.8102722,
262,342.9353333,
263.0700073,384.161499,
264,420.9176331,
265.0700073,466.0943298,
266,495.6493225,
267.0700073,518.8522339,
268,525.0615234,
269.0700073,522.4229736,
270,500.5872192,
270.9299927,464.7750549,
272.0299988,407.6856079,
272.9599915,355.6425171,
274.0599976,299.7549133,
275,248.1343994,
275.9299927,210.0679321,
277.0299988,176.2860413,
277.9599915,158.1618958,
279.0599976,144.0522461,
280,138.9235382,
280.9299927,136.8403778,
282.0299988,134.3816681,
282.9599915,134.2866669,
284.0599976,135.7944946,
285,137.4371338,
285.9299927,142.2008667,
287.0299988,148.472702,
287.9599915,152.0286865,
289.0599976,156.6231689,
290,160.1713867,
291.0700073,164.1506042,
292,168.5473022,
293.0700073,169.325531,
294,170.2753601,
295.0700073,167.1504822,
296,161.6186523,
297.0700073,156.7010498,
298,154.8341064,
299.0700073,156.1285553,
300,164.6344604,
300.9299927,175.6742096,
302.0299988,190.3967285,
302.9599915,203.7372284,
304.0599976,223.2651672,
305,244.7907104,
305.9299927,259.7992554,
307.0299988,260.98349,
307.9599915,252.0186005,
309.0599976,227.0887299,
310,186.1191559,
311.0700073,139.2633057,
312,99.90971375,
313.0700073,70.39443207,
314,51.59791565,
315.0700073,34.3044281,
316,26.18062019,
317.0700073,20.31402588,
318,17.65392685,
319.0700073,15.10705566,
320,13.48480701,
321.0700073,12.40976429,
322,11.36431694,
323.0700073,10.91080284,
324,10.00083447,
325.0700073,9.234866142,
326,9.226799965,
327.0700073,9.057277679,
328,9.047809601,
329.0700073,8.629310608,
330,8.940699577,
330.9299927,8.733624458,
332.0299988,8.920563698,
332.9599915,8.377228737,
334.0599976,8.800076485,
335,8.530389786,
335.9299927,8.572584152,
337.0299988,9.20894146,
337.9599915,9.178460121,
339.0599976,9.895236015,
340,9.705677986,
341.0700073,9.863897324,
342,10.6899147,
343.0700073,10.26865482,
344,10.70419216,
345.0700073,11.11161423,
346,11.35298729,
347.0700073,12.22733688,
348,12.80007362,
349.0700073,13.1977272,
350,14.34459782,
351.0700073,14.92622471,
352,15.55011368,
353.0700073,16.89319801,
354,17.41564178,
355.0700073,18.55457497,
356,18.73352242,
357.0700073,20.39073563,
358,20.99371529,
359.0700073,21.07922554,
360,21.71232986,
361.0700073,22.14729118,
362,22.32615471,
363.0700073,23.0200634,
364,23.79113579,
365.0700073,25.78264618,
366,27.40456009,
367.0700073,28.88714981,
368,31.12928009,
369.0700073,32.66445541,
370,34.71546936,
371.0599976,36.80283737,
371.9599915,39.1544342,
373.0299988,41.02272797,
373.9299927,43.56254196,
375,45.1602478,
376.0599976,46.47280502,
376.9599915,47.69561386,
378.0299988,48.74666595,
378.9299927,50.59088135,
380,52.94817734,
381.0700073,55.56277466,
382,56.03475189,
383.0700073,57.8526268,
384,60.19457245,
385.0700073,62.64545059,
386,65.76203918,
387.0700073,68.36077881,
388,71.08535004,
389.0700073,75.69900513,
390,79.12760925,
391.0700073,82.12957001,
392,84.53898621,
393.0700073,87.5923233,
394,89.8033905,
395.0700073,94.24581909,
396,98.35948944,
397.0700073,102.3842697,
398,106.9002609,
399.0700073,110.9148712,
400,114.688591,
401.0599976,118.7470398,
401.9599915,122.0043488,
403.0299988,124.3066635,
403.9299927,126.2242966,
405,130.0332336,
406.0599976,133.9242249,
406.9599915,138.0230865,
408.0299988,141.1679688,
408.9299927,144.9591827,
410,149.9132996,
411.0700073,153.8033447,
412,158.9218597,
413.0700073,165.1786194,
414,171.8483276,
415.0700073,180.2688293,
416,186.6302338,
417.0700073,194.7423706,
418,200.7605438,
419.0700073,205.6213837,
420,209.7027283,
421.0599976,212.3921661,
421.9599915,214.26297,
423.0299988,215.7056427,
423.9299927,216.0785065,
425,218.8249054,
426.0599976,218.5869751,
426.9599915,219.4226227,
428.0299988,225.0587769,
428.9299927,228.1799316,
430,233.3767853,
431.0599976,234.8364868,
431.9599915,235.2328186,
433.0299988,233.6677094,
433.9299927,232.1932526,
435,230.7519684,
436.0599976,229.8731384,
436.9599915,228.2537231,
438.0299988,227.8745422,
438.9299927,225.4995422,
440,223.3425751,
441.0599976,222.5282745,
441.9599915,225.038208,
443.0299988,232.348114,
443.9299927,237.5754242,
445,245.2848206,
446.0599976,249.5981293,
446.9599915,252.3021698,
448.0299988,254.0686798,
448.9299927,254.8830261,
450,258.940094,
451.0599976,262.7298889,
451.9599915,264.2240601,
453.0299988,267.0064087,
453.9299927,266.9024048,
455,270.1218567,
456.0599976,273.4329224,
456.9599915,273.7475891,
458.0299988,268.7726746,
458.9299927,260.4068909,
460,253.1865845,
461.0599976,240.4440765,
461.9599915,229.7080841,
463.0299988,214.6046906,
463.9299927,197.8243561,
465,179.0107269,
466.0599976,157.925354,
466.9599915,136.3973694,
468.0299988,111.4454041,
468.9299927,89.89536285,
470,70.72592163,
471.0400085,54.26516342,
471.9400024,43.98829269,
472.980011,32.19579315,
474.019989,24.46743393,
475.0700073,18.75167274,
475.9700012,14.73406887,
477.0100098,11.4925108,
478.0499878,8.754439354,
478.9500122,6.6425457,
480,5.083618164,
481.0599976,3.685319662,
481.9599915,2.906419277,
483.0299988,2.305679798,
483.9299927,2.047471285,
485,1.774599671,
486.0599976,1.410336375,
486.9599915,1.381681085,
488.0299988,1.291412473,
488.9299927,1.277802348,
490,1.162258983,
491.0400085,1.160287619,
