Sample 9,,
Wavelength (nm),Intensity (a.u.),
220,1.186063766,
220.9299927,1.53727901,
222.0299988,-0.6534523964,
222.9600067,0.3649301827,
224.0599976,0,
225,0.1038475558,
225.9299927,0.2804037929,
227.0299988,0.1785661131,
227.9600067,0.1511677653,
229.0599976,0.2273088843,
230,0.2505124211,
230.9299927,0.04777374491,
232.0299988,-0.05171031877,
232.9600067,0.08253321797,
234.0599976,0.5241242647,
235,0.09016590565,
235.9299927,0.2632579803,
237.0299988,0.2511931956,
237.9600067,-0.09670946002,
239.0599976,0.1409414858,
240,0.3628008068,
240.9299927,0.7560179234,
242.0299988,1.536870956,
242.9600067,1.894200683,
244.0599976,2.134410858,
245,2.224078655,
245.9299927,1.807752132,
247.0299988,1.399812579,
247.9600067,1.005909801,
249.0599976,0.6022421718,
250,0.3810694516,
250.9299927,0.3467694819,
252.0299988,0.2610244453,
252.9600067,0.2969317138,
254.0599976,0.6098364592,
255,0.5569910407,
255.9299927,0.4662196338,
257.0299988,0.5783624649,
257.9599915,1.127636909,
259.0599976,3.022279739,
260,6.750505447,
261.0700073,14.22832203,
262,21.39340973,
263.0700073,27.37957954,
264,28.08166695,
265.0700073,20.82637215,
266,13.19180584,
267.0700073,5.897356987,
268,2.425165653,
269.0700073,0.7246257663,
270,0.2243435979,
270.9299927,0.1526263207,
272.0299988,0.1929570735,
272.9599915,0.1230400056,
274.0599976,0.2193549424,
275,0.0921543166,
275.9299927,0.1360021681,
277.0299988,0.03246911243,
277.9599915,0.08837470412,
279.0599976,0.04666791111,
280,-0.0186645519,
280.9299927,0.14777188,
282.0299988,0.0425459519,
282.9599915,0.08210113645,
284.0599976,0.04843162373,
285,0.01694355346,
285.9299927,-0.007846706547,
287.0299988,0.09762129933,
287.9599915,-0.008129552938,
289.0599976,0.07789435983,
290,0,
291.0700073,0.06330917031,
292,0.007835025899,
293.0700073,0.08232977986,
294,0.04524170607,
295.0700073,0.04327599332,
296,-0.08951564878,
297.0700073,0.1004217714,
298,0.0842827931,
299.0700073,0.008525076322,
300,-0.04441917688,
300.9299927,0.08865335584,
302.0299988,0.0621265918,
302.9599915,0.03143533692,
304.0599976,0.06580173969,
305,0.08620411158,
305.9299927,-0.02231320925,
307.0299988,0.07306203246,
307.9599915,0.07480950654,
309.0599976,0.1114296392,
310,0.03108937107,
311.0700073,-0.04272545502,
312,-0.01167010982,
313.0700073,0.03644005209,
314,0.2187395394,
315.0700073,0.1093732938,
316,0.01415187772,
317.0700073,0.01460472308,
318,0.1984975189,
319.0700073,0.06449428201,
320,-0.03080287576,
321.0700073,-0.0443813242,
322,0.1560549289,
323.0700073,0.1127586365,
324,-0.01378663816,
325.0700073,0.1576880068,
326,-0.02953032032,
327.0700073,0.09204148501,
328,0,
329.0700073,0.0961291939,
330,-0.01635162532,
330.9299927,0.0320240818,
332.0299988,0,
332.9599915,-0.130136326,
334.0599976,-0.01555887517,
335,0.04730816185,
335.9299927,0.06516037881,
337.0299988,0.08360924572,
337.9599915,0,
339.0599976,-0.01633533277,
340,0.06391716003,
341.0700073,-0.1703392863,
342,0.01471258886,
343.0700073,0,
344,0.05762526393,
345.0700073,0.07116322964,
346,0.05986858904,
347.0700073,0.01571264677,
348,-0.01497902907,
349.0700073,-0.04490009695,
350,0,
351.0700073,0,
352,-0.04033287987,
353.0700073,0,
354,0.08947744966,
355.0700073,0.1894557327,
356,0.03980653733,
357.0700073,-0.01742615737,
358,0.0773787573,
359.0700073,0,
360,0.05422615632,
361.0700073,0.05398610234,
362,0,
363.0700073,0.008891022764,
364,-0.02018550597,
365.0700073,-0.05818080157,
366,-0.06890453398,
367.0700073,-0.07333080471,
368,-0.06989178807,
369.0700073,0.05827437714,
370,-0.0345200561,
371.0599976,-0.01093888469,
371.9599915,0.06321711838,
373.0299988,0.0898122862,
373.9299927,0.05725026876,
375,-0.02791762352,
376.0599976,0.01780531555,
376.9599915,0.009193119593,
378.0299988,0.03742374852,
378.9299927,-0.009387907572,
380,0.03766159341,
381.0700073,0.04583960027,
382,-0.05612722039,
383.0700073,0.02606316097,
384,-0.03399626166,
385.0700073,-0.01614530757,
386,-0.04914689437,
387.0700073,0.01567484066,
388,0.07592725754,
389.0700073,0.05953798443,
390,0.08414262533,
391.0700073,0.03653315082,
392,0.006742360536,
393.0700073,0.06203217432,
394,0.02749424241,
395.0700073,0.04189709947,
396,0.06428065896,
397.0700073,0.06677152216,
398,0,
399.0700073,0.02915621921,
400,0.0074916468,
401.0599976,0.01354508847,
401.9599915,-0.07941550016,
403.0299988,0.1159607023,
403.9299927,0.01240163948,
405,-0.006048801821,
406.0599976,0.07552061975,
406.9599915,0.06897329539,
408.0299988,0.01360766403,
408.9299927,0.02619446814,
410,0,
411.0700073,-0.02440229617,
412,-0.03053770773,
413.0700073,0.005758842919,
414,0.02715664357,
415.0700073,0.02636505105,
416,-0.009201367386,
417.0700073,-0.004170663655,
418,0.018831186,
419.0700073,0.02550555579,
420,-0.02330521308,
421.0599976,0.0220648963,
421.9599915,0.01268130261,
423.0299988,0.009266552515,
423.9299927,-0.003199508414,
425,0.01056795754,
426.0599976,-0.03571875021,
426.9599915,0.05017774552,
428.0299988,0.01313473564,
428.9299927,-0.01675505005,
430,0.02583356202,
431.0599976,0.05542575568,
431.9599915,-0.02104926296,
433.0299988,-0.02499000356,
433.9299927,0.03022413328,
435,0.008178018965,
436.0599976,-0.03662362695,
436.9599915,0,
438.0299988,-0.03005620465,
438.9299927,0.008163365535,
440,-0.02188519016,
441.0599976,0.007784403395,
441.9599915,0.01087642275,
443.0299988,-0.007383697666,
443.9299927,0.02225296386,
445,0.007283825427,
446.0599976,-0.003527113004,
446.9599915,0.05019180477,
448.0299988,0.01547562331,
448.9299927,0.04763700813,
450,0.03313109651,
451.0599976,-0.03905894235,
451.9599915,0.00893970672,
453.0299988,0.06277069449,
453.9299927,0.09994303435,
455,0.1296263337,
456.0599976,0.2051986754,
456.9599915,0.2515274584,
458.0299988,0.2219253331,
458.9299927,0.2268414497,
