Sample 4,,
Wavelength (nm),Intensity (a.u.),
280,0.2858601809,
280.9299927,0.2830407619,
282.0299988,0.3861590624,
282.9599915,0.274726212,
284.0599976,0.288623333,
285,0.3047200143,
285.9299927,0.2791303098,
287.0299988,0.2955929041,
287.9599915,0.3004508615,
289.0599976,0.3343550861,
290,0.383380264,
291.0700073,0.6899445653,
292,1.394177437,
293.0700073,2.8124578,
294,4.094719887,
295.0700073,5.871332169,
296,7.151722431,
297.0700073,8.249363899,
298,8.711527824,
299.0700073,8.971570015,
300,8.929697037,
300.9299927,8.670046806,
302.0299988,8.402916908,
302.9599915,8.076101303,
304.0599976,8.065548897,
305,7.842729568,
305.9299927,7.99913168,
307.0299988,7.723875046,
307.9599915,7.770521641,
309.0599976,7.692590714,
310,7.564070702,
311.0700073,7.486787319,
312,7.316251755,
313.0700073,7.170947552,
314,6.995700836,
315.0700073,6.886809349,
316,6.58278656,
317.0700073,6.791144371,
318,7.846649647,
319.0700073,11.54299831,
320,17.69553375,
321.0700073,24.92248154,
322,28.71832657,
323.0700073,28.85257721,
324,26.05896759,
325.0700073,19.37787056,
326,13.08585072,
327.0700073,7.572486401,
328,5.578917027,
329.0700073,4.384543419,
330,4.054102421,
330.9299927,3.732111454,
332.0299988,3.543739557,
332.9599915,3.33212781,
334.0599976,3.199375153,
335,2.995493889,
335.9299927,2.91825366,
337.0299988,2.695382357,
337.9599915,2.74432683,
339.0599976,2.585315466,
340,2.480213642,
341.0700073,2.374302626,
342,2.356609106,
343.0700073,2.202806234,
344,2.089854956,
345.0700073,1.97554493,
346,1.922535658,
347.0700073,1.742929935,
348,1.737756133,
349.0700073,1.603090644,
350,1.510805845,
351.0700073,1.591871977,
352,1.447096467,
353.0700073,1.404511571,
354,1.326450706,
355.0700073,1.241125345,
356,1.237474322,
357.0700073,1.120501637,
358,1.139725089,
359.0700073,1.05916357,
360,1.018384218,
361.0700073,0.9177572131,
362,0.9113945365,
363.0700073,0.8830990195,
364,0.8304308057,
365.0700073,0.6871404052,
366,0.698530972,
367.0700073,0.6285118461,
368,0.6238020658,
369.0700073,0.6055783033,
370,0.5676985979,
371.0599976,0.481831044,
371.9599915,0.5100194812,
373.0299988,0.4272207618,
373.9299927,0.4365888834,
375,0.3889817297,
376.0599976,0.385011673,
376.9599915,0.3191171288,
378.0299988,0.3377566636,
378.9299927,0.2750461698,
380,0.3023774624,
381.0700073,0.2752786279,
382,0.2928313017,
383.0700073,0.234298408,
384,0.2079767883,
385.0700073,0.2181915641,
386,0.1765505075,
387.0700073,0.1568931341,
388,0.1805602908,
389.0700073,0.1423425525,
390,0.1158084124,
391.0700073,0.1173697785,
392,0.1189573184,
393.0700073,0.09698393196,
394,0.0641130507,
395.0700073,0.09009318799,
396,0.08418033272,
397.0700073,0.1005909368,
398,0.08274060488,
399.0700073,0.1024770588,
400,0.07637163252,
401.0599976,0.05406664312,
401.9599915,0.06603030115,
403.0299988,0.05697318539,
403.9299927,0.05540351942,
405,0.05405836925,
406.0599976,0.05150223151,
406.9599915,0.05981203914,
408.0299988,0.02622689493,
408.9299927,0.08233608305,
410,0.07964007556,
411.0700073,0.04965348169,
412,0.04966758937,
413.0700073,0.07482496649,
414,0.06679806858,
415.0700073,0.07197561115,
416,0.05306216329,
417.0700073,0.05271730945,
418,0.04902502522,
419.0700073,0.03881960362,
420,0.03941879049,
421.0599976,0.04928172007,
421.9599915,0.04655147716,
423.0299988,0.05827945471,
423.9299927,0.04784518853,
425,0.05453882366,
426.0599976,0.05968345702,
426.9599915,0.07247392833,
428.0299988,0.05499610305,
428.9299927,0.0823584795,
430,0.08879220486,
431.0599976,0.09044822305,
431.9599915,0.08641459048,
433.0299988,0.1080641598,
433.9299927,0.113903001,
435,0.1148324385,
436.0599976,0.1349590272,
436.9599915,0.1438529193,
438.0299988,0.1452967376,
438.9299927,0.1493445784,
440,0.1647931635,
441.0599976,0.1877798438,
441.9599915,0.1949906945,
443.0299988,0.2121708244,
443.9299927,0.2190314233,
445,0.2264803499,
446.0599976,0.2521926761,
446.9599915,0.2765519321,
448.0299988,0.2955482602,
448.9299927,0.3142687082,
450,0.3288155794,
451.0599976,0.3629407585,
451.9599915,0.3996173739,
453.0299988,0.4224134386,
453.9299927,0.4882930219,
455,0.5179620981,
456.0599976,0.5914798975,
456.9599915,0.6159053445,
458.0299988,0.6400440931,
458.9299927,0.6795428395,
460,0.6977738738,
461.0599976,0.7020210624,
461.9599915,0.7410554886,
463.0299988,0.859479785,
463.9299927,0.8890262246,
465,0.9536962509,
466.0599976,1.043974161,
466.9599915,1.060165048,
468.0299988,1.144577026,
468.9299927,1.254332662,
470,1.321741223,
471.0400085,1.379282236,
471.9400024,1.496642113,
472.980011,1.576211929,
474.019989,1.720559597,
475.0700073,1.824812055,
475.9700012,1.963120937,
477.0100098,2.063951254,
478.0499878,2.272883177,
478.9500122,2.457688093,
480,2.668663502,
481.0599976,2.903797865,
481.9599915,2.988162994,
483.0299988,2.979813337,
483.9299927,3.133391142,
485,3.15454793,
486.0599976,3.182337999,
486.9599915,3.30927968,
488.0299988,3.44804883,
488.9299927,3.58875227,
490,3.574008942,
491.0400085,3.681888103,
491.9400024,3.806343555,
492.980011,3.871216059,
494.019989,3.958828211,
495.0700073,4.184780121,
495.9700012,4.369642735,
497.0100098,4.585811615,
498.0499878,4.776533127,
498.9500122,4.872094154,
500,5.001790524,
501.0599976,5.316530704,
501.9599915,5.5885005,
503.0299988,5.962294579,
503.9299927,6.203306675,
505,6.510267735,
506.0599976,6.71801424,
506.9599915,6.991897106,
508.0299988,7.322084904,
508.9299927,7.417594433,
510,7.616413116,
511.0400085,7.790523529,
511.9400024,7.774249554,
512.9799805,7.869288445,
514.0200195,8.045584679,
515.0700073,8.258664131,
515.9699707,8.36931324,
517.0100098,8.558644295,
518.0499878,8.61606884,
518.9500122,8.690834999,
520,8.599934578,
521.039978,8.824611664,
521.9400024,8.913783073,
522.9799805,9.216852188,
524.0200195,9.43290329,
525.0700073,9.63686657,
525.9699707,9.743041992,
527.0100098,9.751881599,
528.0499878,9.579555511,
528.9500122,9.350942612,
530,9.209321976,
531.0200195,9.157579422,
532.0499878,9.235927582,
