Sample 5,,
Wavelength (nm),Intensity (a.u.),
280,0.2195328921,
280.9299927,0.1900046319,
282.0299988,0.1783761233,
282.9599915,0.1865688264,
284.0599976,0.1771847457,
285,0.2250388861,
285.9299927,0.214022845,
287.0299988,0.176118657,
287.9599915,0.2111932337,
289.0599976,0.1838560253,
290,0.2115863115,
291.0700073,0.5209597349,
292,1.006674528,
293.0700073,2.116074324,
294,3.127808332,
295.0700073,4.454856396,
296,5.415332317,
297.0700073,5.964892864,
298,6.071065903,
299.0700073,5.49863863,
300,4.976780415,
300.9299927,4.035155296,
302.0299988,3.061095953,
302.9599915,2.425008774,
304.0599976,1.903108597,
305,1.439804077,
305.9299927,1.15139401,
307.0299988,0.9211336374,
307.9599915,0.8337718844,
309.0599976,0.8365831971,
310,0.6947553754,
311.0700073,0.7157383561,
312,0.6202329397,
313.0700073,0.6084692478,
314,0.5549853444,
315.0700073,0.4251154959,
316,0.4299495518,
317.0700073,0.732213676,
318,1.926811934,
319.0700073,6.246425629,
320,13.36441803,
321.0700073,21.9741478,
322,26.46847153,
323.0700073,26.74733162,
324,23.92397499,
325.0700073,16.53634453,
326,9.92713356,
327.0700073,3.847318172,
328,1.587723374,
329.0700073,0.4754352868,
330,0.2310032845,
330.9299927,0.1758482307,
332.0299988,0.1481309682,
332.9599915,0.1476436406,
334.0599976,0.06906793267,
335,0.1046549231,
335.9299927,0.06876655668,
337.0299988,0.1175049767,
337.9599915,0.0748167038,
339.0599976,0.1028885096,
340,0.0351879485,
341.0700073,0.1842350066,
342,0.1098773628,
343.0700073,0.03318280354,
344,0.04831238836,
345.0700073,0.1155021638,
346,0.1097476706,
347.0700073,0.1391700059,
348,0.08158756793,
349.0700073,0.08892405033,
350,0.07914429903,
351.0700073,0.07904245704,
352,0.05948052183,
353.0700073,0.02507585473,
354,0.09274276346,
355.0700073,0.08578389883,
356,0.03113337792,
357.0700073,0.03215792775,
358,0.01965264976,
359.0700073,0.01018546056,
360,0.03131505102,
361.0700073,0.03053572401,
362,0.03488291055,
363.0700073,0.0338886939,
364,0.08012209833,
365.0700073,0.05534564331,
366,0.05856119469,
367.0700073,0.007077424321,
368,0.06580153108,
369.0700073,0.02585321479,
370,0.03747167811,
371.0599976,0.03759090602,
371.9599915,0.03833498433,
373.0299988,0.05481982231,
373.9299927,0,
375,-0.02272202261,
376.0599976,0.01784449071,
376.9599915,0.02111531049,
378.0299988,-0.01953430101,
378.9299927,0.02720663883,
380,0.05154866725,
381.0700073,0.03766167536,
382,0.0144548621,
383.0700073,0.007106512319,
384,0.03573859856,
385.0700073,0.02325531282,
386,0.009783140384,
387.0700073,0.01418269891,
388,0.004695856944,
389.0700073,0.007492848206,
390,-0.01458193548,
391.0700073,0.02221268974,
392,0.01493832469,
393.0700073,0.03693070263,
394,0.02312110364,
395.0700073,0.03091011941,
396,0.01151090674,
397.0700073,0.0299815461,
398,0.01621780172,
399.0700073,-0.006057733204,
