Sample 10,,
Wavelength (nm),Intensity (a.u.),
220,3.069726706,
220.9299927,2.419765472,
222.0299988,2.251286507,
222.9600067,1.534157515,
224.0599976,0.9094725251,
225,0.6622516513,
225.9299927,0.9165552855,
227.0299988,0.4314064085,
227.9600067,0.4345936477,
229.0599976,0.2920232713,
230,0.4731434882,
230.9299927,0.5317918658,
232.0299988,0.7411950827,
232.9600067,0.5482756495,
234.0599976,0.802729249,
235,0.8396548629,
235.9299927,1.087734342,
237.0299988,0.7071943283,
237.9600067,0.8731357455,
239.0599976,0.4047272205,
240,0.5422442555,
240.9299927,0.433537215,
242.0299988,0.452339828,
242.9600067,0.3883024156,
244.0599976,0.3191610873,
245,0.3273046017,
245.9299927,0.3522260785,
247.0299988,0.287918359,
247.9600067,0.3779984415,
249.0599976,0.4320515692,
250,0.5968738794,
250.9299927,0.4176771641,
252.0299988,0.4750452638,
252.9600067,0.2724359035,
254.0599976,0.735376358,
255,0.4680375457,
255.9299927,0.5209079385,
257.0299988,0.3286662698,
257.9599915,0.4002172351,
259.0599976,0.4199695587,
260,0.3991392553,
261.0700073,0.8450781107,
262,1.51802659,
263.0700073,3.285303354,
264,4.928862095,
265.0700073,8.034797668,
266,10.99646282,
267.0700073,14.01597309,
268,16.75290871,
269.0700073,19.53091049,
270,21.26819611,
270.9299927,22.74520874,
272.0299988,23.72632408,
272.9599915,24.68474388,
274.0599976,25.73467255,
275,27.02567291,
275.9299927,27.85770988,
277.0299988,28.90872192,
277.9599915,29.56828308,
279.0599976,30.72794151,
280,31.49000931,
280.9299927,32.76271439,
282.0299988,33.55252457,
282.9599915,34.06324387,
284.0599976,34.22261047,
285,35.0578804,
285.9299927,35.57286072,
287.0299988,36.76686859,
287.9599915,37.39207458,
289.0599976,37.89312744,
290,39.22513199,
291.0700073,40.57352066,
292,42.33133698,
293.0700073,43.68313599,
294,44.3812294,
295.0700073,45.28076553,
296,45.61006546,
297.0700073,45.77266312,
298,46.32483673,
299.0700073,46.29255295,
300,47.36753464,
300.9299927,48.66716003,
302.0299988,48.76252747,
302.9599915,49.61037445,
304.0599976,49.45270538,
305,50.740345,
305.9299927,52.74926376,
307.0299988,57.11626434,
307.9599915,60.51412201,
309.0599976,64.3243866,
310,66.45303345,
311.0700073,65.87054443,
312,61.87737274,
313.0700073,56.19055557,
314,50.2606163,
315.0700073,43.74833679,
316,40.48350906,
317.0700073,36.99684525,
318,35.77912521,
319.0700073,35.1991806,
320,32.97171021,
321.0700073,31.11186409,
322,29.20609283,
323.0700073,27.87182617,
324,26.12499619,
325.0700073,24.36972427,
326,23.21066666,
327.0700073,21.51550674,
