Sample 11,,
Wavelength (nm),Intensity (a.u.),
220,0,
220.9299927,-0.1274859756,
222.0299988,-0.2179836482,
222.9600067,-0.1801477224,
224.0599976,-0.2746498287,
225,-0.09983526915,
225.9299927,0.2775794864,
227.0299988,0.201479435,
227.9600067,-0.0966206938,
229.0599976,0.02193992771,
230,-0.2222518474,
230.9299927,0.1873360723,
232.0299988,0.1308113039,
232.9600067,-0.02704895847,
234.0599976,-0.08648524433,
235,0.2359185964,
235.9299927,0.1757263392,
237.0299988,-0.08115565777,
237.9600067,-0.04807230085,
239.0599976,-0.03970223293,
240,0.1659806222,
240.9299927,0.05911999941,
242.0299988,0.05317451805,
242.9600067,0.1352763921,
244.0599976,0.06843143702,
245,0.1066996679,
245.9299927,0.05007561296,
247.0299988,0.03849892691,
247.9600067,0.08304354548,
249.0599976,0.04387552664,
250,-0.0602787286,
250.9299927,0.1751549393,
252.0299988,0.1054407433,
252.9600067,0.1152111664,
254.0599976,0.08398279548,
255,0.0467078723,
255.9299927,0.2159885466,
257.0299988,0.09047726542,
257.9599915,0.07620499283,
259.0599976,0.01710586064,
260,0.09206484258,
261.0700073,0.1930949241,
262,-0.02001240663,
263.0700073,0.2056455165,
264,0.3541076481,
265.0700073,0.327868849,
266,0.6104437709,
267.0700073,0.8585131168,
268,0.9559696913,
269.0700073,1.239742637,
270,1.296761274,
270.9299927,1.325032949,
272.0299988,1.399818063,
272.9599915,1.646175623,
274.0599976,1.6545012,
275,1.705418468,
275.9299927,1.783750653,
277.0299988,1.728483319,
277.9599915,1.678354263,
279.0599976,1.752788544,
280,1.750697017,
280.9299927,1.920990467,
282.0299988,2.043727398,
282.9599915,2.059592009,
284.0599976,1.936260819,
285,2.045354128,
285.9299927,1.825628161,
287.0299988,1.403272629,
287.9599915,1.140169621,
289.0599976,0.9949777722,
290,0.8945736885,
291.0700073,0.7453760505,
292,0.7311425805,
293.0700073,0.6996493936,
294,0.6744237542,
295.0700073,0.8706302643,
296,0.7785422206,
297.0700073,0.7891663313,
298,0.7264996767,
299.0700073,0.7789694071,
300,0.7218011618,
300.9299927,0.5928741693,
302.0299988,0.6601253748,
302.9599915,0.5950703025,
304.0599976,0.5022436976,
305,0.7741768956,
305.9299927,2.046341658,
307.0299988,5.882764339,
307.9599915,9.590399742,
309.0599976,14.73115349,
310,18.01837349,
311.0700073,18.89194489,
312,16.33679771,
313.0700073,11.38614941,
314,7.420197964,
315.0700073,2.819073677,
316,0.8422425389,
317.0700073,0.2561657727,
318,0.1042970419,
319.0700073,0.1658899933,
320,0.1186327562,
321.0700073,0.05644216761,
322,0.08351428062,
323.0700073,0.1526399702,
324,0.1243677959,
325.0700073,0.05459186062,
326,0.1272336543,
327.0700073,0.103649959,
328,0,
329.0700073,0.04874957353,
330,0.04849582165,
330.9299927,0.07818241417,
332.0299988,-0.01512676198,
332.9599915,0.0599871017,
334.0599976,0.1503985524,
335,0.07582420856,
335.9299927,0.2414001226,
337.0299988,-0.01549931057,
337.9599915,0.1588436067,
339.0599976,0.0311895702,
340,-0.01526344754,
341.0700073,0.1329630017,
342,0.01454101317,
343.0700073,0,
344,0.05470235273,
345.0700073,0.1690188497,
346,0.1542582363,
347.0700073,-0.01423406508,
348,0.1875306517,
349.0700073,0.09880167991,
350,0.167427063,
351.0700073,0.05397018418,
352,-0.02466030419,
353.0700073,0.08190008253,
354,-0.09762341529,
355.0700073,0.0492092073,
356,0.08392703533,
357.0700073,0.07164157182,
358,0.04001472518,
359.0700073,0.02287404798,
360,0.05260112509,
361.0700073,-0.0149251502,
362,-0.007734669372,
363.0700073,-0.0252342578,
364,0.09294630587,
365.0700073,-0.01996725425,
366,0.05633929744,
367.0700073,0.06701888889,
368,0.1031317636,
369.0700073,0.09996001422,
370,-0.01087973546,
371.0599976,0.08404773474,
371.9599915,0.03066262044,
373.0299988,-0.03856350854,
373.9299927,-0.0183730647,
375,0,
376.0599976,-0.00856619142,
376.9599915,-0.008347106166,
378.0299988,-0.02621163242,
378.9299927,-0.02594617009,
380,0.008845331147,
381.0700073,0.01716414094,
382,0.05070393905,
383.0700073,0.04923278838,
384,0.03240650892,
385.0700073,0.01578382403,
386,0.03861958161,
387.0700073,0.0147992475,
388,-0.007182514761,
