Sample 55,,
Wavelength (nm),Intensity (a.u.),
220,-0.4533091486,
220.9299927,0.6308352351,
222.0299988,-0.9534908533,
222.9600067,0.4546694756,
224.0599976,0.1391594708,
225,0.3064664602,
225.9299927,-0.1951752603,
227.0299988,0.05792903528,
227.9600067,0,
229.0599976,0.02271643095,
230,-0.09236595035,
230.9299927,0.04652244598,
232.0299988,0.2087410241,
232.9600067,0.05481554568,
234.0599976,0.1778726429,
235,0.2050681114,
235.9299927,0.3720876873,
237.0299988,0.1061317623,
237.9600067,-0.07117437571,
239.0599976,0.01978669874,
240,-0.03426769748,
240.9299927,0,
242.0299988,-0.01330707408,
242.9600067,0.06331358105,
244.0599976,-0.03376173228,
245,0.02182333916,
245.9299927,-0.02008415386,
247.0299988,0.009820193052,
247.9600067,0.07139141858,
249.0599976,0.03378302604,
250,0.02420984954,
250.9299927,-0.09282342345,
252.0299988,0.2250427604,
252.9600067,0.03182838112,
254.0599976,0.09738678485,
255,0.1237757802,
255.9299927,0.06678242236,
257.0299988,0.1649457216,
257.9599915,0.2049352229,
259.0599976,0.297255069,
260,0.3339455724,
261.0700073,0.3916541934,
262,0.4378450513,
263.0700073,0.4690156579,
264,0.510664165,
265.0700073,0.6810589433,
266,0.6029021144,
267.0700073,0.6701322198,
268,0.8065677881,
269.0700073,0.9794803262,
270,0.8355327845,
270.9299927,0.9030089974,
272.0299988,0.8570280075,
272.9599915,0.8915944099,
274.0599976,1.018704057,
275,0.9536696076,
275.9299927,0.925670445,
277.0299988,0.9332122803,
277.9599915,1.02639997,
279.0599976,0.9010372758,
280,1.087926745,
280.9299927,1.108350158,
282.0299988,1.012268662,
282.9599915,1.130360365,
284.0599976,1.121188998,
285,0.8958428502,
285.9299927,0.9076343775,
287.0299988,0.7485678792,
287.9599915,0.576415658,
289.0599976,0.4690841734,
290,0.5070953369,
291.0700073,0.383048892,
292,0.3934963048,
293.0700073,0.3257015347,
294,0.3496952653,
295.0700073,0.3275919855,
296,0.3883467615,
297.0700073,0.4054219425,
298,0.3617537618,
299.0700073,0.3005524874,
300,0.3899209797,
300.9299927,0.4943294823,
302.0299988,0.361328125,
302.9599915,0.4208798707,
304.0599976,0.5685407519,
305,1.295628071,
305.9299927,2.521081448,
307.0299988,4.253046036,
307.9599915,5.11130619,
309.0599976,5.560612679,
310,5.275474072,
311.0700073,3.826719522,
312,2.622083187,
313.0700073,1.38993597,
314,0.6670790315,
315.0700073,0.1463524997,
316,0.1640464813,
317.0700073,0.2312305719,
318,0.122669287,
319.0700073,0.04516031966,
320,0.1977456957,
321.0700073,0.05793239176,
322,0.09762901068,
323.0700073,0.1640105993,
324,0.05584018305,
325.0700073,0.2350279838,
326,0.1192090511,
327.0700073,0.3424936831,
328,0.03605422378,
329.0700073,0.1910485178,
330,0.09801198542,
330.9299927,0.2138580084,
332.0299988,0.1412695348,
332.9599915,0.1344854236,
334.0599976,0.1621376276,
335,0.2099113166,
335.9299927,0.1366050243,
337.0299988,0.1907820404,
337.9599915,0.2201084793,
339.0599976,0.03183446079,
340,0.1745865494,
