Sample 3,,
Wavelength (nm),Intensity (a.u.),
220,27.72963524,
220.9299927,31.38209152,
222.0299988,30.88508224,
222.9600067,33.44021988,
224.0599976,34.06325912,
225,37.15281296,
225.9299927,37.79330826,
227.0299988,39.56982803,
227.9600067,36.88256454,
229.0599976,36.50526047,
230,35.18416595,
230.9299927,34.59969711,
232.0299988,34.51926041,
232.9600067,33.31050491,
234.0599976,32.86942673,
235,29.87035751,
235.9299927,29.42671585,
237.0299988,27.80154037,
237.9600067,26.32705498,
239.0599976,25.83654404,
240,24.47921181,
240.9299927,23.31455421,
242.0299988,22.58629799,
242.9600067,22.31938553,
244.0599976,22.66663551,
245,23.04718971,
245.9299927,22.4175415,
247.0299988,21.98455048,
247.9600067,22.64838028,
249.0599976,23.00127602,
250,22.79237366,
250.9299927,23.86424065,
252.0299988,24.71081543,
252.9600067,25.33170509,
254.0599976,25.45239639,
255,26.61392975,
255.9299927,27.83008003,
257.0299988,28.1806736,
257.9599915,28.95153809,
259.0599976,28.63196373,
260,28.52215767,
261.0700073,28.95940781,
262,29.32574081,
263.0700073,31.36695099,
264,33.4056015,
265.0700073,34.70648575,
266,34.86142349,
267.0700073,35.86429596,
268,35.29632187,
269.0700073,34.65424347,
270,34.15227509,
270.9299927,34.08164978,
272.0299988,33.4965477,
272.9599915,33.23946762,
274.0599976,33.32434082,
275,33.24222183,
275.9299927,33.77639008,
277.0299988,34.24105835,
277.9599915,34.68470001,
279.0599976,34.65429306,
280,35.99985504,
280.9299927,36.65367126,
282.0299988,36.61471939,
282.9599915,37.23875809,
284.0599976,37.13159561,
285,37.67750931,
285.9299927,38.31615067,
287.0299988,38.50784302,
287.9599915,38.97298813,
289.0599976,40.07527924,
290,40.50109863,
291.0700073,41.99610901,
292,43.2109108,
293.0700073,44.09559631,
294,45.52654648,
295.0700073,45.53803253,
296,45.91659927,
297.0700073,46.086586,
298,46.6771965,
299.0700073,49.13232422,
300,54.57009506,
300.9299927,61.01906586,
302.0299988,68.7726059,
302.9599915,71.35071564,
304.0599976,70.90630341,
305,65.83544159,
305.9299927,59.34049988,
307.0299988,51.85425568,
307.9599915,48.07923889,
309.0599976,45.10327911,
310,42.44495392,
311.0700073,40.25885773,
312,38.89410782,
313.0700073,37.55032349,
314,35.35850143,
315.0700073,34.24188995,
316,32.01572037,
317.0700073,30.66147423,
318,29.13311577,
319.0700073,27.60903168,
320,26.93388367,
321.0700073,24.93872452,
322,23.06467247,
323.0700073,22.24001503,
324,20.80135155,
325.0700073,19.76127243,
326,18.89072227,
327.0700073,17.08213425,
328,16.87655067,
329.0700073,14.88983536,
330,14.39309406,
330.9299927,14.22511387,
332.0299988,12.95621014,
332.9599915,12.21217728,
334.0599976,11.97013187,
335,11.27331734,
335.9299927,10.361516,
337.0299988,9.920127869,
337.9599915,9.613812447,
339.0599976,8.819140434,
340,8.723387718,
341.0700073,8.041399002,
342,7.75657177,
343.0700073,7.340629101,
344,6.900716305,
345.0700073,6.662886143,
346,6.293257236,
347.0700073,5.979005337,
348,5.573936939,
349.0700073,5.422711849,
350,5.161668777,
351.0700073,5.11045599,
352,4.623590469,
353.0700073,4.510735989,
354,4.436071396,
355.0700073,4.010303497,
356,3.791469097,
357.0700073,3.524548054,
358,3.220038652,
359.0700073,3.007581472,
360,2.986442804,
361.0700073,2.669134378,
362,2.598323822,
363.0700073,2.371689796,
364,2.35039711,
365.0700073,2.055038452,
366,1.908090115,
367.0700073,1.827074766,
368,1.689700961,
369.0700073,1.532479405,
370,1.501136899,
371.0599976,1.305881739,
371.9599915,1.06616497,
373.0299988,1.129189014,
373.9299927,1.062237859,
375,0.9130514264,
376.0599976,0.7564042211,
376.9599915,0.7328166962,
378.0299988,0.6789450049,
378.9299927,0.5674161315,
380,0.5429993272,
381.0700073,0.4436832666,
382,0.4940500855,
383.0700073,0.4184375107,
384,0.4022294879,
385.0700073,0.387688905,
386,0.2876630425,
387.0700073,0.3227065206,
388,0.2886981964,
389.0700073,0.2449391186,
390,0.2597869635,
391.0700073,0.2265533358,
392,0.2031488121,
393.0700073,0.2081625015,
394,0.1360914409,
395.0700073,0.2018353492,
396,0.2008983046,
397.0700073,0.2192455083,
398,0.1711852401,
399.0700073,0.1941091418,
400,0.1373588592,
401.0599976,0.1717827171,
401.9599915,0.1269140244,
403.0299988,0.09300999343,
403.9299927,0.151317969,
405,0.1514077932,
406.0599976,0.1726232022,
406.9599915,0.1468437761,
408.0299988,0.1599714458,
408.9299927,0.1436332911,
410,0.1811386347,
411.0700073,0.1316379905,
412,0.2027962804,
413.0700073,0.2161658704,
414,0.1801687181,
415.0700073,0.2454849929,
416,0.211130619,
417.0700073,0.2448776513,
418,0.2562313974,
419.0700073,0.3013824224,
420,0.254842788,
421.0599976,0.293184936,
421.9599915,0.2963104844,
423.0299988,0.3171851039,
423.9299927,0.3003923893,
425,0.340541482,
426.0599976,0.4112564921,
426.9599915,0.4101419449,
428.0299988,0.4105891287,
428.9299927,0.4682892263,
430,0.5402091146,
431.0599976,0.5238037705,
431.9599915,0.5955795646,
433.0299988,0.6464045644,
433.9299927,0.7176428437,
435,0.7083796859,
436.0599976,0.8829221129,
436.9599915,0.9152351618,
438.0299988,0.972633779,
438.9299927,0.9569622874,
440,1.097536683,
441.0599976,1.088106513,
441.9599915,1.224346042,
443.0299988,1.26362288,
443.9299927,1.400274396,
445,1.486807585,
446.0599976,1.614523172,
446.9599915,1.713344097,
448.0299988,1.77464211,
448.9299927,1.9342134,
450,2.137322903,
451.0599976,2.322467327,
451.9599915,2.377225161,
453.0299988,2.531294107,
453.9299927,2.851026535,
455,2.998019695,
456.0599976,3.309480906,
456.9599915,3.503218174,
458.0299988,3.762035131,
458.9299927,3.970789671,
460,3.987975359,
461.0599976,4.295015812,
461.9599915,4.461198807,
463.0299988,4.91642046,
463.9299927,5.385493755,
465,5.823239326,
466.0599976,5.983844757,
466.9599915,6.369111538,
468.0299988,6.783526421,
468.9299927,7.354263783,
470,7.78736639,
471.0400085,8.181100845,
471.9400024,8.77394104,
472.980011,9.319407463,
474.019989,10.01663303,
475.0700073,10.64203739,
475.9700012,11.23822594,
477.0100098,12.18135071,
478.0499878,12.92422867,
478.9500122,13.78271294,
480,14.92308044,
481.0599976,15.87972641,
481.9599915,16.39098549,
483.0299988,16.32863617,
483.9299927,16.5379715,
485,17.14780235,
486.0599976,17.22492027,
486.9599915,17.70615196,
488.0299988,18.42666054,
488.9299927,19.25726891,
490,19.68900299,
491.0400085,20.20577812,
491.9400024,20.53345108,
492.980011,21.27986145,
494.019989,21.97338486,
495.0700073,23.02754593,
495.9700012,24.28574944,
497.0100098,25.97089005,
498.0499878,26.55589104,
498.9500122,27.37527084,
500,28.61974907,
501.0599976,30.32599831,
501.9599915,31.42039871,
503.0299988,32.08995056,
503.9299927,33.76766586,
505,34.71504211,
506.0599976,35.46714401,
506.9599915,36.74610901,
508.0299988,37.40602875,
508.9299927,37.43284607,
510,38.22254944,
511.0400085,37.94596863,
511.9400024,39.33278656,
512.9799805,39.19667816,
514.0200195,40.29364777,
515.0700073,40.81319046,
515.9699707,41.46878815,
517.0100098,42.28256226,
518.0499878,42.76350784,
518.9500122,42.5705452,
520,42.68270493,
521.039978,42.25634384,
521.9400024,43.48683167,
522.9799805,44.34883881,
524.0200195,45.22621536,
525.0700073,46.85289001,
525.9699707,47.15301895,
527.0100098,47.63896561,
528.0499878,47.17430115,
528.9500122,47.17456436,
530,47.42189407,
531.0200195,49.37184143,
532.0499878,51.02545547,
532.9400024,52.74270248,
533.9699707,55.86650848,
535,58.18257141,
536.0200195,61.07996368,
537.0499878,64.07348633,
537.9400024,68.72327423,
538.9699707,73.13412476,
540,75.55966949,
541.039978,76.71226501,
541.9400024,77.22166443,
542.9799805,77.79358673,
544.0200195,78.14031982,
545.0700073,79.5773468,
545.9699707,82.3848877,
547.0100098,83.90956116,
548.0499878,86.0318222,
548.9500122,88.65261841,
550,93.38847351,
551.0200195,97.52577972,
552.0499878,102.9704742,
552.9400024,106.2106781,
553.9699707,113.4926758,
555,117.1405716,
556.0200195,122.869606,
557.0499878,128.2822876,
557.9400024,131.5852509,
558.9699707,136.7966919,
560,138.8712463,
561.039978,139.254425,
561.9400024,139.6329498,
562.9799805,137.9718781,
564.0200195,132.2185364,
565.0700073,127.6607056,
565.9699707,123.1525421,
