Sample 44,,
Wavelength (nm),Intensity (a.u.),
220,2.199413538,
220.9299927,0,
222.0299988,2.176515341,
222.9600067,2.412992954,
224.0599976,1.441337466,
225,1.764492154,
225.9299927,1.719174743,
227.0299988,1.505253315,
227.9600067,1.598700762,
229.0599976,1.418991566,
230,1.273236632,
230.9299927,1.168642163,
232.0299988,1.433767796,
232.9600067,1.069074035,
234.0599976,1.163645267,
235,1.451554418,
235.9299927,1.35135138,
237.0299988,1.43010366,
237.9600067,1.557439923,
239.0599976,1.298075914,
240,1.315146685,
240.9299927,1.12305963,
242.0299988,1.055496812,
242.9600067,1.279510379,
244.0599976,1.096107602,
245,1.145326853,
245.9299927,1.287901878,
247.0299988,1.247094274,
247.9600067,1.357050419,
249.0599976,1.142109513,
250,1.119664073,
250.9299927,1.313497186,
252.0299988,1.040768385,
252.9600067,0.974247396,
254.0599976,1.011256456,
255,1.10934031,
255.9299927,1.076887012,
257.0299988,1.038666725,
257.9599915,0.9346269369,
259.0599976,0.847061336,
260,0.9732653499,
261.0700073,0.6911904812,
262,0.6868268847,
263.0700073,0.6735982299,
264,0.5291370153,
265.0700073,0.5640892386,
266,0.467925787,
267.0700073,0.5344839096,
268,0.4343065917,
269.0700073,0.4754667878,
270,0.5010418296,
270.9299927,0.5297927856,
272.0299988,0.5632901788,
272.9599915,0.5762915015,
274.0599976,0.728273809,
275,0.7791582942,
275.9299927,0.8649584055,
277.0299988,1.04340744,
277.9599915,1.090882659,
279.0599976,0.9095008969,
280,0.8269069791,
280.9299927,0.6213082075,
282.0299988,0.414128691,
282.9599915,0.2901447713,
284.0599976,0.2654170096,
285,0.171689257,
285.9299927,0.257961452,
287.0299988,0.1465344578,
287.9599915,0.2559508383,
289.0599976,0.1375760734,
290,0.1769712269,
291.0700073,0.212123692,
292,0.2463831604,
293.0700073,0.2046648413,
294,0.1302392632,
295.0700073,0.1124543101,
296,0.1574507952,
297.0700073,0.2307148427,
298,0.604473114,
299.0700073,1.729785085,
300,4.371575356,
300.9299927,7.840004921,
302.0299988,12.0765276,
302.9599915,14.08351135,
304.0599976,14.35070324,
305,11.49474525,
305.9299927,7.738799095,
307.0299988,3.635182858,
307.9599915,1.608371615,
309.0599976,0.50949049,
310,-0.009987415746,
311.0700073,0.03130282462,
312,0.0527275987,
313.0700073,0.01170398295,
314,0.07079228014,
315.0700073,0.168507278,
316,0.02805048972,
317.0700073,-0.02895948663,
318,0.01503216848,
319.0700073,0.1962560415,
320,0.07468706369,
321.0700073,0.04327443242,
322,0.1103478745,
323.0700073,-0.0281084422,
324,-0.04366558045,
325.0700073,0.02878236212,
326,0,
327.0700073,-0.01629699767,
328,0,
329.0700073,-0.01655382477,
330,0.1332178861,
330.9299927,0.08242256194,
332.0299988,0.0939540565,
332.9599915,0.1460256577,
334.0599976,0.1711556166,
335,0.1096233651,
335.9299927,0.1116997525,
337.0299988,0.1169199944,
337.9599915,0.0484457016,
339.0599976,-0.1429388225,
340,0.03151492402,
341.0700073,0.1529519856,
342,0.01479793433,
343.0700073,0.0143235689,
344,0.08385275304,
345.0700073,-0.01391982194,
346,0.04576379806,
347.0700073,0,
348,-0.05945656821,
349.0700073,0.04337265715,
350,0.02903642505,
351.0700073,-0.02696108073,
352,0.03860407695,
353.0700073,0.1077173501,
354,0.03247385845,
355.0700073,0.06027788296,
356,-0.07515829802,
357.0700073,0.07800582796,
358,-0.02444509603,
359.0700073,0.031298168,
360,0.03108027205,
361.0700073,0,
362,-0.02357730642,
363.0700073,0.09345635772,
364,-0.0282206852,
365.0700073,0.03130935878,
366,0.04271040112,
367.0700073,0.04504606128,
368,0,
369.0700073,-0.07007872313,
370,-0.01103204768,
371.0599976,-0.06436594576,
371.9599915,-0.03053963557,
373.0299988,0.07867975533,
373.9299927,0.1476573199,
375,0.01752771623,
376.0599976,0.04228758812,
376.9599915,0.08539491147,
378.0299988,0.05116005614,
378.9299927,0.008800802752,
380,-0.02665908262,
381.0700073,0.1329445541,
382,0.02658678778,
383.0700073,-0.03401823342,
384,0.07996609062,
385.0700073,0.05662056059,
386,0.04858456925,
387.0700073,0.08208893985,
388,-0.04562876374,
389.0700073,0.0145316096,
390,0.02106874622,
391.0700073,0.05346592888,
392,0.04507724196,
393.0700073,-0.006526563317,
394,-0.07917395234,
395.0700073,0.06828082353,
396,0.06487561762,
397.0700073,-0.02836456895,
398,0,
399.0700073,-0.04224608466,
400,0.02758925036,
401.0599976,0,
401.9599915,0.03174482286,
403.0299988,0.03143487498,
403.9299927,-0.01267081872,
405,0.01863180473,
406.0599976,0.02478084341,
406.9599915,0.01875164174,
408.0299988,-0.0123503292,
408.9299927,0.01239979453,
410,0,
411.0700073,0.03933033347,
412,0.03573875129,
413.0700073,0,
414,0.005376748741,
415.0700073,0.02932594344,
416,-0.02242102101,
417.0700073,0.02015868947,
418,0,
419.0700073,0.02693040483,
420,-0.006552349776,
421.0599976,0.006018186919,
421.9599915,-0.04740983993,
423.0299988,-0.006463831756,
423.9299927,0.02483484708,
425,-0.02685131319,
426.0599976,0.02496941388,
426.9599915,0.007513910066,
428.0299988,-0.007986647077,
428.9299927,-0.01258769445,
430,0.008660483174,
431.0599976,0.008556259796,
431.9599915,-0.03059240058,
433.0299988,-0.004517630208,
433.9299927,-0.004348714836,
435,0.01655012555,
436.0599976,-0.04018824175,
436.9599915,0.01959769987,
438.0299988,-0.01570296288,
438.9299927,0.003787233261,
440,0,
441.0599976,-0.007304175291,
441.9599915,-0.02897563949,
443.0299988,0,
443.9299927,-0.00718555972,
445,-0.02869636007,
446.0599976,0.01428898051,
446.9599915,-0.01063829754,
