Sample 10,,
Wavelength (nm),Intensity (a.u.),
220,6.094773769,
220.9299927,5.857512951,
222.0299988,6.356412888,
222.9600067,7.61397171,
224.0599976,7.166604996,
225,7.467532635,
225.9299927,8.189974785,
227.0299988,7.870112419,
227.9600067,7.896607876,
229.0599976,6.999769688,
230,7.216588974,
230.9299927,6.507282257,
232.0299988,5.967694759,
232.9600067,6.055909634,
234.0599976,5.581477642,
235,5.010822296,
235.9299927,4.554999828,
237.0299988,4.353043079,
237.9600067,3.769088507,
239.0599976,3.715716839,
240,3.692372799,
240.9299927,3.322777271,
242.0299988,3.087195873,
242.9600067,2.885797501,
244.0599976,2.826536179,
245,3.035545349,
245.9299927,2.990179539,
247.0299988,2.923296213,
247.9600067,2.867592096,
249.0599976,2.896193743,
250,3.079310894,
250.9299927,2.946169376,
252.0299988,2.942762613,
252.9600067,3.20322299,
254.0599976,3.171900272,
255,3.386783361,
255.9299927,3.833677292,
257.0299988,3.773139954,
257.9599915,3.601033449,
259.0599976,3.70999074,
260,3.749185562,
261.0700073,3.665662766,
262,3.907237291,
263.0700073,4.130036354,
264,4.368035316,
265.0700073,4.544958115,
266,4.589442253,
267.0700073,4.643845558,
268,4.672432899,
269.0700073,4.610892773,
270,4.660961628,
270.9299927,4.445136547,
272.0299988,4.595152378,
272.9599915,4.545275211,
274.0599976,4.996612549,
275,5.031404972,
275.9299927,5.571252823,
277.0299988,5.555367947,
277.9599915,5.67668581,
279.0599976,5.784799576,
280,5.751237869,
280.9299927,5.530537128,
282.0299988,5.255999088,
282.9599915,5.680591106,
284.0599976,5.56853056,
285,5.701415539,
285.9299927,5.759264469,
287.0299988,5.954160213,
287.9599915,6.222506523,
289.0599976,6.314725876,
290,6.743714809,
291.0700073,6.682258606,
292,7.068834305,
293.0700073,7.337988853,
294,7.59653616,
295.0700073,7.501451015,
296,7.852243423,
297.0700073,9.024564743,
298,11.14592934,
299.0700073,15.14944553,
300,20.25086021,
300.9299927,23.79174614,
302.0299988,24.50970078,
302.9599915,23.03256607,
304.0599976,18.79276085,
305,13.67686653,
305.9299927,10.52855301,
307.0299988,8.186641693,
307.9599915,7.698046684,
309.0599976,6.802721024,
310,6.423758507,
311.0700073,6.03342247,
312,5.699198723,
313.0700073,5.230523586,
314,4.952758312,
315.0700073,4.370410919,
316,4.302075386,
317.0700073,4.09962225,
318,3.835814476,
319.0700073,3.358862877,
320,3.119240046,
321.0700073,2.847817659,
322,2.560859442,
323.0700073,2.282231092,
324,2.420930386,
325.0700073,2.039104462,
326,1.991617203,
327.0700073,1.658811808,
328,1.734489679,
329.0700073,1.698632836,
330,1.514901996,
330.9299927,1.489685535,
332.0299988,1.536941528,
332.9599915,1.250316501,
334.0599976,1.021671772,
335,1.157588482,
335.9299927,1.157516003,
337.0299988,0.9518370628,
337.9599915,0.9563224912,
339.0599976,1.001728773,
340,0.7920666933,
341.0700073,0.8365295529,
342,0.7885168195,
343.0700073,0.8139762878,
344,0.6180558801,
345.0700073,0.7448362708,
346,0.7126060128,
347.0700073,0.5839459896,
348,0.4758859575,
349.0700073,0.49278,
350,0.4533027112,
351.0700073,0.5017153621,
352,0.5384270549,
353.0700073,0.4957273006,
354,0.4841851592,
355.0700073,0.3490192592,
356,0.327650547,
357.0700073,0.3257902563,
358,0.2714371681,
359.0700073,0.4093820751,
360,0.3087024093,
361.0700073,0.3481709659,
362,0.2808628082,
363.0700073,0.1922253519,
364,0.1420494914,
365.0700073,0.1616373956,
366,0.07946868986,
367.0700073,0.1817809939,
368,0.1851230413,
369.0700073,0.2580835521,
370,0.191342324,
371.0599976,0.02186867781,
371.9599915,0.1387554705,
373.0299988,0.09085310996,
373.9299927,0.1153269559,
375,0.1438939571,
376.0599976,0.09691630304,
376.9599915,0.03510250151,
378.0299988,0.1077866927,
378.9299927,0.009304663166,
380,0.01849043928,
381.0700073,0.05841292068,
382,0,
383.0700073,-0.008788968436,
384,0.0416517444,
385.0700073,0.02451741695,
386,0.0408934392,
387.0700073,0.05607401952,
388,0.1320419163,
389.0700073,0.03581482545,
390,-0.007059405092,
391.0700073,0.04681804404,
392,-0.02678200789,
393.0700073,-0.01961784437,
394,0.01396043599,
395.0700073,0.04312358424,
396,0.007137299981,
397.0700073,0,
398,0.02194073051,
399.0700073,0.03567453474,
400,-0.02181722969,
401.0599976,-0.02038805187,
401.9599915,-0.006617082749,
403.0299988,0.01271286048,
403.9299927,0.01963299513,
405,0.04315925762,
406.0599976,0.09172517061,
406.9599915,0.05613072217,
408.0299988,0.06946374476,
408.9299927,0,
410,0.04292424768,
411.0700073,0.006139526609,
412,0.05525879562,
413.0700073,0.06102882326,
414,0,
415.0700073,0.04695595056,
416,0.06044459343,
417.0700073,0.008351288736,
418,0.05273288116,
419.0700073,0.003395055421,
420,0.03581032157,
421.0599976,0.05694544688,
421.9599915,0.04359387979,
423.0299988,0.03660489619,
423.9299927,0.05655451119,
425,0,
426.0599976,0.08968867362,
426.9599915,0.05644062907,
428.0299988,0.04453333095,
428.9299927,0.04717588052,
430,0.101386033,
431.0599976,0.09384803474,
431.9599915,0.08099271357,
433.0299988,0.062292099,
433.9299927,0.0674135536,
435,0.075173527,
436.0599976,0.1243064776,
436.9599915,0.08512674272,
438.0299988,0.1576023549,
438.9299927,0.1297204942,
440,0.164569065,
441.0599976,0.1830063462,
441.9599915,0.1884004474,
443.0299988,0.2239441127,
443.9299927,0.1860838532,
445,0.2138016075,
446.0599976,0.2536818981,
446.9599915,0.1978033036,
448.0299988,0.2420831323,
448.9299927,0.2745416462,
450,0.3124812841,
451.0599976,0.3321402371,
