Sample 11,,
Wavelength (nm),Intensity (a.u.),
220,1.385254741,
220.9299927,1.101018429,
222.0299988,0.7898002863,
222.9600067,1.423285007,
224.0599976,0.8239700198,
225,0.3246753216,
225.9299927,0.497162044,
227.0299988,0.06124823913,
227.9600067,0.3546279073,
229.0599976,0.1147236302,
230,0.2041464448,
230.9299927,-0.04822996259,
232.0299988,0.1810469627,
232.9600067,0.2618867457,
234.0599976,0.08956025541,
235,0.2754146457,
235.9299927,0,
237.0299988,-0.02820556238,
237.9600067,0.02461417392,
239.0599976,0.1242364645,
240,0.1958061904,
240.9299927,0.158586666,
242.0299988,0.1294665933,
242.9600067,0.08861096203,
244.0599976,0.1409873813,
245,0.04314482957,
245.9299927,0.1759961843,
247.0299988,0.06138986722,
247.9600067,0.1146848798,
249.0599976,0.2199201435,
250,0.1009298116,
250.9299927,0.2154955715,
252.0299988,0.2439421117,
252.9600067,0.01641012169,
254.0599976,0.1013753265,
255,0.159560889,
255.9299927,0.1869831085,
257.0299988,0.1685244441,
257.9599915,0.06987074018,
259.0599976,0.1407310963,
260,0.17765145,
261.0700073,0.06585136801,
262,0.1439855248,
263.0700073,0.2542419732,
264,0.107694149,
265.0700073,0.2830327451,
266,0.2074552923,
267.0700073,0.2564482093,
268,0.217621401,
269.0700073,0.2342574447,
270,0.2375861257,
270.9299927,0.1772849709,
272.0299988,0.2347362787,
272.9599915,0.2569990754,
274.0599976,0.4330085516,
275,0.5984389782,
275.9299927,0.941935122,
277.0299988,0.9876030087,
277.9599915,0.8488357663,
279.0599976,0.7530246377,
280,0.5628803968,
280.9299927,0.2810746133,
282.0299988,0.1999883354,
282.9599915,0.05739774927,
284.0599976,0.09144642949,
285,0.1441985518,
285.9299927,0.06681923568,
287.0299988,0.1326248944,
287.9599915,0.04187043756,
289.0599976,0.1866307408,
290,0.1773364097,
291.0700073,0.1939798892,
292,0.1464952976,
293.0700073,0.1277149469,
294,0.09290370345,
295.0700073,0.1990607232,
296,0.401363194,
297.0700073,1.622486115,
298,3.762708426,
299.0700073,7.500832558,
300,12.29920578,
300.9299927,15.41711903,
302.0299988,17.19425774,
302.9599915,15.20560837,
304.0599976,10.86862373,
305,6.440313816,
305.9299927,2.87462306,
307.0299988,0.7294177413,
307.9599915,0.2399082184,
309.0599976,0,
310,-0.01029293705,
311.0700073,0.1500423402,
312,0.03395201638,
313.0700073,0.1355497837,
314,0.1213032827,
315.0700073,0.1325135231,
316,0.04274965823,
317.0700073,0.132055819,
318,0,
319.0700073,0.06160575151,
320,0.2288643718,
321.0700073,0.04398697987,
322,0.01452728268,
323.0700073,0.05736905709,
324,0.0428308323,
325.0700073,0.1151211634,
326,0.1327511966,
327.0700073,0.03034533001,
328,0.06622736156,
329.0700073,-0.01626889221,
330,0.09632364661,
330.9299927,0.1581077725,
332.0299988,0.1774823368,
332.9599915,0.1254056096,
334.0599976,0.1738580763,
335,-0.03137402236,
335.9299927,0.1941401958,
337.0299988,-0.01653685234,
337.9599915,0.03155171499,
339.0599976,0.04831228778,
340,0.191723913,
341.0700073,0,
342,0.2517809868,
343.0700073,0.1710083783,
344,-0.01443793066,
345.0700073,0.02940787189,
346,0.1493495852,
347.0700073,0.05872852728,
348,0.06126981974,
349.0700073,0.1046228334,
350,0.1008311361,
351.0700073,-0.1064070314,
352,0.01244849432,
353.0700073,0.03566121683,
354,0.08991390467,
355.0700073,-0.01017252635,
356,0.009626585059,
357.0700073,-0.04457996786,
358,0.06562487036,
359.0700073,0.07117269188,
360,-0.007449899334,
361.0700073,0,
362,0.04030730203,
363.0700073,0.1030202135,
364,0.01972133666,
365.0700073,-0.01012822334,
366,0.1013901681,
367.0700073,-0.01145095006,
368,0.03500297666,
