Sample 2,,
Wavelength (nm),Intensity (a.u.),
220,265.7064209,
220.9299927,272.3699951,
222.0299988,270.9923706,
222.9600067,260.8209839,
224.0599976,233.1795197,
225,198.7245789,
225.9299927,167.6607056,
227.0299988,136.9279175,
227.9600067,119.5034561,
229.0599976,102.589798,
230,88.91015625,
230.9299927,78.16009521,
232.0299988,69.40634918,
232.9600067,63.39767456,
234.0599976,61.51106644,
235,60.10173798,
235.9299927,61.02538681,
237.0299988,62.20402145,
237.9600067,63.67262268,
239.0599976,66.4234314,
240,67.92195892,
240.9299927,66.76140594,
242.0299988,67.34944916,
242.9600067,68.95082092,
244.0599976,71.21964264,
245,72.38491821,
245.9299927,73.45600891,
247.0299988,72.78127289,
247.9600067,71.9614563,
249.0599976,70.64292908,
250,69.14254761,
250.9299927,69.57855225,
252.0299988,68.78204346,
252.9600067,68.96224976,
254.0599976,67.18190765,
255,68.32278442,
255.9299927,69.19363403,
257.0299988,70.15714264,
257.9599915,68.9467392,
259.0599976,66.43104553,
260,64.46715546,
261.0700073,61.59799576,
262,60.60517883,
263.0700073,59.05690384,
264,58.97265625,
265.0700073,57.54594421,
266,55.8335495,
267.0700073,52.49530411,
268,50.11907578,
269.0700073,47.27516937,
270,44.5275383,
270.9299927,41.60255814,
272.0299988,38.97991562,
272.9599915,36.99657822,
274.0599976,34.16838455,
275,31.87083435,
275.9299927,29.71878242,
277.0299988,27.83141136,
277.9599915,26.93491936,
279.0599976,25.11753464,
280,24.36365318,
280.9299927,23.72261047,
282.0299988,22.28978539,
282.9599915,21.54309845,
284.0599976,20.8966198,
285,20.64095688,
285.9299927,20.81853294,
287.0299988,21.36938095,
287.9599915,21.76566315,
289.0599976,22.33362579,
290,22.38035583,
291.0700073,22.15883827,
292,21.20402527,
293.0700073,19.72761726,
294,18.38639832,
295.0700073,16.64772034,
296,15.07707977,
297.0700073,13.53229237,
298,12.56616783,
299.0700073,12.12678051,
300,11.70290947,
300.9299927,11.45123672,
302.0299988,11.47923946,
302.9599915,11.78271198,
304.0599976,12.13185692,
305,12.39660168,
305.9299927,12.88534641,
307.0299988,13.16202831,
307.9599915,13.31307507,
309.0599976,13.53299713,
310,13.37988377,
311.0700073,13.98160362,
312,13.90985394,
313.0700073,14.24317932,
314,14.18019962,
315.0700073,14.14338875,
316,14.96486664,
317.0700073,15.16944599,
318,15.37535763,
319.0700073,15.89653683,
320,16.40174484,
321.0700073,16.8508358,
322,17.36428833,
323.0700073,17.45530701,
324,17.74713516,
325.0700073,17.99979782,
326,18.80976295,
327.0700073,20.00932121,
328,20.25290298,
329.0700073,21.33766937,
330,22.31321907,
330.9299927,23.92690659,
332.0299988,25.48083305,
332.9599915,27.28131104,
334.0599976,28.43812561,
335,29.72016907,
335.9299927,31.47645378,
337.0299988,33.65752029,
337.9599915,35.22329712,
339.0599976,37.69825363,
340,40.12433624,
341.0700073,43.59505844,
342,46.47265244,
343.0700073,49.57292175,
344,50.69373703,
345.0700073,53.57831192,
346,55.97095108,
347.0700073,59.65505981,
348,62.55941772,
349.0700073,66.04221344,
350,70.13332367,
351.0700073,74.3801651,
352,78.38222504,
353.0700073,82.47195435,
354,85.55755615,
355.0700073,87.89009094,
356,91.94355774,
357.0700073,97.18109131,
358,100.6645508,
359.0700073,105.3455887,
360,107.8419266,
361.0700073,110.5603561,
362,112.7528534,
363.0700073,114.7688599,
364,119.7470245,
365.0700073,124.4368286,
366,130.7460938,
367.0700073,137.0528564,
368,141.3370514,
369.0700073,145.5157166,
370,147.5260773,
371.0599976,154.1533661,
371.9599915,157.0771179,
373.0299988,162.2731171,
373.9299927,166.4504242,
375,171.2536774,
376.0599976,173.1459045,
376.9599915,174.3298645,
378.0299988,179.0155029,
378.9299927,182.5652313,
380,189.9949951,
381.0700073,198.3847046,
382,202.5519257,
383.0700073,207.2838287,
384,212.2374115,
385.0700073,215.7412262,
386,218.3436279,
387.0700073,220.9694824,
388,225.1642609,
389.0700073,227.0284729,
390,224.7973938,
391.0700073,223.3638763,
392,220.3571014,
393.0700073,215.7807159,
394,210.7515717,
395.0700073,206.4553528,
396,203.255661,
397.0700073,199.0482635,
398,197.2800293,
399.0700073,193.2953796,
400,191.6136932,
401.0599976,190.6277313,
401.9599915,190.384964,
403.0299988,187.9413605,
403.9299927,187.2760315,
405,186.8783417,
406.0599976,187.5937653,
406.9599915,189.0574493,
408.0299988,191.7431641,
408.9299927,192.334671,
410,191.5926208,
411.0700073,190.9073944,
412,188.6110229,
413.0700073,185.1984863,
414,181.8516235,
415.0700073,174.5411835,
416,165.6421051,
417.0700073,154.6742096,
418,141.8373413,
419.0700073,126.0084229,
420,111.8832703,
421.0599976,96.2154007,
421.9599915,82.72225189,
423.0299988,67.34004211,
423.9299927,56.42560577,
425,44.19950485,
426.0599976,35.71806335,
426.9599915,29.29820251,
428.0299988,22.00935745,
428.9299927,17.02293968,
430,12.64854717,
431.0599976,9.877448082,
431.9599915,8.223684311,
433.0299988,6.401060104,
433.9299927,5.456346989,
435,4.121297836,
436.0599976,3.441198111,
436.9599915,2.724338531,
438.0299988,2.242837429,
438.9299927,1.94802022,
440,1.580236912,
441.0599976,1.570318818,
441.9599915,1.564825296,
443.0299988,2.263039589,
