Sample 5,,
Wavelength (nm),Intensity (a.u.),
220,11.28633213,
220.9299927,18.72810555,
222.0299988,30.76403046,
222.9600067,40.11051559,
224.0599976,39.49517441,
225,29.44413948,
225.9299927,19.50915146,
227.0299988,10.09168625,
227.9600067,4.926483631,
229.0599976,2.287293196,
230,0.6356846094,
230.9299927,0.3041647077,
232.0299988,0.3017577529,
232.9600067,0.1638851613,
234.0599976,0.2860330045,
235,0.2979027629,
235.9299927,0.320083797,
237.0299988,0.1357183456,
237.9600067,-0.02410277352,
239.0599976,0.1424211711,
240,0.1570433974,
240.9299927,0.1363657117,
242.0299988,0.1778556108,
242.9600067,0.1607697159,
244.0599976,0.1965999901,
245,0.09553125501,
245.9299927,0.1651442498,
247.0299988,0.2084718943,
247.9600067,0.08091269433,
249.0599976,0.1620955765,
250,0.1700515002,
250.9299927,0.120216392,
252.0299988,0.1673996747,
252.9600067,0.1308493763,
254.0599976,0.09915553033,
255,0.1255039871,
255.9299927,0.08333333582,
257.0299988,-0.09089566767,
257.9599915,0.08697164804,
259.0599976,0.07835558057,
260,0.05203545466,
261.0700073,0,
262,0.0973918438,
263.0700073,0.1282667965,
264,0.07612004876,
265.0700073,0,
266,0.06281538308,
267.0700073,0.144223839,
268,0.1272403449,
269.0700073,-0.04293282703,
270,0.0720622614,
270.9299927,0.06996703148,
272.0299988,0.1093382686,
272.9599915,0.04699100927,
274.0599976,0.08091727644,
275,0.02512962744,
275.9299927,0.05817142129,
277.0299988,0.008444448002,
277.9599915,0.04108631983,
279.0599976,0.05564033985,
280,0.1318565309,
280.9299927,-0.01775111258,
282.0299988,0.04078636318,
282.9599915,0.02434788272,
284.0599976,0.04712461308,
285,-0.007901327685,
285.9299927,0.07706891745,
287.0299988,0.03212670609,
287.9599915,-0.01623600721,
289.0599976,0.00804939121,
290,0,
291.0700073,0.04826759547,
292,0.06425754726,
293.0700073,0.02230085433,
294,0.02191396616,
295.0700073,-0.0141962776,
296,0.01429377962,
297.0700073,0.0369489044,
298,-0.01510688197,
299.0700073,-0.00819927454,
300,0.06236246601,
300.9299927,0.1334986091,
302.0299988,0.12092264,
302.9599915,0.1329542398,
304.0599976,0.03316602856,
305,0.141436547,
305.9299927,-0.02176562697,
307.0299988,0.03133814037,
307.9599915,0,
309.0599976,0,
310,0.07144898921,
311.0700073,0.1274169385,
312,0.1555382758,
313.0700073,-0.04787094146,
314,0.01196401287,
315.0700073,0.1024787053,
316,0.08265715092,
317.0700073,0.04355274513,
318,-0.031201737,
319.0700073,0.07935122401,
320,0.0312046539,
321.0700073,0.1354218423,
322,0,
323.0700073,0.02818846703,
324,0.1286688447,
325.0700073,0.04379498214,
326,0.1332543641,
327.0700073,-0.03314495832,
328,-0.06427457929,
329.0700073,0.08075848222,
330,0.1345238686,
330.9299927,0.1838726848,
332.0299988,0.1434171498,
332.9599915,0.03089661896,
334.0599976,0.03093197942,
335,0.03101256117,
335.9299927,0.09627109766,
337.0299988,0.03224454075,
337.9599915,0.03242910281,
339.0599976,0,
340,0.111296609,
341.0700073,0.3179024458,
342,0.174499765,
343.0700073,0.1124669686,
344,0.2064892799,
345.0700073,0.05501684919,
346,0.07123521715,
347.0700073,0.1049616933,
348,0.1196565852,
349.0700073,0.0435862802,
350,0.02910064533,
351.0700073,0.05346307158,
352,0.07662150264,
353.0700073,0.09394302219,
354,0.01083529275,
355.0700073,0.1316109151,
356,0.02816372551,
357.0700073,0.0956671536,
358,-0.02447840571,
359.0700073,0.03831828758,
360,-0.01475448534,
361.0700073,0.03722897172,
362,0.01543495618,
363.0700073,0.0917385295,
364,0.0911269635,
365.0700073,0.05058885366,
366,0.05378773063,
367.0700073,0.08993007988,
368,0.03483268619,
369.0700073,0.08063215762,
370,0.1441897005,
371.0599976,-0.02176396921,
371.9599915,0.01089455187,
373.0299988,0.04000680149,
373.9299927,0.1474172473,
375,0.05396217108,
376.0599976,0.07740870118,
376.9599915,0.03401534259,
378.0299988,0.01706906967,
378.9299927,-0.008817720227,
380,0.1143239066,
381.0700073,-0.009100423194,
382,0.04326120391,
383.0700073,0.01677148789,
384,0.04027418792,
385.0700073,0.03196726367,
386,0.03134894371,
387.0700073,0.03709804267,
388,0.04568887502,
389.0700073,0,
390,0.06027041376,
391.0700073,0.1098659635,
392,0.1342161745,
393.0700073,0.2188451439,
394,0.2780400217,
395.0700073,0.4771889448,
396,0.5879470706,
397.0700073,0.5899290442,
398,0.5732987523,
399.0700073,0.4196823537,
400,0.3122981489,
401.0599976,0.1738175154,
401.9599915,0.1129973531,
403.0299988,0.09558036178,
403.9299927,0.03712756187,
405,0.05507686362,
406.0599976,0.02456157655,
406.9599915,0.1236804798,
408.0299988,0.03736455366,
408.9299927,0.01914889552,
410,0.01222822722,
411.0700073,0.01213400811,
412,0.04757656902,
413.0700073,0.06375776976,
414,0.03763076663,
415.0700073,0.04983206466,
416,0.01813022979,
417.0700073,0.03272720054,
418,0.04785270244,
419.0700073,0.08413769305,
420,0.03218383342,
421.0599976,0.08455919474,
421.9599915,0.07216981798,
423.0299988,0.07351049036,
423.9299927,0.07483536005,
425,0.07234890759,
426.0599976,0.08386798948,
426.9599915,0.08606270701,
428.0299988,0.02109286375,
428.9299927,0.05894439295,
430,0.08442202955,
431.0599976,0.05028052256,
431.9599915,-0.02904781327,
433.0299988,0.07568304241,
433.9299927,-0.00415406609,
435,0.03668842465,
436.0599976,0.03689764813,
436.9599915,0.02386929281,
438.0299988,0.07715216279,
438.9299927,0.05822183192,
440,0.04864086211,
441.0599976,0.1049849764,
441.9599915,0.4119637311,
443.0299988,1.226721764,
443.9299927,2.953068972,
445,6.120989323,
446.0599976,9.899231911,
446.9599915,14.31489182,
448.0299988,18.77116013,
448.9299927,21.54762077,
450,22.46604919,

Sample 5,
Sample 5
Collection Time: 13/04/2023 3:01:04 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         450.00
Em. Wavelength (nm)               451.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 13/04/2023 2:54:33 PM
Method Modifications:
Excitation Wavelength Changed: 13/04/2023 2:55:20 PM, Old: 350.00, New: 390.00
Overlayed Graphs Changed: 13/04/2023 2:56:34 PM, Old:OFF, New:ON
Scan mode: Changed: 13/04/2023 2:56:34 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 13/04/2023 2:56:34 PM, Old: 450.00, New: 451.00
User Delta Increment Changed: 13/04/2023 2:56:34 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 13/04/2023 2:56:34 PM, Old: 390.00, New: 220.00
Emission Wavelength Changed: 13/04/2023 2:56:34 PM, Old: 400.00, New: 451.00
Stop Wavelength Changed: 13/04/2023 2:56:34 PM, Old: 600.00, New: 450.00
Scan mode: Changed: 13/04/2023 2:58:03 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 13/04/2023 2:58:03 PM, Old: 220.00, New: 389.00
