Sample 3,,
Wavelength (nm),Intensity (a.u.),
220,6.048706532,
220.9299927,5.486436367,
222.0299988,4.658680439,
222.9600067,3.449206114,
224.0599976,2.975696087,
225,2.168486834,
225.9299927,1.712764978,
227.0299988,1.29073894,
227.9600067,1.233626604,
229.0599976,1.032384992,
230,1.006161571,
230.9299927,1.01126194,
232.0299988,1.130958557,
232.9600067,1.238386512,
234.0599976,1.355495572,
235,1.125804067,
235.9299927,1.313971758,
237.0299988,1.170142293,
237.9600067,1.072352529,
239.0599976,1.00057888,
240,0.7543250918,
240.9299927,0.7478874922,
242.0299988,0.6408088207,
242.9600067,0.7136819959,
244.0599976,0.5827100277,
245,0.6071759462,
245.9299927,0.5539544821,
247.0299988,0.5659947395,
247.9600067,0.5329654217,
249.0599976,0.6719883084,
250,0.6939094067,
250.9299927,0.7220360637,
252.0299988,0.9212530851,
252.9600067,0.8892620802,
254.0599976,1.02750349,
255,0.9339023232,
255.9299927,0.8061949611,
257.0299988,0.6554880738,
257.9599915,0.5619607568,
259.0599976,0.552709043,
260,0.4940395653,
261.0700073,0.5857176185,
262,0.6302209496,
263.0700073,0.6667710543,
264,0.7784839869,
265.0700073,0.684951365,
266,0.717195034,
267.0700073,0.6357252598,
268,0.5685112476,
269.0700073,0.5792271495,
270,0.5766537786,
270.9299927,0.5011497736,
272.0299988,0.58433038,
272.9599915,0.5609704256,
274.0599976,0.6226209998,
275,0.6371933818,
275.9299927,0.6320986152,
277.0299988,0.605012536,
277.9599915,0.6671972871,
279.0599976,0.5763976574,
280,0.2411582023,
280.9299927,0.2758949995,
282.0299988,0.256900847,
282.9599915,0.2799377739,
284.0599976,0.2767474651,
285,0.2808469236,
285.9299927,0.2805508375,
287.0299988,0.276917994,
287.9599915,0.3162549734,
289.0599976,0.2973969877,
290,0.3016771972,
291.0700073,0.3567230701,
292,0.5736501217,
293.0700073,1.130506039,
294,1.801315546,
295.0700073,3.218320847,
296,4.882097721,
297.0700073,6.962789536,
298,8.77646637,
299.0700073,10.69410324,
300,12.62046623,
300.9299927,13.56932831,
302.0299988,14.17736816,
302.9599915,14.4099369,
304.0599976,14.38704014,
305,14.11634541,
305.9299927,13.99198532,
307.0299988,13.96966743,
307.9599915,13.81907558,
309.0599976,13.7142067,
310,13.55525017,
311.0700073,13.43019104,
312,13.46631336,
313.0700073,13.5766964,
314,13.77520561,
315.0700073,13.89833927,
316,13.76798439,
317.0700073,14.18653107,
318,14.06580067,
319.0700073,14.45162964,
320,15.0930872,
321.0700073,14.78779316,
322,14.77248096,
323.0700073,14.75945568,
324,14.88987637,
325.0700073,14.68119812,
326,14.45916748,
327.0700073,14.68405628,
328,14.44144821,
329.0700073,14.77212906,
330,15.3707304,
330.9299927,15.41795731,
332.0299988,15.71222019,
332.9599915,15.56773567,
334.0599976,15.9502697,
335,16.3820591,
335.9299927,16.76288033,
337.0299988,17.34662819,
337.9599915,17.762146,
339.0599976,18.89443016,
340,19.8392067,
341.0700073,21.11894989,
342,22.17683411,
343.0700073,22.90949059,
344,23.58120728,
345.0700073,24.50256157,
346,25.37484932,
347.0700073,27.42500114,
348,28.91268539,
349.0700073,30.45853043,
350,32.4016571,
351.0700073,34.5918808,
352,36.45219421,
353.0700073,38.56263733,
354,40.37899399,
355.0700073,42.20482254,
356,44.17044449,
357.0700073,47.14062881,
358,49.10065842,
359.0700073,51.36753464,
360,52.77810287,
361.0700073,54.15458679,
362,55.18778229,
363.0700073,57.09772491,
364,59.53067398,
365.0700073,63.50582123,
366,67.16840363,
367.0700073,71.53971863,
368,75.24073792,
369.0700073,79.54067993,
370,84.00917816,
371.0599976,88.5524826,
371.9599915,92.48179626,
373.0299988,97.35614014,
373.9299927,101.3946533,
375,105.2278366,
376.0599976,108.1977005,
376.9599915,110.9485626,
378.0299988,113.4664078,
378.9299927,117.3665161,
380,123.0989761,
381.0700073,129.8421631,
382,133.9661102,
383.0700073,137.7687531,
384,141.9406433,
385.0700073,145.6953125,
386,149.4103241,
387.0700073,154.1127319,
388,158.2598572,
389.0700073,163.7998199,
390,167.5605011,
391.0700073,172.1283569,
392,173.9836884,
393.0700073,174.9355316,
394,177.5268402,
395.0700073,181.2802277,
396,185.5208588,
397.0700073,190.2286987,
398,194.6994171,
399.0700073,199.6157227,
400,204.2079468,
401.0599976,209.3439331,
401.9599915,212.5530243,
403.0299988,215.1074066,
403.9299927,216.2903137,
405,217.7869873,
406.0599976,220.7941895,
406.9599915,222.0875702,
408.0299988,224.7162018,
408.9299927,227.4759674,
410,229.4030457,
411.0700073,230.9685364,
412,232.8162384,
413.0700073,236.328064,
414,239.500061,
415.0700073,241.7404785,
416,243.3273468,
417.0700073,244.2266083,
418,244.206192,
419.0700073,243.095108,
420,241.8113251,
421.0599976,238.493454,
421.9599915,237.0101013,
423.0299988,233.2853394,
423.9299927,230.3896942,
425,226.9883118,
426.0599976,223.5538788,
426.9599915,221.847641,
428.0299988,222.4769592,
428.9299927,221.769104,
430,221.8782043,
431.0599976,220.8789673,
431.9599915,219.2033081,
433.0299988,215.9366608,
433.9299927,212.7386017,
