Sample 42,,
Wavelength (nm),Intensity (a.u.),
220,-0.4740085304,
220.9299927,0.2649006546,
222.0299988,-0.6459252834,
222.9600067,1.073249221,
224.0599976,0.2806426883,
225,0.1499250382,
225.9299927,0.3525402546,
227.0299988,-0.02955519408,
227.9600067,-0.02443315089,
229.0599976,0.04427325726,
230,-0.02181786485,
230.9299927,0.1597845256,
232.0299988,-0.2025778145,
232.9600067,0,
234.0599976,0.229009822,
235,0.1156069338,
235.9299927,0.2607864141,
237.0299988,0.02656677552,
237.9600067,0.07056996971,
239.0599976,0.2587476671,
240,0,
240.9299927,0.07488617301,
242.0299988,0.1196442619,
242.9600067,-0.01232772041,
244.0599976,0.06882943958,
245,0.01053940691,
245.9299927,0.06980454922,
247.0299988,-0.0301277414,
247.9600067,0.07255765796,
249.0599976,-0.01115735155,
250,0.02496660687,
250.9299927,0.02735229768,
252.0299988,-0.05907896161,
252.9600067,0,
254.0599976,0.06641209126,
255,-0.03127345443,
255.9299927,0.1782187074,
257.0299988,0.1152751073,
257.9599915,0.2060823739,
259.0599976,0.4341219962,
260,0.7011024952,
261.0700073,0.9966096878,
262,1.287373662,
263.0700073,1.416509628,
264,1.170401335,
265.0700073,1.131185174,
266,0.665045619,
267.0700073,0.3872704208,
268,0.474544704,
269.0700073,0.397865355,
270,0.3193918765,
270.9299927,0.5510522127,
272.0299988,0.4056890011,
272.9599915,0.475413233,
274.0599976,0.3322557509,
275,0.4765250683,
275.9299927,0.4617912173,
277.0299988,0.4507125318,
277.9599915,0.5594569445,
279.0599976,0.4948686063,
280,0.5288894176,
280.9299927,0.5165832043,
282.0299988,0.4379206896,
282.9599915,0.5386145115,
284.0599976,0.359677732,
285,0.4259212613,
285.9299927,0.5186935067,
287.0299988,0.4383413196,
287.9599915,0.4854653478,
289.0599976,0.5019922853,
290,0.4857566357,
291.0700073,0.465446502,
292,0.6057997346,
293.0700073,0.4429396093,
294,0.5523377061,
295.0700073,0.5217717886,
296,0.5307385921,
297.0700073,0.4977287054,
298,0.456928283,
299.0700073,0.469730705,
300,0.4802785814,
300.9299927,0.5546414256,
302.0299988,0.4496941864,
302.9599915,0.4718543887,
304.0599976,0.4651980102,
305,0.4024582505,
305.9299927,0.4643929303,
307.0299988,0.4813376963,
307.9599915,0.3551321924,
309.0599976,0.4793912768,
310,0.5941455364,
311.0700073,0.5574015975,
312,0.5400519967,
313.0700073,0.492013365,
314,0.5448279381,
315.0700073,0.4400554001,
316,0.5878502131,
317.0700073,0.4615539908,
318,0.5564744473,
319.0700073,0.5786757469,
320,0.4577706456,
321.0700073,0.4696007073,
322,0.6992810965,
323.0700073,0.4930291176,
324,0.4372540712,
325.0700073,0.5492241979,
326,0.6371219754,
327.0700073,0.6184195876,
328,0.4574132562,
329.0700073,0.5586397052,
330,0.6431902051,
330.9299927,0.6793370843,
332.0299988,0.7230991721,
332.9599915,0.5737326145,
334.0599976,0.6613047719,
335,0.6944444776,
335.9299927,0.6192163825,
337.0299988,0.6572514176,
337.9599915,0.6169129014,
339.0599976,0.6897344589,
340,0.6279283166,
341.0700073,0.7748934627,
342,0.6100453734,
343.0700073,0.6114468575,
344,0.4554446936,
345.0700073,0.6953682303,
346,0.5867769718,
347.0700073,0.5378845334,
348,0.6748650074,
349.0700073,0.6664637923,
350,0.6619065404,
351.0700073,0.7298301458,
352,0.5073817968,
353.0700073,0.514015913,
354,0.6696279049,
355.0700073,0.5559751987,
356,0.5513657928,
357.0700073,0.6541977525,
358,0.5920279026,
359.0700073,0.6674133539,
360,0.6015513539,
361.0700073,0.6447159648,
362,0.6292728186,
363.0700073,0.5658969879,
364,0.6042351723,
365.0700073,0.5483792424,
366,0.4750803709,
367.0700073,0.5701319575,
368,0.8142482042,
369.0700073,0.6041744947,
370,0.5556160808,
371.0599976,0.6775713563,
371.9599915,0.6456315517,
373.0299988,0.6275063753,
373.9299927,0.701399982,
375,0.6666489244,
376.0599976,0.6678265929,
376.9599915,0.6149491668,
378.0299988,0.7176888585,
378.9299927,0.6748930812,
380,0.6810402274,
381.0700073,0.6154819727,
382,0.6663587093,
383.0700073,0.7473653555,
384,0.6557538509,
385.0700073,0.6885436177,
386,0.6447145343,
387.0700073,0.6503295898,
388,0.6874803901,
389.0700073,0.7182069421,
390,0.6811853051,
391.0700073,0.6670266986,
392,0.7096778154,
393.0700073,0.6939216256,
394,0.7121843696,
395.0700073,0.6509842873,
396,0.6336377263,
397.0700073,0.6031100154,
398,0.6681248546,
399.0700073,0.7393793464,
400,0.7769477963,
401.0599976,0.7384443283,
401.9599915,0.681198895,
403.0299988,0.7187615037,
403.9299927,0.7723534107,
405,0.6859201193,
406.0599976,0.740965724,
406.9599915,0.8153232336,
408.0299988,0.6998326182,
408.9299927,0.7705621123,
410,0.6759538651,
411.0700073,0.7704980373,
412,0.6697565913,
413.0700073,0.7320353389,
414,0.7209691405,
415.0700073,0.7460360527,
416,0.6986254454,
417.0700073,0.7074862123,
418,0.692470789,
419.0700073,0.7148956656,
420,0.6704210043,
421.0599976,0.6876763105,
421.9599915,0.6871621013,
423.0299988,0.6739715338,
423.9299927,0.6285867095,
425,0.6631321907,
426.0599976,0.6428869367,
426.9599915,0.6099249721,
428.0299988,0.6237835288,
428.9299927,0.6262571812,
430,0.6301330328,
431.0599976,0.651936233,
431.9599915,0.5902091265,
433.0299988,0.6266639233,
433.9299927,0.6010978818,
435,0.6288294196,
436.0599976,0.6736476421,
436.9599915,0.635514617,
438.0299988,0.600538969,
438.9299927,0.5601651073,
440,0.5505463481,
441.0599976,0.6395217776,
441.9599915,0.5871325731,
443.0299988,0.5762745738,
443.9299927,0.5997622013,
445,0.55756706,
446.0599976,0.5790728927,
446.9599915,0.5741769075,
448.0299988,0.5424723029,
448.9299927,0.5399444103,
450,0.5834234953,
451.0599976,0.5290689468,
451.9599915,0.5963003039,
453.0299988,0.6315284967,
453.9299927,0.6681556106,
455,0.6988325119,
456.0599976,0.6812362671,
456.9599915,0.6293568611,
458.0299988,0.5559224486,
458.9299927,0.5253043175,
460,0.4686434865,
461.0599976,0.3952853084,
461.9599915,0.3749062717,
463.0299988,0.3760909438,
463.9299927,0.4522216916,
465,0.5026611686,
466.0599976,0.3592377305,
466.9599915,0.4487121999,
468.0299988,0.399903506,
468.9299927,0.4030979276,
470,0.3757279813,
471.0400085,0.2688738406,
471.9400024,0.422773391,
472.980011,0.3595725298,
474.019989,0.3190926313,
475.0700073,0.3085694015,
475.9700012,0.3106981516,
477.0100098,0.2934188247,
478.0499878,0.3353618085,
478.9500122,0.3044771254,
480,0.3557003736,
481.0599976,0.3064391911,
481.9599915,0.2951132655,
483.0299988,0.2792954147,
483.9299927,0.2587092817,
485,0.2744910121,
486.0599976,0.2546682954,
486.9599915,0.258461684,
488.0299988,0.2551820576,
488.9299927,0.2370313108,
490,0.2317744195,
491.0400085,0.2772624791,
491.9400024,0.1688547432,
492.980011,0.2763402462,
494.019989,0.2689617872,
495.0700073,0.3134902418,
495.9700012,0.2218770832,
497.0100098,0.24104397,
498.0499878,0.06857182086,
498.9500122,0.2701383829,
500,0.1128455922,
501.0599976,0.2838400602,
501.9599915,0.1728239506,
503.0299988,0.2119115591,
503.9299927,0.1025546342,
505,0.2180164605,
506.0599976,0.2221908122,
506.9599915,0.2127163857,
508.0299988,0.175877437,
508.9299927,0.2205557972,
510,0.1938435286,
511.0400085,0.1480545551,
511.9400024,0.07703863084,
512.9799805,0.1811083853,
514.0200195,0.2381897718,
515.0700073,0.1655435562,
515.9699707,0.07769630849,
517.0100098,0.1317287534,
518.0499878,0.1882361323,

Sample 42,
Sample 42
Collection Time: 21/05/2023 3:17:51 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         518.00
Em. Wavelength (nm)               528.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 21/05/2023 11:47:26 AM
Method Modifications:
Overlayed Graphs Changed: 21/05/2023 1:20:46 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 350.00, New: 341.00
Emission Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 400.00, New: 351.00
Stop Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 600.00, New: 650.00
PMT Volts Changed: 21/05/2023 1:21:47 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:21:47 PM, Old: 600, New: 800
Scan mode: Changed: 21/05/2023 1:22:38 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 341.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 351.00, New: 381.00
Stop Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 650.00, New: 371.00
Scan mode: Changed: 21/05/2023 1:24:38 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 220.00, New: 381.00
Emission Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 381.00, New: 220.00
Excitation Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 381.00, New: 339.00
Emission Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 220.00, New: 349.00
Stop Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 371.00, New: 650.00
User Delta Stop Changed: 21/05/2023 1:31:08 PM, Old: 450.00, New: 553.00
User Delta Increment Changed: 21/05/2023 1:31:08 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 339.00, New: 553.00
Emission Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 349.00, New: 563.00
Stop Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 650.00, New: 850.00
PMT Volts Changed: 21/05/2023 1:31:49 PM, Old:800, New:600
Emission PMT (V): Changed: 21/05/2023 1:31:49 PM, Old: 800, New: 600
Scan mode: Changed: 21/05/2023 1:33:46 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 630.00
Excitation Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 563.00, New: 630.00
Stop Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 850.00, New: 620.00
Scan mode: Changed: 21/05/2023 1:43:42 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 220.00, New: 352.00
Emission Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 630.00, New: 362.00
Stop Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 620.00, New: 650.00
Scan mode: Changed: 21/05/2023 1:45:14 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 352.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 362.00, New: 377.00
Stop Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 650.00, New: 367.00
Scan mode: Changed: 21/05/2023 1:48:20 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 220.00, New: 350.00
Emission Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 377.00, New: 360.00
Stop Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 367.00, New: 550.00
Excitation Wavelength Changed: 21/05/2023 1:48:48 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 21/05/2023 1:48:48 PM, Old: 360.00, New: 350.00
PMT Volts Changed: 21/05/2023 1:49:10 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:49:10 PM, Old: 600, New: 800
Excitation Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 340.00, New: 470.00
Emission Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 350.00, New: 480.00
Stop Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 550.00, New: 700.00
PMT Volts Changed: 21/05/2023 2:05:04 PM, Old:800, New:600
Emission PMT (V): Changed: 21/05/2023 2:05:04 PM, Old: 800, New: 600
Scan mode: Changed: 21/05/2023 2:07:15 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 470.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 480.00, New: 540.00
Stop Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 700.00, New: 530.00
Scan mode: Changed: 21/05/2023 2:14:20 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 2:14:20 PM, Old: 220.00, New: 366.00
Emission Wavelength Changed: 21/05/2023 2:14:20 PM, Old: 540.00, New: 376.00
Stop Wavelength Changed: 21/05/2023 2:14:20 PM, Old: 530.00, New: 550.00
Stop Wavelength Changed: 21/05/2023 2:15:00 PM, Old: 550.00, New: 650.00
Scan mode: Changed: 21/05/2023 2:17:05 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 2:17:05 PM, Old: 366.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 2:17:05 PM, Old: 376.00, New: 445.00
Stop Wavelength Changed: 21/05/2023 2:17:05 PM, Old: 650.00, New: 435.00
Scan mode: Changed: 21/05/2023 3:04:18 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 3:04:18 PM, Old: 220.00, New: 335.00
Emission Wavelength Changed: 21/05/2023 3:04:18 PM, Old: 445.00, New: 345.00
Stop Wavelength Changed: 21/05/2023 3:04:18 PM, Old: 435.00, New: 650.00
Stop Wavelength Changed: 21/05/2023 3:05:08 PM, Old: 650.00, New: 700.00
Scan mode: Changed: 21/05/2023 3:07:25 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 3:07:25 PM, Old: 335.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 3:07:25 PM, Old: 345.00, New: 508.00
Stop Wavelength Changed: 21/05/2023 3:07:25 PM, Old: 700.00, New: 498.00
Scan mode: Changed: 21/05/2023 3:13:25 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 3:13:25 PM, Old: 220.00, New: 427.00
Emission Wavelength Changed: 21/05/2023 3:13:25 PM, Old: 508.00, New: 437.00
Stop Wavelength Changed: 21/05/2023 3:13:25 PM, Old: 498.00, New: 650.00
Stop Wavelength Changed: 21/05/2023 3:13:58 PM, Old: 650.00, New: 750.00
Scan mode: Changed: 21/05/2023 3:16:50 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 3:16:50 PM, Old: 427.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 3:16:50 PM, Old: 437.00, New: 528.00
Stop Wavelength Changed: 21/05/2023 3:16:50 PM, Old: 750.00, New: 518.00
End Method Modifications

