Sample 8,,
Wavelength (nm),Intensity (a.u.),
220,403.7257996,
220.9299927,406.2019653,
222.0299988,399.0179443,
222.9600067,378.4942322,
224.0599976,353.1067505,
225,314.5297546,
225.9299927,286.9048462,
227.0299988,250.4147949,
227.9600067,220.7081146,
229.0599976,192.6539459,
230,163.3576355,
230.9299927,143.1080017,
232.0299988,120.7807922,
232.9600067,108.482933,
234.0599976,100.6382904,
235,97.40089417,
235.9299927,99.25508118,
237.0299988,104.6508408,
237.9600067,111.0853119,
239.0599976,119.2994766,
240,123.6068268,
240.9299927,124.5581131,
242.0299988,127.0869675,
242.9600067,131.3368225,
244.0599976,138.9533997,
245,144.4711456,
245.9299927,146.8452454,
247.0299988,147.266861,
247.9600067,147.677948,
249.0599976,150.251709,
250,155.2219696,
250.9299927,159.470047,
252.0299988,168.473938,
252.9600067,174.6751556,
254.0599976,180.4523468,
255,189.5124969,
255.9299927,200.9878082,
257.0299988,210.0368805,
257.9599915,213.4324646,
259.0599976,212.172821,
260,209.2520294,
261.0700073,206.3031464,
262,204.06427,
263.0700073,203.4108276,
264,203.1277771,
265.0700073,202.3654785,
266,197.5316162,
267.0700073,195.5250092,
268,192.1183167,
269.0700073,187.7918091,
270,182.5472412,
270.9299927,175.9331055,
272.0299988,168.6478577,
272.9599915,160.507843,
274.0599976,153.8563232,
275,147.1055145,
275.9299927,141.5417633,
277.0299988,133.313858,
277.9599915,128.0546875,
279.0599976,121.700531,
280,119.4812317,
280.9299927,112.390419,
282.0299988,107.2743301,
282.9599915,102.3522644,
284.0599976,96.87711334,
285,91.8462677,
285.9299927,88.51261902,
287.0299988,85.06552124,
287.9599915,81.27288818,
289.0599976,79.1631012,
290,77.50462341,
291.0700073,76.8634491,
292,75.99905396,
293.0700073,75.06210327,
294,75.17773438,
295.0700073,73.19313049,
296,70.24272156,
297.0700073,66.2510376,
298,64.36077881,
299.0700073,60.87508392,
300,57.33181381,
300.9299927,53.99744034,
302.0299988,49.25577545,
302.9599915,47.37287521,
304.0599976,44.61543655,
305,42.67935181,
305.9299927,41.3401947,
307.0299988,40.72985458,
307.9599915,39.21445465,
309.0599976,39.30564117,
310,38.05454254,
311.0700073,37.77191544,
312,37.13889694,
313.0700073,36.84167099,
314,36.68312836,
315.0700073,37.23994064,
316,37.03390503,
317.0700073,36.40671921,
318,37.12427139,
319.0700073,36.97108841,
320,36.57880402,
321.0700073,36.09814835,
322,37.18889999,
323.0700073,36.40955353,
324,35.9274826,
325.0700073,34.96811676,
326,34.72111511,
327.0700073,35.0405159,
328,34.57767868,
329.0700073,35.5998497,
330,36.36333847,
330.9299927,35.73395538,
332.0299988,35.68323135,
332.9599915,36.24184799,
334.0599976,37.13285446,
335,37.81593323,
335.9299927,38.58412933,
337.0299988,40.18980026,
337.9599915,40.94578934,
339.0599976,42.59861374,
340,44.16664124,
341.0700073,46.19475555,
342,47.48671341,
343.0700073,49.47606659,
344,50.58078384,
345.0700073,52.09514618,
346,53.41438293,
347.0700073,57.49948883,
348,59.59622192,
349.0700073,62.95832825,
350,66.83542633,
351.0700073,69.62491608,
352,73.20876312,
353.0700073,77.63189697,
354,80.98900604,
355.0700073,84.51918793,
356,87.08036041,
357.0700073,91.57270813,
358,95.76869202,
359.0700073,99.23175049,
360,102.0634842,
361.0700073,104.061203,
362,106.7834625,
363.0700073,107.8556137,
364,113.4706802,
365.0700073,121.2833099,
366,127.8402328,
367.0700073,136.3201599,
368,141.5884552,
369.0700073,149.2041626,
370,156.9849854,
371.0599976,164.9790955,
371.9599915,170.9899902,
373.0299988,180.2875519,
373.9299927,188.9629059,
375,195.1038361,
376.0599976,201.4191437,
376.9599915,204.027832,
378.0299988,210.8234863,
378.9299927,216.290451,
380,227.5480804,
381.0700073,239.6940002,
382,246.180603,
383.0700073,253.4269714,
384,260.5726013,
385.0700073,268.2949524,
386,275.7357788,
387.0700073,285.4124146,
388,292.0522766,
389.0700073,300.9616394,
390,309.5536499,
391.0700073,315.3279419,
392,319.8988953,
393.0700073,323.3397522,
394,326.9717102,
395.0700073,333.8369446,
396,343.0509949,
397.0700073,352.6694946,
398,359.6651306,
399.0700073,369.8511047,
400,378.2325439,
401.0599976,390.1817322,
401.9599915,393.1044006,
403.0299988,397.983429,
403.9299927,400.0977173,
405,404.8485718,
406.0599976,408.727356,
406.9599915,413.2987061,
408.0299988,420.513855,
408.9299927,422.0364075,
410,429.0671692,
411.0700073,432.072113,
412,436.999054,
413.0700073,446.1636047,
414,452.3285217,
415.0700073,458.5185242,
416,464.5873413,
417.0700073,467.3828735,
418,470.0732727,
419.0700073,467.4589233,
420,467.6062622,
421.0599976,466.1956482,
421.9599915,462.8782043,
423.0299988,458.619751,
423.9299927,454.2315369,
425,449.5310364,
426.0599976,444.7539978,
426.9599915,442.4308167,
428.0299988,443.3234253,
428.9299927,447.0648804,
430,447.3216248,
431.0599976,447.2033997,
431.9599915,443.5867615,
433.0299988,438.6796875,
433.9299927,432.4826355,
435,429.9916687,
436.0599976,427.8379822,
436.9599915,425.0209656,
438.0299988,421.6285095,
438.9299927,415.8725891,
440,407.2057495,
441.0599976,397.3518677,
441.9599915,392.9396057,
443.0299988,386.3103333,
443.9299927,380.3302917,
445,371.3630981,
446.0599976,362.7475891,
446.9599915,348.8352356,
448.0299988,338.2733154,
448.9299927,327.8103027,
450,318.7236328,
451.0599976,309.4564209,
451.9599915,300.758667,
453.0299988,288.8889771,
453.9299927,280.2501831,
455,270.1373901,
456.0599976,260.7695618,
456.9599915,251.6392517,
458.0299988,240.0343781,
458.9299927,227.4065704,
460,216.1812286,
461.0599976,203.660675,
461.9599915,191.9720459,
463.0299988,181.6634521,
463.9299927,172.0031738,
465,163.7445984,
466.0599976,156.1074677,
466.9599915,146.462265,
468.0299988,137.3940735,
468.9299927,127.1630402,
470,119.5443115,
471.0400085,111.4210052,
471.9400024,104.6109848,
472.980011,97.0369873,
474.019989,88.73834229,
475.0700073,81.72692871,
475.9700012,75.22602081,
477.0100098,67.75468445,
478.0499878,62.0503273,
478.9500122,57.21420288,
480,51.00862885,
481.0599976,45.64795685,
481.9599915,41.61192322,
483.0299988,37.30285645,
483.9299927,34.59983826,
485,31.37866402,
486.0599976,27.53062439,
486.9599915,25.20746803,
488.0299988,22.06824684,
488.9299927,20.67865372,
490,18.92539215,
491.0400085,16.75558281,
491.9400024,15.18815041,
492.980011,13.83023643,
494.019989,12.28029728,
495.0700073,11.17033482,
495.9700012,10.47927856,
497.0100098,9.615057945,
498.0499878,8.402060509,
498.9500122,7.737630367,
500,7.156719208,
501.0599976,6.529710293,
501.9599915,5.80709362,
503.0299988,5.15842247,
503.9299927,4.999484539,
505,4.455682755,
506.0599976,4.041743755,
506.9599915,3.743527651,
508.0299988,3.482472658,
508.9299927,3.266535759,
510,2.945765018,
511.0400085,2.691662312,
511.9400024,2.621554136,
512.9799805,2.605700731,
514.0200195,2.354016304,
515.0700073,2.294195652,

Sample 8,
Sample 8
Collection Time: 4/05/2023 11:33:27 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         515.00
Em. Wavelength (nm)               525.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/05/2023 11:12:11 AM
Method Modifications:
