Sample 5,,
Wavelength (nm),Intensity (a.u.),
220,4.814651966,
220.9299927,5.322160721,
222.0299988,4.295055866,
222.9600067,4.036828518,
224.0599976,2.568925381,
225,2.005262375,
225.9299927,1.871894956,
227.0299988,1.548997283,
227.9600067,1.492987752,
229.0599976,1.407270789,
230,1.427837372,
230.9299927,1.339464188,
232.0299988,1.460386992,
232.9600067,1.515746236,
234.0599976,1.640016437,
235,1.764418483,
235.9299927,1.667014003,
237.0299988,1.633900762,
237.9600067,1.525687695,
239.0599976,1.333333373,
240,1.36628139,
240.9299927,1.178035021,
242.0299988,1.068369746,
242.9600067,1.117688775,
244.0599976,1.120686412,
245,1.055657625,
245.9299927,1.008236051,
247.0299988,1.01123023,
247.9600067,1.041206956,
249.0599976,1.121523738,
250,1.209829211,
250.9299927,1.175851703,
252.0299988,1.33633244,
252.9600067,1.36203599,
254.0599976,1.398075104,
255,1.355156183,
255.9299927,1.250424266,
257.0299988,1.193057775,
257.9599915,1.099473953,
259.0599976,1.078836203,
260,1.010686398,
261.0700073,1.105212808,
262,1.162701368,
263.0700073,1.281289339,
264,1.213597894,
265.0700073,1.234996915,
266,1.166389704,
267.0700073,1.250969887,
268,1.229877472,
269.0700073,1.181767106,
270,1.133383989,
270.9299927,1.186922073,
272.0299988,1.144145608,
272.9599915,1.123867631,
274.0599976,1.190714717,
275,1.169231176,
275.9299927,1.215238333,
277.0299988,1.262506247,
277.9599915,1.189628959,
279.0599976,1.210307598,
280,1.254622817,
280.9299927,1.154865026,
282.0299988,1.215248108,
282.9599915,1.182842612,
284.0599976,1.219331741,
285,1.161637664,
285.9299927,1.259963274,
287.0299988,1.318426371,
287.9599915,1.237131596,
289.0599976,1.290278316,
290,1.381916046,
291.0700073,1.600385189,
292,2.242129087,
293.0700073,4.142830372,
294,6.608088017,
295.0700073,11.46857166,
296,16.77453232,
297.0700073,25.37532425,
298,33.62486267,
299.0700073,43.36468506,
300,54.58882904,
300.9299927,64.50414276,
302.0299988,75.23606873,
302.9599915,82.44641113,
304.0599976,90.97086334,
305,99.8397522,
305.9299927,107.70401,
307.0299988,116.4088974,
307.9599915,122.010582,
309.0599976,127.5699158,
310,132.1004639,
311.0700073,137.3292236,
312,143.0803528,
313.0700073,149.0805511,
314,154.4924622,
315.0700073,162.5492401,
316,168.6773834,
317.0700073,177.22258,
318,183.9911194,
319.0700073,193.3475647,
320,202.2671509,
321.0700073,211.1595764,
322,218.7557983,
323.0700073,224.3825989,
324,226.9479828,
325.0700073,230.9347229,
326,235.5926514,
327.0700073,243.5084839,
328,250.4378204,
329.0700073,257.5168762,
330,265.0741577,
330.9299927,271.8504639,
332.0299988,277.0692749,
332.9599915,279.9622498,
334.0599976,281.561615,
335,284.6295776,
335.9299927,286.9969788,
337.0299988,290.1031799,
337.9599915,292.7543945,
339.0599976,295.3778381,
340,297.3496399,
341.0700073,300.2047119,
342,300.346344,
343.0700073,297.5339966,
344,296.0931702,
345.0700073,292.6334229,
346,288.1997375,
347.0700073,284.5690308,
348,285.756012,
349.0700073,281.6401672,
350,280.4626465,
