Sample 35,,
Wavelength (nm),Intensity (a.u.),
220,13.13700008,
220.9299927,14.2584343,
222.0299988,11.1979723,
222.9600067,9.971254349,
224.0599976,7.150791645,
225,5.684436798,
225.9299927,4.574529648,
227.0299988,3.695150137,
227.9600067,2.773307085,
229.0599976,2.591831446,
230,2.845734596,
230.9299927,3.008325338,
232.0299988,3.369081497,
232.9600067,3.795223951,
234.0599976,4.206678391,
235,4.201310158,
235.9299927,4.210040569,
237.0299988,3.788485289,
237.9600067,3.516859531,
239.0599976,2.805300236,
240,2.839276552,
240.9299927,2.330862284,
242.0299988,2.223428011,
242.9600067,2.103882313,
244.0599976,1.901292205,
245,1.674653769,
245.9299927,1.834048748,
247.0299988,1.877860785,
247.9600067,1.81054318,
249.0599976,2.306529045,
250,2.381646872,
250.9299927,2.996949911,
252.0299988,3.012860775,
252.9600067,3.543819427,
254.0599976,3.598963499,
255,3.792687178,
255.9299927,3.55182004,
257.0299988,2.951769352,
257.9599915,3.232354403,
259.0599976,4.028885365,
260,6.869529247,
261.0700073,14.59396076,
262,27.80060768,
263.0700073,58.10981369,
264,91.3046875,
265.0700073,138.417923,
266,172.4886932,
267.0700073,211.6180267,
268,236.0619202,
269.0700073,248.9860535,
270,253.6214905,
270.9299927,249.7501678,
272.0299988,236.1823578,
272.9599915,222.1187439,
274.0599976,204.3993683,
275,188.3891602,
275.9299927,174.3253174,
277.0299988,160.8807526,
277.9599915,152.7601166,
279.0599976,144.6183777,
280,140.7167206,
280.9299927,137.015152,
282.0299988,136.1430206,
282.9599915,134.9897461,
284.0599976,135.5088043,
285,135.6138611,
285.9299927,138.3501282,
287.0299988,143.424118,
287.9599915,148.6794128,
289.0599976,154.5899963,
290,161.7898865,
291.0700073,170.160553,
292,182.5740051,
293.0700073,191.9942474,
294,200.093689,
295.0700073,207.6372681,
296,212.4433899,
297.0700073,216.9590759,
298,223.5173645,
299.0700073,231.2513733,
300,242.053299,
300.9299927,253.2720642,
302.0299988,268.5717468,
302.9599915,277.2788086,
304.0599976,287.0688171,
305,302.6228027,
305.9299927,321.0306396,
307.0299988,334.4103088,
307.9599915,343.0611877,
309.0599976,351.4281006,
310,354.8188477,
311.0700073,363.5864563,
312,372.3068542,
313.0700073,380.2195129,
314,391.603302,
315.0700073,400.1643677,
316,411.4573059,
317.0700073,423.5885925,
318,435.5119324,
319.0700073,452.0824585,
320,466.335022,
321.0700073,478.2258911,
322,488.8703918,
323.0700073,494.6085205,
324,501.8859558,
325.0700073,497.9187927,
326,502.0220337,
327.0700073,517.0811768,
328,522.7212524,
329.0700073,534.3795166,
330,540.6184082,
330.9299927,550.7451782,
332.0299988,552.8305054,
332.9599915,550.8403931,
334.0599976,549.9468994,
335,551.7964478,
335.9299927,546.99646,
337.0299988,551.4205322,
337.9599915,546.1851807,
339.0599976,544.0031128,
340,544.9716797,
341.0700073,542.9638062,
342,541.6685181,
343.0700073,531.5204468,
344,521.0479126,
345.0700073,511.7237549,
346,499.2492371,
347.0700073,488.6698303,
348,481.4815063,
349.0700073,475.2368469,
350,466.2568054,
351.0700073,454.93573,
352,444.1894531,
353.0700073,432.976532,
354,424.9139404,
355.0700073,411.2911987,
356,398.1945801,
357.0700073,382.6666565,
358,373.1208496,
359.0700073,355.9532776,
360,344.4642639,
361.0700073,329.8389282,
362,313.4475708,
363.0700073,297.8637085,
364,284.8344116,
365.0700073,272.137146,
366,262.7143555,
367.0700073,249.2675476,
368,240.4610901,
369.0700073,228.835144,
370,213.3871307,
371.0599976,202.6863556,
371.9599915,193.1569977,
373.0299988,183.0175171,
373.9299927,173.4923401,
375,162.4924469,
376.0599976,151.2669373,
376.9599915,144.5259094,
378.0299988,134.6317902,
378.9299927,124.9697113,
380,117.1250153,
381.0700073,109.2898636,
382,103.3622208,
383.0700073,97.33559418,
384,90.96977997,
385.0700073,83.93197632,
386,76.8460083,
387.0700073,71.81790161,
388,67.71257782,
389.0700073,62.16376495,
390,57.40157318,
391.0700073,51.83763123,
392,48.41312027,
393.0700073,44.12005615,
394,40.56304932,
395.0700073,37.4081955,
396,33.66027069,
397.0700073,30.61929131,
398,28.80655479,
399.0700073,25.87720871,
400,23.41756058,
401.0599976,21.22405243,
401.9599915,19.50237846,
403.0299988,17.72240639,
403.9299927,16.06703949,
405,14.65922546,
406.0599976,12.9739418,
406.9599915,11.99567986,
408.0299988,10.71552467,
408.9299927,9.848398209,
410,8.796943665,
411.0700073,7.880182743,
412,7.255617619,
413.0700073,6.467142105,
414,5.813831329,
415.0700073,5.195845604,
416,4.643282413,
417.0700073,4.227205276,
418,3.725883007,
419.0700073,3.317185402,
420,2.960631132,
421.0599976,2.678107738,
421.9599915,2.443169594,
423.0299988,2.2035532,
423.9299927,1.99036181,
425,1.727320075,
426.0599976,1.568760514,
426.9599915,1.398945808,
428.0299988,1.397031546,
428.9299927,1.198611617,
430,1.116108894,
431.0599976,1.038412929,
431.9599915,0.9410184622,
433.0299988,0.8413635492,
433.9299927,0.8421515226,
435,0.7665159702,
436.0599976,0.7249336839,
436.9599915,0.7355804443,
438.0299988,0.7274008989,
438.9299927,0.7748622894,
440,0.7540329695,
441.0599976,0.7620115876,
441.9599915,0.7221919894,
443.0299988,0.6345222592,
443.9299927,0.4985679388,
445,0.4568675458,
446.0599976,0.4234523177,
446.9599915,0.4227197766,
448.0299988,0.3895229399,
448.9299927,0.3508865535,
450,0.4290785789,
451.0599976,0.3749675155,
451.9599915,0.3236019313,
453.0299988,0.3221990466,
453.9299927,0.3865049183,
455,0.3145193756,
456.0599976,0.3690322638,
456.9599915,0.3439147472,
458.0299988,0.3652176857,
458.9299927,0.3090170324,
460,0.3357279003,
461.0599976,0.3454983532,
461.9599915,0.3637808263,
463.0299988,0.3794750571,
463.9299927,0.4003518522,
465,0.4179849625,
466.0599976,0.4433672428,
466.9599915,0.5628784895,
468.0299988,0.4489769638,
468.9299927,0.428463608,
470,0.5419176817,
471.0400085,0.5203829408,
471.9400024,0.5528358221,
472.980011,0.4815198481,
474.019989,0.5536199212,
475.0700073,0.5064792633,
475.9700012,0.4940927029,
477.0100098,0.5811992884,
478.0499878,0.4573793113,
478.9500122,0.5759916306,
480,0.463150233,
481.0599976,0.5303961635,
481.9599915,0.5333471894,
483.0299988,0.463347286,
483.9299927,0.4905403554,
485,0.5153638124,
486.0599976,0.5307673216,
486.9599915,0.533382535,
488.0299988,0.5727552176,
488.9299927,0.6650130749,
490,0.6531406641,
491.0400085,0.6775509715,
491.9400024,0.7556799054,
492.980011,0.7467208505,
494.019989,0.6995217204,
495.0700073,0.7987981439,
495.9700012,0.7544080615,
497.0100098,0.8241713047,
498.0499878,0.8466230631,
498.9500122,0.7859066725,
500,1.273277044,

Sample 35,
Sample 35
Collection Time: 5/05/2023 4:47:23 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         500.00
Em. Wavelength (nm)               508.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 5/05/2023 1:46:27 PM
Method Modifications:
User Delta Stop Changed: 5/05/2023 2:37:38 PM, Old: 450.00, New: 690.00
User Delta Increment Changed: 5/05/2023 2:37:38 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 5/05/2023 2:37:38 PM, Old: 350.00, New: 690.00
Emission Wavelength Changed: 5/05/2023 2:37:38 PM, Old: 400.00, New: 700.00
Stop Wavelength Changed: 5/05/2023 2:37:38 PM, Old: 600.00, New: 850.00
Excitation Wavelength Changed: 5/05/2023 2:38:01 PM, Old: 690.00, New: 630.00
Emission Wavelength Changed: 5/05/2023 2:38:01 PM, Old: 700.00, New: 640.00
Overlayed Graphs Changed: 5/05/2023 2:38:31 PM, Old:OFF, New:ON
Scan mode: Changed: 5/05/2023 2:40:13 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 5/05/2023 2:40:13 PM, Old: 690.00, New: 780.00
Excitation Wavelength Changed: 5/05/2023 2:40:13 PM, Old: 630.00, New: 220.00
Emission Wavelength Changed: 5/05/2023 2:40:13 PM, Old: 640.00, New: 780.00
Stop Wavelength Changed: 5/05/2023 2:40:13 PM, Old: 850.00, New: 770.00
Scan mode: Changed: 5/05/2023 2:52:20 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 5/05/2023 2:52:20 PM, Old: 220.00, New: 566.00
Emission Wavelength Changed: 5/05/2023 2:52:20 PM, Old: 780.00, New: 576.00
Stop Wavelength Changed: 5/05/2023 2:52:20 PM, Old: 770.00, New: 850.00
Excitation Wavelength Changed: 5/05/2023 2:53:03 PM, Old: 566.00, New: 500.00
Emission Wavelength Changed: 5/05/2023 2:53:03 PM, Old: 576.00, New: 510.00
Scan mode: Changed: 5/05/2023 2:55:50 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 5/05/2023 2:55:50 PM, Old: 500.00, New: 220.00
Emission Wavelength Changed: 5/05/2023 2:55:50 PM, Old: 510.00, New: 613.00
Stop Wavelength Changed: 5/05/2023 2:55:50 PM, Old: 850.00, New: 605.00
Emission Wavelength Changed: 5/05/2023 2:56:46 PM, Old: 613.00, New: 625.00
Stop Wavelength Changed: 5/05/2023 2:56:46 PM, Old: 605.00, New: 615.00
Scan mode: Changed: 5/05/2023 3:10:55 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 5/05/2023 3:10:55 PM, Old: 220.00, New: 542.00
Emission Wavelength Changed: 5/05/2023 3:10:55 PM, Old: 625.00, New: 552.00
Stop Wavelength Changed: 5/05/2023 3:10:55 PM, Old: 615.00, New: 800.00
Scan mode: Changed: 5/05/2023 3:23:18 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 5/05/2023 3:23:18 PM, Old: 542.00, New: 220.00
Emission Wavelength Changed: 5/05/2023 3:23:18 PM, Old: 552.00, New: 640.00
Stop Wavelength Changed: 5/05/2023 3:23:18 PM, Old: 800.00, New: 630.00
Scan mode: Changed: 5/05/2023 3:39:01 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 5/05/2023 3:39:01 PM, Old: 220.00, New: 460.00
Emission Wavelength Changed: 5/05/2023 3:39:01 PM, Old: 640.00, New: 470.00
Stop Wavelength Changed: 5/05/2023 3:39:01 PM, Old: 630.00, New: 700.00
Scan mode: Changed: 5/05/2023 3:41:10 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 5/05/2023 3:41:10 PM, Old: 460.00, New: 220.00
Emission Wavelength Changed: 5/05/2023 3:41:10 PM, Old: 470.00, New: 540.00
Stop Wavelength Changed: 5/05/2023 3:41:10 PM, Old: 700.00, New: 530.00
Emission Wavelength Changed: 5/05/2023 3:42:01 PM, Old: 540.00, New: 580.00
Stop Wavelength Changed: 5/05/2023 3:42:01 PM, Old: 530.00, New: 570.00
Excitation Wavelength Changed: 5/05/2023 3:42:20 PM, Old: 220.00, New: 390.00
Excitation Wavelength Changed: 5/05/2023 3:42:26 PM, Old: 390.00, New: 220.00
Scan mode: Changed: 5/05/2023 4:19:33 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 5/05/2023 4:19:33 PM, Old: 220.00, New: 365.00
Emission Wavelength Changed: 5/05/2023 4:19:33 PM, Old: 580.00, New: 370.00
Stop Wavelength Changed: 5/05/2023 4:19:33 PM, Old: 570.00, New: 600.00
Excitation Wavelength Changed: 5/05/2023 4:20:26 PM, Old: 365.00, New: 320.00
Emission Wavelength Changed: 5/05/2023 4:20:26 PM, Old: 370.00, New: 330.00
Scan mode: Changed: 5/05/2023 4:22:22 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 5/05/2023 4:22:22 PM, Old: 320.00, New: 220.00
Emission Wavelength Changed: 5/05/2023 4:22:22 PM, Old: 330.00, New: 500.00
Stop Wavelength Changed: 5/05/2023 4:22:22 PM, Old: 600.00, New: 490.00
Scan mode: Changed: 5/05/2023 4:30:21 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 5/05/2023 4:30:21 PM, Old: 220.00, New: 320.00
