Sample 35,,
Wavelength (nm),Intensity (a.u.),
220,14.2623682,
220.9299927,12.63537884,
222.0299988,11.32930565,
222.9600067,9.266756058,
224.0599976,7.431071758,
225,5.95480442,
225.9299927,4.262864113,
227.0299988,3.362648726,
227.9600067,2.712742567,
229.0599976,2.603304863,
230,2.630944252,
230.9299927,2.973820925,
232.0299988,3.444433212,
232.9600067,3.438904047,
234.0599976,4.181957722,
235,4.446145535,
235.9299927,4.013113022,
237.0299988,3.5931077,
237.9600067,3.701084375,
239.0599976,3.105715275,
240,2.720661163,
240.9299927,2.565539122,
242.0299988,2.200940609,
242.9600067,2.057436943,
244.0599976,2.111078978,
245,2.125926733,
245.9299927,1.904318094,
247.0299988,2.092279434,
247.9600067,2.346204758,
249.0599976,2.862595558,
250,4.221855164,
250.9299927,6.192572117,
252.0299988,10.6465807,
252.9600067,17.55324364,
254.0599976,31.70352745,
255,57.72730255,
255.9299927,84.264328,
257.0299988,112.2222672,
257.9599915,130.8490295,
259.0599976,145.8125,
260,160.7662201,
261.0700073,179.6744232,
262,205.1298218,
263.0700073,241.5530701,
264,268.1891174,
265.0700073,289.8904419,
266,299.0917664,
267.0700073,296.7679443,
268,290.4952087,
269.0700073,274.2638855,
270,260.5180664,
270.9299927,242.2835236,
272.0299988,220.1669312,
272.9599915,200.8924561,
274.0599976,178.6746216,
275,160.332962,
275.9299927,143.4701996,
277.0299988,129.1343536,
277.9599915,118.1630707,
279.0599976,109.5140152,
280,103.8612518,
280.9299927,99.01450348,
282.0299988,95.4095459,
282.9599915,94.20844269,
284.0599976,91.87509155,
285,91.39667511,
285.9299927,92.70375824,
287.0299988,95.11021423,
287.9599915,96.83779144,
289.0599976,100.6334457,
290,104.9991074,
291.0700073,112.2385559,
292,117.9354095,
293.0700073,124.1731339,
294,129.5209656,
295.0700073,135.5514374,
296,137.7858582,
297.0700073,142.4616547,
298,147.3684998,
299.0700073,152.9353638,
300,158.671463,
300.9299927,167.661499,
302.0299988,178.1168671,
302.9599915,183.0496063,
304.0599976,196.1532288,
305,204.3488464,
305.9299927,215.0002136,
307.0299988,227.5786285,
307.9599915,233.4914246,
309.0599976,242.3681793,
310,244.8497925,
311.0700073,252.7538605,
312,260.2273865,
313.0700073,268.2550049,
314,273.5322571,
315.0700073,285.8969421,
316,292.1175232,
317.0700073,305.5855713,
318,315.1918335,
319.0700073,324.9769287,
320,337.2063293,
321.0700073,350.9805603,
322,361.1211548,
323.0700073,367.6950378,
324,369.037262,
325.0700073,371.1522827,
326,373.9850159,
327.0700073,386.3349304,
328,393.2086487,
329.0700073,404.14328,
330,413.2690735,
330.9299927,418.7122498,
332.0299988,421.7725525,
332.9599915,423.3719788,
334.0599976,424.5360718,
335,423.8363342,
335.9299927,426.3744507,
337.0299988,426.5552673,
337.9599915,427.9897766,
339.0599976,427.7611389,
340,430.5436401,
341.0700073,429.8326416,
342,427.249115,
343.0700073,421.2332764,
344,415.3037109,
345.0700073,405.6841736,
346,399.535614,
347.0700073,393.6541138,
348,386.209137,
349.0700073,378.2423401,
350,374.6793213,
351.0700073,367.4524536,
352,358.1257019,
353.0700073,351.7806091,
354,344.9455566,
355.0700073,336.9821472,
356,329.3086853,
357.0700073,318.9771729,
358,310.1889038,
359.0700073,296.1774597,
360,286.4205017,
361.0700073,274.2139587,
362,259.971405,
363.0700073,246.0209045,
364,235.6477814,
365.0700073,228.9400024,
366,220.8662872,
367.0700073,211.7745056,
368,204.0611572,
369.0700073,192.2550507,
370,180.3269958,
371.0599976,172.3056183,
371.9599915,164.4200134,
373.0299988,157.3654175,
373.9299927,149.7758636,
375,141.0232086,
376.0599976,131.6616211,
376.9599915,125.3031311,
378.0299988,117.9318542,
378.9299927,110.4651718,
380,103.8002167,
381.0700073,97.75065613,
382,92.26971436,
383.0700073,86.6593399,
384,82.48834991,
385.0700073,75.73156738,
386,70.5061264,
387.0700073,65.9631424,
388,62.98043442,
389.0700073,57.00919342,
390,53.36518097,
391.0700073,48.86258316,
392,45.85333252,
393.0700073,41.96682358,
394,38.96435165,
395.0700073,35.75544357,
396,32.28965759,
397.0700073,29.54268074,
398,28.15127945,
399.0700073,25.40658951,
400,23.16891479,
401.0599976,21.03475952,
401.9599915,19.46166992,
403.0299988,17.75162888,
403.9299927,16.26933861,
405,14.85469151,
406.0599976,13.33927536,
406.9599915,12.30396938,
408.0299988,11.12133694,
408.9299927,10.47637749,
410,9.477505684,
411.0700073,8.172059059,
412,7.802702904,
413.0700073,6.672775269,
414,6.248057365,
415.0700073,5.656245232,
416,5.142510891,
417.0700073,4.676602364,
418,4.099687099,
419.0700073,3.772162914,
420,3.401072979,
421.0599976,3.157414198,
421.9599915,2.874304771,
423.0299988,2.571381092,
423.9299927,2.300718546,
425,2.10295558,
426.0599976,1.933655739,
426.9599915,1.807862878,
428.0299988,1.588124871,
428.9299927,1.561524034,
430,1.39277482,
431.0599976,1.341766477,
431.9599915,1.248341799,
433.0299988,1.188556671,
433.9299927,1.191748619,
