Sample 36,,
Wavelength (nm),Intensity (a.u.),
220,0.4430660009,
220.9299927,0.8778530359,
222.0299988,0.3335928023,
222.9600067,-0.2711496651,
224.0599976,-0.280092448,
225,-0.4546602666,
225.9299927,0.5874290466,
227.0299988,0.2863114476,
227.9600067,0.07205649465,
229.0599976,0.1611381024,
230,-0.02250832692,
230.9299927,0.07239381969,
232.0299988,0,
232.9600067,0.2473139018,
234.0599976,0.1473405063,
235,0.1147084981,
235.9299927,0.1411910951,
237.0299988,0.2764798701,
237.9600067,0.04647919908,
239.0599976,-0.02056639828,
240,-0.03357394785,
240.9299927,0.1228916347,
242.0299988,0.05456728116,
242.9600067,0,
244.0599976,0.02314225398,
245,0.09535009414,
245.9299927,0,
247.0299988,0.07029947639,
247.9600067,0.05174323171,
249.0599976,0.08933955431,
250,0.01225955971,
250.9299927,0.08180182427,
252.0299988,0.1037083119,
252.9600067,0.04827808216,
254.0599976,0.1773392707,
255,0.01557608042,
255.9299927,0.04161118343,
257.0299988,0.0933881253,
257.9599915,0.1066025719,
259.0599976,0.1659185737,
260,0.1772810221,
261.0700073,0.1241630092,
262,0.1598258018,
263.0700073,0.2991836667,
264,0.329451859,
265.0700073,0.3809357882,
266,0.5529614091,
267.0700073,0.4442641437,
268,0.4191153049,
269.0700073,0.5135851502,
270,0.5017082095,
270.9299927,0.5395780206,
272.0299988,0.5315542817,
272.9599915,0.563129127,
274.0599976,0.5002858639,
275,0.6366372108,
275.9299927,0.6845073104,
277.0299988,0.5462170243,
277.9599915,0.6425428391,
279.0599976,0.5895512104,
280,0.6446089745,
280.9299927,0.5897991657,
282.0299988,0.6056935191,
282.9599915,0.6004738808,
284.0599976,0.6509609222,
285,0.5556156039,
285.9299927,0.5201095939,
287.0299988,0.5410376787,
287.9599915,0.6353788376,
289.0599976,0.5623857975,
290,0.5827686787,
291.0700073,0.5319325924,
292,0.6597925425,
293.0700073,0.5907146335,
294,0.6162046194,
295.0700073,0.57380265,
296,0.5743694901,
297.0700073,0.6556011438,
298,0.6031067967,
299.0700073,0.6168923974,
300,0.6738096476,
300.9299927,0.5163197517,
302.0299988,0.6641690731,
302.9599915,0.6240597367,
304.0599976,0.604567349,
305,0.6072357297,
305.9299927,0.6627344489,
307.0299988,0.5379576683,
307.9599915,0.6494982243,
309.0599976,0.7195848823,
310,0.6291733384,
311.0700073,0.5823203325,
312,0.6879649162,
313.0700073,0.5690159202,
314,0.5673450828,
315.0700073,0.6492276788,
316,0.7167272568,
317.0700073,0.6665975451,
318,0.7442783713,
319.0700073,0.6254593134,
320,0.8158563972,
321.0700073,0.5943148732,
322,0.7652831078,
323.0700073,0.8889796138,
324,0.7801213861,
325.0700073,0.5371130109,
326,0.6927248836,
327.0700073,0.7750976086,
328,0.6216565371,
329.0700073,1.003982544,
330,0.8002400994,
330.9299927,0.8606706262,
332.0299988,0.7799825668,
332.9599915,0.811283052,
334.0599976,0.663969636,
335,0.8580666184,
335.9299927,0.8450928926,
337.0299988,0.7618805766,
337.9599915,0.7586763501,
339.0599976,0.870069623,
340,0.9545072317,
341.0700073,0.8654721975,
342,0.9850598574,
343.0700073,0.6907269955,
344,0.6452445388,
345.0700073,0.849353075,
346,0.9509720802,
347.0700073,0.9507789016,
348,0.7554212213,
349.0700073,0.8854309916,
350,0.9095897079,
351.0700073,0.8556503057,
352,0.8478168845,
353.0700073,0.7588561773,
354,0.9028718472,
355.0700073,0.8902467489,
356,0.8838477135,
357.0700073,0.9321736693,
358,0.7886305451,
359.0700073,0.9018020034,
360,0.7729715109,
361.0700073,0.8158715367,
362,0.8418303728,
363.0700073,0.8909220099,
364,0.6963788271,
365.0700073,0.7506959438,
366,0.8560215831,
367.0700073,0.8363119364,
368,0.8424119949,
369.0700073,0.6618978977,
370,0.8120089769,
371.0599976,0.7854636908,
371.9599915,0.9765424132,
373.0299988,0.8508617282,
373.9299927,0.8834351301,
375,0.8681177497,
376.0599976,1.028621316,
376.9599915,0.8422604203,
378.0299988,0.8626564741,
378.9299927,0.8628128171,
380,0.9573748708,
381.0700073,0.9136434793,
382,0.8960420489,
383.0700073,0.954537034,
384,0.8875268698,
385.0700073,0.9985343814,
386,0.9337932467,
387.0700073,0.842920959,
388,0.9228974581,
389.0700073,0.9229948521,
390,0.917604506,
391.0700073,0.9363424778,
392,1.010120511,
393.0700073,0.943656981,
394,0.9323533177,
395.0700073,0.895506084,
396,0.9866133332,
397.0700073,0.953895092,
398,0.8915196061,
399.0700073,0.8463847041,
400,0.9118065238,
401.0599976,0.9218606949,
401.9599915,1.013671756,
403.0299988,0.9712606668,
403.9299927,0.9196082354,
405,0.8624194264,
406.0599976,0.9549205303,
406.9599915,0.8862336278,
408.0299988,0.8617686629,
408.9299927,0.9475190043,
410,0.9084291458,
411.0700073,0.9537784457,
412,0.8546909094,
413.0700073,0.8827884197,
414,0.9139325619,
415.0700073,0.8574085832,
416,0.8160296679,
417.0700073,0.8349402547,
418,0.9138269424,
419.0700073,0.8619456291,
420,0.8812108636,
421.0599976,0.8645800948,
421.9599915,0.7938910127,
423.0299988,0.7909676433,
423.9299927,0.8260830641,
425,0.7403479815,
426.0599976,0.7218497396,
426.9599915,0.8053619266,
428.0299988,0.7402441502,
428.9299927,0.7569028139,
430,0.7958240509,
431.0599976,0.7758445144,
431.9599915,0.6993301511,
433.0299988,0.7445184588,
433.9299927,0.8527822495,
435,0.7186505198,
436.0599976,0.8002967834,
436.9599915,0.8198105097,
438.0299988,0.8537148237,
438.9299927,0.9311840534,
440,0.9210694432,
441.0599976,0.9208542109,
441.9599915,0.8300900459,
443.0299988,0.8226384521,
443.9299927,0.7098829746,
445,0.6619625092,
446.0599976,0.5996580124,
446.9599915,0.5676236749,
448.0299988,0.5562780499,
448.9299927,0.5437821746,
450,0.5662361383,
451.0599976,0.520047605,
451.9599915,0.5560202599,
453.0299988,0.5174921751,
453.9299927,0.5491461158,
455,0.5353876948,
456.0599976,0.4861721396,
456.9599915,0.4586991072,
458.0299988,0.4457206428,
458.9299927,0.4052265584,
460,0.4460208714,
461.0599976,0.3962259591,
461.9599915,0.4326456487,
463.0299988,0.3698405921,
463.9299927,0.4204705656,
465,0.36401999,
466.0599976,0.3823684156,
466.9599915,0.4104635715,
468.0299988,0.3563132584,
468.9299927,0.3023769557,
470,0.3836687505,
471.0400085,0.379044652,
471.9400024,0.3200285733,
472.980011,0.4142048657,
474.019989,0.2795573771,
475.0700073,0.3374907374,
475.9700012,0.2383222133,
477.0100098,0.3115310967,
478.0499878,0.3223026395,
478.9500122,0.2596568465,
480,0.3200763464,
481.0599976,0.2639372051,
481.9599915,0.2796938121,
483.0299988,0.2117547393,
483.9299927,0.1899632365,
485,0.1971352249,
486.0599976,0.2820432484,
486.9599915,0.2325764894,
488.0299988,0.2592302859,
488.9299927,0.2652812898,
490,0.2375241667,
491.0400085,0.3015469313,
491.9400024,0.2366121411,
492.980011,0.1821703762,
494.019989,0.2211442441,
495.0700073,0.2416131049,
495.9700012,0.1405196041,
497.0100098,0.2189816535,
498.0499878,0.2055186182,

Sample 36,
Sample 36
Collection Time: 21/05/2023 3:08:16 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         498.00
Em. Wavelength (nm)               508.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 21/05/2023 11:47:26 AM
Method Modifications:
Overlayed Graphs Changed: 21/05/2023 1:20:46 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 350.00, New: 341.00
Emission Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 400.00, New: 351.00
Stop Wavelength Changed: 21/05/2023 1:20:46 PM, Old: 600.00, New: 650.00
PMT Volts Changed: 21/05/2023 1:21:47 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:21:47 PM, Old: 600, New: 800
Scan mode: Changed: 21/05/2023 1:22:38 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 341.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 351.00, New: 381.00
Stop Wavelength Changed: 21/05/2023 1:22:38 PM, Old: 650.00, New: 371.00
Scan mode: Changed: 21/05/2023 1:24:38 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 220.00, New: 381.00
Emission Wavelength Changed: 21/05/2023 1:24:38 PM, Old: 381.00, New: 220.00
Excitation Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 381.00, New: 339.00
Emission Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 220.00, New: 349.00
Stop Wavelength Changed: 21/05/2023 1:24:52 PM, Old: 371.00, New: 650.00
User Delta Stop Changed: 21/05/2023 1:31:08 PM, Old: 450.00, New: 553.00
User Delta Increment Changed: 21/05/2023 1:31:08 PM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 339.00, New: 553.00
Emission Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 349.00, New: 563.00
Stop Wavelength Changed: 21/05/2023 1:31:08 PM, Old: 650.00, New: 850.00
PMT Volts Changed: 21/05/2023 1:31:49 PM, Old:800, New:600
Emission PMT (V): Changed: 21/05/2023 1:31:49 PM, Old: 800, New: 600
Scan mode: Changed: 21/05/2023 1:33:46 PM, Old:Emission, New:Excitation
User Delta Stop Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 630.00
Excitation Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 553.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 563.00, New: 630.00
Stop Wavelength Changed: 21/05/2023 1:33:46 PM, Old: 850.00, New: 620.00
Scan mode: Changed: 21/05/2023 1:43:42 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 220.00, New: 352.00
Emission Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 630.00, New: 362.00
Stop Wavelength Changed: 21/05/2023 1:43:42 PM, Old: 620.00, New: 650.00
Scan mode: Changed: 21/05/2023 1:45:14 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 352.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 362.00, New: 377.00
Stop Wavelength Changed: 21/05/2023 1:45:14 PM, Old: 650.00, New: 367.00
Scan mode: Changed: 21/05/2023 1:48:20 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 220.00, New: 350.00
Emission Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 377.00, New: 360.00
Stop Wavelength Changed: 21/05/2023 1:48:20 PM, Old: 367.00, New: 550.00
Excitation Wavelength Changed: 21/05/2023 1:48:48 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 21/05/2023 1:48:48 PM, Old: 360.00, New: 350.00
PMT Volts Changed: 21/05/2023 1:49:10 PM, Old:600, New:800
Emission PMT (V): Changed: 21/05/2023 1:49:10 PM, Old: 600, New: 800
Excitation Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 340.00, New: 470.00
Emission Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 350.00, New: 480.00
Stop Wavelength Changed: 21/05/2023 2:04:44 PM, Old: 550.00, New: 700.00
PMT Volts Changed: 21/05/2023 2:05:04 PM, Old:800, New:600
Emission PMT (V): Changed: 21/05/2023 2:05:04 PM, Old: 800, New: 600
Scan mode: Changed: 21/05/2023 2:07:15 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 470.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 480.00, New: 540.00
Stop Wavelength Changed: 21/05/2023 2:07:15 PM, Old: 700.00, New: 530.00
Scan mode: Changed: 21/05/2023 2:14:20 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 2:14:20 PM, Old: 220.00, New: 366.00
Emission Wavelength Changed: 21/05/2023 2:14:20 PM, Old: 540.00, New: 376.00
Stop Wavelength Changed: 21/05/2023 2:14:20 PM, Old: 530.00, New: 550.00
Stop Wavelength Changed: 21/05/2023 2:15:00 PM, Old: 550.00, New: 650.00
Scan mode: Changed: 21/05/2023 2:17:05 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 2:17:05 PM, Old: 366.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 2:17:05 PM, Old: 376.00, New: 445.00
Stop Wavelength Changed: 21/05/2023 2:17:05 PM, Old: 650.00, New: 435.00
Scan mode: Changed: 21/05/2023 3:04:18 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 21/05/2023 3:04:18 PM, Old: 220.00, New: 335.00
Emission Wavelength Changed: 21/05/2023 3:04:18 PM, Old: 445.00, New: 345.00
Stop Wavelength Changed: 21/05/2023 3:04:18 PM, Old: 435.00, New: 650.00
Stop Wavelength Changed: 21/05/2023 3:05:08 PM, Old: 650.00, New: 700.00
Scan mode: Changed: 21/05/2023 3:07:25 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 21/05/2023 3:07:25 PM, Old: 335.00, New: 220.00
Emission Wavelength Changed: 21/05/2023 3:07:25 PM, Old: 345.00, New: 508.00
Stop Wavelength Changed: 21/05/2023 3:07:25 PM, Old: 700.00, New: 498.00
End Method Modifications

