Sample 11,,
Wavelength (nm),Intensity (a.u.),
220,583.6017456,
220.9299927,578.8123779,
222.0299988,569.9129028,
222.9600067,542.3807373,
224.0599976,506.3074951,
225,469.0358582,
225.9299927,441.0047607,
227.0299988,409.8785706,
227.9600067,379.7825623,
229.0599976,358.5752563,
230,336.9861145,
230.9299927,330.4107971,
232.0299988,326.2723694,
232.9600067,338.1424866,
234.0599976,353.6376953,
235,364.2964478,
235.9299927,378.2384949,
237.0299988,402.2060852,
237.9600067,431.4562988,
239.0599976,454.2437744,
240,469.4837341,
240.9299927,468.8460388,
242.0299988,471.1889648,
242.9600067,483.3628235,
244.0599976,496.8681335,
245,506.7946167,
245.9299927,506.330658,
247.0299988,496.6915894,
247.9600067,486.9327087,
249.0599976,481.3795471,
250,482.6996155,
250.9299927,483.7361145,
252.0299988,491.2200012,
252.9600067,488.0506897,
254.0599976,477.6729736,
255,471.3660583,
255.9299927,467.2191162,
257.0299988,453.7630005,
257.9599915,434.8680115,
259.0599976,409.8761902,
260,383.2683716,
261.0700073,350.9175415,
262,326.0087891,
263.0700073,300.7142029,
264,279.1029663,
265.0700073,251.8876801,
266,228.4894714,
267.0700073,199.9826355,
268,179.1610718,
269.0700073,157.9621124,
270,139.8106537,
270.9299927,124.6473999,
272.0299988,109.498558,
272.9599915,99.57030487,
274.0599976,89.29602814,
275,80.57337189,
275.9299927,75.78951263,
277.0299988,70.62142181,
277.9599915,69.59971619,
279.0599976,68.03349304,
280,68.26973724,
280.9299927,67.5022583,
282.0299988,67.80843353,
282.9599915,68.64332581,
284.0599976,68.78330994,
285,70.56455994,
285.9299927,71.94136047,
287.0299988,74.35223389,
287.9599915,77.32411194,
289.0599976,80.81465912,
290,83.95440674,
291.0700073,87.47433472,
292,92.10487366,
293.0700073,96.79103088,
294,101.0820923,
295.0700073,104.4510117,
296,106.3819809,
297.0700073,109.0617905,
298,111.3272324,
299.0700073,113.2236099,
300,120.0127258,
300.9299927,123.556366,
302.0299988,131.3639069,
302.9599915,134.8526001,
304.0599976,140.1011963,
305,146.5174408,
305.9299927,152.7248993,
307.0299988,158.3289185,
307.9599915,161.3515472,
309.0599976,164.6201477,
310,165.8126221,
311.0700073,167.8680878,
312,171.3686829,
313.0700073,175.1424866,
314,179.7858734,
315.0700073,182.4791718,
316,186.1997223,
317.0700073,190.7384949,
318,196.4989929,
319.0700073,203.1740265,
320,208.7228394,
321.0700073,216.1734772,
322,218.0652771,
323.0700073,218.2458801,
324,220.9496613,
325.0700073,217.8950348,
326,219.019165,
327.0700073,223.4707947,
328,225.0094147,
329.0700073,229.4263153,
330,232.7406311,
330.9299927,233.266861,
332.0299988,231.5607758,
332.9599915,229.9580994,
334.0599976,230.4760895,
335,228.2690277,
335.9299927,227.1893005,
337.0299988,224.3427429,
337.9599915,222.7233887,
339.0599976,220.2664032,
340,220.5777435,
341.0700073,217.7751617,
342,212.8275604,
343.0700073,206.9806519,
344,204.8549805,
345.0700073,199.4871674,
346,191.8135529,
347.0700073,185.9276428,
348,181.5018463,
349.0700073,178.1438751,
350,173.2939453,
351.0700073,168.4994354,
352,163.9676361,
353.0700073,157.3911896,
354,151.1138763,
355.0700073,147.7951508,
356,142.0380859,
357.0700073,133.6023407,
358,129.4107666,
