Sample 12,,
Wavelength (nm),Intensity (a.u.),
220,0.4443786144,
220.9299927,0.38890329,
222.0299988,0.857632935,
222.9600067,-0.4549176693,
224.0599976,0.4876349568,
225,0.2618212402,
225.9299927,0.3142554164,
227.0299988,0.1196995527,
227.9600067,0.3748500645,
229.0599976,0.3917863071,
230,0.6179054976,
230.9299927,0.8582258821,
232.0299988,1.362326384,
232.9600067,2.17783761,
234.0599976,2.268976927,
235,2.876835346,
235.9299927,2.24490428,
237.0299988,1.646780014,
237.9600067,1.208563566,
239.0599976,0.6975933313,
240,0.5008116961,
240.9299927,0.4278651178,
242.0299988,0.4785474241,
242.9600067,0.6656852365,
244.0599976,0.6550473571,
245,0.7741019726,
245.9299927,0.7459187508,
247.0299988,1.34951365,
247.9600067,3.379012585,
249.0599976,7.595396996,
250,14.5504427,
250.9299927,21.9679203,
252.0299988,29.3115406,
252.9600067,31.41059303,
254.0599976,26.1102581,
255,17.14144135,
255.9299927,9.264239311,
257.0299988,2.976750374,
257.9599915,1.048777699,
259.0599976,0.4048897028,
260,0.2032244951,
261.0700073,0.2348859906,
262,0.1555134356,
263.0700073,0.1794536263,
264,0.1455848515,
265.0700073,0.3072634935,
266,0.2351473868,
267.0700073,0.1516257226,
268,0.159220174,
269.0700073,0.1816710383,
270,0.07168116421,
270.9299927,0.1302322745,
272.0299988,0.109873727,
272.9599915,0.1311870217,
274.0599976,0.06349156052,
275,0.1083757803,
275.9299927,0.04132197052,
277.0299988,0.08156207204,
277.9599915,0.03919324279,
279.0599976,0.1279619485,
280,0.100386031,
280.9299927,0.06034743041,
282.0299988,0.06843104959,
282.9599915,0.1371576041,
284.0599976,0.05550841987,
285,0.07096225023,
285.9299927,0.07677366585,
287.0299988,0.07655385137,
287.9599915,0.1016093343,
289.0599976,0.1009983346,
290,0.1079863682,
291.0700073,0.03897085786,
292,0.1377800554,
293.0700073,0.1472222805,
294,0.07101314515,
295.0700073,0.09096634388,
296,0.08869300783,
297.0700073,0.0917904079,
298,0.1122796535,
299.0700073,0.0634226054,
300,0.05980503559,
300.9299927,0.1107133627,
302.0299988,0.07832539827,
302.9599915,0.2094804943,
304.0599976,0.115972586,
305,0,
305.9299927,0.07192397118,
307.0299988,0.1092429459,
307.9599915,0.07007638365,
309.0599976,0.1065395921,
310,-0.02013470046,
311.0700073,0.09321209043,
312,0.02161391079,
313.0700073,0.02299458534,
314,0.07364854962,
315.0700073,0.1664596647,
316,0.0951384306,
317.0700073,0.07210429013,
318,0.1524297297,
319.0700073,0.149608776,
320,0.08926579356,
321.0700073,0.1646213681,
322,0.156800136,
323.0700073,0.02764607407,
324,0.1118975058,
325.0700073,0.1394855827,
326,0.1614276171,
327.0700073,0.07783070207,
328,0.1414116025,
329.0700073,0.04963928834,
330,0,
330.9299927,0.1395651847,
332.0299988,0.1874355674,
332.9599915,0.01542638522,
334.0599976,0.2400499433,
335,0.09313299507,
335.9299927,0,
337.0299988,0.190766871,
337.9599915,0.1120663434,
339.0599976,0.1007708982,
340,0.03141937032,
341.0700073,0.06007990614,
342,-0.02934057079,
343.0700073,0.02814562432,
344,0.09806668758,
345.0700073,0.1797814965,
346,0.1845489889,
347.0700073,0.08805788308,
348,0,
349.0700073,0.1851192713,
350,0.1394855827,
351.0700073,0.1068590134,
352,0,
353.0700073,0.1378518045,
354,0.148893401,
355.0700073,0.06915219128,
356,0.06526928395,
357.0700073,0.144859612,
358,0.01667041704,
359.0700073,0.08981498331,
360,0.0224275589,
361.0700073,0.04705956206,
362,0.008003009483,
363.0700073,0.07785601914,
364,0.02804131433,
365.0700073,0.1496498138,
366,0.09125648439,
367.0700073,0.02297424525,
368,0.0713724941,
369.0700073,0.05773872137,
370,0.1995211542,
371.0599976,0.0839471966,
371.9599915,0.06082478166,
373.0299988,0.07677027583,
373.9299927,0.05514705926,
375,0.02536032908,
376.0599976,0.0584609732,
376.9599915,0.03373705596,
378.0299988,0.1422007382,
378.9299927,0.1045451015,
380,0.05356281996,
381.0700073,0.02633080259,
382,0.008599487133,
383.0700073,0.1111386567,
384,0.09739942849,
385.0700073,0,
386,0.0404750146,
387.0700073,0.05291685462,
388,0.01523055322,
389.0700073,0.04957120866,
390,0.03487455472,
391.0700073,0.02623484097,
392,0.03853935748,
393.0700073,0.006468514446,
394,0.006448077038,
395.0700073,0,
396,0.02848942019,
397.0700073,0.01412329637,
398,0.01423254516,
399.0700073,0.02995289862,
400,0.09260974079,
401.0599976,0.02682835236,
401.9599915,0.006548959762,
403.0299988,0.05705157295,
403.9299927,0.03653724492,
405,0,
406.0599976,0.03820755705,
406.9599915,0.037798848,
408.0299988,-0.01302982494,
408.9299927,0.01876266487,
410,-0.006194136571,
411.0700073,0.01813214645,
412,0.04851219431,
413.0700073,0.05850416794,
414,0.04424950108,
415.0700073,0.03512645513,
416,0.04138216376,
417.0700073,-0.008186957799,
418,0,
419.0700073,-0.01008359343,
420,0.009509137832,
421.0599976,-0.01535225753,
421.9599915,0.0122494977,
423.0299988,0.009525926784,
423.9299927,0.01569572836,
425,0.01054937672,
426.0599976,0.007441168185,
426.9599915,0.0380602926,
428.0299988,0.06300035119,
428.9299927,0.03471980989,
430,0.01341501623,
431.0599976,0.03087767586,
431.9599915,0.02113253437,
433.0299988,0.06320632994,
433.9299927,0.03567144647,
435,0.1001899466,
436.0599976,0.1097485125,
436.9599915,0.1409641951,
438.0299988,0.2006141841,
438.9299927,0.2376064062,
440,0.2947541475,
441.0599976,0.2492745072,
441.9599915,0.2288278788,
443.0299988,0.1759581417,
443.9299927,0.200489834,
445,0.07328611612,
446.0599976,0.0585366562,
446.9599915,0.05051033571,
448.0299988,0.03002901562,
448.9299927,-0.01599436998,
450,0.0669478476,
451.0599976,0.02213192359,
451.9599915,-0.02733784169,
453.0299988,0.02445825003,
453.9299927,0.03375283256,
455,0.01040101144,
456.0599976,0.0277622249,
456.9599915,0.01787981205,
458.0299988,0.02930010483,
458.9299927,0.004231263883,
460,0.02195833251,
461.0599976,-0.02355590463,
461.9599915,-0.004834233783,
463.0299988,0.01784344204,
463.9299927,0.02209334448,
465,0.01781641878,
466.0599976,-0.03586907685,
466.9599915,0.02468023822,
468.0299988,0.04550862312,
468.9299927,0.04786226898,
470,0.1164894179,
471.0400085,0.0421416387,
471.9400024,0.06520982832,
472.980011,0.08291186392,
474.019989,0.04363763332,
475.0700073,0.06027954817,
475.9700012,0.02945660055,
477.0100098,0.05034884438,
478.0499878,0.006991588976,
478.9500122,0.09179124236,
480,0.03511071578,
481.0599976,0.04403475672,
481.9599915,0.04242521524,
483.0299988,0.02367349528,
483.9299927,0.003765641712,
485,0.03776606172,
486.0599976,0.01948869415,
486.9599915,0.04033868387,
488.0299988,-0.008729317226,
488.9299927,-0.008969897404,
490,0.01408979949,
491.0400085,0.08938147873,
491.9400024,0.02199469879,
492.980011,0.04894642904,
494.019989,-0.05461086333,
495.0700073,0.04470972344,
495.9700012,0.07920039445,
497.0100098,0.06674509495,
498.0499878,0.02585761063,
498.9500122,0.251026541,
500,0.8696465492,

Sample 12,
Sample 12
Collection Time: 4/05/2023 11:57:34 AM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         500.00
Em. Wavelength (nm)               508.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/05/2023 11:12:11 AM
Method Modifications:
Overlayed Graphs Changed: 4/05/2023 11:16:19 AM, Old:OFF, New:ON
Excitation Wavelength Changed: 4/05/2023 11:16:19 AM, Old: 350.00, New: 339.00
Emission Wavelength Changed: 4/05/2023 11:16:19 AM, Old: 400.00, New: 349.00
Scan mode: Changed: 4/05/2023 11:17:29 AM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 339.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 349.00, New: 374.00
Stop Wavelength Changed: 4/05/2023 11:17:29 AM, Old: 600.00, New: 364.00
Scan mode: Changed: 4/05/2023 11:18:46 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 220.00, New: 337.00
Emission Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 374.00, New: 347.00
Stop Wavelength Changed: 4/05/2023 11:18:46 AM, Old: 364.00, New: 600.00
Excitation Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 337.00, New: 422.00
Emission Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 347.00, New: 432.00
Stop Wavelength Changed: 4/05/2023 11:31:04 AM, Old: 600.00, New: 700.00
Scan mode: Changed: 4/05/2023 11:33:22 AM, Old:Emission, New:Excitation
User Delta Stop Changed: 4/05/2023 11:33:22 AM, Old: 450.00, New: 525.00
User Delta Increment Changed: 4/05/2023 11:33:22 AM, Old:  10.00, New:   0.15
Excitation Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 422.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 432.00, New: 525.00
Stop Wavelength Changed: 4/05/2023 11:33:22 AM, Old: 700.00, New: 515.00
Scan mode: Changed: 4/05/2023 11:54:35 AM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 220.00, New: 331.00
Emission Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 525.00, New: 341.00
Stop Wavelength Changed: 4/05/2023 11:54:35 AM, Old: 515.00, New: 700.00
Scan mode: Changed: 4/05/2023 11:56:27 AM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 331.00, New: 220.00
Emission Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 341.00, New: 508.00
Stop Wavelength Changed: 4/05/2023 11:56:27 AM, Old: 700.00, New: 500.00
End Method Modifications

