Sample 11,,
Wavelength (nm),Intensity (a.u.),
220,6.057919502,
220.9299927,4.478398323,
222.0299988,4.832509518,
222.9600067,3.359148979,
224.0599976,3.357142925,
225,3.104592562,
225.9299927,2.588054419,
227.0299988,1.284541726,
227.9600067,1.295272231,
229.0599976,1.229956269,
230,0.9790974259,
230.9299927,0.984179318,
232.0299988,1.337810159,
232.9600067,1.603527784,
234.0599976,1.712328792,
235,1.674248099,
235.9299927,1.57542336,
237.0299988,1.468809485,
237.9600067,1.318592072,
239.0599976,1.061311126,
240,1.026748538,
240.9299927,0.7317383289,
242.0299988,0.8241192102,
242.9600067,0.8271505833,
244.0599976,0.7353113294,
245,0.7240347266,
245.9299927,0.6917387843,
247.0299988,0.6480880976,
247.9600067,0.7096921802,
249.0599976,0.7642088532,
250,0.9561284184,
250.9299927,1.000120044,
252.0299988,1.173482299,
252.9600067,1.34091568,
254.0599976,1.526641488,
255,1.417942286,
255.9299927,1.129045725,
257.0299988,1.10335505,
257.9599915,0.9939873219,
259.0599976,1.238255978,
260,1.46558845,
261.0700073,2.324245691,
262,4.614151478,
263.0700073,9.189873695,
264,14.46088219,
265.0700073,21.337883,
266,26.02963257,
267.0700073,31.82791901,
268,35.24678802,
269.0700073,38.21238327,
270,39.19590378,
270.9299927,38.82672882,
272.0299988,38.91622543,
272.9599915,37.63542938,
274.0599976,37.21257019,
275,36.42175674,
275.9299927,36.47307968,
277.0299988,36.79301834,
277.9599915,36.76078415,
279.0599976,37.3143158,
280,38.07206345,
280.9299927,39.08128357,
282.0299988,39.50546646,
282.9599915,40.99689484,
284.0599976,41.48615265,
285,43.01167679,
285.9299927,44.37708664,
287.0299988,46.46543503,
287.9599915,49.92930984,
289.0599976,51.23473358,
290,54.71590424,
291.0700073,57.74606323,
292,61.29382706,
293.0700073,65.6614151,
294,69.55693817,
295.0700073,73.71273804,
296,76.94429016,
297.0700073,78.91098785,
298,82.16411591,
299.0700073,86.85121918,
300,92.40579224,
300.9299927,98.35382843,
302.0299988,104.9731674,
302.9599915,109.8997421,
304.0599976,117.7203217,
305,126.2418747,
305.9299927,134.2558899,
307.0299988,143.4282684,
307.9599915,149.5145569,
309.0599976,156.8647003,
310,161.3007813,
311.0700073,168.0170441,
312,174.8586273,
313.0700073,181.9754028,
314,187.918457,
315.0700073,198.0562744,
316,205.8383789,
317.0700073,215.0233765,
318,225.3918152,
319.0700073,235.8021545,
320,247.4716797,
321.0700073,258.6343689,
322,269.4431763,
323.0700073,272.9243164,
324,277.9253845,
325.0700073,281.8337708,
326,285.0085754,
327.0700073,292.2681885,
328,297.6976929,
329.0700073,307.8379822,
330,312.9003296,
330.9299927,318.2854004,
332.0299988,320.6391907,
332.9599915,323.5560608,
334.0599976,327.0294189,
335,327.4069824,
335.9299927,328.8406677,
337.0299988,332.3656921,
337.9599915,334.3849182,
339.0599976,334.9833069,
340,338.9886169,
341.0700073,338.5848694,
342,341.3927612,
343.0700073,336.3184509,
344,332.4491577,
345.0700073,325.3278503,
346,319.7601929,
347.0700073,313.4515991,
348,308.8869324,
349.0700073,305.7010803,
350,299.113678,
351.0700073,290.5367737,
352,286.2558289,
353.0700073,278.4439697,
354,272.0462646,
355.0700073,263.4134827,
356,255.5574799,
357.0700073,245.9082794,
358,238.5811157,
359.0700073,228.297287,
360,219.2283478,
361.0700073,208.2696991,
362,196.0645142,
363.0700073,182.3283081,
364,173.4203339,
365.0700073,163.181488,
366,151.9649506,
367.0700073,139.6728058,
368,129.9636841,
369.0700073,117.8712616,
370,107.0325775,
371.0599976,95.75869751,
371.9599915,86.74745178,
373.0299988,76.56460571,
373.9299927,67.88423157,
375,59.98693848,
376.0599976,52.24795532,
376.9599915,46.58224487,
378.0299988,41.04112244,
378.9299927,35.33201981,
380,29.72303391,
381.0700073,25.18423843,
382,22.46545792,
383.0700073,18.96729851,
384,16.2977047,
385.0700073,13.59914112,
386,11.46233749,
387.0700073,10.07281017,
388,8.804141045,
389.0700073,7.134797096,
390,6.001277924,
391.0700073,5.251511574,
392,4.664502621,
393.0700073,4.036530495,
394,3.4214077,
395.0700073,2.947371244,
396,2.535727501,
397.0700073,2.321279287,
398,2.023941517,
399.0700073,1.74063766,
400,1.498391151,
401.0599976,1.276265383,
401.9599915,1.135250807,
403.0299988,1.015691519,
403.9299927,0.9076264501,
405,0.8306094408,
406.0599976,0.7549204826,
406.9599915,0.7226341367,
408.0299988,0.6975136399,
408.9299927,0.6874895692,
410,0.9244023561,

Sample 11,
Sample 11
Collection Time: 6/05/2023 3:45:16 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         410.00
Em. Wavelength (nm)               420.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 6/05/2023 12:05:31 PM
Method Modifications:
Overlayed Graphs Changed: 6/05/2023 12:30:50 PM, Old:OFF, New:ON
PMT Volts Changed: 6/05/2023 12:30:50 PM, Old:600, New:400
Zero Order Excitation Changed: 6/05/2023 12:30:50 PM, Old:OFF, New:ON
Em. Slit Width (nm): Changed: 6/05/2023 12:30:50 PM, Old:5, New:1.5
Emission PMT (V): Changed: 6/05/2023 12:30:50 PM, Old: 600, New: 400
Emission Wavelength Changed: 6/05/2023 12:30:50 PM, Old: 400.00, New: 220.00
Stop Wavelength Changed: 6/05/2023 12:30:50 PM, Old: 600.00, New: 850.00
Excitation Wavelength Changed: 6/05/2023 12:30:50 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:30:53 PM, Old:   0.00, New: 350.00
Emission Filter: Changed: 6/05/2023 12:31:48 PM, Old:Open, New:3%T Attenuator
Zero Order Excitation Changed: 6/05/2023 12:31:48 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:31:48 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 6/05/2023 12:31:48 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:31:53 PM, Old:   0.00, New: 350.00
Zero Order Excitation Changed: 6/05/2023 12:32:02 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:32:02 PM, Old:OFF, New:ON
Emission Wavelength Changed: 6/05/2023 12:32:02 PM, Old: 220.00, New: 300.00
Stop Wavelength Changed: 6/05/2023 12:32:02 PM, Old: 850.00, New: 500.00
Excitation Wavelength Changed: 6/05/2023 12:32:02 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:32:02 PM, Old:   0.00, New: 350.00
Emission Filter: Changed: 6/05/2023 12:32:31 PM, Old:3%T Attenuator, New:Open
Zero Order Excitation Changed: 6/05/2023 12:32:31 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:32:31 PM, Old:OFF, New:ON
Em. Slit Width (nm): Changed: 6/05/2023 12:32:31 PM, Old:1.5, New:5
Excitation Wavelength Changed: 6/05/2023 12:32:31 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:32:35 PM, Old:   0.00, New: 350.00
Zero Order Excitation Changed: 6/05/2023 12:33:16 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:33:16 PM, Old:OFF, New:ON
Em. Slit Width (nm): Changed: 6/05/2023 12:33:16 PM, Old:5, New:1.5
Excitation Wavelength Changed: 6/05/2023 12:33:16 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:33:17 PM, Old:   0.00, New: 350.00
Emission Filter: Changed: 6/05/2023 12:34:36 PM, Old:Open, New:3%T Attenuator
PMT Volts Changed: 6/05/2023 12:34:36 PM, Old:400, New:600
Zero Order Excitation Changed: 6/05/2023 12:34:36 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:34:36 PM, Old:OFF, New:ON
Emission PMT (V): Changed: 6/05/2023 12:34:36 PM, Old: 400, New: 600
Excitation Wavelength Changed: 6/05/2023 12:34:36 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:34:41 PM, Old:   0.00, New: 350.00
Emission Filter: Changed: 6/05/2023 12:35:14 PM, Old:3%T Attenuator, New:Open
Zero Order Excitation Changed: 6/05/2023 12:35:14 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:35:14 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 6/05/2023 12:35:14 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:35:18 PM, Old:   0.00, New: 350.00
Zero Order Excitation Changed: 6/05/2023 3:07:20 PM, Old:ON, New:OFF
Em. Slit Width (nm): Changed: 6/05/2023 3:07:20 PM, Old:1.5, New:5
Excitation Wavelength Changed: 6/05/2023 3:07:20 PM, Old: 350.00, New: 220.00
Emission Wavelength Changed: 6/05/2023 3:07:20 PM, Old: 300.00, New: 230.00
Stop Wavelength Changed: 6/05/2023 3:07:20 PM, Old: 500.00, New: 850.00
Excitation Wavelength Changed: 6/05/2023 3:42:07 PM, Old: 220.00, New: 340.00
Emission Wavelength Changed: 6/05/2023 3:42:07 PM, Old: 230.00, New: 350.00
Stop Wavelength Changed: 6/05/2023 3:42:07 PM, Old: 850.00, New: 600.00
Scan mode: Changed: 6/05/2023 3:45:02 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 6/05/2023 3:45:02 PM, Old: 340.00, New: 220.00
Emission Wavelength Changed: 6/05/2023 3:45:02 PM, Old: 350.00, New: 411.00
Stop Wavelength Changed: 6/05/2023 3:45:02 PM, Old: 600.00, New: 400.00
Emission Wavelength Changed: 6/05/2023 3:45:14 PM, Old: 411.00, New: 420.00
Stop Wavelength Changed: 6/05/2023 3:45:14 PM, Old: 400.00, New: 410.00
End Method Modifications

