Sample 12,,
Wavelength (nm),Intensity (a.u.),
220,1.339285731,
220.9299927,0.1324854195,
222.0299988,-0.1108401716,
222.9600067,0,
224.0599976,0.07134194672,
225,0.05401609838,
225.9299927,-0.2838835418,
227.0299988,-0.05988203362,
227.9600067,-0.02465361729,
229.0599976,0.0890115276,
230,-0.1570774615,
230.9299927,-0.06794093549,
232.0299988,0.1474744976,
232.9600067,0.2161986977,
234.0599976,0.1962873638,
235,0.318287015,
235.9299927,-0.1117818058,
237.0299988,0.1063377261,
237.9600067,0.07038784027,
239.0599976,0.07812195271,
240,0.03397431597,
240.9299927,0.1218657643,
242.0299988,0.02710137144,
242.9600067,0.1099102348,
244.0599976,0.06840725243,
245,0.01074413955,
245.9299927,0.143238619,
247.0299988,0.009747158736,
247.9600067,0.1530050188,
249.0599976,0.1626245528,
250,0.1204079464,
250.9299927,0.03999893367,
252.0299988,-0.01476407051,
252.9600067,0.1729287952,
254.0599976,0.06464437395,
255,0.2932325006,
255.9299927,0,
257.0299988,0.01124909986,
257.9599915,0.08580826223,
259.0599976,0.06784203649,
260,0.0501399748,
261.0700073,0.1392976046,
262,0.2507377267,
263.0700073,0.2179508507,
264,0.4488232136,
265.0700073,0.6919162869,
266,1.104022264,
267.0700073,1.193822265,
268,1.608211517,
269.0700073,1.762969136,
270,2.087561607,
270.9299927,2.142241716,
272.0299988,2.388529062,
272.9599915,2.535997152,
274.0599976,2.674170971,
275,2.936410666,
275.9299927,2.992892027,
277.0299988,3.265872717,
277.9599915,3.461802959,
279.0599976,3.699427366,
280,3.668720245,
280.9299927,3.976090431,
282.0299988,4.352837086,
282.9599915,4.57606411,
284.0599976,4.719684601,
285,4.695571899,
285.9299927,4.956561565,
287.0299988,5.33249712,
287.9599915,5.547456741,
289.0599976,5.732479095,
290,6.170524597,
291.0700073,6.254076958,
292,6.683355808,
293.0700073,6.83769846,
294,7.155387878,
295.0700073,7.074757099,
296,7.361771584,
297.0700073,7.159731388,
298,7.290261269,
299.0700073,7.094322205,
300,7.434603691,
300.9299927,7.388256073,
302.0299988,7.330281734,
302.9599915,7.194998264,
304.0599976,7.354441166,
305,7.284782887,
305.9299927,7.090829372,
307.0299988,7.033516884,
307.9599915,7.274768353,
309.0599976,6.897436619,
310,6.784894466,
311.0700073,6.435648918,
312,6.02117157,
313.0700073,5.653917313,
314,5.39606905,
315.0700073,5.150095463,
316,4.884750366,
317.0700073,4.85205555,
318,4.561105251,
319.0700073,4.378447533,
320,4.43296814,
321.0700073,3.998902559,
322,3.909065962,
323.0700073,3.752549171,
324,3.494506598,
325.0700073,3.621242762,
326,3.450334072,
327.0700073,3.119475842,
328,3.156644583,
329.0700073,2.9336555,
330,2.782451153,
330.9299927,2.858309507,
332.0299988,2.6868999,
332.9599915,2.698368549,
334.0599976,2.825627089,
335,2.699479103,
335.9299927,2.64770174,
337.0299988,2.662348747,
337.9599915,2.45746994,
339.0599976,2.535171509,
340,2.509854794,
341.0700073,2.44590497,
342,2.373082638,
343.0700073,2.494861364,
344,2.346863747,
345.0700073,2.303435564,
346,2.219904661,
347.0700073,1.852749109,
348,1.961289644,
349.0700073,1.881399989,
350,2.171675205,
351.0700073,1.680739522,
352,1.672470331,
353.0700073,1.717583537,
354,1.531426787,
355.0700073,1.522054911,
356,1.425503492,
357.0700073,1.348577619,
358,1.416815639,
359.0700073,1.303343654,
360,1.115538955,
361.0700073,1.234196067,
362,1.140268207,
363.0700073,1.132568359,
364,0.9931301475,
365.0700073,0.9904324412,
366,1.032220006,
367.0700073,1.090463996,
368,1.235150099,
369.0700073,1.210831761,
370,1.29733932,
371.0599976,1.465460062,
371.9599915,1.4333148,
373.0299988,1.281368852,
373.9299927,1.07246387,
375,0.8226772547,
376.0599976,0.7108537555,
376.9599915,0.4825451672,
378.0299988,0.4495030046,
378.9299927,0.4032836258,
380,0.4255984426,
381.0700073,0.3980328441,
382,0.3779094815,
383.0700073,0.471803546,
384,0.3010067642,
385.0700073,0.3508936167,
386,0.2911577821,
387.0700073,0.3135161698,
388,0.321164757,
389.0700073,0.3873797357,
390,0.3983127177,
391.0700073,0.4601509571,
392,0.4561959505,
393.0700073,0.4380258024,
394,0.4077861607,
395.0700073,0.4569308162,
396,0.4264920354,
397.0700073,0.3714423776,
398,0.3214079142,
399.0700073,0.3955975771,
400,0.2316439599,
401.0599976,0.2497962266,
401.9599915,0.291633904,
403.0299988,0.2309356481,
403.9299927,0.2378599942,
405,0.2770417035,
406.0599976,0.1947123408,
406.9599915,0.1848816127,
408.0299988,0.2336606681,
408.9299927,0.2732205689,
410,0.5181631446,

Sample 12,
Sample 12
Collection Time: 6/05/2023 3:46:19 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         410.00
Em. Wavelength (nm)               420.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 6/05/2023 12:05:31 PM
Method Modifications:
Overlayed Graphs Changed: 6/05/2023 12:30:50 PM, Old:OFF, New:ON
PMT Volts Changed: 6/05/2023 12:30:50 PM, Old:600, New:400
Zero Order Excitation Changed: 6/05/2023 12:30:50 PM, Old:OFF, New:ON
Em. Slit Width (nm): Changed: 6/05/2023 12:30:50 PM, Old:5, New:1.5
Emission PMT (V): Changed: 6/05/2023 12:30:50 PM, Old: 600, New: 400
Emission Wavelength Changed: 6/05/2023 12:30:50 PM, Old: 400.00, New: 220.00
Stop Wavelength Changed: 6/05/2023 12:30:50 PM, Old: 600.00, New: 850.00
Excitation Wavelength Changed: 6/05/2023 12:30:50 PM, Old: 350.00, New:   0.00
Excitation Wavelength Changed: 6/05/2023 12:30:53 PM, Old:   0.00, New: 350.00
Emission Filter: Changed: 6/05/2023 12:31:48 PM, Old:Open, New:3%T Attenuator
Zero Order Excitation Changed: 6/05/2023 12:31:48 PM, Old:ON, New:OFF
Zero Order Excitation Changed: 6/05/2023 12:31:48 PM, Old:OFF, New:ON
