Sample 14,,
Wavelength (nm),Intensity (a.u.),
220,4.578055859,
220.9299927,4.348399162,
222.0299988,4.299889565,
222.9600067,3.392939091,
224.0599976,2.335766315,
225,2.48545742,
225.9299927,1.627869129,
227.0299988,1.059257865,
227.9600067,1.125953317,
229.0599976,1.084329247,
230,0.8195974827,
230.9299927,1.046219587,
232.0299988,1.200296164,
232.9600067,1.608330607,
234.0599976,1.435140371,
235,1.543164968,
235.9299927,1.368746042,
237.0299988,1.552619696,
237.9600067,1.193602324,
239.0599976,0.9096422195,
240,0.9755763412,
240.9299927,0.864841938,
242.0299988,0.7460499406,
242.9600067,0.6840455532,
244.0599976,0.7266938686,
245,0.7683733106,
245.9299927,0.6346264482,
247.0299988,0.7089787722,
247.9600067,0.643073678,
249.0599976,0.6898893118,
250,0.9553265572,
250.9299927,1.348453999,
252.0299988,1.518535137,
252.9600067,2.167119503,
254.0599976,3.819836617,
255,5.768903732,
255.9299927,8.349698067,
257.0299988,12.34101963,
257.9599915,14.9308939,
259.0599976,17.0121212,
260,19.38431358,
261.0700073,23.10444069,
262,27.60586166,
263.0700073,34.02418518,
264,39.74315262,
265.0700073,45.71529007,
266,46.87031174,
267.0700073,48.02798843,
268,47.22347641,
269.0700073,45.82899857,
270,44.27368164,
270.9299927,42.7771225,
272.0299988,40.07846069,
272.9599915,37.31417847,
274.0599976,35.22132111,
275,33.01945877,
275.9299927,32.02053452,
277.0299988,30.89776611,
277.9599915,30.01692581,
279.0599976,29.35811424,
280,29.62153816,
280.9299927,29.17871666,
282.0299988,28.70166206,
282.9599915,28.65659523,
284.0599976,28.45052338,
285,28.5672493,
285.9299927,29.24516678,
287.0299988,29.93272781,
287.9599915,30.8521328,
289.0599976,31.68037605,
290,33.08482361,
291.0700073,34.64181519,
292,36.83800507,
293.0700073,38.89125824,
294,41.51511383,
295.0700073,43.24528503,
296,45.00687408,
297.0700073,46.61541748,
298,49.09067154,
299.0700073,52.20928192,
300,56.23950577,
300.9299927,59.47123337,
302.0299988,64.849617,
302.9599915,68.80455017,
304.0599976,73.37968445,
305,80.28297424,
305.9299927,86.10753632,
307.0299988,92.42803192,
307.9599915,98.1707077,
309.0599976,101.4713745,
310,106.8421478,
311.0700073,113.8099136,
312,118.757103,
313.0700073,125.1522598,
314,133.4680634,
315.0700073,138.4846649,
316,146.0904846,
317.0700073,154.6112671,
318,162.1002045,
319.0700073,171.9717865,
320,181.3843231,
321.0700073,192.5103912,
322,199.791626,
323.0700073,202.5974121,
324,209.1034393,
325.0700073,210.9770203,
326,216.4072113,
327.0700073,223.5706482,
328,228.314682,
329.0700073,234.216156,
330,241.4078674,
330.9299927,250.6434937,
332.0299988,252.941452,
332.9599915,254.8800354,
334.0599976,258.3668823,
335,261.4595337,
335.9299927,265.8392639,
337.0299988,270.2384644,
337.9599915,270.1625977,
339.0599976,275.1028442,
340,277.0238342,
341.0700073,280.622345,
342,283.75,
343.0700073,283.4043884,
344,282.9648743,
345.0700073,279.721283,
346,280.6087952,
347.0700073,278.5290833,
348,276.4372559,
349.0700073,277.3726807,
350,276.6847839,
351.0700073,273.7188721,
352,272.6300964,
353.0700073,270.1723938,
354,270.0895081,
355.0700073,263.7637024,
356,260.085968,
357.0700073,253.1490326,
358,248.834671,
359.0700073,243.3050232,
360,238.0593262,
361.0700073,228.4794464,
362,222.3328857,
363.0700073,211.7748718,
364,203.7466583,
365.0700073,198.8240051,
366,193.4981689,
367.0700073,186.8480377,
368,180.9523926,
369.0700073,171.3683472,
370,161.1266479,
371.0599976,154.5426941,
371.9599915,147.9009094,
373.0299988,137.9158783,
373.9299927,130.969696,
