Sample 15,,
Wavelength (nm),Intensity (a.u.),
220,1.638123631,
220.9299927,0.9149130583,
222.0299988,0.1102535799,
222.9600067,-0.0906207487,
224.0599976,0.2117896229,
225,-0.1082309708,
225.9299927,0.1217779592,
227.0299988,0.06028817594,
227.9600067,0.02492211759,
229.0599976,0.02228710242,
230,0.0439985916,
230.9299927,0.2041927576,
232.0299988,0,
232.9600067,0.02742807008,
234.0599976,0.08801267296,
235,0.05785363168,
235.9299927,0,
237.0299988,0.02719386481,
237.9600067,0.1464093029,
239.0599976,0.2256456465,
240,0.01728847623,
240.9299927,0.1218731925,
242.0299988,0.1494382471,
242.9600067,-0.05106339604,
244.0599976,-0.05777942017,
245,0,
245.9299927,0.08184980601,
247.0299988,-0.0199401807,
247.9600067,0.04167795554,
249.0599976,0.03466404974,
250,0.06114786863,
250.9299927,-0.1376329958,
252.0299988,-0.04600591958,
252.9600067,0.0501521267,
254.0599976,0.1334089339,
255,0.1318782717,
255.9299927,0.1441046745,
257.0299988,0.1982831061,
257.9599915,0.2542389631,
259.0599976,0.2549117804,
260,0.2232541591,
261.0700073,0.3633547127,
262,0.4318873286,
263.0700073,0.6780942082,
264,0.7539277673,
265.0700073,0.7858067751,
266,0.8140912056,
267.0700073,0.8891786933,
268,0.8709443212,
269.0700073,1.107200384,
270,0.9577552676,
270.9299927,1.080281973,
272.0299988,0.9620524049,
272.9599915,1.026649714,
274.0599976,1.184693813,
275,1.005596399,
275.9299927,0.9931750894,
277.0299988,1.065026283,
277.9599915,1.066675663,
279.0599976,0.9840824604,
280,0.9042012691,
280.9299927,1.191801786,
282.0299988,1.001001,
282.9599915,1.064896584,
284.0599976,1.115404487,
285,0.9417484403,
285.9299927,0.9877535105,
287.0299988,1.058635712,
287.9599915,1.033575535,
289.0599976,1.02067256,
290,0.9749106169,
291.0700073,1.097097039,
292,0.9712988734,
293.0700073,1.142566085,
294,1.160999298,
295.0700073,1.08351326,
296,1.056972146,
297.0700073,1.163020372,
298,1.158068776,
299.0700073,1.045548797,
300,1.07549262,
300.9299927,1.178851247,
302.0299988,1.141103387,
302.9599915,1.131943464,
304.0599976,1.16786468,
305,1.223897457,
305.9299927,1.200440049,
307.0299988,1.246040583,
307.9599915,1.210729599,
309.0599976,1.313485146,
310,1.233419657,
311.0700073,1.307981849,
312,1.357811928,
313.0700073,1.225970864,
314,1.258230448,
315.0700073,1.269354105,
316,1.220238924,
317.0700073,1.276046395,
318,1.270767689,
319.0700073,1.312596321,
320,1.167295337,
321.0700073,1.468428731,
322,1.289624691,
323.0700073,1.429483414,
324,1.173949242,
325.0700073,1.372875929,
326,1.584490657,
327.0700073,1.268934965,
328,1.363599896,
329.0700073,1.44286108,
330,1.328365445,
330.9299927,1.501749277,
332.0299988,1.345624447,
332.9599915,1.424981594,
334.0599976,1.330882788,
335,1.403995991,
335.9299927,1.498127341,
337.0299988,1.360257864,
337.9599915,1.601778269,
339.0599976,1.292917609,
340,1.373257756,
341.0700073,1.443856716,
342,1.424629569,
343.0700073,1.383535862,
344,1.393126369,
345.0700073,1.387457967,
346,1.260924339,
347.0700073,1.334856033,
348,1.222493887,
349.0700073,1.308669567,
350,1.153812051,
351.0700073,1.297262311,
352,1.266524196,
353.0700073,1.512930274,
354,1.162404537,
355.0700073,1.214789271,
356,1.31902504,
357.0700073,1.217371345,
358,1.424639821,
359.0700073,1.296222091,
360,1.247438312,
361.0700073,1.232313633,
362,1.153222799,
363.0700073,1.254451632,
364,1.208459258,
365.0700073,1.303197384,
366,1.160816073,
367.0700073,1.108196139,
368,1.225518346,
369.0700073,1.337792635,
370,1.081212282,
371.0599976,1.199927211,
371.9599915,1.214406729,
373.0299988,1.241508722,
373.9299927,1.218597651,
375,1.25108695,
376.0599976,1.264083982,
376.9599915,1.244165182,
378.0299988,1.340319276,
378.9299927,1.341677547,
380,1.721427441,
381.0700073,1.46579504,
382,1.48270607,
383.0700073,1.331511497,
384,1.27606678,
385.0700073,1.078664303,
386,0.8816241026,
387.0700073,0.9447189569,
388,0.8710355163,
389.0700073,0.8850257993,
390,0.7526205182,
391.0700073,0.8026701808,
392,0.8073248863,
393.0700073,0.7935090661,
394,0.7151435018,
395.0700073,0.5256595612,
396,0.536854744,
397.0700073,0.5837627649,
398,0.5508769155,
399.0700073,0.5872637033,
400,0.5047000051,
401.0599976,0.57885921,
401.9599915,0.488155812,
403.0299988,0.4652090073,
403.9299927,0.5393040776,
405,0.5119218826,
406.0599976,0.482737422,
406.9599915,0.3599780202,
408.0299988,0.3881885409,
408.9299927,0.3499084115,
410,0.4204018712,
411.0700073,0.3484980762,
412,0.3596497178,
413.0700073,0.3762141466,
414,0.3837319911,
415.0700073,0.3951807618,
416,0.4863445759,
417.0700073,0.3482916653,
418,0.3985848427,
419.0700073,0.3671496212,
420,0.3602191508,
421.0599976,0.326687336,
421.9599915,0.3620012403,

Sample 15,
Sample 15
Collection Time: 23/05/2023 5:20:14 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         422.00
Em. Wavelength (nm)               432.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 23/05/2023 2:20:55 PM
Method Modifications:
Overlayed Graphs Changed: 23/05/2023 2:21:20 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 23/05/2023 2:21:20 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 23/05/2023 2:21:20 PM, Old: 400.00, New: 350.00
Stop Wavelength Changed: 23/05/2023 2:21:56 PM, Old: 600.00, New: 650.00
Scan mode: Changed: 23/05/2023 2:23:07 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 23/05/2023 2:23:07 PM, Old: 340.00, New: 220.00
Emission Wavelength Changed: 23/05/2023 2:23:07 PM, Old: 350.00, New: 390.00
Stop Wavelength Changed: 23/05/2023 2:23:07 PM, Old: 650.00, New: 380.00
User Delta Stop Changed: 23/05/2023 2:23:57 PM, Old: 450.00, New: 490.00
User Delta Increment Changed: 23/05/2023 2:23:57 PM, Old:  10.00, New:   0.15
Emission Wavelength Changed: 23/05/2023 2:23:57 PM, Old: 390.00, New: 490.00
Stop Wavelength Changed: 23/05/2023 2:23:57 PM, Old: 380.00, New: 480.00
Scan mode: Changed: 23/05/2023 4:52:05 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 23/05/2023 4:52:05 PM, Old: 220.00, New: 340.00
Emission Wavelength Changed: 23/05/2023 4:52:05 PM, Old: 490.00, New: 350.00
Stop Wavelength Changed: 23/05/2023 4:52:05 PM, Old: 480.00, New: 650.00
Excitation Wavelength Changed: 23/05/2023 5:04:00 PM, Old: 340.00, New: 345.00
Emission Wavelength Changed: 23/05/2023 5:04:00 PM, Old: 350.00, New: 355.00
Stop Wavelength Changed: 23/05/2023 5:04:00 PM, Old: 650.00, New: 700.00
Scan mode: Changed: 23/05/2023 5:06:16 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 23/05/2023 5:06:16 PM, Old: 345.00, New: 220.00
Emission Wavelength Changed: 23/05/2023 5:06:16 PM, Old: 355.00, New: 466.00
Stop Wavelength Changed: 23/05/2023 5:06:16 PM, Old: 700.00, New: 456.00
Scan mode: Changed: 23/05/2023 5:15:17 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 23/05/2023 5:15:17 PM, Old: 220.00, New: 344.00
Emission Wavelength Changed: 23/05/2023 5:15:17 PM, Old: 466.00, New: 354.00
Stop Wavelength Changed: 23/05/2023 5:15:17 PM, Old: 456.00, New: 600.00
Stop Wavelength Changed: 23/05/2023 5:16:37 PM, Old: 600.00, New: 650.00
Scan mode: Changed: 23/05/2023 5:19:13 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 23/05/2023 5:19:13 PM, Old: 344.00, New: 220.00
Emission Wavelength Changed: 23/05/2023 5:19:13 PM, Old: 354.00, New: 432.00
Stop Wavelength Changed: 23/05/2023 5:19:13 PM, Old: 650.00, New: 422.00
End Method Modifications

