Sample 38,,
Wavelength (nm),Intensity (a.u.),
220,227.7891083,
220.9299927,240.6873169,
222.0299988,254.7416687,
222.9600067,268.3465271,
224.0599976,280.322113,
225,299.7216492,
225.9299927,300.9981079,
227.0299988,302.7952881,
227.9600067,295.8851929,
229.0599976,288.0597839,
230,274.7134705,
230.9299927,269.307251,
232.0299988,261.7327576,
232.9600067,263.3124695,
234.0599976,262.2029724,
235,259.2342834,
235.9299927,257.7553101,
237.0299988,260.139801,
237.9600067,253.2092285,
239.0599976,251.7875671,
240,241.7935944,
240.9299927,229.9187622,
242.0299988,216.9338837,
242.9600067,211.0455627,
244.0599976,206.7751923,
245,204.1638489,
245.9299927,200.2082214,
247.0299988,194.6468048,
247.9600067,191.8409729,
249.0599976,187.0258331,
250,188.2250977,
250.9299927,191.8857422,
252.0299988,198.8355713,
252.9600067,204.0682373,
254.0599976,214.7992096,
255,228.8688202,
255.9299927,245.3107452,
257.0299988,261.3119812,
257.9599915,261.9198303,
259.0599976,259.7204895,
260,253.8911438,
261.0700073,250.8744965,
262,247.0600281,
263.0700073,249.5314484,
264,252.6387939,
265.0700073,243.77565,
266,232.244812,
267.0700073,215.9570007,
268,202.4551544,
269.0700073,185.8966522,
270,171.5404968,
270.9299927,156.395752,
272.0299988,142.1703491,
272.9599915,132.5048523,
274.0599976,121.6267471,
275,114.0950317,
275.9299927,108.4533844,
277.0299988,101.9778214,
277.9599915,99.81748199,
279.0599976,96.45649719,
280,96.21446228,
280.9299927,94.47151184,
282.0299988,94.22974396,
282.9599915,93.40465546,
284.0599976,92.19589996,
285,92.53669739,
285.9299927,92.1353302,
287.0299988,94.72566986,
287.9599915,95.39073944,
289.0599976,98.00843811,
290,98.77735901,
291.0700073,102.9811401,
292,105.2854767,
293.0700073,109.2232819,
294,111.9849777,
295.0700073,112.5396194,
296,114.6135864,
297.0700073,117.5676117,
298,117.8097229,
299.0700073,121.5461349,
300,125.0648804,
300.9299927,132.0743866,
302.0299988,138.6312866,
302.9599915,145.5829926,
304.0599976,151.5882416,
305,161.1832275,
305.9299927,170.8693542,
307.0299988,182.4141693,
307.9599915,189.7404785,
309.0599976,197.1969604,
310,201.6452789,
311.0700073,213.1480713,
312,222.2933502,
313.0700073,232.2401733,
314,240.421524,
315.0700073,252.9221802,
316,268.339325,
317.0700073,283.0587769,
318,292.6994629,
319.0700073,306.3974915,
320,322.464325,
321.0700073,339.6322327,
322,348.7693176,
323.0700073,357.5846558,
324,365.086792,
325.0700073,370.6038208,
326,375.3284912,
327.0700073,384.0681458,
328,398.0585632,
329.0700073,406.242981,
330,417.5256653,
330.9299927,426.1500854,
332.0299988,435.7141724,
332.9599915,439.1963501,
334.0599976,441.3659973,
335,448.2574768,
335.9299927,452.7012939,
337.0299988,456.3569946,
337.9599915,460.4460144,
339.0599976,468.0644836,
340,474.8140564,
341.0700073,483.1629333,
342,486.486084,
343.0700073,484.0800781,
344,482.5709229,
345.0700073,477.7807312,
346,477.848114,
347.0700073,479.8411255,
348,479.4699707,
349.0700073,480.6219482,
350,481.9524841,
351.0700073,479.3642883,
352,478.2971497,
353.0700073,480.7692261,
354,477.5212097,
355.0700073,471.4003906,
356,465.8396912,
357.0700073,462.8819275,
358,455.2639465,
359.0700073,445.7955322,
360,436.9352722,
361.0700073,426.0501404,
362,413.3124084,
363.0700073,397.5784607,
364,388.8718262,
365.0700073,382.6387329,
366,377.9605408,
367.0700073,372.5460815,
368,361.1221924,
369.0700073,349.1369629,
370,336.5587769,
371.0599976,326.6426086,
371.9599915,318.8056335,
373.0299988,309.1775208,
373.9299927,298.9943542,
375,285.2666016,
376.0599976,272.5133362,
376.9599915,260.8301392,
378.0299988,248.6657257,
378.9299927,232.9863281,
380,219.9147491,
381.0700073,208.9320374,
382,197.2530212,
383.0700073,185.7717743,
384,176.1880951,
385.0700073,161.7244415,
386,148.07341,
387.0700073,136.2771606,
388,127.899704,
389.0700073,115.4246521,
390,105.4988861,
391.0700073,93.7474823,
392,85.66733551,
393.0700073,76.61920929,
394,67.67639923,
395.0700073,59.45270538,
396,51.84716415,
397.0700073,45.36413574,
398,40.38829041,
399.0700073,34.125103,
400,29.65996933,
401.0599976,24.58141708,
401.9599915,21.39737701,
403.0299988,18.29876137,
403.9299927,15.85420227,
405,13.15590668,
406.0599976,10.8228159,
406.9599915,9.357886314,
408.0299988,7.772872448,
408.9299927,6.88549614,
410,5.832866669,
411.0700073,4.915997028,
412,4.157652378,
413.0700073,3.271525145,
414,2.920460463,
415.0700073,2.436649561,
416,2.243064165,
417.0700073,1.843217969,
418,1.65898478,
419.0700073,1.502303481,
420,1.293514609,
421.0599976,1.074457645,
421.9599915,0.9518240094,
423.0299988,0.8108108044,
423.9299927,0.6231051087,
425,0.5563733578,
426.0599976,0.5218817592,
426.9599915,0.4860791266,
428.0299988,0.4673569202,
428.9299927,0.4254001081,
430,0.4133294523,
431.0599976,0.3897439241,
431.9599915,0.3322935402,
433.0299988,0.3684781492,
433.9299927,0.348426342,
435,0.3170422316,
436.0599976,0.2639400959,
436.9599915,0.3129624426,
438.0299988,0.2845582068,
438.9299927,0.2509956956,
440,0.2223050892,
441.0599976,0.251767695,
441.9599915,0.2809312344,
443.0299988,0.2594014704,
443.9299927,0.2540005147,
445,0.3010703623,
446.0599976,0.2215916067,
446.9599915,0.2489340305,
448.0299988,0.2725320458,
448.9299927,0.2331527621,
450,0.267125845,
451.0599976,0.191393137,
451.9599915,0.235443905,
453.0299988,0.3092905283,
453.9299927,0.2935872078,
455,0.2884657085,
456.0599976,0.2828267515,
456.9599915,0.2703221142,
458.0299988,0.2478260994,
458.9299927,0.2071215957,
460,0.2525414824,
461.0599976,0.2641747594,
461.9599915,0.3140369654,
463.0299988,0.3033504486,
463.9299927,0.3074687123,
465,0.3366234899,
466.0599976,0.2973336875,
466.9599915,0.3088268936,
468.0299988,0.2868748307,
468.9299927,0.3448513746,
470,0.3795093298,

Sample 38,
Sample 38
Collection Time: 4/05/2023 12:57:16 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         470.00
Em. Wavelength (nm)               480.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 4/05/2023 11:12:11 AM
Method Modifications:
Overlayed Graphs Changed: 4/05/2023 11:16:19 AM, Old:OFF, New:ON
Excitation Wavelength Changed: 4/05/2023 11:16:19 AM, Old: 350.00, New: 339.00
