Sample 39,,
Wavelength (nm),Intensity (a.u.),
220,1.021897793,
220.9299927,1.806917906,
222.0299988,2.321724892,
222.9600067,2.597161531,
224.0599976,0.9281736612,
225,1.343530416,
225.9299927,0.9523053765,
227.0299988,0.6403024793,
227.9600067,0.6465088725,
229.0599976,0.3656307161,
230,0.5989086628,
230.9299927,0.7382534146,
232.0299988,0.8362263441,
232.9600067,1.389545083,
234.0599976,2.843030214,
235,7.917609215,
235.9299927,14.54534817,
237.0299988,21.95121956,
237.9600067,25.02748871,
239.0599976,22.57603645,
240,16.30338097,
240.9299927,11.15034008,
242.0299988,5.956671238,
242.9600067,2.669106007,
244.0599976,0.9411600828,
245,0.4538785517,
245.9299927,0.3793626726,
247.0299988,0.2206531316,
247.9600067,0.302524507,
249.0599976,0.344245553,
250,0.3666662276,
250.9299927,0.09711701423,
252.0299988,0.2249583751,
252.9600067,0.3267973959,
254.0599976,0.3222469091,
255,0.07882456481,
255.9299927,0.09752292186,
257.0299988,0.2329580188,
257.9599915,0.2920207977,
259.0599976,0.2796811759,
260,0.2268028557,
261.0700073,0.1787038594,
262,0.1359936297,
263.0700073,0.2212095708,
264,0.1252661943,
265.0700073,0.1108524501,
266,0.1313427687,
267.0700073,0.09512937814,
268,0.08096655458,
269.0700073,0.08479750156,
270,0.1619524956,
270.9299927,0.1340419054,
272.0299988,0.1320111454,
272.9599915,0.05538105965,
274.0599976,0.1617586315,
275,0.1910235584,
275.9299927,0.07735680044,
277.0299988,0.1242771223,
277.9599915,0.1173521951,
279.0599976,0.04772624373,
280,0.05683540553,
280.9299927,0.08792368323,
282.0299988,0.06668166816,
282.9599915,0.1571936756,
284.0599976,0.07980463654,
285,0.04734699056,
285.9299927,0.1098659635,
287.0299988,0.08051011711,
287.9599915,0.1132502779,
289.0599976,0.08925890923,
290,0.07914523035,
291.0700073,0.1565974504,
292,0.06338742375,
293.0700073,0.1137414873,
294,0.07309407741,
295.0700073,0.1177627891,
296,0.04201798141,
297.0700073,0.05717471242,
298,0.07163552195,
299.0700073,0.03284881264,
300,0.1664097458,
300.9299927,0.1211071089,
302.0299988,0.0784136951,
302.9599915,0.03098853305,
304.0599976,0.08376085758,
305,0.09598258883,
305.9299927,0.07435971498,
307.0299988,0.08415471762,
307.9599915,0.1104340032,
309.0599976,0.1204613671,
310,0.1129757836,
311.0700073,0.1236680001,
312,0.06579452008,
313.0700073,0.1582779437,
314,0.1097400412,
315.0700073,0.1289690286,
316,0.09535615146,
317.0700073,0.1797052771,
318,0.1107752696,
319.0700073,0.06417763978,
320,0.1243336424,
321.0700073,0.2003205121,
322,0.1112904102,
323.0700073,-0.0407005921,
324,0.1767913848,
325.0700073,0.04092210904,
326,0.1342982799,
327.0700073,0.06225196645,
328,0.1275144368,
