Sample 26,,
Wavelength (nm),Intensity (a.u.),
220,0.2835628092,
220.9299927,0.2793530226,
222.0299988,0.09205771983,
222.9600067,0.234297201,
224.0599976,0.1373794079,
225,0.2019522041,
225.9299927,0.1473583877,
227.0299988,0.09002057463,
227.9600067,0.02693689801,
229.0599976,0.08305160701,
230,-0.05318994448,
230.9299927,-0.01002933551,
232.0299988,-0.09283529967,
232.9600067,0.03513271362,
234.0599976,0.1123371124,
235,0.1117380857,
235.9299927,0.03112665936,
237.0299988,0.1387644112,
237.9600067,0.1199897751,
239.0599976,0.008811970241,
240,-0.01917633787,
240.9299927,0.03286749125,
242.0299988,0.04801825806,
242.9600067,0.04720407724,
244.0599976,-0.01204665378,
245,0.04283176363,
245.9299927,0.008579052053,
247.0299988,0.004214474931,
247.9600067,0.01074614841,
249.0599976,0.01157040522,
250,-0.005236410536,
250.9299927,0.01134304516,
252.0299988,-0.05424291268,
252.9600067,0.06196128204,
254.0599976,0.07725723088,
255,0.1197789237,
255.9299927,0.06726227701,
257.0299988,0.08188311756,
257.9599915,-0.008266581222,
259.0599976,0.01865682192,
260,-0.03281515837,
261.0700073,0.00196786481,
262,-0.004125352949,
263.0700073,0.0202749297,
264,0.0141966138,
265.0700073,0.006960992701,
266,0.006691081449,
267.0700073,0.004152789712,
268,0.03833914921,
269.0700073,0.01987611689,
270,0.01031308807,
270.9299927,0.003307140898,
272.0299988,-0.01015006937,
272.9599915,-0.03699449822,
274.0599976,0.02089838684,
275,0.07008018345,
275.9299927,0.01850416139,
277.0299988,-0.01468453091,
277.9599915,0.04497523606,
279.0599976,0.03142819926,
280,0.01406981517,
280.9299927,-0.02187265828,
282.0299988,0.01332462765,
282.9599915,0.01266063191,
284.0599976,-0.01291622501,
285,0.01752329245,
285.9299927,0.02329594642,
287.0299988,-0.01429523621,
287.9599915,0.01914148778,
289.0599976,0.03432099521,
290,-0.01062347367,
291.0700073,0.04382497072,
292,0.02909543924,
293.0700073,0.02043774351,
294,0.04820818081,
295.0700073,0.04850783944,
296,0.09847211838,
297.0700073,0.1206849068,
298,0.141243875,
299.0700073,0.1029531285,
300,0.1306155026,
300.9299927,0.1505247355,
302.0299988,0.08041048795,
302.9599915,0.1562960595,
304.0599976,0.1393995732,
305,0.113719821,
305.9299927,0.1321962923,
307.0299988,0.1773029864,
307.9599915,0.158739388,
309.0599976,0.1158092767,
310,0.1051120907,
311.0700073,0.1116657183,
312,0.1631537974,
313.0700073,0.09400355816,
314,0.2009965181,
315.0700073,0.102912426,
316,0.1599599719,
317.0700073,0.17385526,
318,0.1141943559,
319.0700073,0.1676456928,
320,0.02572852001,
321.0700073,0.1208474562,
322,0.08371676505,
323.0700073,0.1697641164,
324,0.1583900452,
325.0700073,0.1071020588,
326,0.1586689949,
327.0700073,0.1918242425,
328,0.1375203729,
329.0700073,0.1070308909,
330,0.1108489931,
330.9299927,0.1046028808,
332.0299988,0.1342207938,
332.9599915,0.09251213819,
334.0599976,0.1001064479,
335,0.1640952975,
335.9299927,0.1052922532,
337.0299988,0.07053346932,
337.9599915,0.1770279109,
339.0599976,0.08456145227,
340,0.03401083127,
341.0700073,0.1078367904,
342,0.1339149028,
343.0700073,0.1297382116,
344,0.05090216547,
345.0700073,0.1675568819,
346,0.1310767829,
347.0700073,0.08711126447,
348,0.07131053507,
349.0700073,0.0938282907,
350,0.1045231596,
351.0700073,0.06258445233,
352,0.1066526696,
353.0700073,0.1145903394,
354,0.08222930878,
355.0700073,0.09965563565,
356,0.1176638156,
357.0700073,0.1065568626,
358,0.09787591547,
359.0700073,0.06098841876,
360,0.06459563971,
361.0700073,0.0724960044,
362,0.05425145105,
363.0700073,0.1212602854,
364,0.07897007465,
365.0700073,0.1356559992,
366,0.02567651868,
367.0700073,0.07824615389,
368,0.01708104461,
369.0700073,0.04951475561,
370,0.04808815196,
371.0599976,0.05605343357,
371.9599915,0.04367441684,
373.0299988,0.03516552597,
373.9299927,0.04782839119,
375,0.0287704654,
376.0599976,0.08536204696,
376.9599915,0.07934261113,
378.0299988,0.05647689849,
378.9299927,0.06042594835,
380,0.08252991736,
381.0700073,0.04410185665,
382,0.03846421465,
383.0700073,0.04774924368,
384,0.1094498634,
385.0700073,0.07953432947,
386,0.02601994202,
387.0700073,0.04514890909,
388,0.06146378443,
389.0700073,0.03776583076,
390,0.03516498953,
391.0700073,0.02612031996,
392,0.07903824002,
393.0700073,0.01874893717,
394,0.04810526967,
395.0700073,0.05064734444,
396,0.04099164531,
397.0700073,0.06277135015,
398,0.04807894677,
399.0700073,0.01917336322,
400,0.01301059406,
401.0599976,0.04057476297,
401.9599915,0.02319584228,
403.0299988,0.04010691494,
403.9299927,0.04844522849,
405,0.04113417119,
406.0599976,0.02437431738,
406.9599915,0.03972540796,
408.0299988,0.02692922391,
408.9299927,0.0300602112,
410,0.02699232288,
411.0700073,0.03352027386,
412,0.03321008757,
413.0700073,0.06002245471,
414,0.02362066507,
415.0700073,0.04286013171,
416,0.02593433298,
417.0700073,0.008550641127,
418,0.01610935852,
419.0700073,0.01634722203,
420,0.02855789848,
421.0599976,0.02159658447,
421.9599915,0.01500383485,
423.0299988,0.02423712052,
423.9299927,0.00995808281,
425,0.00413368037,
426.0599976,0.02223543264,
426.9599915,0.02921095677,
428.0299988,-0.001638153219,
428.9299927,0.02373109013,
430,0.01321157534,
431.0599976,0.01227726601,
431.9599915,0.02668151259,
433.0299988,0.00344868307,
433.9299927,0.01191791613,
435,0.01125064772,
436.0599976,0.02078922838,
436.9599915,0.0082309274,
438.0299988,-0.0007942313096,
438.9299927,0.01308934763,
440,0.01935696043,
441.0599976,0.007511646952,
441.9599915,0.005315118004,
