Sample 8,,
Wavelength (nm),Intensity (a.u.),
220,11.00580883,
220.9299927,8.601857185,
222.0299988,6.936675072,
222.9600067,7.436021328,
224.0599976,5.338474274,
225,3.613468409,
225.9299927,3.193948507,
227.0299988,2.153846264,
227.9600067,2.098344088,
229.0599976,1.756787539,
230,2.221869469,
230.9299927,1.995432138,
232.0299988,2.096219063,
232.9600067,2.836292744,
234.0599976,2.788438559,
235,2.530272722,
235.9299927,2.926915884,
237.0299988,2.710323811,
237.9600067,2.605297327,
239.0599976,2.153387547,
240,1.84338212,
240.9299927,1.651693344,
242.0299988,1.620471478,
242.9600067,1.391395926,
244.0599976,1.316944718,
245,1.291526914,
245.9299927,1.290917516,
247.0299988,1.214365363,
247.9600067,1.418336868,
249.0599976,1.516913056,
250,1.821882725,
250.9299927,1.940659642,
252.0299988,2.046374321,
252.9600067,2.358989239,
254.0599976,2.619450331,
255,2.603349686,
255.9299927,2.282252312,
257.0299988,2.087920904,
257.9599915,2.0178895,
259.0599976,2.178726673,
260,3.101876736,
261.0700073,5.23860693,
262,9.66824913,
263.0700073,19.71883392,
264,31.74135399,
265.0700073,49.57144928,
266,66.82993317,
267.0700073,90.61686707,
268,110.2176971,
269.0700073,130.4182129,
270,148.5360565,
270.9299927,165.6151428,
272.0299988,187.0360565,
272.9599915,208.9470062,
274.0599976,231.9517212,
275,255.2401428,
275.9299927,270.1386414,
277.0299988,280.048645,
277.9599915,282.401062,
279.0599976,280.1843567,
280,283.169281,
280.9299927,283.310791,
282.0299988,295.282959,
282.9599915,312.4584656,
284.0599976,337.0725403,
285,351.1917725,
285.9299927,358.8757629,
287.0299988,340.8811035,
287.9599915,305.5537415,
289.0599976,253.8607788,
290,194.9456787,
291.0700073,140.44104,
292,105.3317566,
293.0700073,80.46135712,
294,68.77600098,
295.0700073,60.612854,
296,56.97338486,
297.0700073,55.10895157,
298,54.79273605,
299.0700073,55.78319931,
300,58.39579773,
300.9299927,61.86489487,
302.0299988,67.82939148,
302.9599915,72.37067413,
304.0599976,78.73429871,
305,86.46472168,
305.9299927,92.95981598,
307.0299988,96.0242157,
307.9599915,98.42935181,
309.0599976,99.69896698,
310,99.29806519,
311.0700073,99.13025665,
312,101.5290604,
313.0700073,104.6995239,
314,107.6931305,
315.0700073,113.5485535,
316,121.8910065,
317.0700073,128.6468353,
318,138.3247528,
319.0700073,150.9037781,
320,160.0050507,
321.0700073,170.9108429,
322,169.2831268,
323.0700073,168.9752655,
324,166.4646912,
325.0700073,161.0996704,
326,158.0032349,
327.0700073,154.7264252,
328,155.9489746,
329.0700073,156.6651001,
330,157.2468109,
330.9299927,158.657074,
332.0299988,161.4727325,
332.9599915,164.7056732,
