Sample 16,,
Wavelength (nm),Intensity (a.u.),
220,0,
220.9299927,1.444517374,
222.0299988,-0.4380681217,
222.9600067,0.1799208373,
224.0599976,0.4315615296,
225,-0.1639971584,
225.9299927,0.2310108989,
227.0299988,0.09146341681,
227.9600067,0.05057017878,
229.0599976,-0.09093388915,
230,-0.1348344982,
230.9299927,0.09406452626,
232.0299988,0.1527611613,
232.9600067,0.246622622,
234.0599976,0.2005385906,
235,0.05884775892,
235.9299927,0.08683068305,
237.0299988,0.0829623118,
237.9600067,0.2427773774,
239.0599976,-0.05994844437,
240,0.06929526478,
240.9299927,-0.01500690356,
242.0299988,-0.05404090881,
242.9600067,-0.03721345589,
244.0599976,0.0114413863,
245,0.05328956619,
245.9299927,0,
247.0299988,-0.03931976855,
247.9600067,-0.01037441194,
249.0599976,-0.04423017427,
250,0.0122517487,
250.9299927,-0.01356815267,
252.0299988,0.04347259179,
252.9600067,0.1263104677,
254.0599976,0.03184409067,
255,0.07757711411,
255.9299927,0.0274921637,
257.0299988,0.1011235937,
257.9599915,0.1833180636,
259.0599976,0.1680121571,
260,0.2263277918,
261.0700073,0.2899574935,
262,0.2845894694,
263.0700073,0.3235030174,
264,0.4986017644,
265.0700073,0.4555422664,
266,0.6608511806,
267.0700073,0.6926456094,
268,0.6782945991,
269.0700073,0.7093336582,
270,0.7512534261,
270.9299927,0.7118731141,
272.0299988,0.6257775426,
272.9599915,0.7548320293,
274.0599976,0.7867456079,
275,0.7934495211,
275.9299927,0.785813272,
277.0299988,0.8159632087,
277.9599915,0.8244947195,
279.0599976,0.739774704,
280,0.7365624309,
280.9299927,0.8275641203,
282.0299988,0.6508485675,
282.9599915,0.8117981553,
284.0599976,0.771143496,
285,0.7224479318,
285.9299927,0.8237808347,
287.0299988,0.7392420769,
287.9599915,0.8133133054,
289.0599976,0.7742139101,
290,0.7198675275,
291.0700073,0.7595015168,
292,0.7389217615,
293.0700073,0.7400635481,
294,0.7552130818,
295.0700073,0.7823501825,
296,0.8126832247,
297.0700073,0.8214321733,
298,0.8271976709,
299.0700073,0.8504902124,
300,0.7637364268,
300.9299927,0.8392629027,
302.0299988,0.8134383559,
302.9599915,0.8489403725,
304.0599976,0.7679683566,
305,0.8596353531,
305.9299927,0.7996929288,
307.0299988,0.8851925731,
307.9599915,0.8484823108,
309.0599976,0.9371603727,
310,0.8918256164,
311.0700073,0.8682506084,
312,0.9619392753,
313.0700073,0.883182168,
314,0.8181753159,
315.0700073,1.01612258,
316,0.9965586066,
317.0700073,1.008035541,
318,0.9303677678,
319.0700073,0.984341383,
320,0.9470978379,
321.0700073,1.025415659,
322,1.141874075,
323.0700073,1.115388274,
324,1.051283836,
325.0700073,1.05386889,
326,0.9205364585,
327.0700073,0.9880978465,
328,1.017973661,
329.0700073,1.143728495,
330,1.115040302,
330.9299927,1.282741547,
332.0299988,1.105345607,
332.9599915,1.06214273,
334.0599976,1.153490067,
335,1.182301879,
335.9299927,1.157121778,
337.0299988,1.30426681,
337.9599915,1.233835936,
339.0599976,1.075303912,
340,1.3030442,
341.0700073,1.29800725,
342,1.453444839,
343.0700073,1.212993145,
344,1.112579107,
345.0700073,1.358410239,
346,1.056207299,
347.0700073,1.187225461,
348,1.14645195,
349.0700073,1.26296401,
350,1.038256884,
351.0700073,1.377705216,
352,1.278709531,
353.0700073,1.264637589,
354,1.213247299,
355.0700073,1.303885579,
356,1.38917768,
357.0700073,1.24286294,
358,1.124241114,
359.0700073,1.36537838,
360,1.258489251,
361.0700073,1.280867338,
362,1.284782887,
363.0700073,1.265016675,
364,1.370184302,
365.0700073,1.295715809,
366,1.21510756,
367.0700073,1.35082984,
368,1.426450849,
369.0700073,1.254982233,
370,1.247598648,
371.0599976,1.130028605,
371.9599915,1.172050714,
373.0299988,1.301053882,
373.9299927,1.244042754,
375,1.283219934,
376.0599976,1.297484994,
376.9599915,1.275345325,
378.0299988,1.226907253,
378.9299927,1.197825551,
380,1.256940246,
381.0700073,1.33705759,
382,1.176680326,
383.0700073,1.27704072,
384,1.211771488,
385.0700073,1.300316215,
386,1.255684733,
387.0700073,1.133082032,
388,1.090939879,
389.0700073,1.219948769,
390,1.115265965,
391.0700073,1.181358457,
392,1.151550651,
393.0700073,1.126533866,
394,1.121528029,
395.0700073,1.154060006,
396,1.13539803,
397.0700073,1.093574643,
398,1.072976947,
399.0700073,1.081626773,
400,1.014513254,
401.0599976,1.097979307,
401.9599915,1.089749098,
403.0299988,1.141367316,
403.9299927,1.201503992,
405,1.215501666,
406.0599976,1.295864344,
406.9599915,1.202404857,
408.0299988,1.276360273,
408.9299927,1.348758936,
410,1.262618423,
411.0700073,1.03952682,
412,1.015792012,
413.0700073,0.8650371432,
414,0.8017496467,
415.0700073,0.7627491951,
416,0.8045275211,
417.0700073,0.6801446676,
418,0.6818362474,
419.0700073,0.739954114,
420,0.709676981,
421.0599976,0.7086862326,
421.9599915,0.6352440715,
423.0299988,0.5824449658,
423.9299927,0.6709084511,
425,0.5140368938,
426.0599976,0.5749076009,
426.9599915,0.5241568089,
428.0299988,0.5076545477,
428.9299927,0.5053647757,
430,0.4790050983,
431.0599976,0.52956599,
431.9599915,0.4486487508,
433.0299988,0.4930571914,
433.9299927,0.4861448705,
435,0.4586780369,
436.0599976,0.4770163,
436.9599915,0.4640463889,
438.0299988,0.4775280952,
438.9299927,0.3297078013,
440,0.3543145955,
441.0599976,0.3592392504,
441.9599915,0.3837576509,
443.0299988,0.3528226018,
443.9299927,0.3318430185,
445,0.3119916916,
446.0599976,0.353751719,
446.9599915,0.3730272651,
448.0299988,0.3395783901,
448.9299927,0.3422792554,
450,0.3524736166,
451.0599976,0.341570884,
451.9599915,0.3254134655,
453.0299988,0.2902944982,
453.9299927,0.2805355787,
455,0.2564638257,
456.0599976,0.2807411551,

Sample 16,
Sample 16
Collection Time: 23/05/2023 5:22:11 PM
Operator Name  :
Scan Software Version: 1.2(147)
Parameter List :
Instrument                        Cary Eclipse
Instrument Serial Number          test
Data mode                         Fluorescence
Scan mode                         Excitation
X Mode                            Wavelength (nm)
Start (nm)                        220.00
Stop (nm)                         456.00
Em. Wavelength (nm)               466.00
Ex. Slit (nm)                     5
Em. Slit (nm)                     5
Scan rate (nm/min)                600.00
Data interval (nm)                1.0000
Averaging Time (s)                0.1000
Excitation filter                 Auto
Emission filter                   Open
PMT voltage (V)                   Medium
Corrected spectra                 OFF
Method Log     :
Method Name    : Default
Date/Time stamp: 23/05/2023 2:20:55 PM
Method Modifications:
Overlayed Graphs Changed: 23/05/2023 2:21:20 PM, Old:OFF, New:ON
Excitation Wavelength Changed: 23/05/2023 2:21:20 PM, Old: 350.00, New: 340.00
Emission Wavelength Changed: 23/05/2023 2:21:20 PM, Old: 400.00, New: 350.00
Stop Wavelength Changed: 23/05/2023 2:21:56 PM, Old: 600.00, New: 650.00
Scan mode: Changed: 23/05/2023 2:23:07 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 23/05/2023 2:23:07 PM, Old: 340.00, New: 220.00
Emission Wavelength Changed: 23/05/2023 2:23:07 PM, Old: 350.00, New: 390.00
Stop Wavelength Changed: 23/05/2023 2:23:07 PM, Old: 650.00, New: 380.00
User Delta Stop Changed: 23/05/2023 2:23:57 PM, Old: 450.00, New: 490.00
User Delta Increment Changed: 23/05/2023 2:23:57 PM, Old:  10.00, New:   0.15
Emission Wavelength Changed: 23/05/2023 2:23:57 PM, Old: 390.00, New: 490.00
Stop Wavelength Changed: 23/05/2023 2:23:57 PM, Old: 380.00, New: 480.00
Scan mode: Changed: 23/05/2023 4:52:05 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 23/05/2023 4:52:05 PM, Old: 220.00, New: 340.00
Emission Wavelength Changed: 23/05/2023 4:52:05 PM, Old: 490.00, New: 350.00
Stop Wavelength Changed: 23/05/2023 4:52:05 PM, Old: 480.00, New: 650.00
Excitation Wavelength Changed: 23/05/2023 5:04:00 PM, Old: 340.00, New: 345.00
Emission Wavelength Changed: 23/05/2023 5:04:00 PM, Old: 350.00, New: 355.00
Stop Wavelength Changed: 23/05/2023 5:04:00 PM, Old: 650.00, New: 700.00
Scan mode: Changed: 23/05/2023 5:06:16 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 23/05/2023 5:06:16 PM, Old: 345.00, New: 220.00
Emission Wavelength Changed: 23/05/2023 5:06:16 PM, Old: 355.00, New: 466.00
Stop Wavelength Changed: 23/05/2023 5:06:16 PM, Old: 700.00, New: 456.00
Scan mode: Changed: 23/05/2023 5:15:17 PM, Old:Excitation, New:Emission
Excitation Wavelength Changed: 23/05/2023 5:15:17 PM, Old: 220.00, New: 344.00
Emission Wavelength Changed: 23/05/2023 5:15:17 PM, Old: 466.00, New: 354.00
Stop Wavelength Changed: 23/05/2023 5:15:17 PM, Old: 456.00, New: 600.00
Stop Wavelength Changed: 23/05/2023 5:16:37 PM, Old: 600.00, New: 650.00
Scan mode: Changed: 23/05/2023 5:19:13 PM, Old:Emission, New:Excitation
Excitation Wavelength Changed: 23/05/2023 5:19:13 PM, Old: 344.00, New: 220.00
Emission Wavelength Changed: 23/05/2023 5:19:13 PM, Old: 354.00, New: 432.00
Stop Wavelength Changed: 23/05/2023 5:19:13 PM, Old: 650.00, New: 422.00
Emission Wavelength Changed: 23/05/2023 5:21:54 PM, Old: 432.00, New: 466.00
Stop Wavelength Changed: 23/05/2023 5:21:54 PM, Old: 422.00, New: 456.00
End Method Modifications

